기간	자치구	동	합계	합계	합계	개인사업체	개인사업체	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2016	합계	합계	820,156	5,079,451	2,232,049	1,573,964	822,541	2,707,718	1,004,878	682,454	345,401	115,315	59,229
2016	종로구	소계	40,664	268,309	113,975	77,452	37,321	138,426	51,383	48,299	23,193	4,132	2,078
2016	종로구	사직동	3,489	53,850	22,208	8,515	4,820	33,704	12,348	11,054	4,786	577	254
2016	종로구	삼청동	751	4,823	2,475	1,433	917	1,372	795	1,918	711	100	52
2016	종로구	부암동	575	3,690	1,794	1,079	588	727	361	1,755	772	129	73
2016	종로구	평창동	708	2,990	1,585	1,239	687	858	400	567	302	326	196
2016	종로구	무악동	573	1,472	716	1,116	545	123	42	110	78	123	51
2016	종로구	교남동	302	3,612	2,108	551	293	409	104	2,533	1,632	119	79
2016	종로구	가회동	770	14,215	3,421	1,346	832	11,394	1,821	1,367	708	108	60
2016	종로구	종로1.2.3.4가동	15,970	110,743	44,602	28,616	13,422	70,062	26,391	11,003	4,327	1,062	462
2016	종로구	종로5·6가동	7,691	23,392	8,933	14,137	5,687	7,655	2,541	1,212	534	388	171
2016	종로구	이화동	1,248	16,032	9,349	2,704	1,388	3,837	1,707	9,270	6,140	221	114
2016	종로구	창신1동	2,273	6,340	3,225	4,050	1,731	1,792	1,203	330	188	168	103
2016	종로구	창신2동	872	2,429	1,358	2,013	1,079	102	53	190	128	124	98
2016	종로구	창신3동	283	874	414	492	240	96	23	219	135	67	16
2016	종로구	숭인1동	533	1,587	871	1,250	707	220	103	73	39	44	22
2016	종로구	숭인2동	1,881	6,819	3,623	3,314	1,429	2,898	1,929	535	242	72	23
2016	종로구	청운효자동	1,009	6,415	2,892	1,567	884	1,056	470	3,505	1,339	287	199
2016	종로구	혜화동	1,736	9,026	4,401	4,030	2,072	2,121	1,092	2,658	1,132	217	105
2016	중구	소계	63,640	402,892	181,135	118,422	61,180	230,410	96,479	50,866	21,926	3,194	1,550
2016	중구	소공동	3,929	65,041	27,289	7,146	4,192	51,368	20,341	6,154	2,620	373	136
2016	중구	회현동	9,697	52,540	24,400	14,767	9,085	35,170	14,326	2,146	810	457	179
2016	중구	명동	6,778	115,866	51,709	12,553	7,443	77,822	34,116	24,630	9,646	861	504
2016	중구	필동	3,159	24,075	10,185	6,328	2,450	10,380	4,073	7,261	3,621	106	41
2016	중구	장충동	911	9,874	4,006	1,418	724	7,166	2,684	1,185	539	105	59
2016	중구	광희동	9,380	38,813	17,610	18,658	8,772	16,895	7,036	3,176	1,772	84	30
2016	중구	을지로동	9,442	29,762	10,833	18,150	6,065	9,602	3,963	1,897	772	113	33
2016	중구	신당5동	1,283	3,942	2,075	2,782	1,489	688	327	347	176	125	83
2016	중구	황학동	1,963	6,435	2,844	3,438	1,531	2,739	1,213	182	80	76	20
2016	중구	중림동	1,005	7,677	3,576	1,695	846	5,037	2,214	809	459	136	57
2016	중구	신당동	12,117	27,836	16,073	22,917	14,108	3,262	1,377	1,394	491	263	97
2016	중구	다산동	1,387	9,577	5,077	2,782	1,398	6,077	3,271	538	305	180	103
2016	중구	약수동	854	3,563	1,943	1,908	1,148	1,099	500	412	203	144	92
2016	중구	청구동	765	3,856	1,491	1,445	739	1,911	434	429	267	71	51
2016	중구	동화동	970	4,035	2,024	2,435	1,190	1,194	604	306	165	100	65
2016	용산구	소계	20,994	129,033	56,774	37,153	18,771	67,125	26,665	21,171	9,879	3,584	1,459
2016	용산구	후암동	840	5,493	3,225	2,311	1,373	2,436	1,392	661	423	85	37
2016	용산구	용산2가동	574	2,075	1,034	1,059	521	487	223	489	277	40	13
2016	용산구	남영동	1,673	18,172	8,600	2,967	1,673	13,174	6,073	1,672	707	359	147
