기간	컬럼1	컬럼2	출생	출생	출생	사망	사망	사망
기간	컬럼1	컬럼2	계	남자	여자	계	남자	여자
2008	동대문구	전농2동	121	65	56	113	72	41
2008	동대문구	답십리3동	139	76	63	64	40	24
2008	동대문구	청량리동	168	90	78	147	89	58
2008	동대문구	미상	13	8	5	-	-	-
2008	중랑구	소계	3,711	1,873	1,838	1,779	969	810
2008	중랑구	면목2동	249	134	115	131	69	62
2008	중랑구	면목4동	230	119	111	96	48	48
2008	중랑구	면목5동	112	60	52	73	42	31
2008	중랑구	면목7동	248	140	108	93	55	38
2008	중랑구	상봉1동	207	112	95	103	53	50
2008	중랑구	상봉2동	186	86	100	71	39	32
2008	중랑구	중화1동	247	133	114	106	68	38
2008	중랑구	중화2동	244	114	130	120	60	60
2008	중랑구	묵1동	299	145	154	128	72	56
2008	중랑구	묵2동	149	83	66	93	56	37
2008	중랑구	망우3동	170	77	93	111	65	46
2008	중랑구	신내1동	229	111	118	142	65	77
2008	중랑구	신내2동	316	158	158	99	55	44
2008	중랑구	면목본동	290	139	151	123	66	57
2008	중랑구	면목3.8동	248	120	128	126	68	58
2008	중랑구	망우본동	270	130	140	162	88	74
2008	중랑구	미상	17	12	5	2	-	2
2008	성북구	소계	4,415	2,260	2,155	2,013	1,120	893
2008	성북구	돈암1동	166	88	78	78	43	35
2008	성북구	돈암2동	246	129	117	84	51	33
2008	성북구	안암동	115	52	63	74	44	30
2008	성북구	보문동	133	66	67	83	44	39
2008	성북구	정능1동	162	89	73	79	38	41
2008	성북구	정능2동	258	128	130	103	57	46
2008	성북구	정능3동	167	79	88	92	53	39
2008	성북구	정능4동	327	163	164	133	73	60
2008	성북구	길음1동	408	209	199	102	48	54
2008	성북구	길음2동	193	97	96	96	52	44
2008	성북구	월곡1동	302	162	140	122	63	59
2008	성북구	월곡2동	232	116	116	84	51	33
2008	성북구	장위1동	240	121	119	141	87	54
2008	성북구	장위2동	177	84	93	120	70	50
2008	성북구	장위3동	133	73	60	90	52	38
2008	성북구	성북동	157	82	75	83	50	33
2008	성북구	삼선동	249	137	112	117	65	52
2008	성북구	동선동	104	50	54	58	37	21
2008	성북구	종암동	324	175	149	139	74	65
2008	성북구	석관동	305	149	156	134	68	66
2008	성북구	미상	17	11	6	1	-	1
2008	강북구	소계	2,858	1,441	1,417	1,585	915	670
2008	강북구	번1동	181	79	102	81	47	34
2008	강북구	번2동	189	103	86	99	58	41
2008	강북구	번3동	190	92	98	119	70	49
2008	강북구	수유1동	167	82	85	124	74	50
2008	강북구	수유2동	193	112	81	123	66	57
2008	강북구	수유3동	212	122	90	108	63	45
2008	강북구	삼양동	336	152	184	183	118	65
2008	강북구	미아동	249	115	134	137	92	45
2008	강북구	송중동	267	133	134	118	65	53
2008	강북구	송천동	254	128	126	141	71	70
2008	강북구	삼각산동	240	123	117	95	42	53
2008	강북구	우이동	141	77	64	110	66	44
2008	강북구	인수동	227	115	112	147	83	64
2008	강북구	미상	12	8	4	-	-	-
2008	도봉구	소계	3,035	1,589	1,446	1,441	817	624
2008	도봉구	쌍문1동	176	95	81	99	55	44
2008	도봉구	쌍문2동	158	82	76	77	41	36
2008	도봉구	쌍문3동	183	96	87	75	43	32
2008	도봉구	쌍문4동	120	70	50	77	39	38
2008	도봉구	방학1동	250	135	115	133	73	60
2008	도봉구	방학2동	165	95	70	102	60	42
2008	도봉구	방학3동	209	102	107	123	73	50
2008	도봉구	창1동	275	151	124	106	54	52
2008	도봉구	창2동	326	170	156	97	51	46
2008	도봉구	창3동	144	77	67	81	43	38
2008	도봉구	창4동	300	153	147	95	62	33
2008	도봉구	창5동	257	123	134	97	57	40
2008	도봉구	도봉1동	164	88	76	148	86	62
2008	도봉구	도봉2동	296	144	152	131	80	51
2008	도봉구	미상	12	8	4	-	-	-
2008	노원구	소계	5,721	2,951	2,770	2,485	1,365	1,120
2008	노원구	월계1동	255	132	123	67	34	33
2008	노원구	월계2동	291	154	137	158	91	67
2008	노원구	월계3동	412	219	193	101	56	45
2008	노원구	월계4동	177	95	82	124	67	57
2008	노원구	공릉2동	483	251	232	146	84	62
2008	노원구	하계1동	153	81	72	162	89	73
2008	노원구	하계2동	186	96	90	82	44	38
2008	노원구	중계본동	114	53	61	101	61	40
2008	노원구	중계1동	113	52	61	110	52	58
2008	노원구	중계2동	238	116	122	87	43	44
2008	노원구	중계3동	175	89	86	152	94	58
2008	노원구	중계4동	179	96	83	99	55	44
2008	노원구	상계1동	330	163	167	203	102	101
2008	노원구	상계2동	135	69	66	79	51	28
2008	노원구	상계5동	217	121	96	105	56	49
2008	노원구	상계8동	477	243	234	82	42	40
2008	노원구	상계9동	315	165	150	83	46	37
2008	노원구	상계10동	267	144	123	62	31	31
