기간	자치구	동	계	계	계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입
기간	자치구	동	계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세
기간	자치구	동	계	시세	구세	취득세	레저세	주민세	자동차세	담배소비세	재산세	지방소비세	지방소득세	등록면허세	주민세	재산세	종합토지세	지방소득세	지역자원시설세	지방교육세	도시계획세	공동시설세	사업소세	시세	구세
2012	도봉구	창4동	14,676	14,064	612	2,659	8,555	60	710	-	881	-	337	279	-	318	-	-	96	508	-	-	-	258	15
2012	도봉구	창5동	11,184	10,186	997	4,300	-	72	1,682	-	1,828	-	867	279	-	697	-	-	164	1,028	-	-	-	245	22
2012	도봉구	도봉1동	8,013	6,733	1,280	2,002	-	101	867	-	1,677	-	921	545	-	719	-	-	129	786	-	-	-	250	16
2012	도봉구	도봉2동	11,644	10,481	1,163	3,976	-	84	1,494	-	2,429	-	836	165	-	977	-	-	234	1,176	-	-	-	253	21
2012	노원구	소계	255,740	195,990	59,750	60,924	-	1,888	28,386	-	44,896	-	29,015	7,416	-1	51,985	-1	1	4,616	21,607	-	-	-6	4,658	356
2012	노원구	월계1동	12,511	9,499	3,012	3,594	-	78	1,127	-	1,919	-	1,293	773	-	2,222	-	-	203	1,057	-	-	-	228	17
2012	노원구	월계2동	8,438	6,520	1,918	1,857	-	96	1,286	-	1,544	-	725	118	-	1,788	-	-	145	713	-	-	-	154	12
2012	노원구	월계3동	13,857	10,313	3,544	2,722	-	115	1,826	-	2,958	-	1,031	100	-	3,425	-	-	238	1,171	-	-	-	252	19
2012	노원구	공릉2동	21,357	17,006	4,351	4,778	-	147	2,634	-	3,443	-	3,445	334	-	3,987	-	-	366	1,804	-	-	-	389	30
2012	노원구	하계1동	14,308	10,728	3,580	2,705	-	90	1,643	-	2,551	-	2,043	607	-	2,953	-	-	226	1,209	-	-	-	261	20
2012	노원구	하계2동	8,584	6,501	2,083	1,782	-	76	1,373	-	1,729	-	580	69	-	2,002	-	-	80	725	-	-	-	156	12
2012	노원구	중계본동	16,525	12,708	3,817	2,705	-	88	1,868	-	3,148	-	2,939	149	-	3,645	-	-	263	1,396	-	-	-	301	23
2012	노원구	중계1동	15,671	11,265	4,406	3,069	-	86	1,815	-	2,806	-	1,597	1,135	-	3,249	-	-	283	1,324	-	-	-	285	22
2012	노원구	중계4동	9,256	7,323	1,933	2,591	-	69	1,066	-	1,569	-	893	104	-	1,816	-	-	184	782	-	-	-	169	13
2012	노원구	상계1동	22,639	16,640	5,999	5,849	-	138	2,375	-	3,597	-	1,939	1,802	-	4,165	-	-	417	1,913	-	-	-	412	32
2012	노원구	상계2동	17,593	13,397	4,196	3,849	-	73	1,147	-	3,426	-	2,641	212	-1	3,967	-	-	453	1,487	-	-	-6	321	24
2012	노원구	상계5동	7,135	5,712	1,423	2,072	-	79	914	-	1,123	-	651	112	-	1,301	-	-	140	603	-	-	-	130	10
2012	노원구	상계8동	5,883	4,798	1,085	1,579	-	89	1,232	-	869	-	344	71	-	1,006	-	-	81	497	-	-	-	107	8
2012	노원구	상계9동	6,772	5,389	1,383	1,943	-	81	1,104	-	1,130	-	348	65	-	1,309	-	-	88	572	-	-	-	123	9
2012	노원구	상계10동	7,532	5,870	1,662	1,786	-	70	996	-	1,235	-	928	221	-	1,430	-	1	82	636	-	-	-	137	10
2012	노원구	상계3.4동	11,252	8,411	2,841	1,870	-	130	1,596	-	2,310	-	1,130	151	-	2,674	-	-	219	951	-	-	-	205	16
2012	노원구	상계6.7동	23,534	18,481	5,053	5,398	-	129	1,732	-	4,181	-	4,202	179	-	4,841	-	-	422	1,988	-	-	-	429	33
2012	노원구	중계2.3동	12,260	9,734	2,526	3,229	-	124	1,677	-	2,055	-	1,031	130	-	2,380	-1	-	359	1,036	-	-	-	223	17
2012	노원구	공릉1동	20,633	15,695	4,938	7,546	-	130	975	-	3,303	-	1,255	1,084	-	3,825	-	-	367	1,743	-	-	-	376	29
2012	은평구	소계	247,568	190,177	57,391	78,498	-	1,522	20,984	-	39,950	-	20,916	7,131	2	49,991	-6	13	4,193	20,127	-	-	-	3,988	261
2012	은평구	녹번동	17,216	13,077	4,139	4,736	-	125	1,269	-	2,892	-	2,187	410	1	3,713	-	-	254	1,315	-	-	-	299	14
2012	은평구	불광1동	26,262	19,010	7,252	6,203	-	133	1,935	-	5,066	-	2,894	827	-	6,401	-1	-	402	2,083	-	-	-	294	26
2012	은평구	갈현1동	11,516	8,270	3,246	2,842	-	96	952	-	1,975	-	1,006	620	-	2,610	-	-	193	968	-	-	-	238	16
2012	은평구	갈현2동	12,807	10,150	2,657	4,436	-	87	1,168	-	2,011	-	925	174	-	2,473	-	-	212	1,075	-	-	-	236	11
2012	은평구	구산동	12,340	9,923	2,418	3,655	-	83	1,473	-	1,751	-	1,478	419	-	1,981	-	-	191	1,031	-	-	-	262	17
2012	은평구	대조동	20,633	15,928	4,705	7,480	-	152	1,078	-	3,034	-	1,908	522	-	4,169	-1	-	420	1,598	-	-	-	258	15
2012	은평구	응암1동	16,728	12,260	4,468	4,733	-	113	1,286	-	2,568	-	1,495	1,118	-	3,326	-	4	383	1,408	-	-	-	274	20
2012	은평구	응암2동	18,974	16,719	2,254	11,730	-	55	933	-	1,822	-	440	239	-	2,002	-	-	174	1,373	-	-	-	192	13
2012	은평구	신사1동	12,691	10,306	2,385	4,968	-	77	1,242	-	1,642	-	867	496	-	1,880	-1	-	186	1,115	-	-	-	208	10
2012	은평구	신사2동	6,527	5,146	1,380	1,741	-	52	965	-	1,136	-	367	80	-	1,287	-	-	97	588	-	-	-	200	13
2012	은평구	증산동	9,662	6,857	2,805	1,954	-	64	1,037	-	1,870	-	799	289	1	2,501	-	-	144	805	-	-	-	185	15
2012	은평구	수색동	10,573	7,866	2,707	2,921	-	68	916	-	1,893	-	902	228	-	2,460	-1	9	135	869	-	-	-	162	12
2012	은평구	진관동	30,526	22,466	8,060	7,793	-	107	2,906	-	5,866	-	2,384	639	-	7,400	-2	-	693	2,479	-	-	-	238	23
2012	은평구	불광2동	10,012	7,625	2,387	2,590	-	84	1,000	-	1,797	-	885	182	-	2,191	-	-	170	816	-	-	-	283	14
2012	은평구	응암3동	11,014	8,447	2,567	3,383	-	85	884	-	1,833	-	959	179	-	2,374	-	-	190	877	-	-	-	235	14
2012	은평구	역촌동	20,087	16,127	3,960	7,332	-	141	1,940	-	2,794	-	1,420	709	-	3,223	-	-	349	1,727	-	-	-	424	28
2012	서대문구	소계	229,952	173,845	56,107	58,495	-	1,289	14,239	-	36,218	-	40,672	6,433	8	49,219	0	2	3,554	16,169	-	-	-	3,209	446
2012	서대문구	천연동	10,509	7,445	3,064	2,210	-	61	1,045	-	2,216	-	770	188	-	2,861	-	-	139	870	-	-	-	134	15
2012	서대문구	홍제1동	11,104	7,784	3,320	1,182	-	93	1,243	-	2,230	-	1,666	537	-	2,771	-	-	163	1,014	-	-	-	193	12
2012	서대문구	홍제3동	7,250	5,068	2,182	1,088	-	73	794	-	1,587	-	636	142	-	2,025	-	-	102	636	-	-	-	152	15
2012	서대문구	홍제2동	7,426	5,302	2,124	1,336	-	35	866	-	1,570	-	625	160	-	1,958	-	-	92	685	-	-	-	93	6
2012	서대문구	홍은1동	10,576	7,928	2,648	2,514	-	63	1,131	-	1,591	-	1,309	704	-	1,887	-	-	115	897	-	-	-	308	57
2012	서대문구	홍은2동	14,355	11,168	3,187	3,846	-	117	1,408	-	2,368	-	1,697	162	1	3,004	-	-	298	1,119	-	-	-	315	20
2012	서대문구	남가좌1동	8,121	5,232	2,889	1,729	-	22	292	-	1,805	-	705	434	-	2,439	-	-	54	543	-	-	-	82	16
2012	서대문구	남가좌2동	13,151	10,252	2,899	4,827	-	82	1,221	-	2,242	-	511	192	-	2,694	-	-	180	954	-	-	-	235	13
2012	서대문구	북가좌1동	18,025	15,518	2,507	11,376	-	32	524	-	1,409	-	974	728	-	1,766	-	-	61	1,035	-	-	-	107	13
2012	서대문구	북가좌2동	10,309	7,266	3,043	1,171	-	45	1,459	-	2,099	-	920	463	2	2,563	-	-	190	1,118	-	-	-	264	15
2012	서대문구	충현동	37,644	31,187	6,457	10,345	-	209	986	-	3,870	-	12,833	736	1	5,676	-	2	764	1,881	-	-	-	299	42
2012	서대문구	북아현동	9,009	6,137	2,872	1,822	-	30	386	-	1,646	-	1,265	668	-	2,191	-	-	64	654	-	-	-	270	13
2012	서대문구	신촌동	40,954	28,634	12,320	6,450	-	267	757	-	7,327	-	10,040	483	2	11,734	-	-	933	2,584	-	-	-	276	101
2012	서대문구	연희동	31,520	24,924	6,595	8,599	-	160	2,127	-	4,258	-	6,721	835	2	5,650	-	-	399	2,179	-	-	-	481	108
2012	마포구	소계	461,332	384,588	76,744	138,061	-	2,783	21,096	-	66,235	-	109,520	12,432	8	63,791	-	7	8,151	33,752	-	-	-7	4,990	512
2012	마포구	용강동	30,596	24,901	5,695	7,951	-	196	1,645	-	5,093	-	6,820	664	1	4,988	-	-	690	2,221	-	-	-	285	42
2012	마포구	대흥동	13,521	10,144	3,377	2,308	-	128	453	-	2,948	-	2,845	335	1	3,005	-	-	326	940	-	-	-	196	36
2012	마포구	염리동	8,834	7,142	1,692	1,777	-	67	618	-	1,648	-	2,120	255	-	1,426	-	-	136	633	-	-	-	143	11
2012	마포구	신수동	13,692	10,359	3,333	2,798	-	94	1,283	-	2,874	-	1,655	567	1	2,740	-	-	225	1,183	-	-	-	247	25
2012	마포구	서교동	85,660	70,912	14,748	32,814	-	570	1,895	-	11,405	-	15,586	2,748	4	11,911	-	6	1,571	6,493	-	-	-1	578	80
2012	마포구	합정동	23,771	20,089	3,682	9,744	-	130	989	-	2,786	-	4,099	992	-	2,674	-	-	240	1,876	-	-	-	225	16
2012	마포구	망원1동	8,825	7,014	1,811	2,125	-	83	951	-	1,630	-	1,084	489	-	1,311	-	-	151	776	-	-	-	214	11
2012	마포구	망원2동	7,955	6,508	1,447	1,889	-	72	962	-	1,547	-	984	149	-	1,285	-	-	161	691	-	-	-	202	13
2012	마포구	연남동	11,377	9,512	1,865	4,012	-	79	919	-	1,660	-	1,544	473	-	1,381	-	-	158	920	-	-	-	220	11
2012	마포구	성산1동	14,011	11,506	2,505	4,082	-	138	1,085	-	1,875	-	2,716	863	-	1,630	-	-	245	1,119	-	-	-	246	12
2012	마포구	성산2동	17,606	14,026	3,580	3,859	-	155	2,058	-	3,866	-	1,864	184	-	3,365	-	-	297	1,582	-	-	-	345	31
2012	마포구	상암동	82,069	73,107	8,962	32,049	-	352	2,110	-	7,480	-	22,891	1,507	-	7,410	-	1	1,684	6,161	-	-	-3	380	47
2012	마포구	도화동	29,611	23,776	5,835	3,765	-	186	1,623	-	4,737	-	10,917	1,220	-	4,567	-	-	421	1,837	-	-	-1	290	49
2012	마포구	서강동	25,359	20,569	4,790	5,761	-	139	1,553	-	4,788	-	5,699	279	-	4,478	-	-	425	1,849	-	-	-	355	33
2012	마포구	공덕동	54,957	47,997	6,960	16,049	-	225	1,807	-	6,060	-	19,036	1,173	1	5,728	-	-	811	3,210	-	-	-1	799	59
2012	마포구	아현동	33,488	27,026	6,462	7,078	-	169	1,145	-	5,838	-	9,660	535	-	5,892	-	-	610	2,261	-	-	-1	265	36
2012	양천구	소계	340,839	271,289	69,551	80,673	-	1,888	27,824	-	62,195	-	61,273	8,772	7	60,384	-2	-	6,169	26,622	-	-	0	4,644	391
2012	양천구	목1동	78,301	63,224	15,077	15,594	-	…	2,847	-	…	-	…	…	-	12,074	-	-	2,053	4,812	…	-	-	291	39
2012	양천구	목2동	15,682	12,920	2,763	4,775	-	…	1,594	-	…	-	…	…	-	2,487	-	-	226	1,331	…	-	-	313	21
2012	양천구	목3동	11,584	9,260	2,324	3,470	-	…	1,077	-	…	-	…	…	-	2,105	-	-	197	1,005	…	-	-	241	11
2012	양천구	목4동	12,516	10,240	2,276	3,749	-	…	1,419	-	…	-	…	…	-	2,013	-	-	231	1,114	…	-	-	265	13
2012	양천구	신월1동	10,484	8,110	2,374	3,205	-	…	910	-	…	-	…	…	-	1,221	-	-	159	928	…	-	-	293	13
2012	양천구	신월2동	9,775	7,987	1,788	3,348	-	…	943	-	…	-	…	…	-	1,616	-	-	154	821	…	-	-	240	13
2012	양천구	신월3동	6,124	5,057	1,067	2,164	-	…	601	-	…	-	…	…	-	865	-	-	87	519	…	-	-	213	11
2012	양천구	신월4동	8,085	6,848	1,237	2,845	-	…	958	-	…	-	…	…	-	1,081	-	-	144	700	…	-	-	214	14
2012	양천구	신월5동	7,556	6,258	1,299	2,788	-	…	698	-	…	-	…	…	-	1,178	-	-	142	631	…	-	-	165	11
2012	양천구	신월6동	5,122	4,133	989	1,459	-	…	612	-	…	-	…	…	-	890	-	-	96	434	…	-	-	181	16
2012	양천구	신월7동	6,850	5,771	1,078	1,823	-	…	1,012	-	…	-	…	…	-	954	-	-	119	593	…	-	-	261	15
2012	양천구	신정1동	20,372	14,375	5,997	3,432	-	…	1,380	-	…	-	…	…	1	4,227	-	-	164	1,742	…	-	-	187	21
2012	양천구	신정2동	11,700	8,920	2,780	2,252	-	…	1,396	-	…	-	…	…	1	2,551	-	-	211	1,067	…	-	-	179	21
2012	양천구	신정3동	24,999	20,793	4,206	7,134	-	…	2,890	-	…	-	…	…	3	3,844	-	-	490	2,059	…	-	-	522	59
2012	양천구	신정6동	25,756	19,925	5,831	5,157	-	…	2,163	-	…	-	…	…	-	5,647	-	-	325	2,077	…	-	-	198	39
2012	양천구	신정7동	14,595	11,563	3,032	2,493	-	…	1,807	-	…	-	…	…	-	2,884	-	-	317	1,262	…	-	-	222	17
2012	양천구	목5동	53,375	41,344	12,030	9,958	-	…	3,923	-	…	-	…	…	-	11,670	-2	-	615	4,107	…	-	-	264	36
2012	양천구	신정4동	17,962	14,559	3,403	5,028	-	…	1,594	-	…	-	…	…	2	3,077	-	-	441	1,421	…	-	-	395	21
2012	강서구	소계	375,903	302,109	73,794	106,166	-	2,584	28,897	-	62,721	-	58,596	10,479	8	62,796	-1	6	7,645	29,410	-	-	-7	6,090	512
2012	강서구	염창동	39,112	31,687	7,425	10,235	-	212	3,050	-	6,825	-	6,839	1,136	-	6,238	-	-	770	3,135	-	-	-2	621	53
2012	강서구	등촌1동	26,253	20,314	5,939	6,012	-	158	1,347	-	4,991	-	4,606	1,050	-	4,851	-	-	473	2,322	-	-	-	405	38
2012	강서구	등촌2동	13,442	10,897	2,545	2,667	-	77	1,371	-	2,595	-	2,494	161	-	2,365	-	-	230	1,260	-	-	-	203	19
2012	강서구	등촌3동	30,593	25,638	4,955	8,442	-	190	1,765	-	5,034	-	6,740	319	-	4,598	-	-	556	2,414	-	-	-	497	38
2012	강서구	화곡본동	13,722	11,644	2,078	5,304	-	122	1,394	-	1,984	-	1,277	381	-	1,683	-	-	390	916	-	-	-	257	14
2012	강서구	화곡2동	6,425	5,464	961	2,091	-	74	756	-	989	-	815	165	-	789	-	-	162	464	-	-	-	113	7
2012	강서구	화곡3동	14,783	12,166	2,617	3,371	-	96	1,356	-	2,753	-	2,726	203	-	2,394	-	-	276	1,355	-	-	-	233	20
2012	강서구	화곡4동	10,088	8,478	1,610	3,152	-	98	1,053	-	1,543	-	1,513	262	-	1,337	-	-	226	723	-	-	-	170	11
2012	강서구	화곡6동	30,533	25,753	4,780	11,329	-	141	1,449	-	4,368	-	5,484	319	-	4,429	-	-	512	1,992	-	-	-	478	32
2012	강서구	화곡8동	10,207	8,915	1,292	4,523	-	93	1,012	-	1,376	-	827	213	-	1,069	-	-	270	629	-	-	-	185	10
2012	강서구	가양1동	23,983	19,598	4,385	6,903	-	107	1,686	-	4,044	-	4,026	501	-	3,851	-	-	439	2,012	-	-	-	381	33
2012	강서구	가양2동	7,017	5,832	1,185	1,968	-	66	715	-	1,236	-	1,013	157	-	1,019	-	-	148	572	-	-	-	114	9
2012	강서구	가양3동	7,949	6,458	1,491	2,069	-	66	816	-	1,508	-	1,048	69	-	1,411	-	-	143	689	-	-	-	119	11
2012	강서구	발산1동	16,918	14,113	2,805	4,349	-	169	1,675	-	2,881	-	2,438	327	-	2,455	-	-	814	1,346	-	-	-	441	23
2012	강서구	공항동	32,507	20,680	11,827	8,789	-	170	1,010	-	3,884	-	4,307	2,077	3	9,678	-1	3	322	1,799	-	-	-5	399	72
2012	강서구	방화1동	15,429	12,311	3,118	2,913	-	143	1,758	-	2,960	-	2,600	552	-	2,544	-	-	325	1,366	-	-	-	246	22
2012	강서구	방화2동	13,034	10,658	2,376	3,690	-	134	1,113	-	2,381	-	1,809	263	-	2,094	-	-	239	1,093	-	-	-	199	19
2012	강서구	방화3동	10,419	8,680	1,739	2,424	-	101	1,422	-	1,953	-	1,474	147	-	1,577	-	-	233	904	-	-	-	169	14
2012	강서구	화곡1동	25,769	20,293	5,476	8,765	-	218	1,967	-	4,082	-	2,253	1,865	2	3,579	-	1	649	1,914	-	-	-	445	29
2012	강서구	우장산동	27,720	22,530	5,190	7,170	-	149	2,182	-	5,334	-	4,307	312	3	4,835	-	2	468	2,505	-	-	-	415	38
2012	구로구	소계	322,559	257,921	64,638	84,922	-	2,649	23,606	-	48,472	-	62,225	9,923	16	54,188	-1	-34	7,708	23,695	-	-	-6	4,646	553
2012	구로구	신도림동	45,571	35,985	9,587	15,057	-	…	2,861	-	…	-	…	1,172	-	8,372	-	-	…	3,499	…	…	-	303	42
2012	구로구	구로1동	15,864	11,303	4,562	3,307	-	…	1,601	-	…	-	…	2,511	-	2,038	-	-	…	1,386	…	…	-	164	13
2012	구로구	구로3동	68,500	59,412	9,088	15,003	-	…	2,556	-	…	-	…	1,420	9	7,594	-	-34	…	3,508	…	…	-6	584	107
2012	구로구	구로4동	12,302	10,105	2,196	4,039	-	…	941	-	…	-	…	177	-	1,998	-	-	…	936	…	…	-	226	21
2012	구로구	구로5동	32,255	26,310	5,945	9,628	-	…	1,994	-	…	-	…	819	-	5,061	-	-	…	2,313	…	…	-	508	65
2012	구로구	고척1동	16,354	12,018	4,336	2,780	-	…	1,430	-	…	-	…	757	-	3,552	-1	-	…	1,306	…	…	-	239	28
2012	구로구	고척2동	11,397	9,132	2,265	3,103	-	…	1,489	-	…	-	…	252	-	1,995	-	-	…	969	…	…	-	341	18
2012	구로구	개봉2동	14,913	11,829	3,085	4,149	-	…	1,880	-	…	-	…	208	-	2,853	-	-	…	1,345	…	…	-	258	24
2012	구로구	개봉3동	8,791	7,123	1,669	2,646	-	…	983	-	…	-	…	145	-	1,511	-	-	…	749	…	…	-	197	13
2012	구로구	오류1동	12,535	9,769	2,765	4,251	-	…	845	-	…	-	…	535	1	2,135	-	-	…	1,031	…	…	-	381	94
2012	구로구	오류2동	20,401	15,823	4,578	6,273	-	…	1,892	-	…	-	…	230	-	4,318	-	-	…	1,722	…	…	-	298	30
2012	구로구	수궁동	11,973	9,584	2,389	3,744	-	…	1,272	-	…	-	…	248	-	2,103	-	-	…	1,007	…	…	-	293	39
2012	구로구	가리봉동	5,182	3,585	1,597	923	-	…	369	-	…	-	…	144	-	1,441	-	-	…	406	…	…	-	165	12
2012	구로구	구로2동	32,246	25,478	6,768	7,518	-	…	1,768	-	…	-	…	570	6	6,164	-	-	…	2,246	…	…	-	393	28
2012	구로구	개봉1동	14,276	10,466	3,809	2,501	-	…	1,722	-	…	-	…	736	-	3,053	-	-	…	1,271	…	…	-	296	20
2012	금천구	소계	259,106	204,582	54,525	65,042	-	2,531	12,553	-	31,322	-	68,207	7,085	64	47,199	0	-8	6,268	15,790	-	-	0	2,870	185
2012	금천구	가산동	131,024	110,580	20,444	30,844	-	1,272	2,923	-	10,947	-	53,825	4,077	19	16,313	-	-6	3,996	6,210	-	-	-	563	41
2012	금천구	독산1동	40,395	28,669	11,727	12,048	-	357	1,700	-	6,143	-	4,486	1,243	5	10,455	-	-2	807	2,754	-	-	-	374	26
2012	금천구	독산2동	7,573	5,720	1,853	1,819	-	75	816	-	1,239	-	893	108	1	1,739	-	-	103	573	-	-	-	201	5
2012	금천구	독산3동	12,911	9,438	3,473	2,986	-	145	993	-	2,216	-	1,518	167	-	3,256	-	-	248	955	-	-	-	376	50
2012	금천구	독산4동	6,612	5,013	1,599	1,776	-	76	616	-	1,120	-	590	86	-	1,507	-	-	128	518	-	-	-	189	6
2012	금천구	시흥1동	26,408	18,652	7,756	6,873	-	207	1,519	-	4,247	-	3,008	969	1	6,769	-	-	442	2,017	-	-	-	339	17
2012	금천구	시흥2동	9,061	7,035	2,026	2,060	-	48	1,448	-	1,571	-	749	95	-	1,919	-	-	154	814	-	-	-	191	11
2012	금천구	시흥3동	11,719	8,833	2,886	2,662	-	216	857	-	1,776	-	2,128	178	36	2,660	-	-	196	813	-	-	-	185	11
2012	금천구	시흥4동	6,290	5,094	1,197	2,051	-	57	890	-	934	-	274	82	-	1,105	-	-	81	567	-	-	-	241	10
2012	금천구	시흥5동	7,113	5,549	1,564	1,923	-	77	791	-	1,129	-	736	79	2	1,476	-	-	113	569	-	-	-	211	8
2012	영등포구	소계	894,699	799,438	95,261	178,841	29,719	3,957	26,125	-	82,641	-	406,533	21,848	26	72,427	0	135	11,986	53,170	-	-	-5	6,466	829
2012	영등포구	여의동	510,310	470,517	39,793	76,282	-	899	6,496	-	31,916	-	333,916	11,719	1	27,977	-	-3	4,716	15,579	-	-	-5	713	103
2012	영등포구	당산1동	28,785	24,153	4,632	6,170	2,284	264	1,339	-	4,015	-	6,552	1,058	2	3,518	-	24	493	2,706	-	-	-	330	30
2012	영등포구	당산2동	41,324	35,332	5,992	15,453	119	261	2,509	-	5,998	-	5,658	670	1	5,257	-	25	1,568	3,424	-	-	-	342	39
2012	영등포구	양평1동	26,799	22,813	3,986	7,273	-	234	1,309	-	2,785	-	8,614	1,356	3	2,440	-	42	288	1,862	-	-	-	448	145
2012	영등포구	양평2동	37,318	33,307	4,011	15,551	-	205	1,583	-	3,632	-	8,098	789	1	3,182	-	8	491	2,860	-	-	-	887	31
2012	영등포구	신길1동	8,593	6,786	1,807	1,983	-	104	751	-	1,196	-	1,539	748	1	1,048	-	-	219	805	-	-	-	189	10
2012	영등포구	신길3동	6,528	5,076	1,452	1,280	-	78	622	-	1,447	-	623	165	1	1,269	-	-	210	653	-	-	-	163	17
2012	영등포구	신길4동	3,577	2,932	645	612	-	53	450	-	645	-	492	69	-	565	-	-	162	394	-	-	-	124	11
2012	영등포구	신길5동	4,101	3,380	721	978	-	70	549	-	747	-	234	61	-	654	-	-	165	464	-	-	-	173	6
2012	영등포구	신길6동	9,367	7,616	1,751	2,306	-	109	1,018	-	1,855	-	737	107	1	1,626	-	-	405	924	-	-	-	262	17
2012	영등포구	신길7동	7,042	6,027	1,015	2,456	-	64	866	-	1,023	-	415	89	1	897	-	-	233	763	-	-	-	207	28
2012	영등포구	대림1동	7,141	5,645	1,496	1,518	-	88	592	-	989	-	1,280	520	1	872	-	-	155	650	-	-	-	373	103
2012	영등포구	대림2동	9,928	8,480	1,448	3,224	-	96	673	-	1,455	-	1,627	114	3	1,275	-	-	215	850	-	-	-	340	56
2012	영등포구	대림3동	18,594	16,347	2,247	8,357	-	198	1,447	-	2,307	-	2,074	200	2	2,021	-	6	433	1,243	-	-	-	288	18
2012	영등포구	영등포본동	14,313	12,106	2,207	3,198	458	134	1,139	-	2,345	-	2,769	142	1	2,054	-	-	512	1,357	-	-	-	194	10
2012	영등포구	영등포동	94,057	82,221	11,836	13,885	26,858	522	1,225	-	11,711	-	13,177	1,470	2	10,260	-	25	361	13,782	-	-	-	700	79
2012	영등포구	도림동	7,670	6,305	1,365	2,474	-	95	756	-	1,234	-	596	269	-	1,081	-	1	167	769	-	-	-	214	14
2012	영등포구	문래동	59,254	50,397	8,857	15,841	-	483	2,801	-	7,341	-	18,132	2,302	5	6,431	-	7	1,195	4,085	-	-	-	519	112
2012	동작구	소계	293,526	232,541	60,985	90,554	-	1,602	19,026	-	46,481	-	44,742	7,208	2	53,266	0	-19	4,192	22,002	-	-	0	3,943	528
2012	동작구	노량진2동	8,591	5,924	2,667	962	-	78	436	-	2,033	-	1,500	104	-	2,545	-	-	162	594	-	-	-	159	18
2012	동작구	상도1동	39,234	32,622	6,612	19,033	-	136	2,061	-	4,685	-	3,094	1,331	-	5,261	-	-	382	2,923	-	-	-	308	19
2012	동작구	상도2동	18,604	14,263	4,341	5,740	-	86	1,257	-	3,359	-	1,667	238	-	3,940	0	-	239	1,483	-	-	-	431	163
2012	동작구	상도3동	9,406	7,657	1,749	3,415	-	67	915	-	1,533	-	599	135	-	1,601	-	-	123	805	-	-	-	200	13
2012	동작구	상도4동	8,816	7,216	1,600	2,634	-	75	1,034	-	1,429	-	754	200	-	1,378	-	-	111	747	-	-	-	432	22
2012	동작구	사당1동	18,932	14,422	4,510	5,029	-	148	930	-	2,747	-	3,589	1,209	-	3,302	-	-13	339	1,400	-	-	-	240	12
2012	동작구	사당3동	14,987	11,582	3,405	4,485	-	72	1,395	-	2,932	-	1,029	180	-	3,212	-	-	195	1,294	-	-	-	180	13
2012	동작구	사당4동	5,924	4,801	1,124	2,054	-	44	636	-	1,038	-	313	59	-	1,042	-	-	73	514	-	-	-	129	23
2012	동작구	사당5동	5,511	4,344	1,166	1,525	-	41	694	-	1,047	-	326	97	-	1,055	-	-	83	500	-	-	-	128	15
2012	동작구	대방동	25,565	19,874	5,691	5,612	-	185	2,110	-	4,428	-	4,852	532	1	5,128	-	-	444	1,898	-	-	-	346	30
2012	동작구	신대방1동	18,781	13,866	4,915	3,969	-	82	1,479	-	3,202	-	3,220	1,348	-	3,559	0	-6	331	1,417	-	-	-	166	14
2012	동작구	신대방2동	32,024	27,755	4,270	5,462	-	124	1,150	-	3,260	-	15,446	358	0	3,895	-	-	713	1,398	-	-	0	202	17
2012	동작구	흑석동	26,247	20,894	5,353	8,923	-	107	1,489	-	4,142	-	3,685	595	0	4,734	0	-	208	2,020	-	-	-	321	24
2012	동작구	노량진1동	41,410	32,648	8,762	16,896	-	222	1,849	-	6,531	-	2,701	669	1	7,965	-	-	535	3,422	-	-	-	492	129
2012	동작구	사당2동	19,493	14,674	4,819	4,816	-	133	1,592	-	4,116	-	1,967	152	-	4,649	0	-	254	1,587	-	-	-	209	17
2012	관악구	소계	266,001	206,488	59,513	67,706	7,410	2,058	20,741	-	45,256	-	29,600	6,426	4	52,508	0	187	5,759	23,049	-	-	0	4,910	388
2012	관악구	보라매동	13,302	10,395	2,908	2,958	-	112	994	-	2,299	-	2,482	199	-	2,692	-	-	364	934	-	-	-	252	17
2012	관악구	청림동	7,698	5,777	1,921	1,665	-	36	899	-	1,618	-	672	126	-	1,785	-	-	100	669	-	-	-	117	10
2012	관악구	행운동	13,904	10,590	3,314	3,311	-	120	1,206	-	2,615	-	1,689	190	-	3,012	-	95	310	1,079	-	-	-	260	17
2012	관악구	낙성대동	11,694	8,900	2,794	2,739	-	132	699	-	1,999	-	2,059	262	3	2,516	-	2	291	829	-	-	-	152	11
2012	관악구	중앙동	8,175	6,221	1,954	2,162	-	74	504	-	1,500	-	782	133	-	1,811	-	-	254	599	-	-	-	346	10
2012	관악구	인헌동	12,144	10,053	2,091	3,039	-	98	1,124	-	1,775	-	2,663	150	-	1,930	-	-	231	874	-	-	-	249	11
2012	관악구	남현동	15,978	13,205	2,773	6,504	-	68	971	-	1,923	-	1,845	474	-	2,246	-	18	235	1,394	-	-	-	265	35
2012	관악구	서원동	15,715	12,407	3,308	4,511	1,050	130	797	-	2,459	-	1,529	178	-	3,114	-	2	407	1,306	-	-	-	218	14
