기간	자치구	행정동	출생	출생	출생	사망	사망	사망
기간	자치구	행정동	계	남자	여자	계	남자	여자
2016	성북구	길음1동	373	205	168	129	65	64
2016	성북구	길음2동	95	52	43	87	56	31
2016	성북구	월곡1동	194	98	96	100	58	42
2016	성북구	월곡2동	143	74	69	114	63	51
2016	성북구	장위1동	127	67	60	164	99	65
2016	성북구	장위2동	91	49	42	119	67	52
2016	성북구	장위3동	52	24	28	55	27	28
2016	성북구	성북동	89	45	44	95	57	38
2016	성북구	삼선동	157	86	71	133	63	70
2016	성북구	동선동	108	50	58	73	37	36
2016	성북구	종암동	300	137	163	177	95	82
2016	성북구	석관동	208	89	119	175	112	63
2016	강북구	소계	1,965	990	975	1,845	1,099	746
2016	강북구	번1동	109	51	58	131	88	43
2016	강북구	번2동	93	51	42	100	66	34
2016	강북구	번3동	106	44	62	134	76	58
2016	강북구	수유1동	131	65	66	155	93	62
2016	강북구	수유2동	138	67	71	138	89	49
2016	강북구	수유3동	152	79	73	136	79	57
2016	강북구	삼양동	203	108	95	187	108	79
2016	강북구	미아동	133	69	64	140	90	50
2016	강북구	송중동	137	65	72	137	75	62
2016	강북구	송천동	167	85	82	178	100	78
2016	강북구	삼각산동	270	138	132	118	66	52
2016	강북구	우이동	143	77	66	122	75	47
2016	강북구	인수동	183	91	92	169	94	75
2016	도봉구	소계	2,249	1,148	1,101	1,819	971	848
2016	도봉구	쌍문1동	119	53	66	148	78	70
2016	도봉구	쌍문2동	148	76	72	122	53	69
2016	도봉구	쌍문3동	130	67	63	92	51	41
2016	도봉구	쌍문4동	87	42	45	79	43	36
2016	도봉구	방학1동	163	101	62	151	74	77
2016	도봉구	방학2동	120	54	66	129	66	63
2016	도봉구	방학3동	168	76	92	136	64	72
2016	도봉구	창1동	222	109	113	142	86	56
2016	도봉구	창2동	245	122	123	160	86	74
2016	도봉구	창3동	120	60	60	87	50	37
2016	도봉구	창4동	173	100	73	119	63	56
2016	도봉구	창5동	221	121	100	100	59	41
2016	도봉구	도봉1동	135	68	67	196	123	73
2016	도봉구	도봉2동	198	99	99	158	75	83
2016	노원구	소계	4,176	2,192	1,984	2,803	1,519	1,284
2016	노원구	월계1동	173	99	74	130	80	50
2016	노원구	월계2동	169	79	90	189	100	89
2016	노원구	월계3동	377	196	181	163	86	77
2016	노원구	공릉2동	370	183	187	148	78	70
2016	노원구	하계1동	118	60	58	174	88	86
2016	노원구	하계2동	142	77	65	93	55	38
2016	노원구	중계본동	75	46	29	109	75	34
2016	노원구	중계1동	53	31	22	101	47	54
2016	노원구	중계4동	129	78	51	146	73	73
2016	노원구	상계1동	295	161	134	222	101	121
2016	노원구	상계2동	109	61	48	102	60	42
2016	노원구	상계5동	144	74	70	153	79	74
2016	노원구	상계8동	503	257	246	94	48	46
2016	노원구	상계9동	202	104	98	93	53	40
2016	노원구	상계10동	227	117	110	95	48	47
2016	노원구	상계3.4동	145	75	70	217	132	85
2016	노원구	상계6.7동	331	174	157	139	77	62
2016	노원구	중계2.3동	294	160	134	256	139	117
2016	노원구	공릉1동	320	160	160	179	100	79
2016	은평구	소계	3,522	1,825	1,697	2,474	1,394	1,080
2016	은평구	녹번동	275	152	123	177	97	80
2016	은평구	불광1동	404	202	202	230	115	115
2016	은평구	갈현1동	198	115	83	149	85	64
2016	은평구	갈현2동	204	116	88	105	60	45
2016	은평구	구산동	227	120	107	222	154	68
2016	은평구	대조동	253	139	114	178	102	76
2016	은평구	응암1동	219	106	113	163	98	65
2016	은평구	응암2동	162	77	85	94	52	42
2016	은평구	신사1동	199	90	109	141	81	60
2016	은평구	신사2동	161	84	77	88	50	38
2016	은평구	증산동	128	69	59	104	62	42
2016	은평구	수색동	100	55	45	102	50	52
2016	은평구	진관동	289	147	142	202	100	102
2016	은평구	불광2동	179	88	91	145	83	62
2016	은평구	응암3동	96	54	42	139	76	63
2016	은평구	역촌동	428	211	217	235	129	106
2016	서대문구	소계	2,201	1,124	1,077	1,514	857	657
2016	서대문구	천연동	157	82	75	92	50	42
2016	서대문구	홍제1동	194	103	91	117	56	61
2016	서대문구	홍제3동	124	67	57	99	57	42
2016	서대문구	홍제2동	102	50	52	59	31	28
2016	서대문구	홍은1동	140	82	58	149	86	63
2016	서대문구	홍은2동	169	78	91	156	93	63
2016	서대문구	남가좌1동	202	94	108	59	30	29
2016	서대문구	남가좌2동	170	91	79	125	77	48
2016	서대문구	북가좌1동	208	99	109	90	54	36
2016	서대문구	북가좌2동	242	123	119	164	81	83
2016	서대문구	충현동	99	47	52	93	52	41
2016	서대문구	북아현동	112	62	50	58	37	21
2016	서대문구	신촌동	76	39	37	71	40	31
2016	서대문구	연희동	206	107	99	182	113	69
2016	마포구	소계	3,392	1,730	1,662	1,621	889	732
2016	마포구	용강동	249	111	138	68	34	34
2016	마포구	대흥동	52	30	22	70	43	27
2016	마포구	염리동	56	31	25	64	39	25
2016	마포구	신수동	181	92	89	81	42	39
2016	마포구	서교동	175	90	85	90	50	40
2016	마포구	합정동	214	114	100	74	43	31
2016	마포구	망원1동	199	104	95	107	66	41
2016	마포구	망원2동	150	88	62	81	50	31
2016	마포구	연남동	126	69	57	84	40	44
2016	마포구	성산1동	156	75	81	93	49	44
2016	마포구	성산2동	372	178	194	167	92	75
2016	마포구	상암동	242	136	106	113	59	54
2016	마포구	도화동	224	107	117	106	53	53
2016	마포구	서강동	223	112	111	84	37	47
2016	마포구	공덕동	346	184	162	216	122	94
2016	마포구	아현동	427	209	218	123	70	53
2016	양천구	소계	3,334	1,679	1,655	1,891	1,029	862
2016	양천구	목1동	193	107	86	86	45	41
2016	양천구	목2동	338	183	155	92	54	38
2016	양천구	목3동	204	109	95	96	52	44
2016	양천구	목4동	143	77	66	91	43	48
2016	양천구	신월1동	174	76	98	126	63	63
2016	양천구	신월2동	191	87	104	107	61	46
2016	양천구	신월3동	172	85	87	113	60	53
2016	양천구	신월4동	186	93	93	93	56	37
2016	양천구	신월5동	170	87	83	71	36	35
2016	양천구	신월6동	46	23	23	40	24	16
2016	양천구	신월7동	183	86	97	116	67	49
2016	양천구	신정1동	88	42	46	95	51	44
2016	양천구	신정2동	68	40	28	85	52	33
2016	양천구	신정3동	402	204	198	231	123	108
2016	양천구	신정6동	159	79	80	72	37	35
2016	양천구	신정7동	169	99	70	122	66	56
2016	양천구	목5동	149	68	81	110	53	57
2016	양천구	신정4동	299	134	165	145	86	59
2016	강서구	소계	5,456	2,859	2,597	2,594	1,395	1,199
2016	강서구	염창동	405	221	184	117	64	53
2016	강서구	등촌1동	263	139	124	91	47	44
2016	강서구	등촌2동	178	87	91	78	44	34
2016	강서구	등촌3동	253	131	122	219	119	100
2016	강서구	화곡본동	380	217	163	173	90	83
2016	강서구	화곡2동	207	112	95	87	51	36
2016	강서구	화곡3동	162	79	83	127	62	65
2016	강서구	화곡4동	189	98	91	106	62	44
2016	강서구	화곡6동	240	118	122	80	43	37
2016	강서구	화곡8동	275	123	152	105	54	51
2016	강서구	가양1동	280	156	124	88	40	48
2016	강서구	가양2동	126	59	67	138	71	67
2016	강서구	가양3동	219	113	106	136	67	69
2016	강서구	발산1동	320	170	150	141	75	66
2016	강서구	공항동	187	101	86	96	53	43
2016	강서구	방화1동	415	221	194	169	98	71
2016	강서구	방화2동	162	97	65	167	87	80
2016	강서구	방화3동	234	122	112	134	73	61
2016	강서구	화곡1동	581	291	290	202	113	89
2016	강서구	우장산동	380	204	176	140	82	58
2016	구로구	소계	3,736	1,924	1,812	1,794	993	801
2016	구로구	신도림동	467	255	212	105	53	52
2016	구로구	구로1동	285	149	136	88	45	43
2016	구로구	구로3동	241	131	110	69	33	36
2016	구로구	구로4동	232	103	129	95	53	42
2016	구로구	구로5동	318	169	149	117	72	45
2016	구로구	고척1동	164	85	79	124	73	51
2016	구로구	고척2동	174	80	94	126	70	56
2016	구로구	개봉2동	340	159	181	128	56	72
2016	구로구	개봉3동	168	92	76	89	46	43
2016	구로구	오류1동	190	95	95	109	63	46
2016	구로구	오류2동	410	213	197	197	119	78
2016	구로구	수궁동	237	114	123	107	55	52
2016	구로구	가리봉동	61	31	30	77	43	34
2016	구로구	구로2동	160	91	69	180	106	74
2016	구로구	개봉1동	289	157	132	183	106	77
2016	금천구	소계	1,595	820	775	1,163	657	506
2016	금천구	가산동	124	60	64	80	55	25
2016	금천구	독산1동	281	145	136	172	85	87
2016	금천구	독산2동	131	69	62	116	62	54
2016	금천구	독산3동	152	82	70	130	76	54
2016	금천구	독산4동	91	43	48	72	44	28
2016	금천구	시흥1동	323	166	157	200	113	87
2016	금천구	시흥2동	157	88	69	96	54	42
2016	금천구	시흥3동	93	47	46	57	31	26
2016	금천구	시흥4동	137	64	73	107	66	41
2016	금천구	시흥5동	106	56	50	133	71	62
2016	영등포구	소계	3,282	1,690	1,592	1,643	970	673
2016	영등포구	여의동	265	137	128	123	56	67
2016	영등포구	당산1동	234	141	93	105	68	37
2016	영등포구	당산2동	360	195	165	90	46	44
2016	영등포구	양평1동	238	122	116	71	37	34
2016	영등포구	양평2동	255	123	132	69	41	28
2016	영등포구	신길1동	117	58	59	125	78	47
2016	영등포구	신길3동	123	62	61	93	49	44
2016	영등포구	신길4동	42	19	23	61	45	16
2016	영등포구	신길5동	68	45	23	89	53	36
2016	영등포구	신길6동	185	91	94	97	57	40
2016	영등포구	신길7동	102	54	48	41	22	19
2016	영등포구	대림1동	81	40	41	92	52	40
2016	영등포구	대림2동	91	48	43	77	46	31
2016	영등포구	대림3동	219	102	117	90	56	34
2016	영등포구	영등포본동	186	89	97	105	63	42
2016	영등포구	영등포동	123	52	71	136	96	40
2016	영등포구	도림동	207	98	109	66	41	25
2016	영등포구	문래동	386	214	172	113	64	49
2016	동작구	소계	3,184	1,677	1,507	1,667	897	770
2016	동작구	노량진2동	51	29	22	73	41	32
2016	동작구	상도1동	399	203	196	193	91	102
2016	동작구	상도2동	236	115	121	102	61	41
2016	동작구	상도3동	214	109	105	104	57	47
2016	동작구	상도4동	280	136	144	139	85	54
2016	동작구	사당1동	222	108	114	91	45	46
2016	동작구	사당3동	192	110	82	112	63	49
2016	동작구	사당4동	123	75	48	73	43	30
2016	동작구	사당5동	147	67	80	50	29	21
2016	동작구	대방동	230	128	102	157	79	78
2016	동작구	신대방1동	170	94	76	86	47	39
2016	동작구	신대방2동	179	93	86	81	43	38
2016	동작구	흑석동	224	126	98	155	79	76
2016	동작구	노량진1동	226	114	112	152	79	73
2016	동작구	사당2동	291	170	121	99	55	44
2016	관악구	소계	3,561	1,803	1,758	2,137	1,258	879
2016	관악구	보라매동	224	116	108	164	91	73
2016	관악구	청림동	220	107	113	72	46	26
2016	관악구	행운동	219	105	114	104	62	42
