기간	자치구	행정동	합계	남자	여자
2016	광진구	중곡4동	42.2	40.8	43.6
2016	광진구	능동	36.9	37	36.8
2016	광진구	구의1동	39.1	38.6	39.7
2016	광진구	구의2동	41.6	40.5	42.6
2016	광진구	구의3동	40	39.1	40.9
2016	광진구	광장동	39.6	39.1	39.9
2016	광진구	자양1동	40.6	39.8	41.4
2016	광진구	자양2동	40.7	39.8	41.6
2016	광진구	자양3동	39.8	39.5	40.1
2016	광진구	자양4동	45.2	44.4	45.8
2016	동대문구	소계	41.7	41	42.4
2016	동대문구	회기동	31.3	32.4	30.2
2016	동대문구	휘경1동	39	39.3	38.7
2016	동대문구	휘경2동	39.3	38.1	40.5
2016	동대문구	청량리동	48.2	46.7	50
2016	동대문구	용신동	43.2	42.5	44
2016	동대문구	제기동	42.3	41.6	43.2
2016	동대문구	전농1동	43.7	42.9	44.5
2016	동대문구	전농2동	42.8	42	43.5
2016	동대문구	답십리1동	40.7	40.2	41.2
2016	동대문구	답십리2동	43.7	42.7	44.7
2016	동대문구	장안1동	41.4	41	42
2016	동대문구	장안2동	41.3	40.7	42
2016	동대문구	이문1동	37.7	37.4	38.1
2016	동대문구	이문2동	42.3	41.4	43.2
2016	중랑구	소계	42.9	41.9	43.9
2016	중랑구	면목2동	43.5	42.5	44.5
2016	중랑구	면목4동	42.7	41.8	43.7
2016	중랑구	면목5동	44	43.5	44.5
2016	중랑구	면목7동	44.2	43	45.5
2016	중랑구	상봉1동	41.3	40.1	42.5
2016	중랑구	상봉2동	41.7	41.4	42.1
2016	중랑구	중화1동	41.6	40.3	43.1
2016	중랑구	중화2동	46.3	45.6	47
2016	중랑구	묵1동	41.5	40.7	42.2
2016	중랑구	묵2동	42.2	41.2	43.2
2016	중랑구	망우3동	44.3	43.9	44.7
2016	중랑구	신내1동	40.5	39.6	41.5
2016	중랑구	신내2동	42.1	40.7	43.4
2016	중랑구	면목본동	42.9	41.8	44
2016	중랑구	면목3.8동	44.4	43.2	45.6
2016	중랑구	망우본동	44.6	43.5	45.6
2016	성북구	소계	41.5	40.8	42.2
2016	성북구	돈암1동	42.9	41.9	43.8
2016	성북구	돈암2동	40.8	40.2	41.3
2016	성북구	안암동	32.8	33.2	32.3
2016	성북구	보문동	41.7	40.7	42.7
2016	성북구	정릉1동	41.1	40.7	41.5
2016	성북구	정릉2동	43.1	41.4	44.7
2016	성북구	정릉3동	41.7	38.7	44.7
2016	성북구	정릉4동	42.3	41.4	43.2
2016	성북구	길음1동	39.2	38.9	39.4
2016	성북구	길음2동	43.5	42.5	44.5
2016	성북구	월곡1동	41.9	41.7	42.2
2016	성북구	월곡2동	41.4	41.2	41.7
2016	성북구	장위1동	45	43.5	46.3
2016	성북구	장위2동	46	44.7	47.3
2016	성북구	장위3동	45	44.7	45.3
2016	성북구	성북동	42.4	41.8	43
2016	성북구	삼선동	40.9	40	41.7
2016	성북구	동선동	35.4	37.4	33.9
2016	성북구	종암동	40.2	39.3	41
2016	성북구	석관동	43.8	42.6	45.2
2016	강북구	소계	44.3	42.9	45.7
2016	강북구	번1동	43.1	42.4	43.8
2016	강북구	번2동	45.7	43.5	47.9
2016	강북구	번3동	45.3	43.4	47.4
2016	강북구	수유1동	44.6	43	46.2
2016	강북구	수유2동	45.4	43.5	47.1
