기간	자치구	동	합계	합계	합계	개인사업체	개인사업체	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2012	성동구	왕십리도선동	1,579	8,455	4,191	3,759	1,924	3,753	1,690	618	376	325	201
2012	성동구	금호2.3가동	939	2,427	1,274	1,763	1,031	190	41	221	128	253	74
2012	성동구	옥수동	710	2,565	1,285	1,254	658	629	213	407	270	275	144
2012	광진구	소계	24,828	117,652	49,737	50,131	25,468	45,367	13,744	18,882	8,982	3,272	1,543
2012	광진구	화양동	2,441	14,551	6,689	6,486	3,271	2,725	1,025	5,137	2,282	203	111
2012	광진구	군자동	1,627	7,657	3,407	3,022	1,536	2,168	790	2,311	1,007	156	74
2012	광진구	중곡1동	1,631	6,112	2,565	2,996	1,418	2,852	1,013	158	71	106	63
2012	광진구	중곡2동	1,725	6,034	3,043	3,626	1,989	1,842	676	422	292	144	86
2012	광진구	중곡3동	1,374	4,205	1,995	2,613	1,320	841	196	622	410	129	69
2012	광진구	중곡4동	1,550	4,804	2,116	3,129	1,548	876	219	670	287	129	62
2012	광진구	능동	715	4,237	1,994	1,745	888	1,623	694	835	398	34	14
2012	광진구	구의1동	1,835	6,353	2,739	3,375	1,688	2,214	821	592	152	172	78
2012	광진구	구의2동	1,330	4,934	2,160	2,475	1,215	1,471	460	805	380	183	105
2012	광진구	구의3동	2,630	19,257	5,852	5,013	2,624	13,115	2,756	771	334	358	138
2012	광진구	광장동	1,332	10,149	4,467	2,748	1,464	5,326	1,928	1,499	908	576	167
2012	광진구	자양1동	1,705	8,742	3,645	3,356	1,829	3,301	824	1,895	883	190	109
2012	광진구	자양2동	1,561	7,671	3,205	2,866	1,314	2,490	828	2,117	987	198	76
2012	광진구	자양3동	1,316	6,130	3,086	2,609	1,418	2,477	1,118	720	424	324	126
2012	광진구	자양4동	2,056	6,816	2,774	4,072	1,946	2,046	396	328	167	370	265
2012	동대문구	소계	31,881	132,397	58,748	60,281	28,495	43,479	16,779	25,397	12,065	3,240	1,409
2012	동대문구	회기동	989	9,677	4,996	2,353	1,242	415	188	6,809	3,516	100	50
2012	동대문구	휘경1동	1,045	4,039	1,966	2,300	1,136	1,550	752	69	26	120	52
2012	동대문구	휘경2동	1,099	4,409	2,230	1,697	692	553	264	1,930	1,170	229	104
2012	동대문구	청량리동	1,731	8,070	3,854	3,245	1,812	1,566	883	2,931	1,033	328	126
2012	동대문구	용신동	5,468	27,469	11,051	10,018	4,256	13,280	4,871	3,871	1,799	300	125
2012	동대문구	제기동	4,722	11,201	5,116	7,158	3,163	2,672	1,223	907	563	464	167
2012	동대문구	전농1동	2,206	7,911	3,835	4,340	2,223	1,947	844	1,424	694	200	74
2012	동대문구	전농2동	782	4,213	2,112	1,429	782	433	201	2,189	1,052	162	77
2012	동대문구	답십리1동	2,098	9,558	3,347	3,944	1,708	4,748	1,294	667	261	199	84
2012	동대문구	답십리2동	1,854	5,342	2,083	3,543	1,425	1,321	389	138	78	340	191
2012	동대문구	장안1동	4,543	21,258	8,850	9,338	4,308	10,834	4,034	759	345	327	163
2012	동대문구	장안2동	3,109	11,085	5,740	6,928	3,703	3,394	1,641	531	291	232	105
2012	동대문구	이문1동	1,501	6,039	2,731	2,772	1,409	322	140	2,765	1,112	180	70
2012	동대문구	이문2동	734	2,126	837	1,216	636	444	55	407	125	59	21
2012	중랑구	소계	27,289	96,613	44,350	57,167	28,913	23,532	7,124	12,964	6,887	2,950	1,426
2012	중랑구	면목2동	2,027	6,030	2,582	3,994	1,932	1,576	381	295	187	165	82
2012	중랑구	면목4동	1,065	3,433	1,514	1,990	1,026	824	141	444	261	175	86
2012	중랑구	면목5동	1,040	3,596	1,314	2,205	964	1,230	303	74	12	87	35
2012	중랑구	면목7동	1,469	3,786	1,931	2,996	1,632	498	139	141	90	151	70
2012	중랑구	상봉1동	962	5,306	2,356	1,800	882	2,489	937	856	475	161	62
2012	중랑구	상봉2동	2,188	9,848	4,510	5,246	2,729	3,572	1,337	751	302	279	142
2012	중랑구	중화1동	1,088	4,125	1,981	2,596	1,314	884	263	508	339	137	65
2012	중랑구	중화2동	2,295	7,560	3,361	5,198	2,676	1,999	570	185	39	178	76
2012	중랑구	묵1동	1,478	5,736	2,685	3,153	1,609	1,634	560	778	459	171	57
2012	중랑구	묵2동	1,774	5,399	2,151	3,153	1,424	1,182	451	936	218	128	58
2012	중랑구	망우3동	1,091	3,655	1,738	2,538	1,338	723	147	321	222	73	31
2012	중랑구	신내1동	1,528	6,806	2,925	3,056	1,401	1,851	242	1,720	1,224	179	58
2012	중랑구	신내2동	1,090	5,557	2,830	2,075	1,218	715	372	2,587	1,152	180	88
2012	중랑구	면목본동	2,421	6,636	3,409	5,168	2,769	921	287	377	253	170	100
2012	중랑구	면목3.8동	2,986	8,174	3,668	5,496	2,472	846	230	1,626	874	206	92
2012	중랑구	망우본동	2,787	10,966	5,395	6,503	3,527	2,588	764	1,365	780	510	324
2012	성북구	소계	25,061	103,054	49,806	51,524	27,165	20,847	7,987	26,946	12,915	3,737	1,739
2012	성북구	돈암1동	365	1,395	792	736	383	189	93	392	283	78	33
2012	성북구	돈암2동	367	1,797	1,197	602	351	716	594	407	229	72	23
2012	성북구	안암동	1,310	13,520	6,143	3,337	1,672	1,688	684	8,342	3,724	153	63
2012	성북구	보문동	1,244	4,287	1,976	2,491	1,214	1,172	438	399	187	225	137
2012	성북구	정릉1동	808	1,938	964	1,512	752	92	42	134	69	200	101
2012	성북구	정릉2동	901	2,535	1,148	1,624	806	503	109	251	156	157	77
2012	성북구	정릉3동	694	4,427	1,945	1,086	486	477	161	2,666	1,179	198	119
2012	성북구	정릉4동	837	3,856	1,449	1,557	845	1,103	106	999	415	197	83
