기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2012	성북구	정릉1동	10	-	-	10	-
2012	성북구	정릉2동	12	-	-	12	-
2012	성북구	정릉3동	4	-	-	4	-
2012	성북구	정릉4동	14	-	-	12	2
2012	성북구	길음1동	14	-	-	14	-
2012	성북구	길음2동	5	-	-	5	-
2012	성북구	월곡1동	9	-	-	9	-
2012	성북구	월곡2동	9	-	-	9	-
2012	성북구	장위1동	3	-	-	3	-
2012	성북구	장위2동	2	-	-	2	-
2012	성북구	장위3동	5	-	-	5	-
2012	성북구	성북동	7	-	-	5	2
2012	성북구	삼선동	7	-	-	7	-
2012	성북구	동선동	5	-	-	4	1
2012	성북구	종암동	18	1	23	16	1
2012	성북구	석관동	7	-	-	7	-
2012	강북구	소계	111	1	23	96	14
2012	강북구	번1동	8	-	-	6	2
2012	강북구	번2동	9	-	-	8	1
2012	강북구	번3동	12	-	-	12	-
2012	강북구	수유1동	6	-	-	5	1
2012	강북구	수유2동	10	-	-	7	3
2012	강북구	수유3동	4	-	-	3	1
2012	강북구	삼양동	15	-	-	12	3
2012	강북구	미아동	8	-	-	7	1
2012	강북구	송중동	7	-	-	7	-
2012	강북구	송천동	10	-	-	9	1
2012	강북구	삼각산동	6	-	-	6	-
2012	강북구	우이동	7	-	-	7	-
2012	강북구	인수동	9	1	23	7	1
2012	도봉구	소계	139	1	23	134	4
2012	도봉구	쌍문1동	12	-	-	11	1
2012	도봉구	쌍문2동	8	1	23	7	-
2012	도봉구	쌍문3동	5	-	-	5	-
2012	도봉구	쌍문4동	11	-	-	11	-
2012	도봉구	방학1동	11	-	-	11	-
2012	도봉구	방학2동	5	-	-	5	-
2012	도봉구	방학3동	18	-	-	17	1
2012	도봉구	창1동	8	-	-	8	-
2012	도봉구	창2동	8	-	-	8	-
2012	도봉구	창3동	6	-	-	6	-
2012	도봉구	창4동	9	-	-	9	-
2012	도봉구	창5동	14	-	-	14	-
2012	도봉구	도봉1동	10	-	-	9	1
2012	도봉구	도봉2동	14	-	-	13	1
2012	노원구	소계	252	1	23	239	12
2012	노원구	월계1동	14	-	-	13	1
2012	노원구	월계2동	16	-	-	16	-
2012	노원구	월계3동	12	-	-	12	-
2012	노원구	공릉2동	19	-	-	18	1
2012	노원구	하계1동	26	-	-	25	1
2012	노원구	하계2동	14	1	23	11	2
2012	노원구	중계본동	6	-	-	6	-
2012	노원구	중계1동	18	-	-	17	1
2012	노원구	중계4동	14	-	-	14	-
2012	노원구	상계1동	10	-	-	10	-
2012	노원구	상계2동	14	-	-	13	1
2012	노원구	상계5동	28	-	-	26	2
2012	노원구	상계8동	14	-	-	13	1
2012	노원구	상계9동	16	-	-	15	1
2012	노원구	상계10동	8	-	-	8	-
2012	노원구	상계3.4동	9	-	-	9	-
2012	노원구	상계6.7동	5	-	-	4	1
2012	노원구	중계2.3동	4	-	-	4	-
2012	노원구	공릉1동	5	-	-	5	-
2012	은평구	소계	154	1	23	139	14
2012	은평구	녹번동	…	…	…	…	…
2012	은평구	불광1동	…	…	…	…	…
2012	은평구	갈현1동	…	…	…	…	…
2012	은평구	갈현2동	…	…	…	…	…
2012	은평구	구산동	…	…	…	…	…
2012	은평구	대조동	…	…	…	…	…
2012	은평구	응암1동	…	…	…	…	…
2012	은평구	응암2동	…	…	…	…	…
2012	은평구	신사1동	…	…	…	…	…
2012	은평구	신사2동	…	…	…	…	…
2012	은평구	증산동	…	…	…	…	…
2012	은평구	수색동	…	…	…	…	…
2012	은평구	진관동	…	…	…	…	…
2012	은평구	불광2동	…	…	…	…	…
2012	은평구	응암3동	…	…	…	…	…
2012	은평구	역촌동	…	…	…	…	…
2012	서대문구	소계	103	1	23	91	11
2012	서대문구	천연동	13	1	…	10	2
2012	서대문구	홍제1동	8	-	…	8	-
2012	서대문구	홍제3동	9	-	…	8	1
2012	서대문구	홍제2동	8	-	…	7	1
2012	서대문구	홍은1동	10	-	…	10	-
2012	서대문구	홍은2동	7	-	…	7	-
2012	서대문구	남가좌1동	1	-	…	1	-
2012	서대문구	남가좌2동	11	-	…	9	2
2012	서대문구	북가좌1동	5	-	…	5	-
2012	서대문구	북가좌2동	7	-	…	7	-
2012	서대문구	충현동	4	-	…	4	-
2012	서대문구	북아현동	5	-	…	3	2
2012	서대문구	신촌동	5	-	…	4	1
2012	서대문구	연희동	10	-	…	8	2
2012	마포구	소계	160	1	23	144	15
2012	마포구	용강동	…	…	…	9	-
2012	마포구	대흥동	…	…	…	3	1
2012	마포구	염리동	…	…	…	8	5
2012	마포구	신수동	…	…	…	13	1
2012	마포구	서교동	…	…	…	5	3
2012	마포구	합정동	…	…	…	2	-
2012	마포구	망원1동	…	…	…	5	-
2012	마포구	망원2동	…	…	…	5	1
2012	마포구	연남동	…	…	…	4	-
2012	마포구	성산1동	…	…	…	3	1
2012	마포구	성산2동	…	…	…	19	1
2012	마포구	상암동	…	…	…	16	1
2012	마포구	도화동	…	…	…	14	-
2012	마포구	서강동	…	…	…	11	-
2012	마포구	공덕동	…	…	…	14	1
2012	마포구	아현동	…	…	…	13	-
2012	양천구	소계	192	1	23	160	31
2012	양천구	목1동	15	-	-	14	1
2012	양천구	목2동	14	-	-	12	2
2012	양천구	목3동	8	-	-	5	3
2012	양천구	목4동	9	-	-	8	1
2012	양천구	신월1동	5	-	-	4	1
2012	양천구	신월2동	10	-	-	8	2
2012	양천구	신월3동	5	-	-	3	2
