기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업	건강기능식품제조업
2012	용산구	원효로1동	354	292	26	244	3	11	6	2	7	11	4	7	-	15	-	15	-	-	29	1	28	-
2012	용산구	한강로동	1,037	693	146	503	11	23	5	5	18	61	5	56	-	112	-	112	-	-	153	17	136	-
2012	용산구	한남동	654	533	56	410	14	40	6	7	15	25	5	20	-	39	-	39	-	-	42	3	39	-
2012	성동구	소계	4,801	3,301	400	2,717	78	52	22	32	181	353	98	254	1	547	2	530	-	15	419	22	397	-
2012	성동구	왕십리2동	105	69	9	54	5	1	-	-	5	6	-	6	-	13	-	13	-	-	12	1	11	-
2012	성동구	마장동	330	200	15	175	5	4	1	-	15	27	14	13	-	65	-	65	-	-	23	-	23	-
2012	성동구	사근동	415	353	36	301	5	1	2	8	22	12	-	12	-	17	-	17	-	-	11	1	10	-
2012	성동구	행당1동	322	232	41	179	7	2	-	3	12	22	4	18	-	30	-	30	-	-	26	-	26	-
2012	성동구	행당2동	144	68	16	44	6	1	-	1	9	22	1	21	-	14	-	14	-	-	31	-	31	-
2012	성동구	응봉동	80	44	7	34	3	-	-	-	6	9	2	7	-	9	-	9	-	-	12	-	12	-
2012	성동구	금호1가동	134	89	10	73	2	4	-	-	9	11	1	10	-	8	-	8	-	-	17	-	17	-
2012	성동구	금호4가동	155	110	13	94	2	1	-	-	7	11	1	10	-	13	-	13	-	-	14	1	13	-
2012	성동구	성수1가1동	330	220	24	186	5	3	-	2	13	27	11	16	-	38	-	37	-	1	32	-	32	-
2012	성동구	성수1가2동	227	151	23	120	3	1	-	4	8	16	8	7	1	35	1	30	-	4	17	1	16	-
2012	성동구	성수2가1동	670	496	64	409	7	13	1	2	10	58	12	46	-	64	-	59	-	5	42	2	40	-
2012	성동구	성수2가3동	469	265	43	211	2	2	-	7	18	40	30	10	-	95	1	89	-	5	51	8	43	-
2012	성동구	송정동	112	77	8	65	2	-	2	-	5	7	2	5	-	15	-	15	-	-	8	-	8	-
2012	성동구	용답동	409	280	21	246	6	2	2	3	13	23	5	18	-	48	-	48	-	-	45	2	43	-
2012	성동구	왕십리도선동	441	328	23	275	2	13	14	1	12	12	2	10	-	49	-	49	-	-	40	4	36	-
2012	성동구	금호2.3가동	282	201	22	166	8	4	-	1	11	37	2	35	-	18	-	18	-	-	15	-	15	-
2012	성동구	옥수동	176	118	25	85	8	-	-	-	6	13	3	10	-	16	-	16	-	-	23	2	21	-
2012	광진구	소계	7,050	4,935	618	4,048	131	92	19	27	165	550	68	481	1	690	6	682	-	2	710	34	676	-
2012	광진구	화양동	1,089	949	102	800	17	17	6	7	18	32	7	25	-	52	-	52	-	-	38	3	35	-
2012	광진구	군자동	453	347	43	285	8	5	5	1	15	30	6	24	-	32	-	32	-	-	29	2	27	-
2012	광진구	중곡1동	565	343	46	284	7	5	-	1	4	78	8	69	1	69	2	66	-	1	71	1	70	-
2012	광진구	중곡2동	344	227	19	194	9	4	1	-	5	16	2	14	-	41	-	41	-	-	55	2	53	-
2012	광진구	중곡3동	275	207	13	185	5	4	-	-	10	17	6	11	-	24	-	24	-	-	17	1	16	-
2012	광진구	중곡4동	290	191	26	158	5	1	-	1	10	34	3	31	-	22	-	22	-	-	33	-	33	-
2012	광진구	능동	225	129	13	111	3	-	-	2	6	17	1	16	-	43	1	42	-	-	30	1	29	-
2012	광진구	구의1동	681	478	70	374	12	17	2	3	9	41	4	37	-	53	1	52	-	-	100	4	96	-
2012	광진구	구의2동	285	194	18	167	5	3	1	-	11	24	5	19	-	30	-	30	-	-	26	2	24	-
2012	광진구	구의3동	553	376	50	309	10	4	2	1	10	32	4	28	-	69	-	69	-	-	66	6	60	-
2012	광진구	광장동	468	285	47	210	14	10	1	3	17	41	5	36	-	67	-	67	-	-	58	4	54	-
2012	광진구	자양1동	639	351	57	273	14	7	-	-	15	99	7	92	-	77	1	76	-	-	97	1	96	-
2012	광진구	자양2동	325	221	26	180	6	4	1	4	15	14	1	13	-	41	1	40	-	-	34	5	29	-
2012	광진구	자양3동	366	287	71	200	11	1	-	4	13	23	3	20	-	20	-	20	-	-	23	-	23	-
2012	광진구	자양4동	492	350	17	318	5	10	-	-	7	52	6	46	-	50	-	49	-	1	33	2	31	-
2012	동대문구	소계	8,647	5,554	685	4,525	108	116	89	31	187	896	157	739	-	1,032	11	1,015	3	3	978	63	915	-
2012	동대문구	회기동	497	432	62	358	5	3	-	4	14	13	3	10	-	17	-	17	-	-	21	2	19	-
2012	동대문구	휘경1동	387	261	43	202	8	1	5	2	6	43	9	34	-	35	-	35	-	-	42	2	40	-
2012	동대문구	휘경2동	101	58	4	53	1	-	-	-	16	6	-	6	-	14	-	14	-	-	7	-	7	-
2012	동대문구	청량리동	535	388	37	326	9	8	1	7	18	42	8	34	-	42	-	42	-	-	45	2	43	-
2012	동대문구	용신동	1,262	815	82	684	12	25	6	6	22	69	16	53	-	175	2	172	1	-	181	23	158	-
2012	동대문구	제기동	1,650	508	45	451	7	5	-	-	11	411	78	333	-	419	3	413	2	1	301	16	285	-
2012	동대문구	전농1동	838	615	151	423	17	13	7	4	19	82	11	71	-	54	1	53	-	-	68	3	65	-
2012	동대문구	전농2동	79	49	5	41	2	-	-	1	5	10	1	9	-	8	-	8	-	-	7	-	7	-
2012	동대문구	답십리1동	613	417	35	351	5	14	10	2	19	45	10	35	-	63	1	62	-	-	69	5	64	-
2012	동대문구	답십리2동	161	119	9	105	2	-	3	-	6	13	1	12	-	12	-	11	-	1	11	-	11	-
2012	동대문구	장안1동	1,385	995	107	804	18	30	35	1	24	96	17	79	-	126	2	123	-	1	144	10	134	-
2012	동대문구	장안2동	394	308	25	242	8	13	19	1	11	25	-	25	-	28	-	28	-	-	22	-	22	-
2012	동대문구	이문1동	613	496	75	403	12	3	1	2	12	25	3	22	-	29	2	27	-	-	51	-	51	-
2012	동대문구	이문2동	132	93	5	82	2	1	2	1	4	16	-	16	-	10	-	10	-	-	9	-	9	-
2012	중랑구	소계	6,458	4,324	381	3,697	97	104	29	16	176	600	73	527	-	630	17	611	-	2	728	19	709	-
2012	중랑구	면목2동	570	408	32	351	10	14	1	-	10	46	4	42	-	35	-	35	-	-	71	3	68	-
2012	중랑구	면목4동	339	255	22	224	5	4	-	-	11	9	1	8	-	31	-	31	-	-	33	1	32	-
2012	중랑구	면목5동	519	425	38	370	6	6	3	2	14	34	5	29	-	26	1	25	-	-	20	-	20	-
2012	중랑구	면목7동	285	161	14	143	4	-	-	-	7	48	3	45	-	36	-	36	-	-	33	-	33	-
2012	중랑구	상봉1동	226	122	10	103	4	4	-	1	6	20	5	15	-	40	-	40	-	-	38	1	37	-
2012	중랑구	상봉2동	349	240	13	216	7	3	1	-	6	18	5	13	-	40	-	40	-	-	45	2	43	-
2012	중랑구	중화1동	229	118	18	95	1	1	1	2	14	20	1	19	-	26	-	26	-	-	51	1	50	-
2012	중랑구	중화2동	707	550	33	473	6	21	15	2	7	39	5	34	-	51	-	51	-	-	60	-	60	-
2012	중랑구	묵1동	286	126	17	105	4	-	-	-	14	36	3	33	-	48	6	42	-	-	62	2	60	-
2012	중랑구	묵2동	493	393	22	356	5	10	-	-	6	20	-	20	-	32	1	31	-	-	42	2	40	-
2012	중랑구	망우3동	330	258	33	201	11	8	3	2	15	17	4	13	-	21	1	20	-	-	19	1	18	-
2012	중랑구	신내1동	421	265	16	227	4	14	3	1	7	34	7	27	-	58	2	56	-	-	57	2	55	-
2012	중랑구	신내2동	601	487	61	391	13	17	2	3	22	37	3	34	-	22	1	21	-	-	33	-	33	-
2012	중랑구	면목본동	377	156	10	140	4	2	-	-	9	101	7	94	-	52	3	48	-	1	59	2	57	-
2012	중랑구	면목3.8동	368	232	18	207	6	-	-	1	17	36	8	28	-	37	-	37	-	-	46	1	45	-
2012	중랑구	망우본동	358	128	24	95	7	-	-	2	11	85	12	73	-	75	2	72	-	1	59	1	58	-
2012	성북구	소계	6,875	4,908	729	3,897	154	81	8	39	214	534	47	487	-	646	1	645	-	-	573	18	555	-
2012	성북구	돈암1동	98	60	15	41	3	-	-	1	9	7	-	7	-	10	-	10	-	-	12	-	12	-
2012	성북구	돈암2동	56	21	4	13	4	-	-	-	6	10	1	9	-	8	-	8	-	-	11	-	11	-
2012	성북구	안암동	602	472	86	361	11	3	-	11	19	5	2	3	-	75	-	75	-	-	31	2	29	-
2012	성북구	보문동	260	184	18	149	3	12	2	-	10	20	-	20	-	25	-	25	-	-	21	1	20	-
2012	성북구	정릉1동	386	295	44	230	18	1	-	2	15	15	1	14	-	20	-	20	-	-	41	1	40	-
2012	성북구	정릉2동	135	89	4	83	-	2	-	-	3	15	2	13	-	16	-	16	-	-	12	1	11	-
