기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업	건강기능식품제조업
2012	서대문구	신촌동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	연희동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	소계	9,818	7,779	992	6,429	124	111	74	49	181	456	99	357	-	685	13	671	-	1	717	61	656	-
2012	마포구	용강동	643	487	53	403	11	11	8	1	11	13	2	11	-	82	4	78	-	-	50	8	42	-
2012	마포구	대흥동	565	490	64	392	9	10	13	2	14	22	6	16	-	10	-	10	-	-	29	2	27	-
2012	마포구	염리동	175	126	17	105	2	-	-	2	11	15	3	12	-	12	-	12	-	-	11	-	11	-
2012	마포구	신수동	297	197	31	154	6	2	-	4	9	29	7	22	-	32	-	32	-	-	30	1	29	-
2012	마포구	서교동	2,990	2,585	255	2,236	26	40	23	5	10	65	23	42	-	186	3	183	-	-	144	12	132	-
2012	마포구	합정동	528	414	41	352	6	12	2	1	6	18	8	10	-	47	2	45	-	-	43	7	36	-
2012	마포구	망원1동	484	401	55	336	6	4	-	-	5	35	6	29	-	12	1	11	-	-	31	-	31	-
2012	마포구	망원2동	223	126	16	106	1	3	-	-	4	37	7	30	-	22	-	22	-	-	34	1	33	-
2012	마포구	연남동	307	236	26	198	6	5	-	1	6	17	9	8	-	31	-	31	-	-	17	1	16	-
2012	마포구	성산1동	431	326	65	249	7	2	-	3	16	15	7	8	-	34	1	33	-	-	40	1	39	-
2012	마포구	성산2동	316	158	30	123	4	-	-	1	14	69	3	66	-	29	-	29	-	-	46	1	45	-
2012	마포구	상암동	626	527	113	391	9	1	-	13	26	15	3	12	-	26	-	25	-	1	32	4	28	-
2012	마포구	도화동	555	407	46	333	4	5	19	-	4	21	1	20	-	60	2	58	-	-	63	7	56	-
2012	마포구	서강동	544	459	59	385	11	1	-	3	16	19	6	13	-	23	-	23	-	-	27	2	25	-
2012	마포구	공덕동	776	611	101	470	14	10	5	11	20	38	7	31	-	44	-	44	-	-	63	8	55	-
2012	마포구	아현동	358	229	20	196	2	5	4	2	9	28	1	27	-	35	-	35	-	-	57	6	51	-
2012	양천구	소계	6,795	4,157	626	3,244	166	81	8	32	209	696	65	630	1	666	13	651	1	1	1,067	41	1,026	-
2012	양천구	목1동	1,099	658	178	424	39	3	1	13	22	134	1	133	-	107	-	107	-	-	178	16	162	-
2012	양천구	목2동	295	196	25	164	5	1	1	-	7	24	2	22	-	26	2	24	-	-	42	1	41	-
2012	양천구	목3동	375	245	22	206	7	7	3	-	5	42	7	35	-	22	1	21	-	-	61	3	58	-
2012	양천구	목4동	420	278	47	212	12	6	1	-	9	47	5	42	-	25	2	23	-	-	61	-	61	-
2012	양천구	신월1동	411	264	17	238	6	3	-	-	7	54	9	45	-	45	-	43	1	1	41	1	40	-
2012	양천구	신월2동	206	115	8	99	6	2	-	-	9	24	1	23	-	26	-	26	-	-	32	2	30	-
2012	양천구	신월3동	218	128	17	102	4	1	-	4	12	24	4	20	-	32	1	31	-	-	22	-	22	-
2012	양천구	신월4동	244	178	15	156	3	4	-	-	9	13	3	10	-	16	-	16	-	-	28	-	28	-
2012	양천구	신월5동	246	157	18	131	3	4	-	1	9	24	1	23	-	17	-	17	-	-	39	2	37	-
2012	양천구	신월6동	210	108	6	98	4	-	-	-	8	36	3	33	-	28	1	27	-	-	30	1	29	-
2012	양천구	신월7동	301	190	22	155	7	5	-	1	11	25	3	22	-	39	3	36	-	-	36	-	36	-
2012	양천구	신정1동	386	259	34	208	4	9	2	2	8	45	4	41	-	29	-	29	-	-	45	-	45	-
2012	양천구	신정2동	323	191	26	141	16	8	-	-	7	42	5	37	-	24	-	24	-	-	59	1	58	-
2012	양천구	신정3동	413	240	29	187	9	11	-	4	21	45	3	41	1	36	1	35	-	-	71	1	70	-
2012	양천구	신정6동	169	78	18	51	8	-	-	1	13	17	1	16	-	27	-	27	-	-	34	1	33	-
2012	양천구	신정7동	236	147	34	104	8	-	-	1	11	20	1	19	-	27	-	27	-	-	31	1	30	-
2012	양천구	목5동	405	214	44	148	17	1	-	4	22	30	1	29	-	55	1	54	-	-	84	6	78	-
2012	양천구	신정4동	838	511	66	420	8	16	-	1	19	50	11	39	-	85	1	84	-	-	173	5	168	-
2012	강서구	소계	9,156	5,972	773	4,679	191	171	112	46	248	684	69	614	1	1,044	33	1,005	4	2	1,208	59	1,149	-
2012	강서구	염창동	513	335	58	253	10	6	3	5	17	26	5	21	-	58	1	56	-	1	77	4	73	-
2012	강서구	등촌1동	530	311	44	249	10	5	-	3	13	41	5	36	-	79	-	79	-	-	86	4	82	-
2012	강서구	등촌2동	188	134	24	102	4	1	1	2	10	9	1	8	-	12	-	12	-	-	23	3	20	-
2012	강서구	등촌3동	630	371	63	288	11	1	-	8	30	43	4	39	-	95	1	94	-	-	91	9	82	-
2012	강서구	화곡본동	405	287	27	240	6	4	10	-	14	30	-	30	-	24	1	23	-	-	50	4	46	-
2012	강서구	화곡2동	193	103	14	83	4	2	-	-	7	4	1	3	-	29	-	29	-	-	50	1	49	-
2012	강서구	화곡3동	365	252	32	200	5	9	6	-	8	16	-	16	-	30	1	29	-	-	59	2	57	-
2012	강서구	화곡4동	467	292	25	247	14	6	-	-	12	55	5	50	-	45	-	45	-	-	63	-	63	-
2012	강서구	화곡6동	757	620	37	488	10	29	54	2	13	21	3	18	-	39	-	39	-	-	64	7	57	-
2012	강서구	화곡8동	339	215	29	162	11	10	2	1	6	45	2	43	-	15	-	15	-	-	58	1	57	-
2012	강서구	가양1동	296	189	26	146	6	9	-	2	8	25	9	16	-	30	2	28	-	-	44	-	44	-
2012	강서구	가양2동	185	99	27	64	4	-	2	2	11	27	2	25	-	26	-	26	-	-	22	-	22	-
2012	강서구	가양3동	135	63	12	43	6	-	-	2	9	18	-	18	-	21	-	21	-	-	24	1	23	-
2012	강서구	발산1동	582	281	57	203	14	1	-	6	19	80	6	74	-	131	9	122	-	-	71	1	70	-
2012	강서구	공항동	689	422	55	338	12	7	4	6	12	46	10	36	-	147	9	135	3	-	62	4	58	-
2012	강서구	방화1동	609	393	44	329	15	2	1	2	13	69	7	62	-	59	1	58	-	-	75	4	71	-
2012	강서구	방화2동	659	462	91	345	13	7	3	3	14	47	4	43	-	64	3	61	-	-	72	3	69	-
2012	강서구	방화3동	236	125	17	101	7	-	-	-	11	18	1	17	-	45	2	43	-	-	37	5	32	-
2012	강서구	화곡1동	999	762	59	595	16	68	24	-	11	45	2	43	-	56	2	53	1	-	125	4	121	-
2012	강서구	우장산동	379	256	32	203	13	4	2	2	10	19	2	16	1	39	1	37	-	1	55	2	53	-
2012	구로구	소계	7,387	5,113	647	4,169	109	112	37	39	224	538	68	468	2	753	7	739	-	7	759	54	705	-
2012	구로구	신도림동	…	…	97	…	13	5	-	3	15	29	2	27	-	…	-	…	-	-	…	…	…	…
2012	구로구	구로1동	…	…	19	…	5	-	-	3	9	21	1	20	-	…	1	…	-	-	…	…	…	…
2012	구로구	구로3동	…	…	120	…	11	25	-	7	22	31	9	21	1	…	-	…	-	2	…	…	…	…
2012	구로구	구로4동	…	…	22	…	5	5	-	1	10	59	3	56	-	…	-	…	-	-	…	…	…	…
2012	구로구	구로5동	…	…	111	…	12	3	-	4	23	51	1	50	-	…	-	…	-	-	…	…	…	…
2012	구로구	고척1동	…	…	32	…	6	2	1	4	17	31	4	27	-	…	-	…	-	-	…	…	…	…
2012	구로구	고척2동	…	…	23	…	6	6	1	1	10	39	3	36	-	…	-	…	-	-	…	…	…	…
2012	구로구	개봉2동	…	…	29	…	6	4	4	-	11	30	1	29	-	…	-	…	-	-	…	…	…	…
2012	구로구	개봉3동	…	…	17	…	3	5	2	1	10	25	6	19	-	…	-	…	-	-	…	…	…	…
2012	구로구	오류1동	…	…	23	…	8	8	25	-	10	39	2	37	-	…	-	…	-	-	…	…	…	…
2012	구로구	오류2동	…	…	29	…	8	-	-	3	25	25	4	21	-	…	-	…	-	1	…	…	…	…
2012	구로구	수궁동	…	…	17	…	7	-	-	6	19	28	9	19	-	…	-	…	-	3	…	…	…	…
2012	구로구	가리봉동	…	…	16	…	2	10	-	-	8	22	3	18	1	…	-	…	-	-	…	…	…	…
2012	구로구	구로2동	…	…	63	…	6	27	1	5	17	54	10	44	-	…	6	…	-	-	…	…	…	…
2012	구로구	개봉1동	…	…	29	…	11	12	3	1	18	54	10	44	-	…	-	…	-	1	…	…	…	…
2012	금천구	소계	5,463	4,098	434	3,400	62	83	62	57	190	353	83	267	3	392	10	372	2	8	430	33	397	-
2012	금천구	가산동	1,563	1,166	178	905	12	10	21	40	57	44	32	10	2	130	4	118	2	6	166	22	144	-
2012	금천구	독산1동	863	652	66	553	6	15	2	10	29	64	24	40	-	72	1	69	-	2	46	3	43	-
2012	금천구	독산2동	338	250	19	217	5	7	2	-	11	28	6	22	-	15	-	15	-	-	34	1	33	-
2012	금천구	독산3동	568	438	33	376	6	17	6	-	17	43	3	40	-	39	1	38	-	-	31	2	29	-
2012	금천구	독산4동	324	258	14	228	5	8	3	-	9	16	1	15	-	20	2	18	-	-	21	-	21	-
2012	금천구	시흥1동	978	763	69	629	13	21	27	4	30	74	6	67	1	54	2	52	-	-	57	2	55	-
2012	금천구	시흥2동	97	57	12	42	2	-	-	1	11	9	2	7	-	3	-	3	-	-	17	-	17	-
2012	금천구	시흥3동	243	163	10	144	4	2	1	2	7	22	7	15	-	33	-	33	-	-	18	3	15	-
2012	금천구	시흥4동	188	133	14	114	3	2	-	-	11	20	1	19	-	9	-	9	-	-	15	-	15	-
2012	금천구	시흥5동	301	218	19	192	6	1	-	-	8	33	1	32	-	17	-	17	-	-	25	-	25	-
2012	영등포구	소계	11,619	8,031	1,132	6,155	135	304	204	101	259	702	112	586	4	1,281	30	1,246	1	4	1,346	86	1,260	-
2012	영등포구	여의동	2,567	1,991	310	1,461	29	74	68	49	68	48	6	42	-	275	2	273	-	-	185	20	165	-
2012	영등포구	당산1동	1,002	660	65	530	6	53	4	2	9	20	6	14	-	137	12	125	-	-	176	11	165	-
2012	영등포구	당산2동	617	396	57	307	10	10	10	2	11	38	7	31	-	84	-	84	-	-	88	8	80	-
2012	영등포구	양평1동	579	326	26	274	8	13	1	4	13	30	10	19	1	97	4	91	-	2	113	8	105	-
2012	영등포구	양평2동	524	327	41	258	2	10	6	10	17	27	11	15	1	98	5	93	-	-	55	4	51	-
2012	영등포구	신길1동	824	521	80	409	15	5	8	4	29	94	14	80	-	68	-	66	1	1	112	-	112	-
2012	영등포구	신길3동	187	132	16	113	-	3	-	-	3	27	2	25	-	13	-	13	-	-	12	1	11	-
2012	영등포구	신길4동	116	86	7	74	2	3	-	-	3	7	1	6	-	12	-	12	-	-	8	-	8	-
2012	영등포구	신길5동	610	394	44	330	13	4	-	3	18	55	7	48	-	47	2	45	-	-	96	2	94	-
2012	영등포구	신길6동	189	145	12	124	3	3	-	3	4	13	-	13	-	11	-	11	-	-	16	1	15	-
2012	영등포구	신길7동	106	84	13	67	1	2	-	1	4	7	1	6	-	4	-	4	-	-	7	1	6	-
2012	영등포구	대림1동	328	193	19	158	3	11	1	1	6	27	3	24	-	46	-	46	-	-	56	8	48	-
2012	영등포구	대림2동	295	234	8	211	3	9	1	2	9	17	-	17	-	19	-	19	-	-	16	3	13	-
2012	영등포구	대림3동	363	242	18	212	3	9	-	-	7	18	4	14	-	38	-	38	-	-	58	1	57	-
2012	영등포구	영등포본동	305	224	50	157	7	10	-	-	8	28	3	25	-	15	-	15	-	-	30	-	30	-
2012	영등포구	영등포동	1,878	1,356	257	894	20	71	101	13	26	166	19	147	-	165	2	162	-	1	165	7	158	-
2012	영등포구	도림동	282	203	14	180	3	6	-	-	5	12	2	10	-	29	-	29	-	-	33	1	32	-
2012	영등포구	문래동	847	517	95	396	7	8	4	7	19	68	16	50	2	123	3	120	-	-	120	10	110	-
2012	동작구	소계	5,824	3,832	517	3,065	112	56	57	25	190	492	48	442	2	611	5	606	-	-	699	26	673	-
2012	동작구	노량진2동	303	230	23	191	4	3	9	-	4	21	2	19	-	34	-	34	-	-	14	1	13	-
2012	동작구	상도1동	529	375	60	296	13	4	1	1	17	35	5	30	-	38	-	38	-	-	64	4	60	-
2012	동작구	상도2동	357	230	17	190	13	6	4	-	11	47	-	47	-	34	-	34	-	-	35	1	34	-
2012	동작구	상도3동	230	131	15	104	5	3	4	-	7	38	-	37	1	15	-	15	-	-	39	1	38	-
2012	동작구	상도4동	227	128	12	109	4	2	-	1	14	29	1	28	-	26	-	26	-	-	30	-	30	-
2012	동작구	사당1동	613	412	45	332	10	9	14	2	15	42	8	34	-	53	1	52	-	-	91	2	89	-
2012	동작구	사당3동	206	131	20	104	6	1	-	-	10	17	4	13	-	17	-	17	-	-	31	-	31	-
2012	동작구	사당4동	173	97	16	74	6	1	-	-	4	38	1	37	-	7	-	7	-	-	27	1	26	-
2012	동작구	사당5동	91	52	4	47	-	1	-	-	7	11	4	7	-	6	-	6	-	-	15	-	15	-
2012	동작구	대방동	429	269	39	209	7	8	1	5	25	18	3	15	-	42	1	41	-	-	75	2	73	-
2012	동작구	신대방1동	330	190	23	154	6	1	3	3	16	27	1	26	-	33	-	33	-	-	64	6	58	-
2012	동작구	신대방2동	436	301	45	241	4	5	2	4	11	17	3	13	1	60	-	60	-	-	47	3	44	-
2012	동작구	흑석동	565	413	52	336	14	6	1	4	21	44	6	38	-	26	-	26	-	-	61	1	60	-
2012	동작구	노량진1동	749	481	95	366	12	2	3	3	19	35	6	29	-	176	2	174	-	-	38	1	37	-
2012	동작구	사당2동	586	392	51	312	8	4	15	2	9	73	4	69	-	44	1	43	-	-	68	3	65	-
2012	관악구	소계	7,886	5,514	678	4,387	110	99	223	17	209	635	68	566	1	592	5	584	-	3	936	34	902	-
2012	관악구	보라매동	432	293	45	235	7	2	1	3	16	48	6	42	-	25	-	24	-	1	50	-	50	-
2012	관악구	청림동	117	54	5	44	4	1	-	-	4	8	-	8	-	9	-	9	-	-	42	2	40	-
2012	관악구	행운동	453	301	45	227	7	4	18	-	11	40	7	33	-	36	-	36	-	-	65	3	62	-
2012	관악구	낙성대동	506	375	34	317	4	10	8	2	12	28	6	22	-	37	2	35	-	-	54	4	50	-
2012	관악구	중앙동	288	203	15	176	5	3	4	-	9	20	2	18	-	20	-	20	-	-	36	1	35	-
2012	관악구	인헌동	315	202	19	176	5	2	-	-	9	28	-	28	-	21	-	21	-	-	55	4	51	-
2012	관악구	남현동	396	273	35	205	7	8	17	1	9	22	-	22	-	22	-	21	-	1	70	1	69	-
2012	관악구	서원동	535	453	42	372	5	5	29	-	8	13	3	10	-	21	-	21	-	-	40	1	39	-
2012	관악구	신원동	268	148	13	130	4	1	-	-	5	47	1	46	-	14	-	14	-	-	54	2	52	-
2012	관악구	서림동	239	168	30	133	3	1	1	-	6	15	5	10	-	22	-	22	-	-	28	2	26	-
2012	관악구	신사동	381	251	26	210	4	3	8	-	6	44	3	41	-	29	1	28	-	-	51	2	49	-
2012	관악구	신림동	663	561	48	398	3	18	94	-	3	23	4	19	-	23	1	22	-	-	53	4	49	-
2012	관악구	난향동	91	50	5	40	4	1	-	-	9	14	-	14	-	8	-	8	-	-	10	-	10	-
2012	관악구	조원동	570	393	26	317	5	22	22	1	11	53	8	45	-	59	-	58	-	1	54	2	52	-
2012	관악구	대학동	720	589	119	456	10	-	-	4	16	14	2	12	-	83	-	83	-	-	18	4	14	-
2012	관악구	은천동	453	288	25	247	9	5	-	2	14	44	6	38	-	29	-	29	-	-	78	1	77	-
2012	관악구	성현동	156	86	16	67	2	1	-	-	13	22	3	19	-	14	1	13	-	-	21	-	21	-
2012	관악구	청룡동	628	429	75	323	10	7	11	3	17	56	3	53	-	49	-	49	-	-	77	1	76	-
2012	관악구	난곡동	188	115	16	92	7	-	-	-	8	27	2	25	-	21	-	21	-	-	17	-	17	-
2012	관악구	삼성동	152	69	12	54	-	1	2	-	11	29	3	26	-	21	-	21	-	-	22	-	22	-
2012	관악구	미성동	335	213	27	168	5	4	8	1	12	40	4	35	1	29	-	29	-	-	41	-	41	-
2012	서초구	소계	13,527	8,084	1,353	6,173	261	123	92	82	256	658	92	566	-	2,098	15	2,083	-	-	2,431	318	2,113	-
2012	서초구	서초1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	서초2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	서초3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	서초4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	잠원동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	반포본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	반포1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	반포2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	반포3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	반포4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	방배본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	방배1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	방배2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	방배3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	방배4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	양재1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	양재2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서초구	내곡동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	소계	22,463	14,320	2,500	10,692	300	403	298	127	354	970	166	804	-	3,203	12	3,189	-	2	3,616	521	3,095	-
2012	강남구	신사동	…	…	…	1,186	42	48	14	6	17	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	논현1동	…	…	…	895	17	91	40	5	16	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	논현2동	…	…	…	800	17	30	15	5	13	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	삼성1동	…	…	…	717	32	26	30	15	31	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	삼성2동	…	…	…	360	13	13	24	2	12	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	대치1동	…	…	…	264	10	10	4	5	14	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	대치4동	…	…	…	585	14	7	3	6	10	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	역삼1동	…	…	…	2,277	36	103	136	22	40	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	역삼2동	…	…	…	355	10	7	9	8	12	…	…	…	…	…	2	…	-	1	…	…	…	…
2012	강남구	도곡1동	…	…	…	251	11	6	-	7	15	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	도곡2동	…	…	…	224	11	4	-	8	15	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	개포1동	…	…	…	102	2	3	-	2	9	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	개포4동	…	…	…	221	4	7	-	1	13	…	…	…	…	…	2	…	-	-	…	…	…	…
2012	강남구	일원본동	…	…	…	64	6	-	-	2	18	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	일원1동	…	…	…	135	2	-	-	2	9	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	일원2동	…	…	…	52	3	-	-	1	9	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	수서동	…	…	…	147	6	1	-	3	16	…	…	…	…	…	-	…	-	1	…	…	…	…
2012	강남구	세곡동	…	…	…	54	-	-	-	-	6	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	압구정동	…	…	…	579	24	6	5	4	12	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	청담동	…	…	…	787	13	27	18	8	29	…	…	…	…	…	-	…	-	-	…	…	…	…
2012	강남구	대치2동	…	…	…	484	19	14	-	9	18	…	…	…	…	…	1	…	-	-	…	…	…	…
2012	강남구	개포2동	…	…	…	153	8	-	-	6	20	…	…	…	…	…	2	…	-	-	…	…	…	…
2012	송파구	소계	14,620	7,844	1,269	6,042	190	182	98	63	290	1,476	268	1,208	-	3,216	92	3,121	1	2	1,794	171	1,623	-
2012	송파구	풍납1동	452	232	29	188	10	1	1	3	15	50	7	43	-	150	-	150	-	-	5	1	4	-
2012	송파구	풍납2동	213	125	17	97	4	3	-	4	8	17	3	14	-	35	-	34	-	1	28	1	27	-
2012	송파구	거여1동	581	257	34	211	5	6	-	1	15	28	3	25	-	64	4	60	-	-	217	3	214	-
2012	송파구	거여2동	251	136	10	121	4	1	-	-	5	12	3	9	-	32	2	30	-	-	66	2	64	-
2012	송파구	마천1동	594	302	40	255	5	2	-	-	12	69	8	61	-	192	2	190	-	-	19	-	19	-
2012	송파구	마천2동	312	150	9	135	3	3	-	-	4	36	3	33	-	71	1	70	-	-	51	1	50	-
2012	송파구	방이1동	885	557	93	430	10	10	9	5	17	72	10	62	-	209	4	205	-	-	30	16	14	-
2012	송파구	방이2동	717	460	27	350	3	34	45	1	6	36	10	26	-	84	4	80	-	-	131	10	121	-
2012	송파구	오륜동	82	36	9	21	6	-	-	-	6	7	-	7	-	-	-	-	-	-	33	-	33	-
2012	송파구	오금동	905	439	52	368	7	8	-	4	22	79	30	49	-	222	12	210	-	-	143	4	139	-
2012	송파구	송파1동	654	444	65	346	15	15	-	3	12	50	12	38	-	104	4	100	-	-	44	15	29	-
2012	송파구	송파2동	214	77	14	55	-	5	-	3	8	14	4	10	-	31	1	30	-	-	84	2	82	-
2012	송파구	석촌동	1,011	612	70	504	4	31	2	1	12	75	16	59	-	168	8	160	-	-	144	18	126	-
2012	송파구	삼전동	591	379	56	298	10	12	-	3	16	53	18	35	-	1	-	-	-	1	142	1	141	-
2012	송파구	가락본동	1,386	804	109	625	21	27	19	3	37	163	50	113	-	336	26	310	-	-	46	29	17	-
2012	송파구	가락1동	511	136	4	124	1	-	2	5	5	104	29	75	-	201	10	190	1	-	65	3	62	-
2012	송파구	가락2동	270	174	15	153	2	4	-	-	4	26	9	17	-	52	2	50	-	-	14	5	9	-
2012	송파구	문정1동	931	486	119	352	8	1	-	6	13	126	29	97	-	269	9	260	-	-	37	25	12	-
2012	송파구	문정2동	377	106	32	66	6	-	-	2	15	53	4	49	-	151	1	150	-	-	52	5	47	-
2012	송파구	장지동	255	119	9	107	1	1	-	1	3	18	3	15	-	39	1	38	-	-	76	1	75	-
2012	송파구	잠실본동	1,610	1,037	177	788	30	15	20	7	22	173	7	166	-	331	1	330	-	-	47	20	27	-
2012	송파구	잠실4동	494	220	72	132	12	1	-	3	15	82	3	79	-	162	-	162	-	-	15	1	14	-
2012	송파구	잠실6동	289	132	22	104	1	-	-	5	5	24	3	21	-	50	-	50	-	-	78	5	73	-
2012	송파구	잠실7동	34	11	3	7	1	-	-	-	1	1	-	1	-	3	-	3	-	-	18	-	18	-
2012	송파구	잠실2동	228	150	66	75	6	1	-	2	8	16	2	14	-	50	-	50	-	-	4	1	3	-
2012	송파구	잠실3동	773	263	116	130	15	1	-	1	4	92	2	90	-	209	-	209	-	-	205	2	203	-
2012	강동구	소계	7,559	5,099	632	4,047	132	109	147	32	240	666	76	590	-	709	6	703	-	-	845	30	815	-
2012	강동구	강일동	77	50	11	35	3	-	-	1	12	3	-	3	-	4	-	4	-	-	8	-	8	-
2012	강동구	상일동	273	192	26	153	6	1	-	6	18	16	4	12	-	23	1	22	-	-	24	-	24	-
2012	강동구	명일1동	554	374	60	281	14	17	-	2	15	60	5	55	-	34	-	34	-	-	71	2	69	-
2012	강동구	명일2동	288	186	40	132	11	1	1	1	7	32	3	29	-	23	-	23	-	-	40	2	38	-
2012	강동구	고덕1동	154	87	7	77	2	-	-	1	20	14	4	10	-	15	-	15	-	-	18	1	17	-
2012	강동구	고덕2동	128	83	4	75	2	-	-	2	5	13	2	11	-	16	-	16	-	-	11	1	10	-
2012	강동구	암사2동	184	134	14	112	5	2	-	1	8	14	2	12	-	16	-	16	-	-	12	-	12	-
2012	강동구	암사3동	114	55	3	47	4	-	-	1	11	20	3	17	-	9	-	9	-	-	19	1	18	-
2012	강동구	천호1동	408	245	37	189	8	8	2	1	16	50	7	43	-	49	-	49	-	-	48	-	48	-
2012	강동구	천호3동	449	315	36	257	6	10	5	1	8	25	2	23	-	52	-	52	-	-	49	2	47	-
2012	강동구	성내1동	570	350	44	291	4	7	-	4	18	23	6	17	-	70	-	70	-	-	109	2	107	-
2012	강동구	성내2동	524	376	47	315	8	5	-	1	10	37	2	35	-	47	1	46	-	-	54	-	54	-
2012	강동구	성내3동	705	501	56	422	10	10	3	-	9	54	4	50	-	65	-	65	-	-	76	8	68	-
2012	강동구	둔촌1동	119	60	10	47	2	-	-	1	8	26	1	25	-	14	1	13	-	-	11	-	11	-
2012	강동구	둔촌2동	315	219	31	179	2	4	-	3	9	20	5	15	-	34	-	34	-	-	33	1	32	-
2012	강동구	암사1동	497	309	26	268	6	7	2	-	17	74	11	63	-	44	-	44	-	-	53	-	53	-
2012	강동구	천호2동	1,099	752	117	576	23	12	21	3	19	119	8	111	-	105	1	104	-	-	104	4	100	-
2012	강동구	길동	1,101	811	63	591	16	25	113	3	30	66	7	59	-	89	2	87	-	-	105	6	99	-
