기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2008	합계	합계	3,335	29	752	3,004	302
2008	종로구	소계	58	2	73	54	2
2008	종로구	사직동	1	-	-	1	-
2008	종로구	삼청동	2	-	-	2	-
2008	종로구	부암동	1	-	-	1	-
2008	종로구	평창동	6	-	-	5	1
2008	종로구	무악동	4	-	-	4	-
2008	종로구	교남동	2	-	-	2	-
2008	종로구	가회동	5	-	-	4	1
2008	종로구	종로1.2.3.4가동	4	1	…	3	-
2008	종로구	종로5·6가동	3	-	-	3	-
2008	종로구	이화동	6	1	…	5	-
2008	종로구	혜화동	3	-	-	3	-
2008	종로구	명륜3가동	2	-	-	2	-
2008	종로구	창신1동	3	-	-	3	-
2008	종로구	창신2동	3	-	-	3	-
2008	종로구	창신3동	4	-	-	4	-
2008	종로구	숭인1동	3	-	-	3	-
2008	종로구	숭인2동	4	-	-	4	-
2008	종로구	청운효자동	2	-	-	2	-
2008	중구	소계	48	1	18	44	3
2008	중구	소공동	1	-	-	1	-
2008	중구	회현동	2	-	-	2	-
2008	중구	명동	1	-	-	1	-
2008	중구	필동	1	-	-	1	-
2008	중구	장충동	2	-	-	2	-
2008	중구	광희동	3	-	-	3	-
2008	중구	을지로동	1	-	-	1	-
2008	중구	신당1동	3	-	-	2	1
2008	중구	신당2동	4	-	-	3	1
2008	중구	신당3동	6	1	18	5	-
2008	중구	신당4동	5	-	-	5	-
2008	중구	신당5동	7	-	-	6	1
2008	중구	신당6동	4	-	-	4	-
2008	중구	황학동	4	-	-	4	-
2008	중구	중림동	4	-	-	4	-
2008	용산구	소계	97	1	29	78	18
2008	용산구	후암동	6	-	-	4	2
2008	용산구	용산2가동	5	-	-	3	2
2008	용산구	남영동	6	-	-	3	3
2008	용산구	원효로2동	7	-	-	6	1
2008	용산구	효창동	3	-	-	3	-
2008	용산구	용문동	5	-	-	4	1
2008	용산구	이촌1동	8	-	-	7	1
2008	용산구	이촌2동	6	-	-	5	1
2008	용산구	이태원1동	5	-	-	4	1
2008	용산구	이태원2동	5	-	-	4	1
2008	용산구	서빙고동	4	-	-	4	-
