기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2016	성동구	용답동	565	263	-	-	267	35	-	-	520	244	-	-	250	26	-	-
2016	성동구	왕십리도선동	751	385	-	-	208	158	-	-	648	339	-	-	173	136	-	-
2016	성동구	금호2.3가동	670	451	-	-	160	59	-	-	586	385	-	-	143	58	-	-
2016	성동구	옥수동	692	532	-	-	23	137	-	-	533	390	-	-	7	136	-	-
2016	광진구	소계	9,297	2,214	-	147	5,372	1,347	85	132	8,046	1,930	-	67	4,661	1,228	63	97
2016	광진구	화양동	414	120	-	-	294	-	-	-	363	113	-	-	250	-	-	-
2016	광진구	군자동	709	99	-	98	411	70	-	31	510	91	-	31	340	36	-	12
2016	광진구	중곡1동	304	147	-	-	141	16	-	-	211	84	-	-	111	16	-	-
2016	광진구	중곡2동	615	159	-	-	397	59	-	-	565	149	-	-	359	57	-	-
2016	광진구	중곡3동	966	266	-	-	700	-	-	-	785	209	-	-	576	-	-	-
2016	광진구	중곡4동	868	171	-	-	532	129	36	-	818	162	-	-	503	124	29	-
2016	광진구	능동	248	187	-	-	21	40	-	-	172	113	-	-	20	39	-	-
2016	광진구	구의1동	474	86	-	-	368	20	-	-	426	76	-	-	333	17	-	-
2016	광진구	구의2동	697	59	-	-	501	88	49	-	628	59	-	-	455	80	34	-
2016	광진구	구의3동	613	195	-	-	224	194	-	-	555	186	-	-	193	176	-	-
2016	광진구	광장동	608	119	-	20	106	314	-	49	562	116	-	20	98	292	-	36
2016	광진구	자양1동	731	96	-	29	498	56	-	52	666	86	-	16	464	51	-	49
2016	광진구	자양2동	619	156	-	-	330	133	-	-	532	146	-	-	271	115	-	-
2016	광진구	자양3동	776	199	-	-	422	155	-	-	697	199	-	-	344	154	-	-
2016	광진구	자양4동	655	155	-	-	427	73	-	-	556	141	-	-	344	71	-	-
2016	동대문구	소계	9,566	2,969	-	204	4,147	1,920	-	326	8,364	2,602	-	182	3,576	1,766	-	238
2016	동대문구	회기동	222	83	-	-	-	54	-	85	172	79	-	-	-	52	-	41
2016	동대문구	휘경1동	371	49	-	-	243	79	-	-	286	33	-	-	192	61	-	-
2016	동대문구	휘경2동	687	119	-	99	242	192	-	35	614	101	-	95	212	181	-	25
2016	동대문구	청량리동	505	194	-	-	152	120	-	39	431	165	-	-	120	107	-	39
2016	동대문구	용신동	747	204	-	-	372	78	-	93	695	195	-	-	347	67	-	86
2016	동대문구	제기동	649	297	-	-	233	119	-	-	569	268	-	-	189	112	-	-
2016	동대문구	전농1동	633	182	-	49	325	77	-	-	520	127	-	36	280	77	-	-
2016	동대문구	전농2동	423	144	-	-	127	152	-	-	392	138	-	-	114	140	-	-
2016	동대문구	답십리1동	858	452	-	-	312	94	-	-	745	356	-	-	298	91	-	-
2016	동대문구	답십리2동	925	109	-	56	583	177	-	-	769	104	-	51	459	155	-	-
2016	동대문구	장안1동	1,372	579	-	-	449	295	-	49	1,239	533	-	-	412	271	-	23
2016	동대문구	장안2동	948	345	-	-	385	218	-	-	866	312	-	-	347	207	-	-
2016	동대문구	이문1동	547	90	-	-	317	115	-	25	452	89	-	-	229	110	-	24
2016	동대문구	이문2동	679	122	-	-	407	150	-	-	614	102	-	-	377	135	-	-
2016	중랑구	소계	11,966	2,853	114	276	6,555	2,010	-	158	10,558	2,627	79	250	5,678	1,784	-	140
2016	중랑구	면목2동	821	99	-	-	647	75	-	-	679	87	-	-	539	53	-	-
2016	중랑구	면목4동	619	207	-	-	354	58	-	-	535	181	-	-	300	54	-	-
2016	중랑구	면목5동	371	91	-	-	280	-	-	-	327	85	-	-	242	-	-	-
2016	중랑구	면목7동	638	142	-	-	448	48	-	-	546	127	-	-	371	48	-	-
2016	중랑구	상봉1동	656	213	-	-	240	203	-	-	604	208	-	-	209	187	-	-
2016	중랑구	상봉2동	439	101	-	151	167	20	-	-	386	89	-	132	154	11	-	-
2016	중랑구	중화1동	645	159	-	-	317	169	-	-	550	143	-	-	243	164	-	-
2016	중랑구	중화2동	574	301	-	-	183	90	-	-	524	282	-	-	165	77	-	-
2016	중랑구	묵1동	1,051	211	-	39	587	214	-	-	938	185	-	32	518	203	-	-
2016	중랑구	묵2동	517	111	-	-	288	118	-	-	467	106	-	-	250	111	-	-
2016	중랑구	망우3동	604	94	-	-	476	34	-	-	550	92	-	-	437	21	-	-
2016	중랑구	신내1동	1,514	312	114	20	515	480	-	73	1,380	301	79	20	480	441	-	59
2016	중랑구	신내2동	748	57	-	66	164	376	-	85	671	54	-	66	154	316	-	81
2016	중랑구	면목본동	873	221	-	-	598	54	-	-	804	204	-	-	561	39	-	-
2016	중랑구	면목3.8동	905	274	-	-	595	36	-	-	715	244	-	-	446	25	-	-
2016	중랑구	망우본동	991	260	-	-	696	35	-	-	882	239	-	-	609	34	-	-
2016	성북구	소계	12,033	3,392	190	1,097	4,611	2,442	37	264	10,494	3,109	152	955	3,876	2,230	23	149
2016	성북구	돈암1동	358	-	-	67	219	72	-	-	301	-	-	58	178	65	-	-
2016	성북구	돈암2동	530	279	-	-	39	212	-	-	496	252	-	-	39	205	-	-
2016	성북구	안암동	408	204	-	-	35	24	-	145	300	170	-	-	21	20	-	89
2016	성북구	보문동	300	111	-	79	110	-	-	-	276	111	-	66	99	-	-	-
2016	성북구	정릉1동	616	124	-	-	393	99	-	-	546	112	-	-	339	95	-	-
2016	성북구	정릉2동	349	67	-	-	127	118	37	-	285	47	-	-	114	101	23	-
2016	성북구	정릉3동	566	253	-	313	-	-	-	-	470	225	-	245	-	-	-	-
2016	성북구	정릉4동	986	263	-	185	368	170	-	-	905	250	-	179	327	149	-	-
2016	성북구	길음1동	1,126	296	-	-	325	505	-	-	1,055	279	-	-	306	470	-	-
2016	성북구	길음2동	281	87	-	-	115	79	-	-	207	68	-	-	67	72	-	-
2016	성북구	월곡1동	970	234	79	159	285	213	-	-	843	218	78	122	230	195	-	-
2016	성북구	월곡2동	628	229	-	44	168	117	-	70	552	221	-	44	152	113	-	22
2016	성북구	장위1동	467	81	-	20	326	40	-	-	393	75	-	19	268	31	-	-
2016	성북구	장위2동	636	42	-	74	487	33	-	-	558	35	-	73	421	29	-	-
2016	성북구	장위3동	459	120	72	20	128	119	-	-	413	117	53	19	109	115	-	-
