기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2016	성북구	돈암1동	394	1,788	4.54	804	3,649	34,708	10.51
2016	성북구	돈암2동	398	2,168	5.45	829	4,517	49,335	9.16
2016	성북구	안암동	1,462	12,928	8.84	1,099	9,720	13,692	70.99
2016	성북구	보문동	1,303	5,195	3.99	2,327	9,277	26,909	34.47
2016	성북구	정릉1동	732	2,053	2.8	1,664	4,666	43,802	10.65
2016	성북구	정릉2동	900	2,871	3.19	769	2,454	21,033	11.67
2016	성북구	정릉3동	667	4,319	6.48	180	1,164	4,752	24.5
2016	성북구	정릉4동	929	4,283	4.61	297	1,368	8,888	15.4
2016	성북구	길음1동	968	3,525	3.64	1,225	4,462	47,985	9.3
2016	성북구	길음2동	1,296	4,987	3.85	2,234	8,598	22,712	37.86
2016	성북구	월곡1동	1,376	5,062	3.68	1,699	6,249	35,123	17.79
2016	성북구	월곡2동	1,594	7,909	4.96	1,172	5,815	15,549	37.4
2016	성북구	장위1동	1,028	2,643	2.57	1,469	3,776	32,247	11.71
2016	성북구	장위2동	1,606	5,015	3.12	2,397	7,485	30,646	24.42
2016	성북구	장위3동	804	3,480	4.33	1,237	5,354	20,348	26.31
2016	성북구	성북동	1,107	5,286	4.78	387	1,848	6,409	28.84
2016	성북구	삼선동	1,849	10,526	5.69	2,010	11,441	29,902	38.26
2016	성북구	동선동	1,936	10,556	5.45	2,652	14,460	22,973	62.95
2016	성북구	종암동	2,048	7,309	3.57	1,403	5,006	29,880	16.75
2016	성북구	석관동	2,163	9,539	4.41	1,250	5,514	20,273	27.2
2016	강북구	소계	18,742	69,768	3.72	794	2,957	14,015	21.1
2016	강북구	번1동	1,793	8,987	5.01	3,260	16,340	36,971	44.2
2016	강북구	번2동	656	3,314	5.05	525	2,651	14,726	18
2016	강북구	번3동	860	2,922	3.4	1,000	3,398	23,119	14.7
2016	강북구	수유1동	1,449	4,878	3.37	1,354	4,559	21,350	21.35
2016	강북구	수유2동	1,363	4,339	3.18	1,867	5,944	30,647	19.39
2016	강북구	수유3동	2,399	8,658	3.61	2,790	10,067	28,053	35.89
2016	강북구	삼양동	1,176	3,641	3.1	1,238	3,833	31,313	12.24
2016	강북구	미아동	1,639	6,194	3.78	2,245	8,485	32,316	26.26
2016	강북구	송중동	1,955	7,783	3.98	1,602	6,380	24,025	26.55
2016	강북구	송천동	2,128	7,241	3.4	2,418	8,228	34,700	23.71
2016	강북구	삼각산동	781	2,354	3.01	1,260	3,797	55,568	6.83
2016	강북구	우이동	993	3,970	4	91	363	2,010	18.03
2016	강북구	인수동	1,550	5,487	3.54	529	1,873	11,293	16.58
2016	도봉구	소계	18,686	70,166	3.76	904	3,395	16,948	20.03
2016	도봉구	쌍문1동	928	3,908	4.21	748	3,152	18,190	17.33
2016	도봉구	쌍문2동	1,308	5,503	4.21	2,422	10,191	39,081	26.08
2016	도봉구	쌍문3동	975	4,078	4.18	1,950	8,156	35,524	22.96
2016	도봉구	쌍문4동	616	1,922	3.12	1,185	3,696	39,929	9.26
2016	도봉구	방학1동	2,330	10,831	4.65	3,377	15,697	45,465	34.53
2016	도봉구	방학2동	1,244	3,029	2.43	1,681	4,093	30,258	13.53
2016	도봉구	방학3동	871	3,127	3.59	330	1,184	11,533	10.27
2016	도봉구	창1동	1,404	3,739	2.66	1,595	4,249	31,528	13.48
2016	도봉구	창2동	1,398	4,457	3.19	1,307	4,165	29,418	14.16
2016	도봉구	창3동	969	2,242	2.31	1,446	3,346	23,236	14.4
2016	도봉구	창4동	1,284	7,286	5.67	1,338	7,590	30,598	24.8
2016	도봉구	창5동	2,219	7,259	3.27	3,170	10,370	38,374	27.02
2016	도봉구	도봉1동	1,701	6,063	3.56	195	695	2,710	25.66
2016	도봉구	도봉2동	1,439	6,722	4.67	1,734	8,099	35,210	23
2016	노원구	소계	26,271	114,999	4.38	741	3,245	16,119	20.13
2016	노원구	월계1동	1,444	6,011	4.16	1,245	5,182	20,939	24.75
2016	노원구	월계2동	922	3,313	3.59	475	1,708	13,873	12.31
2016	노원구	월계3동	965	3,371	3.49	825	2,881	28,991	9.94
2016	노원구	공릉2동	1,944	11,763	6.05	285	1,725	6,561	26.29
2016	노원구	하계1동	1,023	7,727	7.55	660	4,985	19,299	25.83
2016	노원구	하계2동	387	1,248	3.22	759	2,447	48,584	5.04
2016	노원구	중계본동	1,184	5,296	4.47	601	2,688	14,226	18.9
2016	노원구	중계1동	951	4,219	4.44	1,510	6,697	46,608	14.37
2016	노원구	중계4동	1,044	3,766	3.61	614	2,215	13,139	16.86
2016	노원구	상계1동	3,133	10,559	3.37	557	1,879	7,545	24.9
2016	노원구	상계2동	2,459	9,991	4.06	4,031	16,379	36,346	45.06
2016	노원구	상계5동	1,568	4,708	3	3,564	10,700	63,050	16.97
2016	노원구	상계8동	577	1,935	3.35	861	2,888	38,249	7.55
2016	노원구	상계9동	721	2,519	3.49	890	3,110	28,765	10.81
2016	노원구	상계10동	469	2,191	4.67	586	2,739	23,944	11.44
2016	노원구	상계3.4동	1,434	4,495	3.13	255	800	5,369	14.9
2016	노원구	상계6.7동	1,910	14,943	7.82	1,721	13,462	32,967	40.84
2016	노원구	중계2.3동	1,360	5,472	4.02	1,511	6,080	43,936	13.84
2016	노원구	공릉1동	2,776	11,472	4.13	1,969	8,136	28,525	28.52
2016	은평구	소계	24,615	90,203	3.66	829	3,037	16,696	18.19
2016	은평구	녹번동	1,900	9,821	5.17	1,061	5,487	18,474	29.7
2016	은평구	불광1동	1,640	6,326	3.86	524	2,021	13,685	14.77
2016	은평구	갈현1동	1,419	4,944	3.48	1,463	5,097	26,777	19.03
2016	은평구	갈현2동	1,594	6,148	3.86	1,660	6,404	32,219	19.88
2016	은평구	구산동	1,209	5,252	4.34	876	3,806	24,857	15.31
2016	은평구	대조동	2,553	8,019	3.14	3,004	9,434	39,394	23.95
2016	은평구	응암1동	1,680	7,696	4.58	1,400	6,413	23,158	27.69
2016	은평구	응암2동	610	1,823	2.99	782	2,337	25,605	9.13
2016	은평구	신사1동	1,290	3,909	3.03	1,536	4,654	33,821	13.76
2016	은평구	신사2동	1,639	3,686	2.25	1,639	3,686	22,255	16.56
2016	은평구	증산동	1,130	4,192	3.71	1,395	5,175	23,978	21.58
2016	은평구	수색동	727	2,695	3.71	564	2,089	12,440	16.79
2016	은평구	진관동	1,539	8,504	5.53	133	738	4,667	15.8
2016	은평구	불광2동	1,347	4,290	3.18	976	3,109	21,653	14.36
2016	은평구	응암3동	1,815	4,965	2.74	2,881	7,881	43,098	18.29
2016	은평구	역촌동	2,523	7,933	3.14	2,175	6,839	43,624	15.68
2016	서대문구	소계	19,540	113,979	5.83	1,110	6,473	18,506	34.98
2016	서대문구	천연동	922	2,835	3.07	951	2,923	20,531	14.24
2016	서대문구	홍제1동	1,119	4,489	4.01	910	3,650	20,311	17.97
2016	서대문구	홍제3동	1,255	3,790	3.02	1,549	4,679	23,973	19.52
2016	서대문구	홍제2동	590	1,677	2.84	562	1,597	14,521	11
2016	서대문구	홍은1동	981	2,470	2.52	621	1,563	15,092	10.36
2016	서대문구	홍은2동	1,168	5,372	4.6	567	2,608	14,857	17.55
2016	서대문구	남가좌1동	733	2,047	2.79	1,437	4,014	33,194	12.09
2016	서대문구	남가좌2동	1,308	4,207	3.22	1,699	5,464	30,570	17.87
2016	서대문구	북가좌1동	642	3,126	4.87	1,235	6,012	38,217	15.73
2016	서대문구	북가좌2동	2,330	7,183	3.08	2,774	8,551	41,433	20.64
2016	서대문구	충현동	1,812	25,628	14.14	1,618	22,882	17,154	133.4
2016	서대문구	북아현동	790	2,099	2.66	1,717	4,563	28,246	16.15
2016	서대문구	신촌동	3,642	37,929	10.41	1,385	14,422	8,775	164.36
2016	서대문구	연희동	2,248	11,127	4.95	737	3,648	13,584	26.86
2016	마포구	소계	36,191	250,605	6.92	1,518	10,510	16,394	64.11
2016	마포구	용강동	2,608	19,216	7.37	3,105	22,876	26,827	85.27
2016	마포구	대흥동	1,583	9,646	6.09	1,799	10,961	16,163	67.82
2016	마포구	염리동	720	3,618	5.03	1,674	8,414	27,984	30.07
2016	마포구	신수동	1,174	5,334	4.54	1,505	6,838	28,324	24.14
2016	마포구	서교동	9,536	62,203	6.52	5,779	37,699	16,847	223.77
2016	마포구	합정동	2,049	14,716	7.18	1,212	8,708	11,995	72.59
2016	마포구	망원1동	1,771	4,705	2.66	1,554	4,127	19,554	21.11
2016	마포구	망원2동	1,362	5,226	3.84	2,033	7,800	30,588	25.5
2016	마포구	연남동	1,506	5,926	3.93	2,317	9,117	28,603	31.87
2016	마포구	성산1동	1,539	11,078	7.2	1,924	13,848	26,048	53.16
2016	마포구	성산2동	1,782	11,771	6.61	861	5,686	19,420	29.28
2016	마포구	상암동	2,341	38,152	16.3	279	4,542	4,025	112.83
2016	마포구	도화동	2,012	15,583	7.75	3,245	25,134	37,721	66.63
2016	마포구	서강동	1,699	11,958	7.04	1,172	8,247	18,181	45.36
2016	마포구	공덕동	2,764	18,875	6.83	2,737	18,688	39,312	47.54
2016	마포구	아현동	1,745	12,598	7.22	2,296	16,576	34,539	47.99
2016	양천구	소계	26,108	117,259	4.49	1,500	6,736	27,681	24.34
2016	양천구	목1동	2,943	20,725	7.04	2,087	14,699	23,376	62.88
2016	양천구	목2동	1,139	4,094	3.59	1,106	3,975	31,025	12.81
2016	양천구	목3동	1,242	4,644	3.74	2,343	8,762	41,519	21.1
2016	양천구	목4동	1,326	3,853	2.91	2,326	6,760	49,018	13.79
2016	양천구	신월1동	1,775	5,063	2.85	2,731	7,789	35,889	21.7
2016	양천구	신월2동	1,239	3,984	3.22	2,031	6,531	38,593	16.92
2016	양천구	신월3동	958	4,277	4.46	1,101	4,916	21,007	23.4
2016	양천구	신월4동	1,164	3,745	3.22	2,238	7,202	38,479	18.72
2016	양천구	신월5동	1,010	4,422	4.38	1,464	6,409	23,755	26.98
2016	양천구	신월6동	1,460	3,231	2.21	3,561	7,880	19,383	40.66
2016	양천구	신월7동	1,391	5,695	4.09	1,169	4,786	19,742	24.24
2016	양천구	신정1동	1,099	4,929	4.48	1,570	7,041	31,220	22.55
2016	양천구	신정2동	1,104	3,612	3.27	2,123	6,946	41,331	16.81
2016	양천구	신정3동	1,882	9,536	5.07	692	3,506	19,485	17.99
2016	양천구	신정6동	738	5,769	7.82	769	6,009	26,998	22.26
2016	양천구	신정7동	991	4,481	4.52	819	3,703	25,979	14.25
2016	양천구	목5동	1,525	10,258	6.73	843	5,667	24,302	23.32
2016	양천구	신정4동	3,122	14,941	4.79	3,091	14,793	35,954	41.14
2016	강서구	소계	34,662	207,406	5.98	837	5,005	14,531	34.45
2016	강서구	염창동	2,149	15,633	7.27	1,235	8,984	23,630	38.02
2016	강서구	등촌1동	1,939	15,729	8.11	3,286	26,659	39,097	68.19
2016	강서구	등촌2동	735	3,454	4.7	799	3,754	23,991	15.65
2016	강서구	등촌3동	2,627	22,329	8.5	3,325	28,265	44,256	63.87
2016	강서구	화곡본동	1,355	4,047	2.99	1,221	3,646	32,998	11.05
2016	강서구	화곡2동	852	2,790	3.27	1,813	5,936	43,543	13.63
2016	강서구	화곡3동	1,227	5,360	4.37	2,406	10,510	45,471	23.11
2016	강서구	화곡4동	1,444	3,860	2.67	1,761	4,707	28,435	16.55
2016	강서구	화곡6동	1,850	11,322	6.12	1,652	10,109	23,033	43.89
2016	강서구	화곡8동	1,230	3,229	2.63	2,321	6,092	51,381	11.86
2016	강서구	가양1동	1,809	14,040	7.76	385	2,987	5,861	50.97
2016	강서구	가양2동	640	3,495	5.46	640	3,495	16,432	21.27
2016	강서구	가양3동	933	7,631	8.18	942	7,708	17,464	44.14
2016	강서구	발산1동	2,322	11,966	5.15	784	4,043	13,487	29.97
2016	강서구	공항동	1,973	35,503	17.99	182	3,266	2,269	143.97
2016	강서구	방화1동	2,879	10,377	3.6	2,768	9,978	44,504	22.42
2016	강서구	방화2동	2,932	13,631	4.65	457	2,127	3,906	54.45
2016	강서구	방화3동	932	4,739	5.08	392	1,991	10,832	18.38
2016	강서구	화곡1동	3,126	10,841	3.47	2,791	9,679	48,594	19.92
2016	강서구	우장산동	1,708	7,430	4.35	1,256	5,463	34,475	15.85
2016	구로구	소계	38,033	211,391	5.56	1,890	10,507	22,347	47.02
2016	구로구	신도림동	2,835	14,839	5.23	1,929	10,095	25,988	38.84
2016	구로구	구로1동	626	3,021	4.83	614	2,962	22,201	13.34
2016	구로구	구로3동	6,881	82,785	12.03	6,746	81,162	27,530	294.81
2016	구로구	구로4동	2,023	5,011	2.48	4,398	10,893	62,285	17.49
2016	구로구	구로5동	4,857	26,516	5.46	4,716	25,744	34,047	75.61
2016	구로구	고척1동	2,629	9,475	3.6	2,266	8,168	21,872	37.35
2016	구로구	고척2동	1,427	3,976	2.79	1,399	3,898	29,814	13.07
2016	구로구	개봉2동	1,133	2,989	2.64	1,416	3,736	43,329	8.62
2016	구로구	개봉3동	1,012	5,099	5.04	1,249	6,295	27,484	22.9
2016	구로구	오류1동	1,121	5,158	4.6	1,900	8,742	37,192	23.51
2016	구로구	오류2동	1,573	7,882	5.01	342	1,713	9,968	17.19
2016	구로구	수궁동	1,272	5,881	4.62	476	2,203	9,708	22.69
2016	구로구	가리봉동	976	2,820	2.89	2,440	7,050	43,938	16.05
2016	구로구	구로2동	7,912	30,343	3.84	4,495	17,240	21,064	81.85
2016	구로구	개봉1동	1,756	5,596	3.19	1,340	4,272	27,392	15.6
2016	금천구	소계	30,987	225,578	7.28	2,380	17,326	19,560	88.58
2016	금천구	가산동	13,752	153,745	11.18	5,457	61,010	9,321	654.57
2016	금천구	독산1동	3,922	24,440	6.23	1,877	11,694	17,608	66.41
2016	금천구	독산2동	1,178	3,542	3.01	1,963	5,903	38,462	15.35
2016	금천구	독산3동	2,190	8,267	3.77	2,380	8,986	33,962	26.46
2016	금천구	독산4동	1,011	3,674	3.63	1,714	6,227	32,471	19.18
2016	금천구	시흥1동	2,986	13,912	4.66	1,746	8,136	22,409	36.3
2016	금천구	시흥2동	576	2,005	3.48	457	1,591	19,170	8.3
2016	금천구	시흥3동	3,340	10,610	3.18	3,121	9,916	11,453	86.58
2016	금천구	시흥4동	859	1,938	2.26	987	2,228	26,748	8.33
2016	금천구	시흥5동	1,173	3,445	2.94	844	2,478	16,465	15.05
2016	영등포구	소계	43,678	366,625	8.39	1,781	14,946	16,583	90.13
2016	영등포구	여의동	7,966	152,605	19.16	947	18,146	4,044	448.67
2016	영등포구	당산1동	3,183	18,621	5.85	4,244	24,828	28,347	87.59
2016	영등포구	당산2동	2,306	21,446	9.3	1,488	13,836	23,560	58.73
2016	영등포구	양평1동	3,246	23,475	7.23	3,689	26,676	19,697	135.44
2016	영등포구	양평2동	2,154	19,830	9.21	718	6,610	7,534	87.74
2016	영등포구	신길1동	1,176	6,721	5.72	1,782	10,183	33,085	30.78
2016	영등포구	신길3동	985	2,745	2.79	2,052	5,719	37,729	15.16
2016	영등포구	신길4동	491	1,691	3.44	1,403	4,831	33,017	14.63
2016	영등포구	신길5동	655	3,031	4.63	1,394	6,449	32,609	19.78
2016	영등포구	신길6동	1,277	4,697	3.68	1,878	6,907	31,549	21.89
2016	영등포구	신길7동	533	2,676	5.02	833	4,181	20,361	20.54
2016	영등포구	대림1동	1,128	4,251	3.77	2,302	8,676	36,510	23.76
2016	영등포구	대림2동	1,390	4,513	3.25	2,527	8,205	41,869	19.6
2016	영등포구	대림3동	2,807	11,203	3.99	2,807	11,203	30,621	36.59
2016	영등포구	영등포본동	1,470	5,715	3.89	1,441	5,603	25,833	21.69
2016	영등포구	영등포동	6,524	39,392	6.04	5,178	31,263	16,613	188.18
2016	영등포구	도림동	984	3,334	3.39	1,106	3,746	25,943	14.44
2016	영등포구	문래동	5,403	40,679	7.53	3,626	27,301	21,362	127.8
2016	동작구	소계	19,747	108,058	5.47	1,207	6,607	25,269	26.15
2016	동작구	노량진2동	1,554	6,340	4.08	2,428	9,906	23,358	42.41
2016	동작구	상도1동	1,704	8,381	4.92	1,128	5,550	31,950	17.37
2016	동작구	상도2동	1,287	4,543	3.53	1,313	4,636	28,385	16.33
2016	동작구	상도3동	946	2,683	2.84	1,577	4,472	43,402	10.3
2016	동작구	상도4동	983	2,910	2.96	1,311	3,880	40,668	9.54
2016	동작구	사당1동	1,845	9,566	5.18	2,335	12,109	30,330	39.92
2016	동작구	사당3동	1,005	4,316	4.29	1,092	4,691	26,766	17.53
2016	동작구	사당4동	684	1,738	2.54	1,800	4,574	39,587	11.55
2016	동작구	사당5동	506	1,709	3.38	888	2,998	23,489	12.76
2016	동작구	대방동	1,660	12,152	7.32	1,071	7,840	26,230	29.89
2016	동작구	신대방1동	1,060	4,364	4.12	1,710	7,039	45,063	15.62
2016	동작구	신대방2동	1,219	24,086	19.76	1,183	23,384	20,836	112.23
2016	동작구	흑석동	1,495	10,142	6.78	890	6,037	20,902	28.88
2016	동작구	노량진1동	2,148	9,310	4.33	1,359	5,892	21,139	27.87
2016	동작구	사당2동	1,651	5,818	3.52	600	2,116	10,947	19.33
2016	관악구	소계	26,377	113,781	4.31	892	3,848	17,776	21.65
2016	관악구	보라매동	1,397	6,434	4.61	1,838	8,466	35,064	24.14
2016	관악구	청림동	443	1,185	2.67	1,477	3,950	56,580	6.98
2016	관악구	행운동	1,464	6,151	4.2	2,033	8,543	42,469	20.12
2016	관악구	낙성대동	1,265	7,741	6.12	557	3,410	8,023	42.5
2016	관악구	중앙동	1,086	5,076	4.67	2,785	13,015	39,405	33.03
2016	관악구	인헌동	1,047	4,006	3.83	969	3,709	25,930	14.31
2016	관악구	남현동	874	5,163	5.91	267	1,579	5,805	27.2
2016	관악구	서원동	1,296	7,974	6.15	1,994	12,268	36,882	33.26
2016	관악구	신원동	851	2,453	2.88	1,547	4,460	36,858	12.1
2016	관악구	서림동	1,316	3,296	2.5	1,329	3,329	25,732	12.94
2016	관악구	신사동	1,422	4,712	3.31	2,222	7,363	41,605	17.7
2016	관악구	신림동	1,623	5,671	3.49	3,006	10,502	39,520	26.57
2016	관악구	난향동	420	1,926	4.59	525	2,408	21,266	11.32
2016	관악구	조원동	2,184	7,073	3.24	3,260	10,557	30,467	34.65
