기간	자치구	동	한식음식점업	의류점	기타주점업	부동산자문 및 중개업	용달 및 개별화물 자동차운송업	슈퍼마켓	비알콜 음료점	두발미용업	분식 및 김밥전문점	체인화 편의점	중국 음식점업	제과점업	가정용 세탁업	노래연습장 운영업	치킨 전문점	자동차 전문 수리업	컴퓨터게임방 운영업	과실 및 채소소매업	육류 소매업	당구장 운영업
2016	합계	합계	164,893	52,036	40,560	42,602	40,250	32,382	54,377	35,005	22,853	32,783	19,820	19,952	10,645	10,619	12,444	9,876	7,462	6,653	7,019	4,576
2016	종로구	소계	9,408	1,380	2,141	1,057	696	1,064	3,679	491	1,031	1,150	971	830	192	248	491	102	149	120	115	184
2016	종로구	사직동	1,430	67	232	115	15	85	586	59	132	126	197	91	18	28	64	13	4	8	4	14
2016	종로구	삼청동	306	173	23	6	8	22	266	3	57	23	39	48	1	-	-	-	-	-	-	-
2016	종로구	부암동	96	18	32	18	15	22	80	13	23	45	34	11	12	1	4	18	-	-	-	2
2016	종로구	평창동	195	24	52	54	23	80	47	25	19	28	37	19	17	6	5	11	11	4	10	8
2016	종로구	무악동	23	-	2	17	352	15	13	14	8	10	5	16	10	1	7	6	11	3	2	-
2016	종로구	교남동	71	10	2	28	13	11	27	5	5	42	17	14	4	1	10	3	3	-	-	-
2016	종로구	가회동	316	37	23	28	11	25	135	9	45	34	29	107	4	4	7	4	-	8	5	3
2016	종로구	종로1.2.3.4가동	3,934	548	1,056	410	30	294	1,378	82	270	359	328	234	29	103	169	25	19	32	12	87
2016	종로구	종로5·6가동	946	157	87	110	29	82	165	28	105	89	38	28	9	17	35	4	4	10	13	18
2016	종로구	이화동	439	46	162	20	20	34	340	20	72	80	63	61	5	10	36	5	5	-	3	4
2016	종로구	창신1동	249	104	40	43	9	42	26	33	42	21	43	11	6	16	44	-	24	21	20	9
2016	종로구	창신2동	168	21	18	20	27	46	14	26	25	9	10	14	8	6	5	-	8	6	10	5
2016	종로구	창신3동	27	1	-	19	25	9	4	12	9	10	4	4	7	-	8	1	-	4	5	-
2016	종로구	숭인1동	57	16	15	18	19	36	3	29	8	31	2	8	7	-	10	2	4	2	-	2
2016	종로구	숭인2동	241	55	63	49	29	57	71	27	31	65	25	21	18	25	19	-	12	6	5	10
2016	종로구	청운효자동	225	37	24	36	37	67	154	26	46	39	22	59	13	1	5	4	3	15	14	2
