기간	자치구	동	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	동	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	동	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	구로구	수궁동	22	17	3	2	…	…	5	-	-	…	…	-	-	-	-	-
2012	구로구	가리봉동	26	17	2	2	…	…	9	-	-	…	…	-	-	-	-	-
2012	구로구	구로2동	42	16	3	5	…	…	25	-	3	…	…	1	-	-	1	-
2012	구로구	개봉1동	18	14	3	1	…	…	4	-	1	…	…	-	-	-	-	-
2012	금천구	소계	439	266	40	110	116	-	167	1	43	123	-	6	-	2	4	-
2012	금천구	가산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	독산1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	독산2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	독산3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	독산4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	시흥1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	시흥2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	시흥3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	시흥4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	금천구	시흥5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	소계	377	239	34	55	126	24	133	1	14	110	8	5	-	3	2	-
2012	영등포구	여의동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	당산1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	당산2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	양평1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	양평2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	신길7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	대림3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	영등포본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	영등포동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	도림동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	영등포구	문래동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	동작구	소계	335	288	85	89	114	-	31	2	13	16	-	16	1	5	10	-
2012	동작구	노량진2동	25	19	7	7	5	-	5	-	2	3	-	1	-	1	-	-
2012	동작구	상도1동	34	28	5	9	14	-	3	-	1	2	-	3	-	-	3	-
2012	동작구	상도2동	24	19	5	8	6	-	4	-	3	1	-	1	-	-	1	-
2012	동작구	상도3동	32	25	5	13	7	-	4	-	-	4	-	3	-	3	-	-
2012	동작구	상도4동	27	25	4	7	14	-	2	-	-	2	-	-	-	-	-	-
2012	동작구	사당1동	15	13	2	4	7	-	2	-	2	-	-	-	-	-	-	-
2012	동작구	사당3동	13	11	1	6	4	-	2	1	1	-	-	-	-	-	-	-
2012	동작구	사당4동	11	10	2	1	7	-	-	-	-	-	-	1	-	1	-	-
2012	동작구	사당5동	10	8	2	1	5	-	1	-	1	-	-	1	-	-	1	-
2012	동작구	대방동	31	30	16	6	8	-	-	-	-	-	-	1	1	-	-	-
2012	동작구	신대방1동	5	5	-	2	3	-	-	-	-	-	-	-	-	-	-	-
2012	동작구	신대방2동	40	34	9	7	18	-	4	-	1	3	-	2	-	-	2	-
2012	동작구	흑석동	41	40	20	9	11	-	1	-	1	-	-	-	-	-	-	-
2012	동작구	노량진1동	16	12	5	6	1	-	3	1	1	1	-	1	-	-	1	-
2012	동작구	사당2동	11	9	2	3	4	-	-	-	-	-	-	2	-	-	2	-
2012	관악구	소계	894	505	128	282	57	38	363	9	187	158	9	26	1	8	14	3
2012	관악구	보라매동	31	18	5	11	2	-	13	-	3	10	-	-	-	-	-	-
2012	관악구	청림동	18	15	4	7	-	4	3	-	1	2	-	-	-	-	-	-
2012	관악구	행운동	44	23	2	15	2	4	21	1	12	8	-	-	-	-	-	-
2012	관악구	낙성대동	21	13	1	11	1	-	8	-	5	3	-	-	-	-	-	-
2012	관악구	중앙동	14	7	1	4	1	1	7	2	1	3	1	-	-	-	-	-
2012	관악구	인헌동	22	14	2	9	2	1	6	1	2	2	1	2	-	1	1	-
2012	관악구	남현동	12	6	-	2	2	2	6	-	1	4	1	-	-	-	-	-
2012	관악구	서원동	44	20	7	11	-	2	22	-	8	14	-	2	-	-	1	1
2012	관악구	신원동	56	23	7	13	2	1	32	1	19	12	-	1	-	-	1	-
2012	관악구	서림동	47	25	10	10	3	2	19	-	11	7	1	3	1	-	2	-
2012	관악구	신사동	35	21	5	12	2	2	14	-	9	5	-	-	-	-	-	-
2012	관악구	신림동	67	44	9	26	4	5	23	-	12	10	1	-	-	-	-	-
2012	관악구	난향동	14	12	3	7	1	1	2	-	-	1	1	-	-	-	-	-
2012	관악구	조원동	66	46	10	31	4	1	17	-	9	7	1	3	-	1	2	-
2012	관악구	대학동	56	28	9	15	3	1	26	2	12	12	-	2	-	1	1	-
2012	관악구	은천동	50	28	8	16	4	-	20	-	8	11	1	2	-	1	1	-
2012	관악구	성현동	28	19	6	9	3	1	9	-	3	6	-	-	-	-	-	-
2012	관악구	청룡동	72	41	10	22	8	1	25	1	16	8	-	6	-	2	3	1
2012	관악구	난곡동	60	22	8	11	2	1	38	1	19	17	1	-	-	-	-	-
2012	관악구	삼성동	38	22	11	6	4	1	16	-	10	6	-	-	-	-	-	-
2012	관악구	미성동	99	58	10	34	7	7	36	-	26	10	-	5	-	2	2	1
2012	서초구	소계	373	171	37	31	93	10	190	4	5	94	87	12	-	7	5	-
2012	서초구	서초1동	19	5	-	…	…	…	14	-	-	…	…	-	-	-	-	-
2012	서초구	서초2동	14	6	1	…	…	…	8	-	1	…	…	-	-	-	-	-
2012	서초구	서초3동	36	13	7	…	…	…	22	-	1	…	…	1	-	1	-	-
2012	서초구	서초4동	17	2	-	…	…	…	13	-	-	…	…	2	-	2	-	-
2012	서초구	잠원동	14	2	-	…	…	…	12	-	1	…	…	-	-	-	-	-
2012	서초구	반포본동	9	7	2	…	…	…	1	-	-	…	…	1	-	-	1	-
2012	서초구	반포1동	33	10	-	…	…	…	23	-	1	…	…	-	-	-	-	-
2012	서초구	반포2동	15	4	1	…	…	…	10	1	-	…	…	1	-	1	-	-
2012	서초구	반포3동	4	1	1	…	…	…	-	-	-	…	…	3	-	3	-	-
2012	서초구	반포4동	33	12	4	…	…	…	21	3	-	…	…	-	-	-	-	-
2012	서초구	방배본동	8	3	1	…	…	…	5	-	-	…	…	-	-	-	-	-
2012	서초구	방배1동	24	12	5	…	…	…	12	-	-	…	…	-	-	-	-	-
2012	서초구	방배2동	25	19	3	…	…	…	6	-	-	…	…	-	-	-	-	-
2012	서초구	방배3동	17	13	2	…	…	…	3	-	1	…	…	1	-	-	1	-
2012	서초구	방배4동	22	17	1	…	…	…	5	-	-	…	…	-	-	-	-	-
2012	서초구	양재1동	30	12	4	…	…	…	15	-	-	…	…	3	-	-	3	-
2012	서초구	양재2동	29	15	4	…	…	…	14	-	-	…	…	-	-	-	-	-
2012	서초구	내곡동	24	18	1	…	…	…	6	-	-	…	…	-	-	-	-	-
2012	강남구	소계	505	248	58	56	122	12	240	9	8	214	9	17	-	6	9	2
2012	강남구	신사동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	논현1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	논현2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	삼성1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	삼성2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	대치1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	대치4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	역삼1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	역삼2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	도곡1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	도곡2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	개포1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	개포4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	일원본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	일원1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	일원2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	수서동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	세곡동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	압구정동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	청담동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	대치2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강남구	개포2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	송파구	소계	562	300	72	67	130	31	258	3	8	235	12	4	-	-	4	-
2012	송파구	풍납1동	10	5	-	1	3	1	5	-	-	5	-	-	-	-	-	-
2012	송파구	풍납2동	26	14	4	5	3	2	12	-	-	12	-	-	-	-	-	-
2012	송파구	거여1동	17	9	4	-	5	-	8	-	-	8	-	-	-	-	-	-
2012	송파구	거여2동	13	7	2	1	4	-	6	-	-	6	-	-	-	-	-	-
2012	송파구	마천1동	35	22	4	7	9	2	13	-	-	13	-	-	-	-	-	-
2012	송파구	마천2동	41	25	4	5	13	3	16	-	-	14	2	-	-	-	-	-
2012	송파구	방이1동	28	13	3	2	7	1	15	-	1	12	2	-	-	-	-	-
2012	송파구	방이2동	45	17	2	2	10	3	28	1	1	24	2	-	-	-	-	-
2012	송파구	오륜동	21	14	3	3	6	2	7	-	-	7	-	-	-	-	-	-
2012	송파구	오금동	28	15	2	5	5	3	12	1	1	10	-	1	-	-	1	-
2012	송파구	송파1동	30	10	1	3	5	1	18	-	1	15	2	2	-	-	2	-
2012	송파구	송파2동	16	6	1	2	3	-	10	-	-	10	-	-	-	-	-	-
2012	송파구	석촌동	26	12	2	3	5	2	14	-	-	14	-	-	-	-	-	-
2012	송파구	삼전동	35	27	8	4	15	-	8	-	1	7	-	-	-	-	-	-
2012	송파구	가락본동	31	14	2	4	6	2	17	-	2	13	2	-	-	-	-	-
2012	송파구	가락1동	26	13	4	3	4	2	13	-	-	11	2	-	-	-	-	-
2012	송파구	가락2동	18	9	3	-	5	1	9	-	1	8	-	-	-	-	-	-
2012	송파구	문정1동	15	8	2	2	3	1	6	-	-	6	-	1	-	-	1	-
2012	송파구	문정2동	14	7	4	1	2	-	7	-	-	7	-	-	-	-	-	-
2012	송파구	장지동	10	9	5	1	2	1	1	-	-	1	-	-	-	-	-	-
2012	송파구	잠실본동	25	13	4	4	4	1	12	-	-	12	-	-	-	-	-	-
2012	송파구	잠실4동	12	7	2	5	-	-	5	-	-	5	-	-	-	-	-	-
2012	송파구	잠실6동	10	6	1	1	4	-	4	-	-	4	-	-	-	-	-	-
2012	송파구	잠실7동	3	1	-	-	1	-	2	-	-	2	-	-	-	-	-	-
2012	송파구	잠실2동	11	6	1	1	3	1	5	-	-	5	-	-	-	-	-	-
2012	송파구	잠실3동	16	11	4	2	3	2	5	1	-	4	-	-	-	-	-	-
2012	강동구	소계	593	433	144	189	56	44	141	7	49	65	20	19	1	13	2	3
2012	강동구	강일동	21	11	4	3	2	2	8	1	2	3	2	2	-	1	-	1
2012	강동구	상일동	22	12	2	5	2	3	9	-	3	5	1	1	-	1	-	-
2012	강동구	명일1동	28	23	8	12	2	1	5	-	2	1	2	-	-	-	-	-
2012	강동구	명일2동	38	27	10	11	2	4	10	2	3	3	2	1	-	1	-	-
2012	강동구	고덕1동	41	27	9	11	3	4	11	-	4	5	2	3	-	3	-	-
2012	강동구	고덕2동	29	17	5	6	4	2	11	1	4	5	1	1	-	1	-	-
2012	강동구	암사2동	26	17	5	7	2	3	8	-	2	6	-	1	1	-	-	-
2012	강동구	암사3동	40	23	7	14	2	-	16	-	5	10	1	1	-	1	-	-
2012	강동구	천호1동	44	36	12	19	3	2	6	-	1	2	3	2	-	1	1	-
2012	강동구	천호3동	47	40	10	25	3	2	6	-	2	3	1	1	-	-	1	-
2012	강동구	성내1동	36	26	11	10	3	2	7	-	3	3	1	3	-	1	-	2
2012	강동구	성내2동	30	23	5	12	4	2	7	-	4	2	1	-	-	-	-	-
2012	강동구	성내3동	41	31	5	15	8	3	9	-	3	5	1	1	-	1	-	-
2012	강동구	둔촌1동	47	42	14	20	4	4	5	1	2	2	-	-	-	-	-	-
2012	강동구	둔촌2동	20	16	3	5	3	5	3	-	2	1	-	1	-	1	-	-
2012	강동구	암사1동	25	20	12	2	4	2	4	1	1	2	-	1	-	1	-	-
2012	강동구	천호2동	24	18	9	4	3	2	6	-	2	3	1	-	-	-	-	-
2012	강동구	길동	34	24	13	8	2	1	10	1	4	4	1	-	-	-	-	-
