기간	자치구	동	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	동	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	동	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	성동구	행당2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	응봉동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	금호1가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	금호4가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	성수1가1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	성수1가2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	성수2가1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	성수2가3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	송정동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	용답동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	왕십리도선동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	금호2.3가동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성동구	옥수동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	광진구	소계	542	307	77	68	138	24	225	2	93	125	5	10	-	2	7	1
2012	광진구	화양동	35	24	7	6	9	2	9	-	1	8	-	2	-	1	1	-
