기간	자치구	행정동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2016	동대문구	이문1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동대문구	이문2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	중랑구	소계	333	4,856	94,622	426,481	422,947	21,743	25,277	223,031	203,450	50,351	333	4,856	94,622	426,481	422,947	21,743	25,277	223,031	203,450	50,351
2016	중랑구	면목2동	53	725	12,341	50,731	50,602	…	…	27,064	23,667	3,200	53	725	12,341	50,731	50,602	…	…	27,064	23,667	3,200
2016	중랑구	면목4동	17	226	5,265	34,477	34,833	…	…	22,804	11,673	649	17	226	5,265	34,477	34,833	…	…	22,804	11,673	649
2016	중랑구	면목5동	23	283	4,887	23,469	23,144	…	…	13,501	9,968	4,498	23	283	4,887	23,469	23,144	…	…	13,501	9,968	4,498
2016	중랑구	면목7동	28	303	4,862	11,337	11,941	…	…	4,488	6,849	2,717	28	303	4,862	11,337	11,941	…	…	4,488	6,849	2,717
2016	중랑구	상봉1동	22	409	10,404	58,743	55,653	…	…	30,219	28,524	14,257	22	409	10,404	58,743	55,653	…	…	30,219	28,524	14,257
2016	중랑구	상봉2동	22	297	5,664	28,626	29,234	…	…	17,719	10,907	835	22	297	5,664	28,626	29,234	…	…	17,719	10,907	835
2016	중랑구	중화1동	16	228	4,445	11,856	11,855	…	…	4,202	7,654	1,569	16	228	4,445	11,856	11,855	…	…	4,202	7,654	1,569
2016	중랑구	중화2동	8	189	3,702	10,336	10,383	…	…	3,324	7,012	1,696	8	189	3,702	10,336	10,383	…	…	3,324	7,012	1,696
2016	중랑구	묵1동	7	149	2,974	19,708	19,473	…	…	7,908	11,800	1,601	7	149	2,974	19,708	19,473	…	…	7,908	11,800	1,601
2016	중랑구	묵2동	10	160	2,870	23,667	23,535	…	…	9,490	14,177	3,245	10	160	2,870	23,667	23,535	…	…	9,490	14,177	3,245
2016	중랑구	망우3동	19	298	6,645	30,813	30,753	…	…	16,892	13,921	3,818	19	298	6,645	30,813	30,753	…	…	16,892	13,921	3,818
2016	중랑구	신내1동	9	149	2,474	5,608	5,608	…	…	2,343	3,265	644	9	149	2,474	5,608	5,608	…	…	2,343	3,265	644
2016	중랑구	면목본동	33	474	9,762	46,557	45,834	…	…	28,304	18,253	3,567	33	474	9,762	46,557	45,834	…	…	28,304	18,253	3,567
2016	중랑구	면목3.8동	23	346	6,131	27,238	26,308	…	…	15,172	12,066	5,751	23	346	6,131	27,238	26,308	…	…	15,172	12,066	5,751
2016	중랑구	망우본동	43	620	12,196	43,315	43,791	…	…	19,601	23,714	2,304	43	620	12,196	43,315	43,791	…	…	19,601	23,714	2,304
2016	성북구	소계	102	1,738	39,872	278,891	281,496	24,621	22,016	164,036	114,855	45,464	102	1,738	39,872	278,891	281,496	24,621	22,016	164,036	114,855	45,464
2016	성북구	돈암1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	성북구	안암동	6	171	4,288	33,072	33,084	…	…	16,882	16,190	7,981	6	171	4,288	33,072	33,084	…	…	16,882	16,190	7,981
2016	성북구	보문동	4	70	1,354	8,900	9,080	…	…	4,764	4,136	289	4	70	1,354	8,900	9,080	…	…	4,764	4,136	289
2016	성북구	정릉1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	성북구	정릉3동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	성북구	정릉4동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	성북구	길음1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	성북구	월곡1동	13	253	5,472	28,300	28,371	…	…	12,416	15,884	5,972	13	253	5,472	28,300	28,371	…	…	12,416	15,884	5,972
2016	성북구	월곡2동	6	71	1,398	6,248	6,226	…	…	2,683	3,565	793	6	71	1,398	6,248	6,226	…	…	2,683	3,565	793
2016	성북구	장위1동	13	245	4,225	30,228	30,297	…	…	15,917	14,311	345	13	245	4,225	30,228	30,297	…	…	15,917	14,311	345
2016	성북구	장위2동	16	213	4,466	17,798	17,764	…	…	10,060	7,738	3,675	16	213	4,466	17,798	17,764	…	…	10,060	7,738	3,675
2016	성북구	장위3동	7	197	6,277	91,039	94,939	…	…	65,810	25,229	11,584	7	197	6,277	91,039	94,939	…	…	65,810	25,229	11,584
2016	성북구	성북동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	성북구	삼선동	4	98	2,996	18,600	16,985	…	…	8,549	10,051	12,452	4	98	2,996	18,600	16,985	…	…	8,549	10,051	12,452
2016	성북구	종암동	10	118	2,750	13,092	13,152	…	…	8,313	4,779	360	10	118	2,750	13,092	13,152	…	…	8,313	4,779	360
2016	성북구	석관동	13	142	2,663	10,562	10,510	…	…	5,095	5,467	229	13	142	2,663	10,562	10,510	…	…	5,095	5,467	229
2016	강북구	소계	96	1,525	28,011	163,139	164,211	9,939	8,867	98,663	64,476	20,586	96	1,525	28,011	163,139	164,211	9,939	8,867	98,663	64,476	20,586
2016	강북구	번1동	4	105	2,330	10,397	10,465	…	…	5,740	4,657	267	4	105	2,330	10,397	10,465	…	…	5,740	4,657	267
2016	강북구	번2동	14	241	6,067	42,545	42,136	…	…	26,701	15,844	3,246	14	241	6,067	42,545	42,136	…	…	26,701	15,844	3,246
2016	강북구	번3동	7	182	4,525	34,178	35,273	…	…	24,704	9,474	2,770	7	182	4,525	34,178	35,273	…	…	24,704	9,474	2,770
2016	강북구	수유1동	6	93	1,504	5,803	5,769	…	…	2,786	3,017	430	6	93	1,504	5,803	5,769	…	…	2,786	3,017	430
2016	강북구	수유2동	7	85	1,339	5,696	5,715	…	…	3,043	2,653	2,164	7	85	1,339	5,696	5,715	…	…	3,043	2,653	2,164
2016	강북구	수유3동	12	139	2,522	6,805	6,808	…	…	3,050	3,755	750	12	139	2,522	6,805	6,808	…	…	3,050	3,755	750
2016	강북구	삼양동	9	142	1,325	3,299	3,296	…	…	1,442	1,857	95	9	142	1,325	3,299	3,296	…	…	1,442	1,857	95
2016	강북구	미아동	5	91	1,007	12,053	12,081	…	…	6,202	5,851	4,130	5	91	1,007	12,053	12,081	…	…	6,202	5,851	4,130
2016	강북구	송중동	9	147	3,142	12,792	12,628	…	…	8,305	4,487	4,010	9	147	3,142	12,792	12,628	…	…	8,305	4,487	4,010
2016	강북구	송천동	15	188	1,974	7,141	7,220	…	…	2,567	4,574	530	15	188	1,974	7,141	7,220	…	…	2,567	4,574	530
2016	강북구	삼각산동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강북구	우이동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강북구	인수동	5	57	897	7,332	7,419	…	…	5,475	1,857	130	5	57	897	7,332	7,419	…	…	5,475	1,857	130
2016	도봉구	소계	53	997	23,064	209,546	206,326	5,510	8,730	132,240	77,306	25,979	53	997	23,064	209,546	206,326	5,510	8,730	132,240	77,306	25,979
2016	도봉구	쌍문1동	4	55	1,153	9,183	8,938	…	…	5,688	3,495	494	4	55	1,153	9,183	8,938	…	…	5,688	3,495	494
2016	도봉구	쌍문2동	7	96	2,205	17,180	17,121	…	…	8,824	8,356	2,867	7	96	2,205	17,180	17,121	…	…	8,824	8,356	2,867
2016	도봉구	쌍문3동	4	57	1,064	8,555	8,699	…	…	5,535	3,020	152	4	57	1,064	8,555	8,699	…	…	5,535	3,020	152
2016	도봉구	방학1동	9	123	1,933	12,642	12,255	…	…	6,573	6,069	3,019	9	123	1,933	12,642	12,255	…	…	6,573	6,069	3,019
2016	도봉구	방학2동	6	87	1,216	4,823	4,639	…	…	2,288	2,535	1,227	6	87	1,216	4,823	4,639	…	…	2,288	2,535	1,227
2016	도봉구	창1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	도봉구	창2동	11	383	11,231	135,696	133,059	…	…	92,277	43,419	14,209	11	383	11,231	135,696	133,059	…	…	92,277	43,419	14,209
2016	도봉구	창3동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	도봉구	창4동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	도봉구	창5동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	도봉구	도봉1동	4	57	1,201	5,225	5,315	…	…	2,654	2,571	1,725	4	57	1,201	5,225	5,315	…	…	2,654	2,571	1,725
2016	도봉구	도봉2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	노원구	소계	75	1,728	47,278	294,713	291,185	34,364	37,892	172,949	121,764	50,471	75	1,728	47,278	294,713	291,185	34,364	37,892	172,949	121,764	50,471
2016	노원구	월계1동	10	200	6,820	23,747	23,086	…	…	12,825	10,922	4,289	10	200	6,820	23,747	23,086	…	…	12,825	10,922	4,289
2016	노원구	월계2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	노원구	공릉2동	8	357	12,098	69,099	67,132	…	…	49,748	19,351	8,150	8	357	12,098	69,099	67,132	…	…	49,748	19,351	8,150
2016	노원구	하계1동	11	282	6,348	27,825	27,927	…	…	12,398	15,427	6,825	11	282	6,348	27,825	27,927	…	…	12,398	15,427	6,825
2016	노원구	중계본동	4	66	1,025	6,171	6,412	…	…	3,945	2,226	2,105	4	66	1,025	6,171	6,412	…	…	3,945	2,226	2,105
2016	노원구	상계1동	8	152	4,549	58,877	58,663	…	…	36,521	22,356	5,556	8	152	4,549	58,877	58,663	…	…	36,521	22,356	5,556
2016	노원구	상계5동	7	88	1,157	4,016	4,036	…	…	2,063	1,953	410	7	88	1,157	4,016	4,036	…	…	2,063	1,953	410
2016	노원구	상계3.4동	6	147	3,283	8,485	8,076	…	…	2,565	5,920	184	6	147	3,283	8,485	8,076	…	…	2,565	5,920	184
2016	노원구	상계6.7동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	노원구	중계2.3동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	노원구	공릉1동	17	364	9,374	77,851	77,502	…	…	41,652	36,199	22,004	17	364	9,374	77,851	77,502	…	…	41,652	36,199	22,004
2016	은평구	소계	41	893	19,532	98,619	96,861	7,121	8,879	46,368	52,251	20,349	41	893	19,532	98,619	96,861	7,121	8,879	46,368	52,251	20,349
2016	은평구	녹번동	4	64	712	2,451	2,451	…	…	1,020	1,431	905	4	64	712	2,451	2,451	…	…	1,020	1,431	905
2016	은평구	불광1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	은평구	갈현1동	4	67	1,528	5,816	5,816	…	…	3,632	2,184	2,636	4	67	1,528	5,816	5,816	…	…	3,632	2,184	2,636
2016	은평구	갈현2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	은평구	구산동	3	124	3,409	17,109	17,725	…	…	8,933	8,176	5,914	3	124	3,409	17,109	17,725	…	…	8,933	8,176	5,914
2016	은평구	응암1동	6	91	2,002	5,172	4,945	…	…	1,128	4,044	4,240	6	91	2,002	5,172	4,945	…	…	1,128	4,044	4,240
2016	은평구	신사1동	5	84	1,681	7,234	7,185	…	…	4,272	2,962	922	5	84	1,681	7,234	7,185	…	…	4,272	2,962	922
2016	은평구	신사2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	은평구	증산동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	은평구	수색동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	은평구	불광2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	은평구	응암3동	3	85	1,360	6,260	6,436	…	…	3,348	2,912	314	3	85	1,360	6,260	6,436	…	…	3,348	2,912	314
2016	은평구	역촌동	6	88	1,150	7,728	7,732	…	…	4,446	3,282	1,501	6	88	1,150	7,728	7,732	…	…	4,446	3,282	1,501
2016	서대문구	소계	34	729	17,368	127,467	127,271	10,347	10,543	70,778	56,689	14,621	34	729	17,368	127,467	127,271	10,347	10,543	70,778	56,689	14,621
2016	서대문구	천연동	3	61	306	8,791	8,791	…	…	3,981	4,810	47	3	61	306	8,791	8,791	…	…	3,981	4,810	47
2016	서대문구	홍제1동	5	110	997	14,268	13,113	…	…	6,710	7,558	699	5	110	997	14,268	13,113	…	…	6,710	7,558	699
2016	서대문구	홍제3동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서대문구	홍제2동	3	62	2,456	17,997	18,632	…	…	11,985	6,012	7,169	3	62	2,456	17,997	18,632	…	…	11,985	6,012	7,169
