기간	자치구	동	인구	면적	인구밀도
2016	합계	합계	10,204,057	605.2	16,861
2016	종로구	소계	161,922	23.91	6,771
2016	종로구	사직동	10,013	1.23	8,141
2016	종로구	삼청동	3,118	1.49	2,093
2016	종로구	부암동	11,044	2.27	4,865
2016	종로구	평창동	19,457	8.87	2,194
2016	종로구	무악동	8,516	0.36	23,656
2016	종로구	교남동	4,748	0.35	13,566
2016	종로구	가회동	4,780	0.54	8,852
2016	종로구	종로1.2.3.4가동	8,727	2.35	3,714
2016	종로구	종로5·6가동	5,775	0.6	9,625
2016	종로구	이화동	8,927	0.78	11,445
2016	종로구	창신1동	6,590	0.31	21,258
2016	종로구	창신2동	10,701	0.26	41,158
2016	종로구	창신3동	7,753	0.23	33,709
2016	종로구	숭인1동	7,109	0.23	30,909
2016	종로구	숭인2동	10,148	0.35	28,994
2016	종로구	청운효자동	14,111	2.57	5,491
2016	종로구	혜화동	20,405	1.12	18,219
2016	중구	소계	134,409	9.96	13,494
2016	중구	소공동	2,596	0.95	2,733
2016	중구	회현동	6,128	0.84	7,295
2016	중구	명동	3,524	0.99	3,560
2016	중구	필동	5,120	1.14	4,491
2016	중구	장충동	5,845	1.36	4,298
2016	중구	광희동	6,031	0.74	8,150
2016	중구	을지로동	1,826	0.6	3,043
2016	중구	신당5동	10,164	0.39	26,062
2016	중구	황학동	13,217	0.33	40,052
2016	중구	중림동	8,902	0.48	18,546
2016	중구	신당동	9,429	0.55	17,144
2016	중구	다산동	15,956	0.51	31,286
2016	중구	약수동	18,796	0.48	39,158
2016	중구	청구동	15,233	0.34	44,803
2016	중구	동화동	11,642	0.26	44,777
2016	용산구	소계	245,102	21.87	11,209
2016	용산구	후암동	19,308	0.86	22,451
2016	용산구	용산2가동	12,746	1.96	6,503
2016	용산구	남영동	8,762	1.19	7,363
2016	용산구	원효로2동	15,512	0.71	21,848
2016	용산구	효창동	9,566	0.44	21,741
2016	용산구	용문동	12,862	0.28	45,936
2016	용산구	이촌1동	29,134	2.86	10,187
2016	용산구	이촌2동	9,380	1.22	7,689
2016	용산구	이태원1동	8,806	0.57	15,449
2016	용산구	이태원2동	11,004	0.86	12,795
2016	용산구	서빙고동	14,507	2.8	5,181
2016	용산구	보광동	16,988	0.71	23,927
2016	용산구	청파동	21,913	0.91	24,080
