기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	광진구	자양3동	180	-	255	154	209	22	36	4	10	-	-
2016	광진구	자양4동	540	-	692	474	590	49	70	17	32	-	-
2016	광진구	기타	-	23	85	-	-	-	-	-	-	23	85
2016	동대문구	소계	8,278	27	11,585	7,231	9,521	711	1,343	336	481	27	240
2016	동대문구	회기동	155	-	209	125	161	22	38	8	10	-	-
2016	동대문구	휘경1동	293	-	397	256	333	24	42	13	22	-	-
2016	동대문구	휘경2동	275	-	405	233	324	26	56	16	25	-	-
2016	동대문구	청량리동	1,002	-	1,250	888	1,071	86	150	28	29	-	-
2016	동대문구	용신동	962	-	1,164	865	1,010	59	96	38	58	-	-
2016	동대문구	제기동	845	-	1,074	749	932	65	101	31	41	-	-
2016	동대문구	전농1동	1,060	-	1,410	923	1,179	88	158	49	73	-	-
2016	동대문구	전농2동	389	-	582	341	495	29	54	19	33	-	-
2016	동대문구	답십리1동	426	-	630	378	553	30	53	18	24	-	-
2016	동대문구	답십리2동	653	-	969	556	783	62	142	35	44	-	-
2016	동대문구	장안1동	630	-	903	545	743	63	131	22	29	-	-
2016	동대문구	장안2동	489	-	721	445	625	34	80	10	16	-	-
2016	동대문구	이문1동	610	-	900	504	701	69	139	37	60	-	-
2016	동대문구	이문2동	489	-	731	423	611	54	103	12	17	-	-
2016	동대문구	기타	-	27	240	-	-	-	-	-	-	27	240
2016	중랑구	소계	10,044	43	15,194	9,168	12,988	665	1,392	211	323	43	491
2016	중랑구	면목2동	675	-	937	633	865	33	61	9	11	-	-
2016	중랑구	면목4동	709	-	1,110	654	972	42	108	13	30	-	-
2016	중랑구	면목5동	268	-	407	246	359	20	46	2	2	-	-
2016	중랑구	면목7동	472	-	649	434	583	24	46	14	20	-	-
2016	중랑구	상봉1동	716	-	1,174	637	994	71	159	8	21	-	-
2016	중랑구	상봉2동	426	-	568	387	508	27	47	12	13	-	-
2016	중랑구	중화1동	341	-	488	318	437	19	44	4	7	-	-
2016	중랑구	중화2동	973	-	1,332	898	1,190	63	122	12	20	-	-
2016	중랑구	묵1동	425	-	646	394	586	28	57	3	3	-	-
2016	중랑구	묵2동	421	-	609	380	531	32	64	9	14	-	-
2016	중랑구	망우3동	756	-	1,084	680	935	48	108	28	41	-	-
2016	중랑구	신내1동	533	-	863	488	756	38	94	7	13	-	-
2016	중랑구	신내2동	677	-	1,041	605	885	52	114	20	42	-	-
2016	중랑구	면목본동	985	-	1,423	897	1,275	62	116	26	32	-	-
2016	중랑구	면목3.8동	775	-	1,107	709	998	40	75	26	34	-	-
