기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	관악구	신림동	274	-	316	207	231	58	69	9	16	-	-
2016	관악구	난향동	292	-	427	244	341	35	69	13	17	-	-
2016	관악구	조원동	246	-	330	214	284	27	40	5	6	-	-
2016	관악구	대학동	343	-	476	233	312	102	152	8	12	-	-
2016	관악구	은천동	727	-	1,051	617	848	85	164	25	39	-	-
2016	관악구	성현동	774	-	1,167	626	895	115	227	33	45	-	-
2016	관악구	청룡동	358	-	479	289	358	50	99	19	22	-	-
2016	관악구	난곡동	802	-	1,242	667	968	112	227	23	47	-	-
2016	관악구	삼성동	712	-	1,009	628	831	70	156	14	22	-	-
2016	관악구	미성동	583	-	895	483	682	74	167	26	46	-	-
2016	관악구	기타	-	36	442	-	-	-	-	-	-	36	442
2016	서초구	소계	3,023	9	4,853	2,486	3,508	487	1,091	50	74	9	180
2016	서초구	서초1동	151	-	226	128	170	22	54	1	2	-	-
2016	서초구	서초2동	55	-	76	50	66	5	10	-	-	-	-
2016	서초구	서초3동	139	-	192	122	154	16	37	1	1	-	-
2016	서초구	서초4동	23	-	32	16	22	7	10	-	-	-	-
2016	서초구	잠원동	135	-	172	121	148	13	23	1	1	-	-
2016	서초구	반포본동	4	-	9	4	9	-	-	-	-	-	-
2016	서초구	반포1동	150	-	196	126	154	21	37	3	5	-	-
2016	서초구	반포2동	10	-	13	9	12	1	1	-	-	-	-
2016	서초구	반포3동	15	-	18	14	15	1	3	-	-	-	-
2016	서초구	반포4동	40	-	56	38	54	1	1	1	1	-	-
2016	서초구	방배본동	109	-	162	87	115	21	46	1	1	-	-
2016	서초구	방배1동	148	-	176	126	144	16	25	6	7	-	-
2016	서초구	방배2동	238	-	339	201	262	34	73	3	4	-	-
2016	서초구	방배3동	172	-	267	125	186	43	76	4	5	-	-
2016	서초구	방배4동	158	-	213	135	169	20	41	3	3	-	-
2016	서초구	양재1동	906	-	1,537	746	1,171	150	346	10	20	-	-
2016	서초구	양재2동	259	-	368	206	265	47	97	6	6	-	-
2016	서초구	내곡동	311	-	621	232	392	69	211	10	18	-	-
2016	서초구	기타	-	9	180	-	-	-	-	-	-	9	180
2016	강남구	소계	6,915	11	11,532	5,666	8,231	1,140	2,461	109	193	11	647
2016	강남구	신사동	93	-	128	84	108	9	20	-	-	-	-
2016	강남구	논현1동	263	-	356	204	264	53	85	6	7	-	-
2016	강남구	논현2동	205	-	319	148	198	52	112	5	9	-	-
2016	강남구	삼성1동	56	-	107	39	68	16	38	1	1	-	-
2016	강남구	삼성2동	220	-	324	167	216	49	101	4	7	-	-
2016	강남구	대치1동	12	-	18	7	8	4	8	1	2	-	-
2016	강남구	대치4동	173	-	229	132	164	37	60	4	5	-	-
2016	강남구	역삼1동	281	-	415	218	292	60	116	3	7	-	-
2016	강남구	역삼2동	276	-	343	249	293	26	49	1	1	-	-
2016	강남구	도곡1동	62	-	83	55	69	7	14	-	-	-	-
2016	강남구	도곡2동	23	-	37	18	21	5	16	-	-	-	-
2016	강남구	개포1동	316	-	483	258	352	56	126	2	5	-	-
2016	강남구	개포4동	295	-	450	221	308	71	135	3	7	-	-
2016	강남구	일원본동	29	-	51	23	34	6	17	-	-	-	-
2016	강남구	일원1동	817	-	1,285	688	1,023	112	229	17	33	-	-
2016	강남구	일원2동	647	-	957	569	812	71	134	7	11	-	-
2016	강남구	수서동	1,868	-	2,853	1,597	2,274	245	532	26	47	-	-
2016	강남구	세곡동	838	-	1,756	653	1,247	165	469	20	40	-	-
2016	강남구	압구정동	40	-	48	33	36	7	12	-	-	-	-
2016	강남구	청담동	123	-	210	92	148	28	59	3	3	-	-
2016	강남구	대치2동	93	-	141	72	102	20	38	1	1	-	-
2016	강남구	개포2동	185	-	292	139	194	41	91	5	7	-	-
2016	강남구	기타	-	11	647	-	-	-	-	-	-	11	647
2016	송파구	소계	5,942	24	9,480	4,935	6,906	748	1,769	259	371	24	434
2016	송파구	풍납1동	323	-	451	282	377	31	62	10	12	-	-
2016	송파구	풍납2동	266	-	393	238	340	16	33	12	20	-	-
2016	송파구	거여1동	255	-	373	223	310	30	61	2	2	-	-
2016	송파구	거여2동	376	-	541	316	421	41	88	19	32	-	-
2016	송파구	마천1동	685	-	1,021	589	815	66	163	30	43	-	-
2016	송파구	마천2동	578	-	890	494	714	60	144	24	32	-	-
2016	송파구	방이1동	103	-	175	85	134	15	38	3	3	-	-
2016	송파구	방이2동	250	-	390	204	301	35	71	11	18	-	-
2016	송파구	오륜동	5	-	5	5	5	-	-	-	-	-	-
2016	송파구	오금동	365	-	599	306	471	44	102	15	26	-	-
2016	송파구	송파1동	234	-	337	180	218	45	106	9	13	-	-
2016	송파구	송파2동	145	-	234	113	158	27	69	5	7	-	-
2016	송파구	석촌동	432	-	622	357	471	46	109	29	42	-	-
2016	송파구	삼전동	430	-	688	337	466	71	195	22	27	-	-
2016	송파구	가락본동	205	-	276	169	210	29	55	7	11	-	-
2016	송파구	가락1동	2	-	2	2	2	-	-	-	-	-	-
2016	송파구	가락2동	190	-	311	150	219	30	82	10	10	-	-
2016	송파구	문정1동	135	-	193	114	157	14	28	7	8	-	-
2016	송파구	문정2동	32	-	42	27	37	4	4	1	1	-	-
2016	송파구	장지동	518	-	916	414	667	74	200	30	49	-	-
2016	송파구	위례동	17	-	33	14	23	2	8	1	2	-	-
2016	송파구	잠실본동	325	-	464	255	318	60	135	10	11	-	-
2016	송파구	잠실4동	19	-	25	18	22	1	3	-	-	-	-
2016	송파구	잠실6동	13	-	19	10	13	2	5	1	1	-	-
2016	송파구	잠실7동	3	-	4	3	4	-	-	-	-	-	-
2016	송파구	잠실2동	13	-	14	11	12	2	2	-	-	-	-
2016	송파구	잠실3동	23	-	28	19	21	3	6	1	1	-	-
2016	송파구	기타	-	24	434	-	-	-	-	-	-	24	434
2016	강동구	소계	6,310	21	10,004	5,306	7,419	838	1,821	166	254	21	510
2016	강동구	강일동	506	-	970	423	743	64	192	19	35	-	-
2016	강동구	상일동	131	-	184	112	142	18	41	1	1	-	-
2016	강동구	명일1동	173	-	250	139	183	32	65	2	2	-	-
2016	강동구	명일2동	84	-	136	64	94	16	35	4	7	-	-
2016	강동구	고덕1동	153	-	231	125	179	22	43	6	9	-	-
2016	강동구	고덕2동	306	-	475	255	364	44	102	7	9	-	-
2016	강동구	암사2동	69	-	88	63	81	5	6	1	1	-	-
2016	강동구	암사3동	58	-	83	48	67	7	12	3	4	-	-
2016	강동구	천호1동	608	-	862	520	691	71	148	17	23	-	-
2016	강동구	천호3동	700	-	960	601	786	76	141	23	33	-	-
2016	강동구	성내1동	113	-	170	95	133	17	35	1	2	-	-
2016	강동구	성내2동	486	-	667	411	532	64	123	11	12	-	-
2016	강동구	성내3동	256	-	357	211	281	39	61	6	15	-	-
2016	강동구	둔촌1동	41	-	77	37	70	3	6	1	1	-	-
2016	강동구	둔촌2동	275	-	445	235	351	37	87	3	7	-	-
2016	강동구	암사1동	846	-	1,345	695	1,002	127	302	24	41	-	-
2016	강동구	천호2동	897	-	1,299	765	1,026	111	242	21	31	-	-
2016	강동구	길동	608	-	895	507	694	85	180	16	21	-	-
2016	강동구	기타	-	21	510	-	-	-	-	-	-	21	510
