기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2016	합계	합계	820,156	5,079,451	6.19	9년6개월
2016	종로구	계	40,664	268,309	6.6	10년4개월
2016	종로구	사직동	3,489	53,850	15.43	10년5개월
2016	종로구	삼청동	751	4,823	6.42	8년0개월
2016	종로구	부암동	575	3,690	6.42	10년3개월
2016	종로구	평창동	708	2,990	4.22	10년3개월
2016	종로구	무악동	573	1,472	2.57	11년12개월
2016	종로구	교남동	302	3,612	11.96	13년1개월
2016	종로구	가회동	770	14,215	18.46	8년9개월
2016	종로구	종로1.2.3.4가동	15,970	110,743	6.93	11년3개월
2016	종로구	종로5·6가동	7,691	23,392	3.04	9년9개월
2016	종로구	이화동	1,248	16,032	12.85	8년9개월
2016	종로구	창신1동	2,273	6,340	2.79	9년10개월
2016	종로구	창신2동	872	2,429	2.79	9년6개월
2016	종로구	창신3동	283	874	3.09	9년2개월
2016	종로구	숭인1동	533	1,587	2.98	8년6개월
2016	종로구	숭인2동	1,881	6,819	3.63	10년1개월
2016	종로구	청운효자동	1,009	6,415	6.36	9년11개월
2016	종로구	혜화동	1,736	9,026	5.2	8년8개월
2016	중구	계	63,640	402,892	6.33	9년9개월
2016	중구	소공동	3,929	65,041	16.55	10년10개월
2016	중구	회현동	9,697	52,540	5.42	10년7개월
2016	중구	명동	6,778	115,866	17.09	10년5개월
2016	중구	필동	3,159	24,075	7.62	10년6개월
2016	중구	장충동	911	9,874	10.84	10년6개월
2016	중구	광희동	9,380	38,813	4.14	9년7개월
2016	중구	을지로동	9,442	29,762	3.15	12년10개월
2016	중구	신당5동	1,283	3,942	3.07	8년2개월
2016	중구	황학동	1,963	6,435	3.28	10년8개월
2016	중구	중림동	1,005	7,677	7.64	10년4개월
2016	중구	신당동	12,117	27,836	2.3	5년10개월
2016	중구	다산동	1,387	9,577	6.9	9년2개월
2016	중구	약수동	854	3,563	4.17	9년4개월
2016	중구	청구동	765	3,856	5.04	10년4개월
2016	중구	동화동	970	4,035	4.16	8년2개월
2016	용산구	계	20,994	129,033	6.15	9년4개월
2016	용산구	후암동	840	5,493	6.54	10년4개월
2016	용산구	용산2가동	574	2,075	3.61	10년3개월
2016	용산구	남영동	1,673	18,172	10.86	9년5개월
2016	용산구	원효로2동	1,190	7,045	5.92	9년12개월
2016	용산구	효창동	469	2,300	4.9	10년8개월
2016	용산구	용문동	682	1,568	2.3	8년9개월
2016	용산구	이촌1동	823	3,825	4.65	11년1개월
2016	용산구	이촌2동	340	821	2.41	12년1개월
2016	용산구	이태원1동	1,714	8,286	4.83	7년10개월
2016	용산구	이태원2동	733	3,216	4.39	7년9개월
2016	용산구	서빙고동	415	5,077	12.23	11년3개월
2016	용산구	보광동	836	2,786	3.33	10년1개월
2016	용산구	청파동	1,915	9,433	4.93	10년6개월
2016	용산구	원효로1동	1,843	10,407	5.65	9년0개월
2016	용산구	한강로동	4,892	31,880	6.52	9년1개월
2016	용산구	한남동	2,055	16,649	8.1	7년12개월
2016	성동구	계	26,581	165,047	6.21	9년7개월
2016	성동구	왕십리2동	780	2,440	3.13	9년10개월
2016	성동구	마장동	3,238	11,683	3.61	10년6개월
2016	성동구	사근동	1,088	11,474	10.55	8년3개월
2016	성동구	행당1동	1,451	8,783	6.05	7년11개월
2016	성동구	행당2동	582	1,927	3.31	8년6개월
2016	성동구	응봉동	375	1,037	2.77	10년9개월
2016	성동구	금호1가동	535	1,685	3.15	10년1개월
2016	성동구	금호4가동	617	1,786	2.89	10년1개월
2016	성동구	성수1가1동	1,546	7,815	5.05	10년5개월
2016	성동구	성수1가2동	2,198	17,103	7.78	9년3개월
2016	성동구	성수2가1동	2,626	18,337	6.98	9년10개월
2016	성동구	성수2가3동	5,056	45,871	9.07	9년9개월
2016	성동구	송정동	695	2,453	3.53	10년8개월
2016	성동구	용답동	2,055	15,156	7.38	9년11개월
2016	성동구	왕십리도선동	1,906	11,693	6.13	8년1개월
2016	성동구	금호2.3가동	1,008	2,758	2.74	10년3개월
2016	성동구	옥수동	825	3,046	3.69	8년6개월
2016	광진구	계	24,895	126,937	5.1	9년3개월
2016	광진구	화양동	2,474	15,035	6.08	7년4개월
2016	광진구	군자동	1,609	10,040	6.24	9년4개월
2016	광진구	중곡1동	1,639	6,476	3.95	9년7개월
2016	광진구	중곡2동	1,660	6,711	4.04	9년1개월
2016	광진구	중곡3동	1,347	5,601	4.16	9년11개월
2016	광진구	중곡4동	1,545	4,810	3.11	10년10개월
2016	광진구	능동	758	5,945	7.84	8년10개월
2016	광진구	구의1동	1,900	6,556	3.45	8년9개월
2016	광진구	구의2동	1,251	5,199	4.16	11년1개월
2016	광진구	구의3동	2,636	19,517	7.4	8년3개월
2016	광진구	광장동	1,402	12,078	8.61	8년10개월
2016	광진구	자양1동	1,736	8,527	4.91	10년1개월
2016	광진구	자양2동	1,524	7,659	5.03	10년6개월
2016	광진구	자양3동	1,356	6,395	4.72	9년9개월
2016	광진구	자양4동	2,058	6,388	3.1	9년2개월
2016	동대문구	계	32,762	144,172	4.4	9년10개월
2016	동대문구	회기동	988	9,709	9.83	8년3개월
2016	동대문구	휘경1동	1,027	4,606	4.48	9년4개월
2016	동대문구	휘경2동	1,197	4,977	4.16	9년12개월
2016	동대문구	청량리동	1,683	8,132	4.83	10년10개월
2016	동대문구	용신동	5,820	32,819	5.64	9년11개월
2016	동대문구	제기동	4,739	11,977	2.53	11년9개월
2016	동대문구	전농1동	2,178	8,303	3.81	8년6개월
2016	동대문구	전농2동	875	4,824	5.51	10년1개월
2016	동대문구	답십리1동	2,242	10,402	4.64	10년4개월
2016	동대문구	답십리2동	2,055	6,059	2.95	10년4개월
2016	동대문구	장안1동	4,539	21,790	4.8	9년3개월
2016	동대문구	장안2동	3,204	11,468	3.58	8년2개월
2016	동대문구	이문1동	1,486	6,849	4.61	8년12개월
2016	동대문구	이문2동	729	2,257	3.1	9년9개월
2016	중랑구	계	27,915	101,190	3.62	9년1개월
2016	중랑구	면목2동	2,053	6,620	3.22	8년11개월
2016	중랑구	면목4동	1,102	3,702	3.36	8년10개월
2016	중랑구	면목5동	873	2,976	3.41	8년12개월
2016	중랑구	면목7동	1,512	4,175	2.76	9년0개월
2016	중랑구	상봉1동	1,124	6,360	5.66	8년11개월
2016	중랑구	상봉2동	2,131	9,451	4.44	7년12개월
2016	중랑구	중화1동	1,061	3,715	3.5	9년1개월
2016	중랑구	중화2동	2,126	7,516	3.54	9년2개월
2016	중랑구	묵1동	1,471	5,369	3.65	8년8개월
2016	중랑구	묵2동	1,815	4,712	2.6	9년11개월
2016	중랑구	망우3동	1,107	3,728	3.37	8년8개월
2016	중랑구	신내1동	1,945	9,956	5.12	9년3개월
2016	중랑구	신내2동	1,136	6,165	5.43	9년2개월
2016	중랑구	면목본동	2,498	7,459	2.99	8년4개월
2016	중랑구	면목3.8동	2,090	7,040	3.37	8년6개월
2016	중랑구	망우본동	3,871	12,246	3.16	10년6개월
2016	성북구	계	24,560	111,442	4.54	9년8개월
2016	성북구	돈암1동	394	1,788	4.54	10년3개월
2016	성북구	돈암2동	398	2,168	5.45	10년2개월
2016	성북구	안암동	1,462	12,928	8.84	8년10개월
2016	성북구	보문동	1,303	5,195	3.99	9년8개월
2016	성북구	정릉1동	732	2,053	2.8	10년4개월
2016	성북구	정릉2동	900	2,871	3.19	10년6개월
2016	성북구	정릉3동	667	4,319	6.48	13년2개월
2016	성북구	정릉4동	929	4,283	4.61	10년7개월
2016	성북구	길음1동	968	3,525	3.64	8년8개월
2016	성북구	길음2동	1,296	4,987	3.85	8년4개월
2016	성북구	월곡1동	1,376	5,062	3.68	9년11개월
2016	성북구	월곡2동	1,594	7,909	4.96	8년3개월
2016	성북구	장위1동	1,028	2,643	2.57	10년9개월
2016	성북구	장위2동	1,606	5,015	3.12	10년3개월
2016	성북구	장위3동	804	3,480	4.33	10년11개월
2016	성북구	성북동	1,107	5,286	4.78	10년10개월
2016	성북구	삼선동	1,849	10,526	5.69	9년8개월
2016	성북구	동선동	1,936	10,556	5.45	7년9개월
2016	성북구	종암동	2,048	7,309	3.57	9년8개월
2016	성북구	석관동	2,163	9,539	4.41	9년8개월
2016	강북구	계	18,742	69,768	3.72	8년9개월
2016	강북구	번1동	1,793	8,987	5.01	8년0개월
2016	강북구	번2동	656	3,314	5.05	10년9개월
2016	강북구	번3동	860	2,922	3.4	10년10개월
2016	강북구	수유1동	1,449	4,878	3.37	10년2개월
2016	강북구	수유2동	1,363	4,339	3.18	8년10개월
2016	강북구	수유3동	2,399	8,658	3.61	7년1개월
2016	강북구	삼양동	1,176	3,641	3.1	9년3개월
2016	강북구	미아동	1,639	6,194	3.78	7년10개월
2016	강북구	송중동	1,955	7,783	3.98	8년1개월
2016	강북구	송천동	2,128	7,241	3.4	9년5개월
2016	강북구	삼각산동	781	2,354	3.01	7년3개월
2016	강북구	우이동	993	3,970	4	9년7개월
2016	강북구	인수동	1,550	5,487	3.54	9년6개월
2016	도봉구	계	18,686	70,166	3.76	7년9개월
2016	도봉구	쌍문1동	928	3,908	4.21	8년8개월
2016	도봉구	쌍문2동	1,308	5,503	4.21	6년12개월
2016	도봉구	쌍문3동	975	4,078	4.18	7년10개월
2016	도봉구	쌍문4동	616	1,922	3.12	7년8개월
2016	도봉구	방학1동	2,330	10,831	4.65	6년11개월
2016	도봉구	방학2동	1,244	3,029	2.43	7년12개월
2016	도봉구	방학3동	871	3,127	3.59	8년2개월
2016	도봉구	창1동	1,404	3,739	2.66	8년4개월
2016	도봉구	창2동	1,398	4,457	3.19	7년11개월
2016	도봉구	창3동	969	2,242	2.31	7년8개월
2016	도봉구	창4동	1,284	7,286	5.67	7년11개월
2016	도봉구	창5동	2,219	7,259	3.27	7년2개월
2016	도봉구	도봉1동	1,701	6,063	3.56	8년10개월
2016	도봉구	도봉2동	1,439	6,722	4.67	7년5개월
2016	노원구	계	26,271	114,999	4.38	11년10개월
2016	노원구	월계1동	1,444	6,011	4.16	10년8개월
2016	노원구	월계2동	922	3,313	3.59	15년10개월
