기간	자치구	동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	광업	광업	광업	광업	광업	광업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	동	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	동	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2012	합계	합계	4,541	115,454	3,192,620	33,121,455	32,635,864	3,353,619	3,839,210	19,034,798	14,086,657	8,653,243	1	X	X	X	X	X	X	X	X	X	4,540	115,385	3,189,134	33,109,513	32,623,922	3,353,619	3,839,210	19,032,311	14,077,202	8,611,519
2012	종로구	소계	90	3,306	118,746	1,980,253	1,828,619	329,363	480,997	1,260,487	719,766	255,542	-	-	-	-	-	-	-	-	-	-	90	3,306	118,746	1,980,253	1,828,619	329,363	480,997	1,260,487	719,766	255,542
2012	종로구	사직동	5	70	2,138	7,366	7,367	…	…	2,614	4,752	1,172	-	-	-	-	-	-	-	-	-	-	5	70	2,138	7,366	7,367	…	…	2,614	4,752	1,172
2012	종로구	삼청동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	종로구	부암동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	종로구	평창동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	종로구	가회동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	종로구	종로1.2.3.4가동	44	2,222	96,433	1,710,362	1,562,331	…	…	1,080,157	630,205	211,293	-	-	-	-	-	-	-	-	-	-	44	2,222	96,433	1,710,362	1,562,331	…	…	1,080,157	630,205	211,293
