기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	구로구	신도림동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	고척1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	고척2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	오류1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	오류2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	수궁동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	가리봉동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	구로2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	개봉1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	기타	…	-	-	…	…	…	…	…	…	…	…	…	…	-	-
2012	금천구	소계	4,683	26	7,712	3,937	5,795	646	1,452	100	171	19	37	81	134	26	294
2012	금천구	가산동	423	3	546	359	432	58	99	6	11	1	4	5	7	3	4
2012	금천구	독산1동	709	5	1,212	623	1,009	75	168	11	24	3	5	8	19	5	11
2012	금천구	독산2동	418	2	681	343	516	65	146	10	15	2	4	8	11	2	4
2012	금천구	독산3동	583	4	926	502	751	70	154	11	17	4	7	7	10	4	4
2012	금천구	독산4동	295	1	482	252	377	39	94	4	8	1	2	3	6	1	3
2012	금천구	시흥1동	590	5	890	501	688	74	152	15	29	2	4	13	25	5	21
2012	금천구	시흥2동	556	2	941	443	695	85	196	28	44	2	6	26	38	2	6
2012	금천구	시흥3동	115	1	176	96	133	17	41	2	2	-	-	2	2	1	-
2012	금천구	시흥4동	453	1	746	368	543	74	182	11	19	4	5	7	14	1	2
2012	금천구	시흥5동	541	1	876	450	651	89	220	2	2	-	-	2	2	1	3
2012	금천구	기타	-	1	236	-	-	-	-	-	-	-	-	-	-	1	236
2012	영등포구	소계	5,340	21	8,106	4,755	6,426	510	1,063	75	101	62	88	13	13	21	516
2012	영등포구	여의동	23	-	25	23	25	-	-	-	-	-	-	-	-	-	-
2012	영등포구	당산1동	255	-	369	215	299	35	65	5	5	5	5	-	-	-	-
2012	영등포구	당산2동	106	-	151	95	125	9	24	2	2	2	2	-	-	-	-
2012	영등포구	양평1동	116	-	155	109	145	5	8	2	2	2	2	-	-	-	-
2012	영등포구	양평2동	118	-	152	103	128	11	20	4	4	4	4	-	-	-	-
2012	영등포구	신길1동	372	-	559	317	451	53	105	2	3	2	3	-	-	-	-
2012	영등포구	신길3동	308	-	502	267	401	38	98	3	3	3	3	-	-	-	-
2012	영등포구	신길4동	319	-	533	269	422	43	100	7	11	7	11	-	-	-	-
2012	영등포구	신길5동	372	-	642	307	493	55	129	10	20	10	20	-	-	-	-
2012	영등포구	신길6동	283	-	430	262	376	17	46	4	8	4	8	-	-	-	-
2012	영등포구	신길7동	132	-	200	113	158	17	40	2	2	-	-	2	2	-	-
2012	영등포구	대림1동	333	-	512	302	431	28	78	3	3	3	3	-	-	-	-
2012	영등포구	대림2동	373	-	570	344	498	23	65	6	7	4	5	2	2	-	-
2012	영등포구	대림3동	398	-	635	356	547	32	73	10	15	7	12	3	3	-	-
2012	영등포구	영등포본동	416	-	536	362	443	51	90	3	3	2	2	1	1	-	-
2012	영등포구	영등포동	975	-	1,044	893	951	76	87	6	6	3	3	3	3	-	-
2012	영등포구	도림동	270	-	391	257	362	10	25	3	4	2	3	1	1	-	-
2012	영등포구	문래동	171	-	184	161	171	7	10	3	3	2	2	1	1	-	-
2012	영등포구	기타	-	21	516	-	-	-	-	-	-	-	-	-	-	21	516
2012	동작구	소계	3,614	15	5,804	3,200	4,482	342	868	72	108	45	64	27	44	15	346
2012	동작구	노량진2동	231	-	328	216	298	14	29	1	1	1	1	-	-	-	-
2012	동작구	상도1동	363	-	535	325	440	33	87	5	8	2	2	3	6	-	-
2012	동작구	상도2동	191	-	292	162	240	15	33	14	19	4	6	10	13	-	-
2012	동작구	상도3동	288	-	491	241	360	41	120	6	11	6	11	-	-	-	-
2012	동작구	상도4동	309	-	477	270	388	30	75	9	14	9	14	-	-	-	-
2012	동작구	사당1동	159	-	223	144	191	11	28	4	4	4	4	-	-	-	-
2012	동작구	사당3동	143	-	190	131	164	9	23	3	3	3	3	-	-	-	-
2012	동작구	사당4동	165	-	244	151	214	12	27	2	3	2	3	-	-	-	-
2012	동작구	사당5동	129	-	233	101	151	26	77	2	5	2	5	-	-	-	-
2012	동작구	대방동	535	-	931	461	747	61	161	13	23	4	5	9	18	-	-
2012	동작구	신대방1동	137	-	179	125	154	9	21	3	4	3	4	-	-	-	-
2012	동작구	신대방2동	144	-	198	128	167	15	30	1	1	1	1	-	-	-	-
2012	동작구	흑석동	289	-	397	261	329	25	65	3	3	3	3	-	-	-	-
2012	동작구	노량진1동	335	-	482	305	410	29	70	1	2	1	2	-	-	-	-
2012	동작구	사당2동	196	-	258	179	229	12	22	5	7	-	-	5	7	-	-
2012	동작구	기타	-	15	346	-	-	-	-	-	-	-	-	-	-	15	346
2012	관악구	소계	6,580	27	10,561	5,416	7,629	1,019	2,284	145	251	94	158	51	93	27	397
2012	관악구	보라매동	298	-	469	252	349	43	111	3	9	3	9	-	-	-	-
2012	관악구	청림동	263	-	375	222	292	35	70	6	13	3	4	3	9	-	-
2012	관악구	행운동	437	-	639	369	482	59	140	9	17	4	4	5	13	-	-
2012	관악구	낙성대동	119	-	179	97	137	19	35	3	7	1	1	2	6	-	-
2012	관악구	중앙동	168	-	256	138	191	27	61	3	4	1	2	2	2	-	-
2012	관악구	인헌동	159	-	213	134	170	21	35	4	8	4	8	-	-	-	-
2012	관악구	남현동	77	-	98	68	80	6	11	3	7	2	6	1	1	-	-
2012	관악구	서원동	211	-	354	165	241	43	106	3	7	3	7	-	-	-	-
2012	관악구	신원동	306	-	486	255	376	46	104	5	6	5	6	-	-	-	-
2012	관악구	서림동	262	-	404	213	294	44	103	5	7	5	7	-	-	-	-
2012	관악구	신사동	331	-	526	274	400	54	119	3	7	2	6	1	1	-	-
2012	관악구	신림동	149	-	198	126	160	17	28	6	10	2	4	4	6	-	-
2012	관악구	난향동	222	-	343	179	241	41	99	2	3	1	2	1	1	-	-
2012	관악구	조원동	178	-	228	162	203	12	21	4	4	1	1	3	3	-	-
2012	관악구	대학동	179	-	242	138	177	37	58	4	7	4	7	-	-	-	-
2012	관악구	은천동	522	-	841	426	628	78	188	18	25	7	5	11	20	-	-
2012	관악구	성현동	657	-	1,063	518	781	119	248	20	34	9	12	11	22	-	-
2012	관악구	청룡동	337	-	484	298	412	35	68	4	4	4	4	-	-	-	-
2012	관악구	난곡동	638	-	1,054	506	753	113	268	19	33	18	30	1	3	-	-
2012	관악구	삼성동	589	-	908	503	709	76	183	10	16	5	11	5	5	-	-
2012	관악구	미성동	478	-	804	373	553	94	228	11	23	10	22	1	1	-	-
2012	관악구	기타	-	27	397	-	-	-	-	-	-	-	-	-	-	27	397
2012	서초구	소계	1,851	8	3,002	1,709	2,466	125	325	17	27	3	3	14	24	8	184
2012	서초구	서초1동	138	1	249	126	200	12	31	-	-	-	-	-	-	1	18
2012	서초구	서초2동	51	-	59	48	53	3	6	-	-	-	-	-	-	-	-
2012	서초구	서초3동	122	-	172	114	154	6	16	2	2	1	1	1	1	-	-
2012	서초구	서초4동	14	-	16	14	16	-	-	-	-	-	-	-	-	-	-
2012	서초구	잠원동	104	1	138	99	124	5	13	-	-	-	-	-	-	1	1
2012	서초구	반포본동	7	-	7	7	7	-	-	-	-	-	-	-	-	-	-
2012	서초구	반포1동	104	1	154	98	141	5	11	1	1	-	-	1	1	1	1
2012	서초구	반포2동	12	-	14	12	14	-	-	-	-	-	-	-	-	-	-
2012	서초구	반포3동	10	-	11	9	10	-	-	1	1	1	1	-	-	-	-
2012	서초구	반포4동	32	-	46	30	42	1	3	1	1	-	-	1	1	-	-
2012	서초구	방배본동	73	-	104	68	91	5	13	-	-	-	-	-	-	-	-
2012	서초구	방배1동	84	-	101	79	94	2	4	3	3	-	-	3	3	-	-
2012	서초구	방배2동	151	1	243	137	204	11	26	3	3	-	-	3	3	1	10
2012	서초구	방배3동	70	1	109	61	83	7	16	2	6	1	1	1	5	1	4
2012	서초구	방배4동	124	-	167	119	156	3	7	2	4	-	-	2	4	-	-
2012	서초구	양재1동	512	-	915	468	791	42	118	2	6	-	-	2	6	-	-
2012	서초구	양재2동	172	-	254	154	206	18	48	-	-	-	-	-	-	-	-
2012	서초구	내곡동	71	2	189	66	80	5	13	-	-	-	-	-	-	2	96
2012	서초구	기타	-	1	54	-	-	-	-	-	-	-	-	-	-	1	54
2012	강남구	소계	5,122	10	9,017	4,373	6,708	697	1,716	52	80	32	55	20	25	10	513
2012	강남구	신사동	72	-	107	59	76	9	27	4	4	-	-	4	4	-	-
2012	강남구	논현1동	189	1	288	162	227	24	58	3	3	3	3	-	-	1	-
2012	강남구	논현2동	167	-	299	125	198	37	95	5	5	1	1	4	4	-	1
2012	강남구	삼성1동	38	1	71	32	52	6	19	-	-	-	-	-	-	1	-
2012	강남구	삼성2동	144	-	236	116	161	27	74	1	1	-	-	1	1	-	-
2012	강남구	대치1동	9	-	16	7	12	2	4	-	-	-	-	-	-	-	-
2012	강남구	대치4동	94	-	140	80	118	11	19	3	3	1	1	2	2	-	-
2012	강남구	역삼1동	232	-	341	187	252	44	88	1	1	1	1	-	-	-	-
2012	강남구	역삼2동	128	1	206	107	144	20	53	1	1	1	1	-	-	1	8
2012	강남구	도곡1동	39	-	53	36	46	3	6	-	-	-	-	-	-	-	1
2012	강남구	도곡2동	13	1	26	13	21	-	-	-	-	-	-	-	-	1	5
2012	강남구	개포1동	245	-	370	219	304	24	63	2	3	2	3	-	-	-	-
2012	강남구	개포4동	276	1	481	217	326	58	153	1	2	1	2	-	-	1	-
2012	강남구	일원본동	20	-	45	17	29	3	11	-	-	-	-	-	-	-	5
2012	강남구	일원1동	693	-	1,219	582	948	106	258	5	13	3	7	2	6	-	-
2012	강남구	일원2동	559	-	917	486	753	67	152	6	12	4	9	2	3	-	-
2012	강남구	수서동	1,709	1	2,885	1,511	2,397	185	464	13	21	10	18	3	3	1	3
2012	강남구	세곡동	177	1	339	148	269	25	62	4	6	2	4	2	2	1	2
2012	강남구	압구정동	31	-	37	31	37	-	-	-	-	-	-	-	-	-	-
2012	강남구	청담동	98	-	150	81	114	16	35	1	1	1	1	-	-	-	-
2012	강남구	대치2동	65	-	100	57	81	8	19	-	-	-	-	-	-	-	-
2012	강남구	개포2동	124	-	203	100	143	22	56	2	4	2	4	-	-	-	-
2012	강남구	기타	-	3	488	-	-	-	-	-	-	-	-	-	-	3	488
2012	송파구	소계	3,640	23	6,306	3,138	4,735	367	928	135	210	100	152	35	58	23	433
2012	송파구	풍납1동	233	-	343	208	304	19	31	6	8	6	8	-	-	-	-
2012	송파구	풍납2동	128	-	202	114	166	14	36	-	-	-	-	-	-	-	-
2012	송파구	거여1동	165	-	271	139	209	21	57	5	5	4	4	1	1	-	-
2012	송파구	거여2동	397	-	606	337	487	29	66	31	53	17	27	14	26	-	-
2012	송파구	마천1동	382	-	629	326	512	42	98	14	19	14	19	-	-	-	-
2012	송파구	마천2동	346	-	550	307	447	32	90	7	13	6	12	1	1	-	-
2012	송파구	방이1동	66	-	123	58	95	8	28	-	-	-	-	-	-	-	-
2012	송파구	방이2동	157	-	250	133	200	15	36	9	14	9	14	-	-	-	-
2012	송파구	오륜동	5	-	5	5	5	-	-	-	-	-	-	-	-	-	-
2012	송파구	오금동	207	-	357	191	317	12	32	4	8	4	8	-	-	-	-
2012	송파구	송파1동	99	-	159	85	117	12	39	2	3	2	3	-	-	-	-
2012	송파구	송파2동	71	-	116	64	97	6	18	1	1	1	1	-	-	-	-
2012	송파구	석촌동	267	-	418	229	331	30	77	8	10	5	7	3	3	-	-
2012	송파구	삼전동	232	-	363	197	285	26	66	9	12	3	6	6	6	-	-
2012	송파구	가락본동	100	-	154	86	120	10	30	4	4	3	3	1	1	-	-
2012	송파구	가락1동	33	-	52	30	46	1	3	2	3	2	3	-	-	-	-
2012	송파구	가락2동	111	-	189	91	152	13	25	7	12	1	2	6	10	-	-
2012	송파구	문정1동	93	-	137	81	111	11	25	1	1	1	1	-	-	-	-
2012	송파구	문정2동	30	-	39	28	34	2	5	-	-	-	-	-	-	-	-
2012	송파구	장지동	308	-	586	247	441	43	113	18	32	15	22	3	10	-	-
2012	송파구	잠실본동	171	-	276	146	219	19	47	6	10	6	10	-	-	-	-
2012	송파구	잠실4동	9	-	12	8	8	1	4	-	-	-	-	-	-	-	-
2012	송파구	잠실6동	6	-	7	6	7	-	-	-	-	-	-	-	-	-	-
2012	송파구	잠실7동	1	-	1	1	1	-	-	-	-	-	-	-	-	-	-
2012	송파구	잠실2동	7	-	7	7	7	-	-	-	-	-	-	-	-	-	-
2012	송파구	잠실3동	16	-	21	14	17	1	2	1	2	1	2	-	-	-	-
2012	송파구	기타	-	23	433	-	-	-	-	-	-	-	-	-	-	23	433
2012	강동구	소계	3,970	26	6,691	3,563	5,241	341	794	66	101	48	82	18	19	26	555
2012	강동구	강일동	252	-	537	216	439	29	84	7	14	2	9	5	5	-	-
2012	강동구	상일동	107	-	166	99	150	8	14	-	-	-	-	-	-	-	2
2012	강동구	명일1동	97	-	138	85	108	11	26	1	3	1	3	-	-	-	1
2012	강동구	명일2동	43	-	74	35	55	5	13	3	6	3	6	-	-	-	-
2012	강동구	고덕1동	111	-	187	101	151	8	22	2	2	2	2	-	-	-	12
2012	강동구	고덕2동	245	-	385	223	330	18	49	4	4	3	3	1	1	-	2
2012	강동구	암사2동	54	-	66	50	59	2	4	2	2	1	1	1	1	-	1
2012	강동구	암사3동	36	-	49	34	43	2	3	-	-	-	-	-	-	-	3
2012	강동구	천호1동	372	-	528	335	445	28	61	9	19	9	19	-	-	-	3
2012	강동구	천호3동	436	-	614	387	525	39	77	10	11	1	1	9	10	-	1
2012	강동구	성내1동	73	-	114	61	90	9	20	3	4	3	4	-	-	-	-
2012	강동구	성내2동	302	-	398	287	369	13	26	2	2	2	2	-	-	-	1
2012	강동구	성내3동	155	-	246	137	207	17	37	1	1	1	1	-	-	-	1
2012	강동구	둔촌1동	22	-	32	22	32	-	-	-	-	-	-	-	-	-	-
2012	강동구	둔촌2동	172	-	285	152	240	18	40	2	2	2	2	-	-	-	3
2012	강동구	암사1동	486	-	802	431	663	47	125	8	13	8	13	-	-	-	1
2012	강동구	천호2동	658	-	996	584	836	65	143	9	15	8	14	1	1	-	2
2012	강동구	길동	349	-	553	324	499	22	50	3	3	2	2	1	1	-	1
2012	강동구	기타	-	26	521	-	-	-	-	-	-	-	-	-	-	26	521
