기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	성동구	성수2가3동	103	…	120	…	…	…	…	-	-	-	-	-	-	…	-
2012	성동구	송정동	192	…	295	…	…	…	…	2	2	-	-	2	2	…	-
2012	성동구	용답동	320	…	496	…	…	…	…	6	12	4	10	2	2	…	3
2012	성동구	왕십리도선동	234	…	331	…	…	…	…	1	1	1	1	-	-	…	24
2012	성동구	금호2.3가동	245	…	419	…	…	…	…	3	9	2	8	1	1	…	-
2012	성동구	옥수동	155	…	256	…	…	…	…	3	3	-	-	3	3	…	-
2012	성동구	기타	-	…	-	…	…	…	…	-	-	-	-	-	-	…	-
2012	광진구	소계	3,240	26	5,037	2,915	4,158	293	730	32	46	21	34	11	12	26	103
2012	광진구	화양동	132	-	188	113	137	17	48	2	3	2	3	-	-	-	-
2012	광진구	군자동	375	-	503	341	441	30	56	4	6	4	6	-	-	-	-
2012	광진구	중곡1동	178	1	257	166	216	11	20	1	1	1	1	-	-	1	20
2012	광진구	중곡2동	229	2	324	213	282	14	27	2	5	2	5	-	-	2	10
2012	광진구	중곡3동	215	-	338	183	263	28	65	4	10	4	10	-	-	-	-
2012	광진구	중곡4동	194	5	325	178	265	16	39	-	-	-	-	-	-	5	21
2012	광진구	능동	264	-	411	239	354	23	54	2	3	2	3	-	-	-	-
2012	광진구	구의1동	402	-	675	365	575	35	98	2	2	-	-	2	2	-	-
2012	광진구	구의2동	96	-	136	91	125	5	11	-	-	-	-	-	-	-	-
2012	광진구	구의3동	188	-	283	168	233	18	48	2	2	2	2	-	-	-	-
2012	광진구	광장동	305	1	494	272	403	24	73	9	10	-	-	9	10	1	8
2012	광진구	자양1동	119	2	196	104	155	15	36	-	-	-	-	-	-	2	5
2012	광진구	자양2동	55	2	97	48	64	7	16	-	-	-	-	-	-	2	17
2012	광진구	자양3동	302	4	491	268	386	32	87	2	2	2	2	-	-	4	16
2012	광진구	자양4동	186	-	313	166	259	18	52	2	2	2	2	-	-	-	-
2012	광진구	기타	-	9	6	-	-	-	-	-	-	-	-	-	-	9	6
2012	동대문구	소계	5,844	24	8,568	5,143	6,895	547	1,228	154	249	75	146	79	103	24	196
2012	동대문구	회기동	96	-	129	83	96	12	31	1	2	1	2	-	-	-	-
2012	동대문구	휘경1동	283	1	409	253	334	24	53	6	19	6	19	-	-	1	3
2012	동대문구	휘경2동	132	2	210	116	168	15	28	1	3	1	3	-	-	2	11
2012	동대문구	청량리동	660	1	900	599	778	43	88	18	25	6	11	12	14	1	9
2012	동대문구	용신동	713	1	909	651	796	51	89	11	19	7	15	4	4	1	5
2012	동대문구	제기동	600	6	823	522	652	62	125	16	22	7	10	9	12	6	24
2012	동대문구	전농1동	878	-	1,210	775	987	88	195	15	26	7	14	8	12	-	2
2012	동대문구	전농2동	268	-	438	235	362	25	60	8	15	3	7	5	8	-	1
2012	동대문구	답십리1동	307	1	440	261	343	36	70	10	21	5	11	5	10	1	6
2012	동대문구	답십리2동	503	4	811	441	641	47	127	15	22	7	13	8	9	4	21
2012	동대문구	장안1동	359	-	543	313	437	36	92	10	14	6	10	4	4	-	-
2012	동대문구	장안2동	293	5	545	272	393	18	38	3	5	3	5	-	-	5	109
2012	동대문구	이문1동	424	-	685	357	520	59	152	8	12	8	12	-	-	-	1
2012	동대문구	이문2동	328	-	513	265	388	31	80	32	44	8	14	24	30	-	1
2012	동대문구	기타	-	3	3	-	-	-	-	-	-	-	-	-	-	3	3
2012	중랑구	소계	6,135	28	9,897	5,686	8,415	396	950	53	87	28	37	25	50	28	445
2012	중랑구	면목2동	379	2	616	352	520	26	92	1	1	1	1	-	-	2	3
2012	중랑구	면목4동	572	1	917	551	852	18	58	3	5	3	5	-	-	1	2
2012	중랑구	면목5동	197	1	356	185	293	11	58	1	2	1	1	-	1	1	3
2012	중랑구	면목7동	272	1	390	259	356	12	26	1	6	1	1	-	5	1	2
2012	중랑구	상봉1동	566	1	996	505	929	59	61	2	3	2	3	-	-	1	3
2012	중랑구	상봉2동	226	2	381	217	345	9	26	-	6	-	-	-	6	2	4
2012	중랑구	중화1동	207	3	323	195	286	10	28	2	3	1	2	1	1	3	6
2012	중랑구	중화2동	584	2	772	556	706	27	57	1	7	1	1	-	6	2	2
2012	중랑구	묵1동	265	1	384	238	337	26	38	1	2	-	-	1	2	1	7
2012	중랑구	묵2동	245	2	354	230	326	15	20	-	5	-	-	-	5	2	3
2012	중랑구	망우3동	344	2	458	337	427	7	27	-	-	-	-	-	-	2	4
2012	중랑구	신내1동	194	3	290	167	254	23	23	4	5	4	5	-	-	3	8
2012	중랑구	신내2동	589	2	1,180	508	827	56	121	25	6	2	2	23	4	2	226
2012	중랑구	면목본동	556	1	1,018	516	869	35	128	5	18	5	7	-	11	1	3
2012	중랑구	면목3.8동	448	2	616	417	520	24	79	7	13	7	9	-	4	2	4
2012	중랑구	망우본동	491	2	846	453	568	38	108	-	5	-	-	-	5	2	165
2012	성북구	소계	5,832	17	9,182	5,028	7,054	688	1,672	116	164	31	41	85	123	17	292
2012	성북구	돈암1동	180	-	265	151	208	20	46	9	11	1	1	8	10	-	-
2012	성북구	돈암2동	131	-	193	111	150	17	40	3	3	-	-	3	3	-	-
2012	성북구	안암동	185	2	334	166	217	18	43	1	1	1	1	-	-	2	73
2012	성북구	보문동	192	-	253	175	223	14	24	3	6	-	-	3	6	-	-
2012	성북구	정릉1동	157	-	259	144	221	11	35	2	3	2	3	-	-	-	-
2012	성북구	정릉2동	227	1	383	196	301	23	58	8	10	-	-	8	10	1	14
2012	성북구	정릉3동	339	1	552	280	390	50	115	9	16	3	6	6	10	1	31
2012	성북구	정릉4동	263	1	425	217	299	42	105	4	6	2	2	2	4	1	15
2012	성북구	길음1동	222	1	340	199	276	17	39	6	9	-	-	6	9	1	16
2012	성북구	길음2동	356	-	481	309	395	39	78	8	8	3	3	5	5	-	-
2012	성북구	월곡1동	365	1	541	323	450	35	72	7	10	3	3	4	7	1	9
2012	성북구	월곡2동	301	1	455	270	358	25	52	6	7	4	4	2	3	1	38
2012	성북구	장위1동	426	-	786	334	546	86	233	6	7	1	1	5	6	-	-
2012	성북구	장위2동	418	-	692	339	478	78	213	1	1	1	1	-	-	-	-
2012	성북구	장위3동	358	-	601	303	473	46	114	9	14	1	4	8	10	-	-
2012	성북구	성북동	199	2	307	173	231	21	43	5	8	2	2	3	6	2	25
2012	성북구	삼선동	330	3	539	283	390	42	110	5	9	1	1	4	8	3	30
2012	성북구	동선동	191	1	270	167	220	15	34	9	13	2	2	7	11	1	3
2012	성북구	종암동	521	-	775	455	625	59	140	7	10	1	2	6	8	-	-
2012	성북구	석관동	471	-	693	433	603	30	78	8	12	3	5	5	7	-	-
2012	성북구	기타	-	3	38	-	-	-	-	-	-	-	-	-	-	3	38
