기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2012	중랑구	중화1동	1,088	4,125	3.79	8년4개월
2012	중랑구	중화2동	2,295	7,560	3.29	8년4개월
2012	중랑구	묵1동	1,478	5,736	3.88	8년2개월
2012	중랑구	묵2동	1,774	5,399	3.04	8년10개월
2012	중랑구	망우3동	1,091	3,655	3.35	8년1개월
2012	중랑구	신내1동	1,528	6,806	4.45	8년9개월
2012	중랑구	신내2동	1,090	5,557	5.1	7년8개월
2012	중랑구	면목본동	2,421	6,636	2.74	7년10개월
2012	중랑구	면목3.8동	2,986	8,174	2.74	9년5개월
2012	중랑구	망우본동	2,787	10,966	3.93	8년0개월
2012	성북구	소계	25,061	103,054	4.11	8년4개월
2012	성북구	돈암1동	365	1,395	3.82	7년9개월
2012	성북구	돈암2동	367	1,797	4.9	8년7개월
2012	성북구	안암동	1,310	13,520	10.32	7년11개월
2012	성북구	보문동	1,244	4,287	3.45	8년9개월
2012	성북구	정릉1동	808	1,938	2.4	8년4개월
2012	성북구	정릉2동	901	2,535	2.81	9년1개월
2012	성북구	정릉3동	694	4,427	6.38	11년6개월
2012	성북구	정릉4동	837	3,856	4.61	9년1개월
2012	성북구	길음1동	1,116	3,328	2.98	7년6개월
2012	성북구	길음2동	1,100	4,255	3.87	7년1개월
2012	성북구	월곡1동	1,440	5,165	3.59	8년1개월
2012	성북구	월곡2동	1,517	7,627	5.03	7년1개월
2012	성북구	장위1동	1,164	2,660	2.29	8년5개월
2012	성북구	장위2동	1,657	5,127	3.09	8년9개월
2012	성북구	장위3동	1,233	4,548	3.69	8년9개월
2012	성북구	성북동	1,040	5,608	5.39	10년11개월
2012	성북구	삼선동	1,893	8,666	4.58	8년8개월
2012	성북구	동선동	1,940	7,957	4.1	7년0개월
2012	성북구	종암동	2,104	7,316	3.48	8년2개월
2012	성북구	석관동	2,331	7,042	3.02	7년11개월
2012	강북구	소계	19,485	69,508	3.57	8년1개월
2012	강북구	번1동	1,797	8,763	4.88	7년4개월
2012	강북구	번2동	669	3,665	5.48	9년9개월
2012	강북구	번3동	815	2,637	3.24	9년4개월
2012	강북구	수유1동	1,601	5,376	3.36	9년1개월
2012	강북구	수유2동	1,340	3,853	2.88	8년5개월
2012	강북구	수유3동	2,484	8,736	3.52	6년8개월
2012	강북구	삼양동	1,255	3,305	2.63	8년6개월
2012	강북구	미아동	1,952	6,044	3.1	7년3개월
2012	강북구	송중동	1,994	7,986	4.01	7년6개월
2012	강북구	송천동	2,246	7,511	3.34	8년11개월
2012	강북구	삼각산동	730	2,165	2.97	7년2개월
2012	강북구	우이동	979	3,511	3.59	9년3개월
2012	강북구	인수동	1,623	5,956	3.67	8년11개월
2012	도봉구	소계	17,893	62,820	3.51	7년7개월
2012	도봉구	쌍문1동	921	3,734	4.05	8년3개월
2012	도봉구	쌍문2동	1,210	3,838	3.17	7년6개월
2012	도봉구	쌍문3동	910	3,293	3.62	7년1개월
2012	도봉구	쌍문4동	584	1,880	3.22	7년11개월
2012	도봉구	방학1동	2,358	10,834	4.59	6년6개월
2012	도봉구	방학2동	1,327	3,121	2.35	7년7개월
2012	도봉구	방학3동	918	2,874	3.13	8년7개월
2012	도봉구	창1동	1,062	3,207	3.02	7년6개월
2012	도봉구	창2동	1,328	4,135	3.11	8년2개월
2012	도봉구	창3동	945	1,886	2	7년4개월
2012	도봉구	창4동	1,138	6,659	5.85	7년9개월
2012	도봉구	창5동	2,115	6,557	3.1	6년11개월
2012	도봉구	도봉1동	1,675	5,316	3.17	8년5개월
2012	도봉구	도봉2동	1,402	5,486	3.91	7년9개월
2012	노원구	소계	24,864	102,327	4.12	8년8개월
2012	노원구	월계1동	1,387	5,054	3.64	8년4개월
2012	노원구	월계2동	1,055	3,651	3.46	10년1개월
2012	노원구	월계3동	939	3,549	3.78	9년12개월
2012	노원구	공릉2동	1,780	9,436	5.3	9년0개월
2012	노원구	하계1동	891	6,891	7.73	8년11개월
2012	노원구	하계2동	370	1,169	3.16	11년1개월
2012	노원구	중계본동	1,167	4,561	3.91	7년7개월
2012	노원구	중계1동	895	3,728	4.17	8년1개월
2012	노원구	중계4동	994	3,618	3.64	7년0개월
2012	노원구	상계1동	2,795	8,031	2.87	10년1개월
2012	노원구	상계2동	2,195	8,249	3.76	6년0개월
2012	노원구	상계5동	1,306	2,729	2.09	7년11개월
2012	노원구	상계8동	590	1,965	3.33	9년7개월
2012	노원구	상계9동	730	2,314	3.17	10년5개월
2012	노원구	상계10동	460	1,757	3.82	10년2개월
2012	노원구	상계3.4동	1,721	4,957	2.88	9년4개월
2012	노원구	상계6.7동	1,892	14,903	7.88	8년11개월
2012	노원구	중계2.3동	1,161	5,049	4.35	8년4개월
2012	노원구	공릉1동	2,536	10,716	4.23	8년1개월
2012	은평구	소계	23,325	80,672	3.46	8년5개월
2012	은평구	녹번동	1,500	7,024	4.68	7년12개월
2012	은평구	불광1동	1,611	6,304	3.91	7년9개월
2012	은평구	갈현1동	1,513	5,562	3.68	7년1개월
2012	은평구	갈현2동	1,535	5,927	3.86	7년6개월
2012	은평구	구산동	1,153	5,491	4.76	9년0개월
2012	은평구	대조동	2,559	7,450	2.91	7년8개월
2012	은평구	응암1동	2,115	7,517	3.55	11년0개월
2012	은평구	응암2동	804	2,180	2.71	9년9개월
2012	은평구	신사1동	1,208	3,569	2.95	8년4개월
2012	은평구	신사2동	858	2,707	3.16	9년2개월
2012	은평구	증산동	1,127	3,917	3.48	9년1개월
2012	은평구	수색동	859	2,550	2.97	10년2개월
2012	은평구	진관동	885	4,228	4.78	5년7개월
2012	은평구	불광2동	1,330	3,919	2.95	9년4개월
2012	은평구	응암3동	1,892	4,906	2.59	8년10개월
2012	은평구	역촌동	2,376	7,421	3.12	7년7개월
2012	서대문구	소계	18,653	97,686	5.24	10년5개월
2012	서대문구	천연동	793	2,488	3.14	10년2개월
2012	서대문구	홍제1동	1,112	4,145	3.73	10년4개월
2012	서대문구	홍제3동	1,207	3,835	3.18	11년8개월
2012	서대문구	홍제2동	571	1,623	2.84	9년5개월
2012	서대문구	홍은1동	980	2,315	2.36	11년5개월
2012	서대문구	홍은2동	1,130	5,853	5.18	10년10개월
2012	서대문구	남가좌1동	644	1,179	1.83	12년11개월
2012	서대문구	남가좌2동	1,489	4,110	2.76	9년10개월
2012	서대문구	북가좌1동	461	3,218	6.98	12년10개월
2012	서대문구	북가좌2동	2,225	6,278	2.82	14년7개월
2012	서대문구	충현동	1,613	20,424	12.66	10년5개월
2012	서대문구	북아현동	674	1,795	2.66	11년1개월
2012	서대문구	신촌동	3,732	30,867	8.27	6년8개월
2012	서대문구	연희동	2,022	9,556	4.73	10년4개월
2012	마포구	소계	32,053	212,720	6.64	7년9개월
2012	마포구	용강동	2,398	15,858	6.61	8년2개월
2012	마포구	대흥동	1,563	16,141	10.33	8년10개월
2012	마포구	염리동	759	4,257	5.61	11년0개월
2012	마포구	신수동	1,397	5,375	3.85	9년11개월
2012	마포구	서교동	8,003	51,978	6.49	6년0개월
2012	마포구	합정동	1,812	8,490	4.69	7년4개월
2012	마포구	망원1동	1,362	3,790	2.78	7년8개월
2012	마포구	망원2동	1,224	3,572	2.92	8년1개월
2012	마포구	연남동	1,150	4,543	3.95	8년1개월
2012	마포구	성산1동	1,579	8,483	5.37	8년2개월
2012	마포구	성산2동	1,660	8,608	5.19	8년5개월
2012	마포구	상암동	1,639	27,067	16.51	6년1개월
2012	마포구	도화동	1,879	14,457	7.69	8년7개월
2012	마포구	서강동	1,351	10,411	7.71	7년1개월
2012	마포구	공덕동	2,536	17,164	6.77	9년3개월
2012	마포구	아현동	1,741	12,526	7.19	8년8개월
2012	양천구	소계	25,750	108,802	4.23	9년4개월
2012	양천구	목1동	2,543	21,035	8.27	6년7개월
2012	양천구	목2동	1,174	3,613	3.08	9년3개월
2012	양천구	목3동	1,241	3,535	2.85	8년3개월
2012	양천구	목4동	1,365	3,931	2.88	8년1개월
2012	양천구	신월1동	1,815	5,352	2.95	9년4개월
2012	양천구	신월2동	1,104	3,669	3.32	11년3개월
2012	양천구	신월3동	986	3,917	3.97	9년5개월
2012	양천구	신월4동	1,130	3,645	3.23	11년3개월
2012	양천구	신월5동	1,005	3,585	3.57	9년1개월
2012	양천구	신월6동	1,591	3,322	2.09	18년7개월
2012	양천구	신월7동	1,400	5,793	4.14	10년3개월
2012	양천구	신정1동	1,131	4,600	4.07	8년5개월
2012	양천구	신정2동	1,121	3,727	3.32	7년10개월
2012	양천구	신정3동	1,954	7,788	3.99	10년9개월
2012	양천구	신정6동	693	5,128	7.4	7년8개월
2012	양천구	신정7동	1,010	4,457	4.41	9년1개월
2012	양천구	목5동	1,452	8,977	6.18	6년11개월
2012	양천구	신정4동	3,035	12,728	4.19	7년11개월
2012	강서구	소계	31,596	168,783	5.34	9년4개월
2012	강서구	염창동	2,156	15,540	7.21	9년3개월
2012	강서구	등촌1동	1,679	9,851	5.87	8년5개월
2012	강서구	등촌2동	734	3,051	4.16	10년2개월
2012	강서구	등촌3동	2,225	17,135	7.7	8년11개월
2012	강서구	화곡본동	1,377	3,881	2.82	9년6개월
2012	강서구	화곡2동	863	2,388	2.77	9년2개월
2012	강서구	화곡3동	1,196	4,492	3.76	7년10개월
2012	강서구	화곡4동	1,471	3,891	2.65	8년2개월
2012	강서구	화곡6동	1,773	10,913	6.16	7년6개월
2012	강서구	화곡8동	1,216	3,127	2.57	8년6개월
2012	강서구	가양1동	1,037	6,086	5.87	10년6개월
2012	강서구	가양2동	629	2,961	4.71	8년11개월
2012	강서구	가양3동	777	6,091	7.84	11년6개월
2012	강서구	발산1동	2,114	10,463	4.95	8년5개월
2012	강서구	공항동	1,835	31,699	17.27	8년2개월
2012	강서구	방화1동	1,927	6,850	3.55	9년2개월
2012	강서구	방화2동	3,106	12,130	3.91	14년2개월
2012	강서구	방화3동	844	3,904	4.63	12년1개월
2012	강서구	화곡1동	3,016	8,280	2.75	8년1개월
2012	강서구	우장산동	1,621	6,050	3.73	8년6개월
2012	구로구	소계	35,523	190,692	5.37	9년10개월
2012	구로구	신도림동	2,490	13,980	5.61	9년2개월
2012	구로구	구로1동	715	2,744	3.84	11년2개월
2012	구로구	구로3동	5,592	74,353	13.3	7년8개월
2012	구로구	구로4동	1,951	4,957	2.54	8년9개월
2012	구로구	구로5동	4,555	26,098	5.73	11년3개월
2012	구로구	고척1동	2,476	8,230	3.32	10년5개월
2012	구로구	고척2동	1,456	3,888	2.67	10년1개월
2012	구로구	개봉2동	1,168	2,601	2.23	10년2개월
2012	구로구	개봉3동	1,046	2,610	2.5	9년12개월
2012	구로구	오류1동	1,122	4,540	4.05	9년9개월
2012	구로구	오류2동	1,371	6,233	4.55	10년5개월
2012	구로구	수궁동	1,129	5,826	5.16	11년7개월
2012	구로구	가리봉동	1,016	2,669	2.63	10년1개월
2012	구로구	구로2동	7,722	26,613	3.45	10년2개월
2012	구로구	개봉1동	1,714	5,350	3.12	9년7개월
2012	금천구	소계	27,651	198,565	7.18	8년4개월
2012	금천구	가산동	10,942	132,931	12.15	7년6개월
2012	금천구	독산1동	3,280	20,363	6.21	9년2개월
2012	금천구	독산2동	1,245	3,454	2.77	8년1개월
2012	금천구	독산3동	2,233	8,752	3.92	8년1개월
2012	금천구	독산4동	1,047	3,406	3.25	8년2개월
2012	금천구	시흥1동	3,087	13,306	4.31	8년7개월
2012	금천구	시흥2동	534	1,565	2.93	9년4개월
2012	금천구	시흥3동	3,169	9,283	2.93	10년4개월
2012	금천구	시흥4동	908	2,019	2.22	8년9개월
2012	금천구	시흥5동	1,206	3,486	2.89	8년6개월
2012	영등포구	소계	42,157	335,678	7.96	9년5개월
2012	영등포구	여의동	7,544	144,894	19.21	9년1개월
2012	영등포구	당산1동	3,146	18,431	5.86	8년8개월
2012	영등포구	당산2동	2,152	16,306	7.58	7년11개월
2012	영등포구	양평1동	3,293	22,350	6.79	10년8개월
2012	영등포구	양평2동	1,896	18,182	9.59	9년1개월
2012	영등포구	신길1동	1,222	4,110	3.36	9년2개월
2012	영등포구	신길3동	1,049	2,560	2.44	9년10개월
2012	영등포구	신길4동	610	1,928	3.16	9년10개월
2012	영등포구	신길5동	665	2,300	3.46	9년5개월
2012	영등포구	신길6동	1,191	3,592	3.02	8년11개월
2012	영등포구	신길7동	631	3,306	5.24	8년7개월
2012	영등포구	대림1동	1,214	5,240	4.32	7년11개월
2012	영등포구	대림2동	1,358	4,965	3.66	7년5개월
2012	영등포구	대림3동	2,899	9,554	3.3	9년5개월
2012	영등포구	영등포본동	1,137	4,122	3.63	8년1개월
2012	영등포구	영등포동	6,215	34,074	5.48	10년1개월
2012	영등포구	도림동	979	2,812	2.87	8년9개월
2012	영등포구	문래동	4,956	36,952	7.46	10년11개월
