기간	자치구	동	한식음식점업	의류점	기타주점업	부동산자문 및 중개업	용달 및 개별화물 자동차운송업	슈퍼마켓	비알콜 음료점	두발미용업	분식 및 김밥전문점	체인화 편의점	중국 음식점업	제과점업	가정용 세탁업	노래연습장 운영업	치킨 전문점	자동차 전문 수리업	컴퓨터게임방 운영업	과실 및 채소소매업	육류 소매업	당구장 운영업
2012	송파구	잠실7동	-	17	-	19	1	23	2	11	13	11	7	10	11	-	5	-	-	10	6	-
2012	송파구	잠실2동	54	66	3	180	16	98	45	80	46	23	2	53	28	-	8	-	-	16	8	-
2012	송파구	잠실3동	175	578	11	144	13	83	97	103	73	56	96	118	29	-	3	3	1	12	11	-
2012	강동구	소계	5,743	1,869	1,916	1,499	2,089	1,523	1,041	1,300	902	913	538	596	563	475	462	569	519	375	350	214
2012	강동구	강일동	65	5	12	26	109	60	14	31	25	44	17	36	24	5	28	11	7	3	1	3
2012	강동구	상일동	201	12	69	74	161	54	32	24	39	25	19	23	20	12	15	14	14	9	16	7
2012	강동구	명일1동	380	139	87	95	85	106	94	98	74	55	25	64	33	27	31	26	38	45	25	16
2012	강동구	명일2동	232	163	73	54	19	76	66	88	58	39	13	47	22	17	29	14	36	8	6	9
2012	강동구	고덕1동	74	2	21	40	96	28	2	23	11	10	9	7	15	5	12	6	9	6	6	3
2012	강동구	고덕2동	78	17	33	55	112	55	10	26	19	14	21	10	12	6	19	21	18	21	14	3
2012	강동구	암사2동	197	19	34	58	65	25	19	47	27	24	9	38	16	13	14	13	10	11	6	6
2012	강동구	암사3동	40	18	7	41	63	47	1	20	16	8	-	21	17	1	6	6	-	16	11	-
2012	강동구	천호1동	187	136	54	83	137	76	66	77	24	45	37	40	36	17	22	14	24	6	20	6
2012	강동구	천호3동	283	297	192	93	106	81	60	89	54	71	25	24	42	26	22	59	38	20	15	18
2012	강동구	성내1동	447	29	77	66	92	76	121	25	64	51	42	17	32	24	23	131	6	6	8	18
2012	강동구	성내2동	406	42	149	141	119	90	74	121	72	92	57	64	51	47	39	26	50	26	26	21
2012	강동구	성내3동	608	109	210	96	88	103	107	128	124	92	62	52	30	61	45	47	71	35	41	27
2012	강동구	둔촌1동	6	57	3	71	25	70	5	16	6	2	-	3	13	-	-	-	-	4	1	-
2012	강동구	둔촌2동	366	41	66	87	130	92	43	62	44	45	36	26	27	24	30	25	14	16	11	8
2012	강동구	암사1동	244	66	126	103	189	167	37	99	69	35	28	20	47	51	32	24	62	48	36	18
2012	강동구	천호2동	1,052	580	337	132	197	162	172	163	85	104	83	60	50	66	45	53	48	39	52	24
2012	강동구	길동	877	137	366	184	296	155	118	163	91	157	55	44	76	73	50	79	74	56	55	27
