기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2016	광진구	자양3동	562	144	418	51	20	31	31	10	21	480	114	366
2016	광진구	자양4동	938	315	623	186	63	123	26	7	19	726	245	481
2016	동대문구	소계	12,570	4,204	8,366	2,776	1,057	1,719	761	238	523	9,033	2,909	6,124
2016	동대문구	회기동	322	85	237	54	16	38	18	3	15	250	66	184
2016	동대문구	휘경1동	476	164	312	90	33	57	32	9	23	354	122	232
2016	동대문구	휘경2동	643	173	470	92	25	67	34	7	27	517	141	376
2016	동대문구	청량리동	1,363	485	878	403	162	241	87	30	57	873	293	580
2016	동대문구	용신동	1,488	633	855	399	213	186	69	33	36	1,020	387	633
2016	동대문구	제기동	1,442	522	920	338	152	186	87	31	56	1,017	339	678
2016	동대문구	전농1동	1,420	533	887	374	160	214	89	31	58	957	342	615
2016	동대문구	전농2동	527	149	378	100	24	76	38	11	27	389	114	275
2016	동대문구	답십리1동	648	197	451	127	36	91	28	7	21	493	154	339
2016	동대문구	답십리2동	924	250	674	201	44	157	81	26	55	642	180	462
2016	동대문구	장안1동	913	304	609	169	65	104	58	19	39	686	220	466
2016	동대문구	장안2동	748	231	517	120	39	81	49	12	37	579	180	399
2016	동대문구	이문1동	1,001	290	711	162	48	114	40	10	30	799	232	567
2016	동대문구	이문2동	655	188	467	147	40	107	51	9	42	457	139	318
2016	중랑구	소계	14,184	4,572	9,612	2,910	879	2,031	756	217	539	10,518	3,476	7,042
2016	중랑구	면목2동	1,012	317	695	181	47	134	47	7	40	784	263	521
2016	중랑구	면목4동	892	272	620	210	74	136	45	14	31	637	184	453
2016	중랑구	면목5동	405	136	269	68	21	47	32	11	21	305	104	201
2016	중랑구	면목7동	854	269	585	154	47	107	52	11	41	648	211	437
2016	중랑구	상봉1동	721	207	514	176	49	127	45	9	36	500	149	351
2016	중랑구	상봉2동	777	287	490	144	52	92	40	9	31	593	226	367
2016	중랑구	중화1동	591	181	410	107	26	81	38	11	27	446	144	302
2016	중랑구	중화2동	1,380	524	856	303	99	204	65	18	47	1,012	407	605
2016	중랑구	묵1동	852	246	606	126	33	93	53	13	40	673	200	473
2016	중랑구	묵2동	652	208	444	126	31	95	38	9	29	488	168	320
2016	중랑구	망우3동	794	255	539	200	67	133	51	14	37	543	174	369
2016	중랑구	신내1동	794	224	570	143	37	106	49	17	32	602	170	432
2016	중랑구	신내2동	719	197	522	185	66	119	35	13	22	499	118	381
2016	중랑구	면목본동	1,324	433	891	269	74	195	47	16	31	1,008	343	665
2016	중랑구	면목3.8동	1,125	358	767	253	75	178	54	20	34	818	263	555
2016	중랑구	망우본동	1,292	458	834	265	81	184	65	25	40	962	352	610
2016	성북구	소계	13,643	3,974	9,669	2,463	761	1,702	752	141	611	10,428	3,072	7,356
2016	성북구	돈암1동	472	113	359	89	20	69	22	3	19	361	90	271
2016	성북구	돈암2동	400	110	290	73	23	50	22	7	15	305	80	225
2016	성북구	안암동	497	147	350	93	32	61	24	3	21	380	112	268
2016	성북구	보문동	539	159	380	98	34	64	32	6	26	409	119	290
2016	성북구	정릉1동	472	131	341	65	21	44	14	3	11	393	107	286
2016	성북구	정릉2동	791	219	572	127	37	90	45	7	38	619	175	444
2016	성북구	정릉3동	777	248	529	168	59	109	45	6	39	564	183	381
2016	성북구	정릉4동	830	240	590	124	39	85	39	7	32	667	194	473
2016	성북구	길음1동	580	121	459	103	26	77	40	2	38	437	93	344
2016	성북구	길음2동	448	148	300	88	31	57	23	4	19	337	113	224
2016	성북구	월곡1동	795	223	572	151	37	114	40	8	32	604	178	426
2016	성북구	월곡2동	596	168	428	123	31	92	38	7	31	435	130	305
2016	성북구	장위1동	702	223	479	146	55	91	43	8	35	513	160	353
2016	성북구	장위2동	811	242	569	168	41	127	44	13	31	599	188	411
2016	성북구	장위3동	477	199	278	99	37	62	31	9	22	347	153	194
