기간	자치구	동	인구	면적	인구밀도
2012	강북구	번1동	21,222	0.55	38,585
2012	강북구	번2동	19,877	1.25	15,902
2012	강북구	번3동	21,309	0.86	24,778
2012	강북구	수유1동	23,557	1.07	22,016
2012	강북구	수유2동	23,347	0.73	31,982
2012	강북구	수유3동	24,201	0.86	28,141
2012	강북구	삼양동	31,872	0.95	33,549
2012	강북구	미아동	24,615	0.73	33,719
2012	강북구	송중동	33,998	1.22	27,867
2012	강북구	송천동	32,293	0.88	36,697
2012	강북구	삼각산동	34,542	0.62	55,713
2012	강북구	우이동	21,734	10.95	1,985
2012	강북구	인수동	33,926	2.93	11,579
2012	도봉구	소계	364,454	20.7	17,605
2012	도봉구	쌍문1동	22,320	1.24	18,000
2012	도봉구	쌍문2동	21,727	0.54	40,235
2012	도봉구	쌍문3동	18,767	0.5	37,534
2012	도봉구	쌍문4동	21,798	0.52	41,919
2012	도봉구	방학1동	32,448	0.69	47,026
2012	도봉구	방학2동	23,957	0.74	32,374
2012	도봉구	방학3동	32,106	2.64	12,161
2012	도봉구	창1동	28,661	0.88	32,569
2012	도봉구	창2동	31,719	1.07	29,644
2012	도봉구	창3동	16,089	0.67	24,013
2012	도봉구	창4동	30,897	0.96	32,184
2012	도봉구	창5동	27,914	0.7	39,877
2012	도봉구	도봉1동	24,638	8.72	2,825
2012	도봉구	도봉2동	31,413	0.83	37,847
2012	노원구	소계	600,829	35.44	16,955
2012	노원구	월계1동	23,366	1.16	20,143
2012	노원구	월계2동	30,680	1.94	15,814
2012	노원구	월계3동	35,986	1.17	30,757
2012	노원구	공릉2동	47,260	6.82	6,930
2012	노원구	하계1동	30,877	1.55	19,921
2012	노원구	하계2동	25,914	0.51	50,812
2012	노원구	중계본동	30,010	1.97	15,234
2012	노원구	중계1동	30,489	0.63	48,395
2012	노원구	중계4동	22,599	0.9	25,110
2012	노원구	상계1동	44,358	5.62	7,893
2012	노원구	상계2동	22,596	0.61	37,043
2012	노원구	상계5동	24,398	0.44	55,450
2012	노원구	상계8동	27,421	0.67	40,927
2012	노원구	상계9동	24,816	0.81	30,637
2012	노원구	상계10동	20,711	0.8	25,889
2012	노원구	상계3.4동	39,274	5.62	6,988
2012	노원구	상계6.7동	37,203	1.11	33,516
2012	노원구	중계2.3동	42,416	1.7	24,951
2012	노원구	공릉1동	40,455	1.41	28,691
2012	은평구	소계	505,902	29.7	17,035
2012	은평구	녹번동	33,447	1.79	18,692
2012	은평구	불광1동	42,182	3.13	13,477
2012	은평구	갈현1동	26,489	0.97	27,308
2012	은평구	갈현2동	28,903	0.96	30,107
2012	은평구	구산동	34,279	1.38	24,813
2012	은평구	대조동	32,042	0.85	37,751
2012	은평구	응암1동	32,281	1.2	26,901
2012	은평구	응암2동	26,330	0.78	33,756
2012	은평구	신사1동	28,328	0.84	33,724
2012	은평구	신사2동	23,224	1	23,224
2012	은평구	증산동	21,269	0.81	26,362
2012	은평구	수색동	19,747	1.29	15,290
2012	은평구	진관동	49,691	11.52	4,313
2012	은평구	불광2동	30,564	1.38	22,148
2012	은평구	응암3동	27,898	0.63	44,283
2012	은평구	역촌동	49,228	1.16	42,502
2012	서대문구	소계	324,733	17.61	18,444
2012	서대문구	천연동	20,457	0.97	21,090
2012	서대문구	홍제1동	27,841	1.23	22,635
2012	서대문구	홍제3동	20,292	0.82	24,746
2012	서대문구	홍제2동	15,927	1.06	15,025
2012	서대문구	홍은1동	26,748	1.58	16,929
2012	서대문구	홍은2동	30,100	2.06	14,612
2012	서대문구	남가좌1동	4,040	0.49	8,245
2012	서대문구	남가좌2동	30,972	0.78	39,708
2012	서대문구	북가좌1동	17,067	0.54	31,606
2012	서대문구	북가좌2동	34,308	0.85	40,362
2012	서대문구	충현동	20,749	1.08	19,212
2012	서대문구	북아현동	11,227	0.46	24,407
2012	서대문구	신촌동	21,586	2.63	8,208
