기간	자치구	동	일반가구	여성가구주 가구	여성가구주가구비율
2010	강동구	명일2동	5,248	807	15.4
2010	강동구	고덕1동	7,341	1,700	23.2
2010	강동구	고덕2동	6,260	1,579	25.2
2010	강동구	암사2동	5,219	1,059	20.3
2010	강동구	암사3동	5,538	883	15.9
2010	강동구	천호1동	10,844	3,100	28.6
2010	강동구	천호3동	10,614	3,583	33.8
2010	강동구	성내1동	6,550	1,473	22.5
2010	강동구	성내2동	10,417	3,485	33.5
2010	강동구	성내3동	8,419	2,477	29.4
2010	강동구	둔촌1동	5,870	1,052	17.9
2010	강동구	둔촌2동	9,091	2,190	24.1
2010	강동구	암사1동	13,709	3,906	28.5
2010	강동구	천호2동	14,152	4,529	32
2010	강동구	길동	16,826	4,420	26.3
