기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2008	합계	합계	183,818	53,501	130,317	31,863	7,467	24,396	12,088	3,418	8,670	139,867	42,616	97,251
2008	종로구	소계	5,377	1,844	3,533	840	304	536	194	61	133	4,343	1,479	2,864
2008	종로구	사직동	339	109	230	44	10	34	1	1	-	294	98	196
2008	종로구	삼청동	152	43	109	17	4	13	3	1	2	132	38	94
2008	종로구	부암동	313	126	187	30	5	25	-	-	-	283	121	162
2008	종로구	평창동	414	114	300	28	2	26	2	1	1	384	111	273
2008	종로구	무악동	181	54	127	29	9	20	3	2	1	149	43	106
2008	종로구	교남동	325	105	220	42	9	33	6	4	2	277	92	185
2008	종로구	가회동	237	65	172	43	9	34	4	2	2	190	54	136
2008	종로구	종로1.2.3.4가동	614	308	306	162	88	74	-	-	-	452	220	232
2008	종로구	종로5·6가동	235	86	149	46	19	27	2	2	-	187	65	122
2008	종로구	이화동	228	51	177	32	3	29	7	-	7	189	48	141
2008	종로구	혜화동	284	80	204	28	9	19	-	-	-	256	71	185
2008	종로구	명륜3가동	171	35	136	9	-	9	-	-	-	162	35	127
2008	종로구	창신1동	332	140	192	90	57	33	-	-	-	242	83	159
2008	종로구	창신2동	330	105	225	71	18	53	7	1	6	252	86	166
2008	종로구	창신3동	166	45	121	18	1	17	5	-	5	143	44	99
2008	종로구	숭인1동	189	51	138	18	5	13	80	14	66	91	32	59
2008	종로구	숭인2동	413	210	203	80	48	32	65	32	33	268	130	138
2008	종로구	청운효자동	454	117	337	53	8	45	9	1	8	392	108	284
2008	중구	소계	4,317	1,391	2,926	802	251	551	269	87	182	3,246	1,053	2,193
2008	중구	소공동	54	23	31	3	1	2	6	-	6	45	22	23
2008	중구	회현동	350	133	217	116	61	55	28	8	20	206	64	142
2008	중구	명동	129	62	67	20	13	7	9	3	6	100	46	54
2008	중구	필동	190	60	130	22	6	16	13	5	8	155	49	106
2008	중구	장충동	175	50	125	23	8	15	8	-	8	144	42	102
2008	중구	광희동	319	112	207	40	14	26	7	5	2	272	93	179
2008	중구	을지로동	184	93	91	27	14	13	7	2	5	150	77	73
2008	중구	신당1동	291	98	193	59	16	43	17	7	10	215	75	140
2008	중구	신당2동	363	127	236	66	23	43	34	7	27	263	97	166
2008	중구	신당3동	534	168	366	108	23	85	73	33	40	353	112	241
2008	중구	신당4동	515	107	408	85	11	74	8	3	5	422	93	329
2008	중구	신당5동	214	47	167	59	15	44	19	5	14	136	27	109
2008	중구	신당6동	217	59	158	25	4	21	8	3	5	184	52	132
2008	중구	황학동	384	130	254	100	33	67	27	5	22	257	92	165
2008	중구	중림동	398	122	276	49	9	40	5	1	4	344	112	232
2008	용산구	소계	4,329	1,133	3,196	1,035	324	711	1,049	240	809	2,245	569	1,676
2008	용산구	후암동	374	92	282	125	34	91	113	23	90	136	35	101
2008	용산구	용산2가동	447	109	338	67	11	56	190	39	151	190	59	131
2008	용산구	남영동	221	160	61	221	160	61	-	-	-	-	-	-
2008	용산구	원효로2동	353	75	278	43	10	33	93	17	76	217	48	169
2008	용산구	효창동	68	9	59	16	2	14	38	7	31	14	-	14
2008	용산구	용문동	80	9	71	43	5	38	-	-	-	37	4	33
2008	용산구	이촌1동	428	91	337	-	-	-	19	5	14	409	86	323
2008	용산구	이촌2동	59	5	54	15	-	15	19	2	17	25	3	22
2008	용산구	이태원1동	154	29	125	79	11	68	29	7	22	46	11	35
2008	용산구	이태원2동	225	39	186	61	4	57	83	19	64	81	16	65
2008	용산구	서빙고동	130	26	104	12	2	10	41	8	33	77	16	61
2008	용산구	보광동	336	76	260	66	13	53	110	17	93	160	46	114
2008	용산구	청파동	257	80	177	96	28	68	65	20	45	96	32	64
2008	용산구	원효로1동	136	37	99	35	12	23	50	13	37	51	12	39
2008	용산구	한강로동	594	212	382	73	24	49	172	54	118	349	134	215
2008	용산구	한남동	467	84	383	83	8	75	27	9	18	357	67	290
2008	성동구	소계	6,167	1,661	4,506	1,139	314	825	244	81	163	4,784	1,266	3,518
2008	성동구	왕십리2동	381	97	284	58	16	42	3	1	2	320	80	240
2008	성동구	마장동	559	146	413	121	23	98	8	2	6	430	121	309
2008	성동구	사근동	217	65	152	44	15	29	30	11	19	143	39	104
2008	성동구	행당1동	176	57	119	89	25	64	7	3	4	80	29	51
2008	성동구	행당2동	352	78	274	40	3	37	5	2	3	307	73	234
2008	성동구	응봉동	269	57	212	10	7	3	1	-	1	258	50	208
2008	성동구	금호1가동	380	85	295	99	15	84	13	4	9	268	66	202
2008	성동구	금호4가동	315	90	225	51	4	47	6	1	5	258	85	173
2008	성동구	성수1가1동	315	90	225	46	13	33	4	-	4	265	77	188
2008	성동구	성수1가2동	303	90	213	40	8	32	4	1	3	259	81	178
2008	성동구	성수2가1동	420	111	309	93	19	74	45	20	25	282	72	210
2008	성동구	성수2가3동	222	70	152	20	7	13	32	10	22	170	53	117
2008	성동구	송정동	296	95	201	45	14	31	-	-	-	251	81	170
2008	성동구	용답동	372	98	274	87	19	68	36	9	27	249	70	179
2008	성동구	왕십리도선동	399	131	268	98	35	63	11	4	7	290	92	198
2008	성동구	금호2.3가동	586	133	453	112	71	41	39	13	26	435	49	386
2008	성동구	옥수동	605	168	437	86	20	66	-	-	-	519	148	371
2008	광진구	소계	5,397	1,838	3,559	979	201	778	561	143	418	3,857	1,494	2,363
2008	광진구	화양동	370	113	257	40	6	34	-	-	-	330	107	223
2008	광진구	군자동	174	44	130	101	22	79	51	13	38	22	9	13
2008	광진구	중곡1동	879	564	315	39	6	33	7	4	3	833	554	279
2008	광진구	중곡2동	85	16	69	47	7	40	7	1	6	31	8	23
2008	광진구	중곡3동	323	101	222	59	8	51	46	13	33	218	80	138
2008	광진구	중곡4동	684	218	466	118	20	98	5	-	5	561	198	363
2008	광진구	능동	159	42	117	19	3	16	4	-	4	136	39	97
2008	광진구	구의1동	365	115	250	57	17	40	23	9	14	285	89	196
2008	광진구	구의2동	471	118	353	106	18	88	32	3	29	333	97	236
2008	광진구	구의3동	39	11	28	13	5	8	8	2	6	18	4	14
2008	광진구	광장동	22	5	17	16	2	14	6	3	3	-	-	-
2008	광진구	자양1동	441	125	316	88	19	69	184	46	138	169	60	109
2008	광진구	자양2동	379	105	274	47	10	37	32	15	17	300	80	220
2008	광진구	자양3동	372	77	295	48	7	41	85	18	67	239	52	187
2008	광진구	자양4동	634	184	450	181	51	130	71	16	55	382	117	265
2008	동대문구	소계	8,848	2,888	5,960	1,945	560	1,385	1,394	529	865	5,509	1,799	3,710
2008	동대문구	신설동	299	140	159	79	37	42	3	3	-	217	100	117
2008	동대문구	제기1동	702	269	433	152	58	94	11	5	6	539	206	333
2008	동대문구	제기2동	484	147	337	109	38	71	125	41	84	250	68	182
2008	동대문구	전농1동	568	181	387	142	53	89	19	6	13	407	122	285
2008	동대문구	전농3동	328	86	242	54	11	43	-	-	-	274	75	199
2008	동대문구	답십리1동	237	82	155	77	21	56	14	3	11	146	58	88
2008	동대문구	답십리2동	291	76	215	66	6	60	92	29	63	133	41	92
2008	동대문구	답십리4동	278	31	247	75	13	62	81	8	73	122	10	112
2008	동대문구	장안1동	368	129	239	70	19	51	11	2	9	287	108	179
2008	동대문구	장안2동	149	109	40	17	12	5	-	-	-	132	97	35
2008	동대문구	장안3동	199	49	150	32	10	22	6	3	3	161	36	125
2008	동대문구	장안4동	321	103	218	50	10	40	160	55	105	111	38	73
2008	동대문구	회기동	265	55	210	44	7	37	2	-	2	219	48	171
2008	동대문구	휘경1동	223	108	115	83	11	72	12	4	8	128	93	35
2008	동대문구	휘경2동	388	120	268	41	10	31	7	2	5	340	108	232
2008	동대문구	이문1동	383	101	282	47	9	38	5	2	3	331	90	241
2008	동대문구	이문2동	442	122	320	100	21	79	11	6	5	331	95	236
2008	동대문구	이문3동	374	99	275	76	15	61	13	9	4	285	75	210
2008	동대문구	용두동	842	314	528	197	69	128	391	150	241	254	95	159
2008	동대문구	전농2동	383	114	269	163	49	114	27	12	15	193	53	140
2008	동대문구	답십리3동	434	128	306	65	14	51	66	13	53	303	101	202
2008	동대문구	청량리동	890	325	565	206	67	139	338	176	162	346	82	264
2008	중랑구	소계	10,091	3,446	6,645	1,752	376	1,376	510	146	364	7,829	2,924	4,905
2008	중랑구	면목2동	559	166	393	129	37	92	211	64	147	219	65	154
