기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2012	총계	총계	238,551	84,199	154,352	40,161	12,531	27,630	26,067	8,375	17,692	172,323	63,293	109,030
2012	종로구	계	6,254	2,297	3,957	1,270	558	712	213	87	126	4,771	1,652	3,119
2012	종로구	사직동	378	113	265	39	9	30	27	12	15	312	92	220
2012	종로구	삼청동	175	54	121	19	5	14	8	2	6	148	47	101
2012	종로구	부암동	314	122	192	28	5	23	3	1	2	283	116	167
2012	종로구	평창동	486	139	347	31	6	25	35	13	22	420	120	300
2012	종로구	무악동	238	71	167	36	11	25	5	2	3	197	58	139
2012	종로구	교남동	386	160	226	68	48	20	15	6	9	303	106	197
2012	종로구	가회동	205	51	154	16	4	12	7	2	5	182	45	137
2012	종로구	종로1.2.3.4가동	757	440	317	199	121	78	21	14	7	537	305	232
2012	종로구	종로5·6가동	331	144	187	39	17	22	16	7	9	276	120	156
2012	종로구	이화동	286	73	213	40	6	34	14	4	10	232	63	169
2012	종로구	창신1동	376	167	209	93	55	38	15	4	11	268	108	160
2012	종로구	창신2동	394	135	259	67	27	40	6	-	6	321	108	213
2012	종로구	창신3동	198	53	145	28	8	20	13	4	9	157	41	116
2012	종로구	숭인1동	255	89	166	44	15	29	17	10	7	194	64	130
2012	종로구	숭인2동	501	229	272	438	205	233	-	-	-	63	24	39
2012	종로구	청운효자동	455	120	335	44	9	35	5	3	2	406	108	298
2012	종로구	혜화동	519	137	382	41	7	34	6	3	3	472	127	345
2012	중구	계	5,098	1,743	3,355	1,231	438	793	550	203	347	3,317	1,102	2,215
2012	중구	소공동	171	76	95	4	1	3	3	2	1	164	73	91
2012	중구	회현동	212	75	137	105	52	53	41	10	31	66	13	53
2012	중구	명동	323	136	187	33	16	17	10	5	5	280	115	165
2012	중구	필동	54	26	28	36	13	23	5	2	3	13	11	2
2012	중구	장충동	190	59	131	33	16	17	9	5	4	148	38	110
2012	중구	광희동	468	169	299	49	23	26	19	8	11	400	138	262
2012	중구	을지로동	448	160	288	48	29	19	18	9	9	382	122	260
2012	중구	신당1동	402	189	213	75	30	45	34	10	24	293	149	144
2012	중구	신당2동	210	124	86	70	30	40	42	24	18	98	70	28
2012	중구	신당3동	362	131	231	221	64	157	94	52	42	47	15	32
2012	중구	신당4동	478	143	335	152	36	116	97	33	64	229	74	155
2012	중구	신당5동	665	174	491	111	33	78	51	12	39	503	129	374
2012	중구	신당6동	506	121	385	43	8	35	18	6	12	445	107	338
2012	중구	황학동	365	104	261	140	56	84	50	16	34	175	32	143
2012	중구	중림동	244	56	188	111	31	80	59	9	50	74	16	58
2012	용산구	계	7,934	2,355	5,579	1,370	493	877	429	153	276	6,135	1,709	4,426
2012	용산구	후암동	728	228	500	160	56	104	20	10	10	548	162	386
2012	용산구	용산2가동	476	120	356	71	10	61	12	2	10	393	108	285
2012	용산구	남영동	577	328	249	246	184	62	15	9	6	316	135	181
2012	용산구	원효로2동	705	186	519	133	46	87	20	2	18	552	138	414
2012	용산구	효창동	346	111	235	48	19	29	25	7	18	273	85	188
2012	용산구	용문동	371	163	208	54	13	41	100	50	50	217	100	117
2012	용산구	이촌1동	258	63	195	33	11	22	7	5	2	218	47	171
2012	용산구	이촌2동	297	66	231	59	12	47	5	-	5	233	54	179
2012	용산구	이태원1동	660	229	431	101	37	64	24	6	18	535	186	349
2012	용산구	이태원2동	583	123	460	-	-	-	4	3	1	579	120	459
2012	용산구	서빙고동	366	77	289	20	3	17	9	-	9	337	74	263
2012	용산구	보광동	327	89	238	53	10	43	18	7	11	256	72	184
2012	용산구	청파동	434	87	347	85	13	72	28	4	24	321	70	251
2012	용산구	원효로1동	762	216	546	157	46	111	33	9	24	572	161	411
2012	용산구	한강로동	430	108	322	31	6	25	94	35	59	305	67	238
2012	용산구	한남동	614	161	453	119	27	92	15	4	11	480	130	350
2012	성동구	계	7,095	2,021	5,074	1,165	363	802	707	159	548	5,223	1,499	3,724
2012	성동구	왕십리2동	384	108	276	51	15	36	25	9	16	308	84	224
2012	성동구	마장동	606	184	422	112	28	84	27	4	23	467	152	315
2012	성동구	사근동	228	66	162	28	7	21	11	3	8	189	56	133
2012	성동구	행당1동	505	149	356	69	18	51	22	7	15	414	124	290
2012	성동구	행당2동	434	89	345	55	7	48	11	4	7	368	78	290
2012	성동구	응봉동	323	76	247	16	5	11	13	1	12	294	70	224
