기간	자치구	동	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	동	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	동	합계	한국은행	우리은행	SC제일은행	KB국민은행	한국외환은행	신한은행	한국씨티은행	하나은행	지방은행	IBK기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	외국은행
2012	총계	총계	2,667	2	466	187	439	154	406	102	323	29	223	205	56	30	2	43
2012	종로구	계	147	-	24	12	23	12	19	4	13	-	9	17	-	2	-	12
2012	종로구	사직동	24	-	2	1	2	3	2	2	2	-	1	4	-	1	-	4
2012	종로구	삼청동	3	-	1	-	-	-	-	-	1	-	-	1	-	-	-	-
2012	종로구	부암동	2	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-
2012	종로구	평창동	5	-	1	-	1	1	1	-	1	-	-	-	-	-	-	-
2012	종로구	무악동	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
2012	종로구	교남동	2	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-
2012	종로구	가회동	6	-	1	-	-	1	3	-	-	-	-	1	-	-	-	-
2012	종로구	종로1.2.3.4가동	61	-	8	8	11	4	5	1	4	-	4	7	-	1	-	8
2012	종로구	종로5·6가동	14	-	3	1	2	2	2	1	2	-	1	-	-	-	-	-
2012	종로구	이화동	6	-	-	-	1	-	2	-	-	-	1	2	-	-	-	-
2012	종로구	창신1동	5	-	1	1	1	-	1	-	-	-	1	-	-	-	-	-
2012	종로구	창신2동	2	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-
2012	종로구	숭인1동	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2012	종로구	숭인2동	5	-	1	-	-	1	1	-	1	-	-	1	-	-	-	-
2012	종로구	청운효자동	4	-	1	-	1	-	1	-	-	-	-	1	-	-	-	-
2012	종로구	혜화동	6	-	2	-	2	-	1	-	1	-	-	-	-	-	-	-
2012	중구	계	226	1	37	12	30	12	39	6	21	6	17	14	5	2	-	24
2012	중구	소공동	49	1	4	4	7	3	12	-	4	1	1	4	-	1	-	7
2012	중구	회현동	25	-	7	1	4	2	2	-	2	-	2	3	-	-	-	2
2012	중구	명동	79	-	7	3	8	5	12	5	8	5	6	2	2	1	-	15
2012	중구	필동	8	-	2	1	-	-	3	-	1	-	-	1	-	-	-	-
2012	중구	장충동	4	-	2	-	-	-	1	-	1	-	-	-	-	-	-	-
2012	중구	광희동	18	-	5	1	3	1	1	-	2	-	3	1	1	-	-	-
2012	중구	을지로동	15	-	3	1	3	-	3	1	1	-	1	2	-	-	-	-
2012	중구	신당1동	7	-	1	-	2	-	2	-	-	-	-	-	2	-	-	-
2012	중구	신당2동	4	-	1	-	2	1	-	-	-	-	-	-	-	-	-	-
2012	중구	신당3동	3	-	1	-	-	-	1	-	-	-	1	-	-	-	-	-
2012	중구	신당4동	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2012	중구	신당5동	3	-	1	-	-	-	-	-	1	-	-	1	-	-	-	-
2012	중구	신당6동	2	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-
2012	중구	황학동	6	-	1	1	1	-	1	-	-	-	2	-	-	-	-	-
2012	중구	중림동	2	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
2012	용산구	계	98	-	18	8	13	5	12	4	14	-	12	11	-	1	-	-
2012	용산구	후암동	2	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-
2012	용산구	용산2가동	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
2012	용산구	남영동	10	-	2	2	1	1	-	-	1	-	2	1	-	-	-	-
2012	용산구	원효로2동	4	-	1	1	-	-	1	-	-	-	1	-	-	-	-	-
2012	용산구	효창동	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
2012	용산구	이촌1동	17	-	1	1	3	1	3	2	3	-	1	1	-	1	-	-
2012	용산구	이태원1동	9	-	1	1	2	2	1	-	-	-	2	-	-	-	-	-
2012	용산구	이태원2동	4	-	-	-	1	-	1	-	-	-	1	1	-	-	-	-
2012	용산구	서빙고동	2	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-
2012	용산구	보광동	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
2012	용산구	청파동	4	-	1	-	1	-	1	-	1	-	-	-	-	-	-	-
2012	용산구	원효로1동	3	-	1	-	-	-	1	-	-	-	-	1	-	-	-	-
2012	용산구	한강로동	26	-	7	2	3	-	3	1	5	-	1	4	-	-	-	-
2012	용산구	한남동	12	-	2	-	1	1	1	1	3	-	2	1	-	-	-	-
2012	성동구	계	62	-	12	6	11	2	8	4	7	-	6	5	-	1	-	-
2012	성동구	왕십리2동	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
2012	성동구	마장동	5	-	1	2	1	-	-	-	-	-	1	-	-	-	-	-
2012	성동구	사근동	2	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-
2012	성동구	행당1동	9	-	2	-	2	-	2	1	1	-	-	1	-	-	-	-
