기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2016	관악구	서원동	…	-	-	…	…
2016	관악구	신원동	…	-	-	…	…
2016	관악구	서림동	…	-	-	…	…
2016	관악구	신사동	…	-	-	…	…
2016	관악구	신림동	…	-	-	…	…
2016	관악구	난향동	…	-	-	…	…
2016	관악구	조원동	…	-	-	…	…
2016	관악구	대학동	…	-	-	…	…
2016	관악구	은천동	…	-	-	…	…
2016	관악구	성현동	…	-	-	…	…
2016	관악구	청룡동	…	-	-	…	…
2016	관악구	난곡동	…	-	-	…	…
2016	관악구	삼성동	…	-	-	…	…
2016	관악구	미성동	…	-	-	…	…
2016	서초구	소계	146	3	75	132	11
2016	서초구	서초1동	…	1	21	…	…
2016	서초구	서초2동	…	-	-	…	…
2016	서초구	서초3동	…	-	-	…	…
2016	서초구	서초4동	…	-	-	…	…
2016	서초구	잠원동	…	-	-	…	…
2016	서초구	반포본동	…	-	-	…	…
2016	서초구	반포1동	…	-	-	…	…
2016	서초구	반포2동	…	-	-	…	…
2016	서초구	반포3동	…	-	-	…	…
2016	서초구	반포4동	…	-	-	…	…
2016	서초구	방배본동	…	-	-	…	…
2016	서초구	방배1동	…	-	-	…	…
2016	서초구	방배2동	…	1	24	…	…
2016	서초구	방배3동	…	-	-	…	…
2016	서초구	방배4동	…	-	-	…	…
2016	서초구	양재1동	…	1	30	…	…
2016	서초구	양재2동	…	-	-	…	…
2016	서초구	내곡동	…	-	-	…	…
2016	강남구	소계	193	6	75	164	23
2016	강남구	신사동	6	-	-	5	1
2016	강남구	논현1동	5	1	14	4	-
2016	강남구	논현2동	7	-	-	5	2
2016	강남구	삼성1동	6	1	16	5	-
2016	강남구	삼성2동	12	-	-	11	1
2016	강남구	대치1동	9	-	-	7	2
2016	강남구	대치4동	3	1	7	2	-
2016	강남구	역삼1동	9	1	22	8	-
2016	강남구	역삼2동	15	1	8	12	2
2016	강남구	도곡1동	9	-	-	8	1
2016	강남구	도곡2동	7	-	-	7	-
2016	강남구	개포1동	6	-	-	6	-
2016	강남구	개포4동	6	-	-	4	2
2016	강남구	일원본동	11	-	-	11	-
2016	강남구	일원1동	4	-	-	4	-
2016	강남구	일원2동	9	-	-	6	3
2016	강남구	수서동	9	-	-	7	2
2016	강남구	세곡동	22	-	-	21	1
2016	강남구	압구정동	7	1	8	6	-
2016	강남구	청담동	13	-	-	11	2
2016	강남구	대치2동	11	-	-	8	3
2016	강남구	개포2동	7	-	-	6	1
2016	송파구	소계	181	3	93	163	15
2016	송파구	풍납1동	6	-	-	6	-
2016	송파구	풍납2동	11	-	-	10	1
2016	송파구	거여1동	8	-	-	7	1
2016	송파구	거여2동	12	-	-	11	1
2016	송파구	마천1동	10	-	-	10	-
2016	송파구	마천2동	10	-	-	8	2
2016	송파구	방이1동	5	-	-	5	-
2016	송파구	방이2동	2	-	-	2	-
2016	송파구	오륜동	3	-	-	3	-
2016	송파구	오금동	14	-	-	13	1
2016	송파구	송파1동	5	1	17	3	1
2016	송파구	송파2동	7	-	-	7	-
2016	송파구	석촌동	3	-	-	3	-
2016	송파구	삼전동	5	1	69	2	2
2016	송파구	가락본동	10	-	-	10	-
2016	송파구	가락1동	2	-	-	2	-
2016	송파구	가락2동	10	-	-	10	-
2016	송파구	문정1동	6	-	-	6	-
2016	송파구	문정2동	4	-	-	3	1
2016	송파구	장지동	20	1	7	17	2
2016	송파구	위례동	3	-	-	3	-
2016	송파구	잠실본동	6	-	-	5	1
2016	송파구	잠실4동	6	-	-	6	-
2016	송파구	잠실6동	5	-	-	3	2
2016	송파구	잠실7동	2	-	-	2	-
2016	송파구	잠실2동	3	-	-	3	-
2016	송파구	잠실3동	3	-	-	3	-
2016	강동구	소계	135	2	32	118	15
2016	강동구	강일동	…	-	-	…	…
2016	강동구	상일동	…	-	-	…	…
2016	강동구	명일1동	…	-	-	…	…
2016	강동구	명일2동	…	1	26	…	…
2016	강동구	고덕1동	…	-	-	…	…
2016	강동구	고덕2동	…	-	-	…	…
2016	강동구	암사2동	…	-	-	…	…
2016	강동구	암사3동	…	-	-	…	…
2016	강동구	천호1동	…	-	-	…	…
2016	강동구	천호3동	…	-	-	…	…
2016	강동구	성내1동	…	-	-	…	…
2016	강동구	성내2동	…	-	-	…	…
2016	강동구	성내3동	…	-	-	…	…
2016	강동구	둔촌1동	…	-	-	…	…
2016	강동구	둔촌2동	…	-	-	…	…
2016	강동구	암사1동	…	-	-	…	…
2016	강동구	천호2동	…	1	6	…	…
2016	강동구	길동	…	-	-	…	…
