자치구,읍면동명,노령화지수
강서구,염창동,54.2
강서구,등촌1동,116.0
강서구,등촌2동,119.1
강서구,등촌3동,194.6
강서구,화곡본동,104.9
강서구,화곡2동,107.7
강서구,화곡3동,153.5
강서구,화곡4동,154.9
강서구,화곡6동,144.2
강서구,화곡8동,146.9
강서구,가양1동,86.9
강서구,가양2동,422.9
강서구,가양3동,263.1
강서구,발산1동,62.5
강서구,공항동,93.7
강서구,방화1동,78.5
강서구,방화2동,202.3
강서구,방화3동,175.1
강서구,화곡1동,157.6
강서구,우장산동,71.1
구로구,신도림동,70.1
구로구,구로1동,64.6
구로구,구로3동,117.1
구로구,구로4동,197.8
구로구,구로5동,127.7
구로구,고척1동,141.6
구로구,고척2동,128.2
구로구,개봉2동,134.8
구로구,개봉3동,146.9
구로구,오류1동,173.8
구로구,오류2동,96.4
구로구,수궁동,127.0
구로구,가리봉동,244.7
구로구,구로2동,202.4
구로구,개봉1동,153.3
금천구,가산동,162.9
금천구,독산1동,114.3
금천구,독산2동,159.7
금천구,독산3동,176.5
금천구,독산4동,165.7
금천구,시흥1동,148.8
금천구,시흥2동,121.1
금천구,시흥3동,199.6
금천구,시흥4동,159.7
금천구,시흥5동,209.2
영등포구,여의동,123.9
영등포구,당산1동,167.1
영등포구,당산2동,104.8
영등포구,양평1동,123.1
영등포구,양평2동,86.1
영등포구,신길1동,238.5
영등포구,신길3동,156.1
영등포구,신길4동,228.0
영등포구,신길5동,192.7
영등포구,신길6동,163.3
영등포구,신길7동,81.9
영등포구,대림1동,205.2
영등포구,대림2동,172.0
영등포구,대림3동,149.3
영등포구,영등포본동,145.9
영등포구,영등포동,195.0
영등포구,도림동,165.4
영등포구,문래동,84.4
동작구,노량진2동,326.2
동작구,상도1동,121.9
동작구,상도2동,122.8
동작구,상도3동,168.9
동작구,상도4동,149.7
동작구,사당1동,231.4
동작구,사당3동,128.5
동작구,사당4동,191.5
동작구,사당5동,134.6
동작구,대방동,108.2
동작구,신대방1동,101.9
동작구,신대방2동,105.6
동작구,흑석동,159.6
동작구,노량진1동,158.6
동작구,사당2동,164.1
관악구,보라매동,176.3
관악구,청림동,115.3
관악구,행운동,185.9
관악구,낙성대동,142.9
관악구,중앙동,280.1
관악구,인헌동,157.2
관악구,남현동,150.8
관악구,서원동,240.9
관악구,신원동,233.0
관악구,서림동,200.9
관악구,신사동,176.0
관악구,신림동,261.6
관악구,난향동,112.0
관악구,조원동,171.5
관악구,대학동,193.3
관악구,은천동,129.8
관악구,성현동,129.4
관악구,청룡동,203.9
관악구,난곡동,182.8
관악구,삼성동,272.5
관악구,미성동,154.4
서초구,서초1동,102.9
서초구,서초2동,85.9
서초구,서초3동,144.7
서초구,서초4동,68.6
서초구,잠원동,74.3
서초구,반포본동,110.4
서초구,반포1동,62.1
서초구,반포2동,48.2
서초구,반포3동,70.8
서초구,반포4동,81.9
서초구,방배본동,91.8
서초구,방배1동,141.0
서초구,방배2동,151.1
서초구,방배3동,150.7
서초구,방배4동,100.7
서초구,양재1동,80.5
서초구,양재2동,99.1
서초구,내곡동,91.7
강남구,신사동,142.9
강남구,논현1동,211.9
강남구,논현2동,150.3
강남구,삼성1동,118.2
강남구,삼성2동,71.2
강남구,대치1동,45.2
강남구,대치4동,104.9
강남구,역삼1동,182.6
강남구,역삼2동,57.9
강남구,도곡1동,86.2
강남구,도곡2동,80.5
강남구,개포1동,204.4
강남구,개포4동,103.3
강남구,일원본동,60.0
강남구,일원1동,189.7
강남구,일원2동,147.7
강남구,수서동,360.1
강남구,세곡동,74.0
강남구,압구정동,120.0
강남구,청담동,105.1
강남구,대치2동,87.1
강남구,개포2동,120.7
송파구,풍납1동,185.6
송파구,풍납2동,100.0
송파구,거여1동,157.8
송파구,거여2동,153.3
송파구,마천1동,173.2
송파구,마천2동,201.4
송파구,방이1동,94.8
송파구,방이2동,146.0
송파구,오륜동,79.0
송파구,오금동,117.5
송파구,송파1동,134.4
송파구,송파2동,96.9
송파구,석촌동,129.6
송파구,삼전동,115.0
송파구,가락본동,115.5
송파구,가락1동,91.5
송파구,가락2동,74.6
송파구,문정1동,117.6
송파구,문정2동,133.2
송파구,장지동,89.3
송파구,위례동,26.4
송파구,잠실본동,134.9
송파구,잠실4동,63.4
송파구,잠실6동,104.8
송파구,잠실7동,163.0
송파구,잠실2동,38.4
송파구,잠실3동,86.2
강동구,강일동,77.2
강동구,상일동,122.4
강동구,명일1동,104.5
강동구,명일2동,82.9
강동구,고덕1동,47.1
강동구,고덕2동,247.9
강동구,암사2동,106.1
강동구,암사3동,68.2
강동구,천호1동,177.3
강동구,천호3동,177.4
강동구,성내1동,102.3
강동구,성내2동,191.6
강동구,성내3동,137.7
강동구,둔촌1동,555.6
강동구,둔촌2동,115.1
강동구,암사1동,136.7
강동구,천호2동,183.6
강동구,길동,149.3
