자치구,읍면동명,독거노인수
금천구,독산3동,1028
금천구,독산4동,582
금천구,시흥1동,1422
금천구,시흥2동,719
금천구,시흥3동,437
금천구,시흥4동,794
금천구,시흥5동,1113
영등포구,여의동,991
영등포구,당산1동,753
영등포구,당산2동,688
영등포구,양평1동,549
영등포구,양평2동,448
영등포구,신길1동,1024
영등포구,신길3동,711
영등포구,신길4동,517
영등포구,신길5동,546
영등포구,신길6동,695
영등포구,신길7동,340
영등포구,대림1동,690
영등포구,대림2동,694
영등포구,대림3동,796
영등포구,영등포본동,1026
영등포구,영등포동,1278
영등포구,도림동,822
영등포구,문래동,833
동작구,노량진2동,733
동작구,상도1동,1245
동작구,상도2동,732
동작구,상도3동,830
동작구,상도4동,1192
동작구,사당1동,385
동작구,사당3동,567
동작구,사당4동,491
동작구,사당5동,364
동작구,대방동,1236
동작구,신대방1동,625
동작구,신대방2동,503
동작구,흑석동,1059
동작구,노량진1동,1027
동작구,사당2동,751
관악구,보라매동,881
관악구,청림동,601
관악구,행운동,947
관악구,낙성대동,493
관악구,중앙동,589
관악구,인헌동,722
관악구,남현동,421
관악구,서원동,621
관악구,신원동,749
관악구,서림동,689
관악구,신사동,758
관악구,신림동,508
관악구,난향동,508
관악구,조원동,607
관악구,대학동,559
관악구,은천동,1127
관악구,성현동,1135
관악구,청룡동,939
관악구,난곡동,1228
관악구,삼성동,1377
관악구,미성동,1031
서초구,서초1동,429
서초구,서초2동,400
서초구,서초3동,633
서초구,서초4동,435
서초구,잠원동,708
서초구,반포본동,258
서초구,반포1동,575
서초구,반포2동,331
서초구,반포3동,392
서초구,반포4동,374
서초구,방배본동,423
서초구,방배1동,402
서초구,방배2동,742
서초구,방배3동,555
서초구,방배4동,547
서초구,양재1동,978
서초구,양재2동,505
서초구,내곡동,502
강남구,신사동,406
강남구,논현1동,509
강남구,논현2동,435
강남구,삼성1동,260
강남구,삼성2동,470
강남구,대치1동,166
강남구,대치4동,330
강남구,역삼1동,698
강남구,역삼2동,490
강남구,도곡1동,350
강남구,도곡2동,507
강남구,개포1동,595
강남구,개포4동,375
강남구,일원본동,387
강남구,일원1동,676
강남구,일원2동,692
강남구,수서동,1235
강남구,세곡동,836
강남구,압구정동,682
강남구,청담동,516
강남구,대치2동,482
강남구,개포2동,299
송파구,풍납1동,586
송파구,풍납2동,551
송파구,거여1동,389
송파구,거여2동,607
송파구,마천1동,986
송파구,마천2동,708
송파구,방이1동,289
송파구,방이2동,665
송파구,오륜동,217
송파구,오금동,888
송파구,송파1동,518
송파구,송파2동,305
송파구,석촌동,884
송파구,삼전동,878
송파구,가락본동,569
송파구,가락1동,11
송파구,가락2동,425
송파구,문정1동,317
송파구,문정2동,298
송파구,장지동,740
송파구,위례동,249
송파구,잠실본동,618
송파구,잠실4동,469
송파구,잠실6동,251
송파구,잠실7동,196
송파구,잠실2동,379
송파구,잠실3동,561
강동구,강일동,518
강동구,상일동,286
강동구,명일1동,538
강동구,명일2동,261
강동구,고덕1동,342
강동구,고덕2동,409
강동구,암사2동,324
강동구,암사3동,273
강동구,천호1동,1131
강동구,천호3동,1135
강동구,성내1동,411
강동구,성내2동,947
강동구,성내3동,653
강동구,둔촌1동,87
강동구,둔촌2동,747
강동구,암사1동,1237
강동구,천호2동,1482
강동구,길동,1274
