,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
72,방화2동,강서구,433049.1855924297,3805,3318,1614,1018,202.3,5572.3,4167.2
73,방화3동,강서구,439830.39624150336,10467,908,1999,1173,175.1,5883.4,4438.5
74,보라매동,관악구,275025.7598821432,34734,1407,1108,881,176.3,3562.1,5045.4
75,은천동,관악구,365886.900652559,45894,1640,1719,1127,129.8,5405.5,7660.2
76,성현동,관악구,333095.68482728244,48578,877,1525,1135,129.4,4252.1,7173.9
77,중앙동,관악구,162637.01073366244,40297,1028,597,589,280.1,1840.3,2283.4
78,청림동,관악구,168294.57751181355,55090,446,679,601,115.3,1779.5,3778.2
79,행운동,관악구,312000.8957655788,42275,1480,1097,947,185.9,3377.3,5483.0
80,청룡동,관악구,346327.589641756,25629,1856,921,939,203.9,2961.8,4489.2
81,낙성대동,관악구,182773.4141662804,7833,1323,475,493,142.9,2317.5,3370.6
82,인헌동,관악구,280302.03345302364,25271,1025,901,722,157.2,3350.0,3560.5
83,남현동,관악구,196128.9816425716,5810,846,566,421,150.8,2057.7,2810.4
84,신림동,관악구,232630.07732237337,41215,1659,541,508,261.6,1970.5,3029.5
85,조원동,관악구,202714.01838435399,29588,2215,736,607,171.5,3001.8,3227.7
86,미성동,관악구,339340.6492490668,24127,1598,1405,1031,154.4,5252.6,4984.7
87,난곡동,관악구,300634.23610018595,30713,973,1588,1228,182.8,5711.8,4248.4
88,난향동,관악구,169376.6258027168,20866,426,710,508,112.0,3091.7,3599.0
89,서원동,관악구,248304.3197077428,36820,1312,847,621,240.9,2626.2,3606.6
90,신원동,관악구,204991.47240615977,36580,847,831,749,233.0,2641.6,2970.4
91,서림동,관악구,252323.35621681192,25132,1311,869,689,200.9,2901.4,3871.6
92,삼성동,관악구,262309.1161585759,9800,1052,1528,1377,272.5,5408.0,4517.4
93,대학동,관악구,253539.37239135074,2991,1669,717,559,193.3,2833.0,3258.7
94,중곡1동,광진구,266146.5004058783,26613,1612,686,504,172.6,2470.5,3635.7
95,중곡2동,광진구,366883.4370698572,41271,1622,884,570,132.4,3984.1,4405.6
96,중곡3동,광진구,283522.2037210489,29738,1330,775,845,170.2,4103.3,2642.4
97,중곡4동,광진구,495353.4225885535,13431,1563,1374,937,157.5,5962.9,5527.9
98,능동,광진구,192348.3873518001,10810,783,366,273,152.7,2277.7,2154.2
99,구의2동,광진구,454361.67474893905,20125,1297,1131,775,118.3,4384.7,5163.2
100,광장동,광진구,586429.9868870083,15192,1419,731,499,50.8,6480.7,6290.2
101,군자동,광진구,358892.5585862946,29769,1580,790,647,161.4,3421.7,4361.0
102,구의1동,광진구,374841.8981964885,41575,1846,833,591,169.6,3347.2,4856.1
103,구의3동,광진구,489161.70741467725,29878,2652,818,658,105.7,4147.8,6593.4
104,자양1동,광진구,392720.0705440942,42940,1711,902,937,148.6,3794.6,4647.0
105,자양2동,광진구,439368.6471682182,16330,1487,975,585,118.4,4269.3,4836.4
106,자양3동,광진구,479404.08297835954,25110,1353,867,550,85.3,4349.2,5697.7
107,자양4동,광진구,378764.3983851744,20736,1996,929,832,221.7,4078.8,4256.5
108,화양동,광진구,412057.0239536077,21383,2437,549,508,259.4,1986.7,3027.7
109,고척1동,구로구,660824.2226599978,21258,2590,1116,686,141.6,3736.0,4882.2
110,고척2동,구로구,789382.0490417187,28964,1407,1300,889,128.2,5226.2,5300.3
111,개봉1동,구로구,929691.2467727634,26456,1704,1626,1187,153.3,5639.4,6776.2
112,개봉2동,구로구,909316.7626509038,42144,1170,1436,802,134.8,5542.8,7177.1
113,개봉3동,구로구,603237.0625986131,27353,990,979,635,146.9,3887.8,5140.4
114,오류1동,구로구,626331.7715698534,38392,1125,1075,663,173.8,3608.8,4611.5
115,오류2동,구로구,1402738.3480800274,9869,1575,2120,1050,96.4,6209.6,6019.7
116,수궁동,구로구,680056.2123451176,9536,1266,1241,724,127.0,5125.0,4671.9
117,신도림동,구로구,1017146.4756803457,25588,2864,947,496,70.1,6741.1,7397.2
118,구로1동,구로구,601713.7366829601,21481,736,529,274,64.6,4005.2,3603.4
119,구로2동,구로구,965162.9788086849,20619,7816,1453,1274,202.4,5189.8,6432.1
