자치구,읍면동명,장애등급
구로구,구로2동,1453
구로구,개봉1동,1626
금천구,가산동,732
금천구,독산1동,1926
금천구,독산2동,958
금천구,독산3동,1205
금천구,독산4동,796
금천구,시흥1동,1665
금천구,시흥2동,1127
금천구,시흥3동,541
금천구,시흥4동,1065
금천구,시흥5동,1182
영등포구,여의동,768
영등포구,당산1동,805
영등포구,당산2동,929
영등포구,양평1동,734
영등포구,양평2동,636
영등포구,신길1동,816
영등포구,신길3동,797
영등포구,신길4동,533
영등포구,신길5동,554
영등포구,신길6동,782
영등포구,신길7동,492
영등포구,대림1동,760
영등포구,대림2동,709
영등포구,대림3동,1132
영등포구,영등포본동,1058
영등포구,영등포동,1068
영등포구,도림동,908
영등포구,문래동,923
동작구,노량진2동,666
동작구,상도1동,1556
동작구,상도2동,951
동작구,상도3동,1138
동작구,상도4동,1306
동작구,사당1동,797
동작구,사당3동,815
동작구,사당4동,560
동작구,사당5동,503
동작구,대방동,1605
동작구,신대방1동,820
동작구,신대방2동,720
동작구,흑석동,1098
동작구,노량진1동,1263
동작구,사당2동,893
관악구,보라매동,1108
관악구,청림동,679
관악구,행운동,1097
관악구,낙성대동,475
관악구,중앙동,597
관악구,인헌동,901
관악구,남현동,566
관악구,서원동,847
관악구,신원동,831
관악구,서림동,869
관악구,신사동,904
관악구,신림동,541
관악구,난향동,710
관악구,조원동,736
관악구,대학동,717
관악구,은천동,1719
관악구,성현동,1525
관악구,청룡동,921
관악구,난곡동,1588
관악구,삼성동,1528
관악구,미성동,1405
서초구,서초1동,472
서초구,서초2동,298
서초구,서초3동,699
서초구,서초4동,453
서초구,잠원동,609
서초구,반포본동,200
서초구,반포1동,532
서초구,반포2동,254
서초구,반포3동,326
서초구,반포4동,364
서초구,방배본동,469
서초구,방배1동,464
서초구,방배2동,756
서초구,방배3동,603
서초구,방배4동,616
서초구,양재1동,1940
서초구,양재2동,674
서초구,내곡동,852
강남구,신사동,407
강남구,논현1동,610
강남구,논현2동,523
강남구,삼성1동,292
강남구,삼성2동,556
강남구,대치1동,274
강남구,대치4동,372
강남구,역삼1동,777
강남구,역삼2동,662
강남구,도곡1동,440
강남구,도곡2동,479
강남구,개포1동,267
강남구,개포4동,520
강남구,일원본동,722
강남구,일원1동,1093
강남구,일원2동,1173
강남구,수서동,2174
강남구,세곡동,1988
강남구,압구정동,479
강남구,청담동,565
강남구,대치2동,641
강남구,개포2동,312
송파구,풍납1동,697
송파구,풍납2동,811
송파구,거여1동,610
송파구,거여2동,941
송파구,마천1동,1228
송파구,마천2동,1216
송파구,방이1동,431
송파구,방이2동,795
송파구,오륜동,310
송파구,오금동,1415
송파구,송파1동,687
송파구,송파2동,518
송파구,석촌동,1058
송파구,삼전동,969
송파구,가락본동,746
송파구,가락1동,14
송파구,가락2동,926
송파구,문정1동,598
송파구,문정2동,525
송파구,장지동,1489
송파구,위례동,752
