동,인구,면적,인구밀도
사직동,10013,1.23,8141
삼청동,3118,1.49,2093
부암동,11044,2.27,4865
평창동,19457,8.87,2194
무악동,8516,0.36,23656
교남동,4748,0.35,13566
가회동,4780,0.54,8852
종로1.2.3.4가동,8727,2.35,3714
종로5.6가동,5775,0.6,9625
이화동,8927,0.78,11445
창신1동,6590,0.31,21258
창신2동,10701,0.26,41158
창신3동,7753,0.23,33709
숭인1동,7109,0.23,30909
숭인2동,10148,0.35,28994
청운효자동,14111,2.57,5491
혜화동,20405,1.12,18219
소공동,2596,0.95,2733
회현동,6128,0.84,7295
명동,3524,0.99,3560
필동,5120,1.14,4491
장충동,5845,1.36,4298
광희동,6031,0.74,8150
을지로동,1826,0.6,3043
신당5동,10164,0.39,26062
황학동,13217,0.33,40052
중림동,8902,0.48,18546
신당동,9429,0.55,17144
다산동,15956,0.51,31286
약수동,18796,0.48,39158
청구동,15233,0.34,44803
동화동,11642,0.26,44777
후암동,19308,0.86,22451
용산2가동,12746,1.96,6503
남영동,8762,1.19,7363
원효로2동,15512,0.71,21848
효창동,9566,0.44,21741
용문동,12862,0.28,45936
이촌1동,29134,2.86,10187
이촌2동,9380,1.22,7689
이태원1동,8806,0.57,15449
이태원2동,11004,0.86,12795
서빙고동,14507,2.8,5181
보광동,16988,0.71,23927
청파동,21913,0.91,24080
원효로1동,14717,0.59,24944
한강로동,16463,2.9,5677
한남동,23434,3.01,7785
왕십리2동,16917,0.41,41261
마장동,24569,1.06,23178
사근동,12722,1.11,11461
행당1동,14708,0.59,24929
행당2동,25748,0.42,61305
응봉동,16921,0.57,29686
금호1가동,13419,0.46,29172
금호4가동,14557,0.84,17330
성수1가1동,17231,1.98,8703
성수1가2동,17024,0.89,19128
성수2가1동,19378,1.18,16422
성수2가3동,12142,1.03,11788
송정동,12005,0.68,17654
용답동,17059,2.32,7353
왕십리도선동,22878,0.72,31775
금호2.3가동,25038,0.64,39122
옥수동,24845,1.95,12741
화양동,24495,1.16,21116
군자동,22048,0.74,29795
중곡1동,16342,0.62,26358
중곡2동,22877,0.55,41595
중곡3동,17960,0.6,29933
중곡4동,31786,2.32,13701
능동,11648,1.1,10589
구의1동,23387,0.56,41763
구의2동,25889,1.39,18625
구의3동,29789,1.02,29205
광장동,36613,2.39,15319
자양1동,23951,0.57,42019
자양2동,27532,1.68,16388
자양3동,30555,1.2,25463
자양4동,27232,1.16,23476
회기동,12587,0.76,16562
휘경1동,14964,0.63,23752
휘경2동,25467,1.05,24254
청량리동,23560,1.2,19633
용신동,33484,1.61,20798
제기동,28551,1.18,24196
전농1동,30779,1.21,25437
