,자치구,읍면동명,종사자수
185,은평구,신사2동,"3,686"
186,은평구,증산동,"4,192"
187,은평구,수색동,"2,695"
188,은평구,진관동,"8,504"
189,은평구,불광2동,"4,290"
190,은평구,응암3동,"4,965"
191,은평구,역촌동,"7,933"
192,서대문구,천연동,"2,835"
193,서대문구,홍제1동,"4,489"
194,서대문구,홍제3동,"3,790"
195,서대문구,홍제2동,"1,677"
196,서대문구,홍은1동,"2,470"
197,서대문구,홍은2동,"5,372"
198,서대문구,남가좌1동,"2,047"
199,서대문구,남가좌2동,"4,207"
200,서대문구,북가좌1동,"3,126"
201,서대문구,북가좌2동,"7,183"
202,서대문구,충현동,"25,628"
203,서대문구,북아현동,"2,099"
204,서대문구,신촌동,"37,929"
205,서대문구,연희동,"11,127"
206,마포구,용강동,"19,216"
207,마포구,대흥동,"9,646"
208,마포구,염리동,"3,618"
209,마포구,신수동,"5,334"
210,마포구,서교동,"62,203"
211,마포구,합정동,"14,716"
212,마포구,망원1동,"4,705"
213,마포구,망원2동,"5,226"
214,마포구,연남동,"5,926"
215,마포구,성산1동,"11,078"
216,마포구,성산2동,"11,771"
217,마포구,상암동,"38,152"
218,마포구,도화동,"15,583"
219,마포구,서강동,"11,958"
220,마포구,공덕동,"18,875"
221,마포구,아현동,"12,598"
222,양천구,목1동,"20,725"
223,양천구,목2동,"4,094"
224,양천구,목3동,"4,644"
225,양천구,목4동,"3,853"
226,양천구,신월1동,"5,063"
227,양천구,신월2동,"3,984"
228,양천구,신월3동,"4,277"
229,양천구,신월4동,"3,745"
230,양천구,신월5동,"4,422"
231,양천구,신월6동,"3,231"
232,양천구,신월7동,"5,695"
233,양천구,신정1동,"4,929"
234,양천구,신정2동,"3,612"
235,양천구,신정3동,"9,536"
236,양천구,신정6동,"5,769"
237,양천구,신정7동,"4,481"
238,양천구,목5동,"10,258"
239,양천구,신정4동,"14,941"
240,강서구,염창동,"15,633"
241,강서구,등촌1동,"15,729"
242,강서구,등촌2동,"3,454"
243,강서구,등촌3동,"22,329"
244,강서구,화곡본동,"4,047"
245,강서구,화곡2동,"2,790"
246,강서구,화곡3동,"5,360"
247,강서구,화곡4동,"3,860"
248,강서구,화곡6동,"11,322"
249,강서구,화곡8동,"3,229"
250,강서구,가양1동,"14,040"
251,강서구,가양2동,"3,495"
252,강서구,가양3동,"7,631"
253,강서구,발산1동,"11,966"
254,강서구,공항동,"35,503"
255,강서구,방화1동,"10,377"
256,강서구,방화2동,"13,631"
257,강서구,방화3동,"4,739"
258,강서구,화곡1동,"10,841"
259,강서구,우장산동,"7,430"
260,구로구,신도림동,"14,839"
261,구로구,구로1동,"3,021"
262,구로구,구로3동,"82,785"
263,구로구,구로4동,"5,011"
264,구로구,구로5동,"26,516"
265,구로구,고척1동,"9,475"
266,구로구,고척2동,"3,976"
267,구로구,개봉2동,"2,989"
268,구로구,개봉3동,"5,099"
269,구로구,오류1동,"5,158"
270,구로구,오류2동,"7,882"
271,구로구,수궁동,"5,881"
272,구로구,가리봉동,"2,820"
273,구로구,구로2동,"30,343"
274,구로구,개봉1동,"5,596"
275,금천구,가산동,"153,745"
276,금천구,독산1동,"24,440"
277,금천구,독산2동,"3,542"
278,금천구,독산3동,"8,267"
279,금천구,독산4동,"3,674"
280,금천구,시흥1동,"13,912"
281,금천구,시흥2동,"2,005"
282,금천구,시흥3동,"10,610"
283,금천구,시흥4동,"1,938"
284,금천구,시흥5동,"3,445"
285,영등포구,여의동,"152,605"
