,자치구,읍면동명,사업체수
0,종로구,사직동,"3,489"
1,종로구,삼청동,751
2,종로구,부암동,575
3,종로구,평창동,708
4,종로구,무악동,573
5,종로구,교남동,302
6,종로구,가회동,770
7,종로구,종로1.2.3.4가동,"15,970"
8,종로구,종로5.6가동,"7,691"
9,종로구,이화동,"1,248"
10,종로구,창신1동,"2,273"
11,종로구,창신2동,872
12,종로구,창신3동,283
13,종로구,숭인1동,533
14,종로구,숭인2동,"1,881"
15,종로구,청운효자동,"1,009"
16,종로구,혜화동,"1,736"
17,중구,소공동,"3,929"
18,중구,회현동,"9,697"
19,중구,명동,"6,778"
20,중구,필동,"3,159"
21,중구,장충동,911
22,중구,광희동,"9,380"
23,중구,을지로동,"9,442"
24,중구,신당5동,"1,283"
25,중구,황학동,"1,963"
26,중구,중림동,"1,005"
27,중구,신당동,"12,117"
28,중구,다산동,"1,387"
29,중구,약수동,854
30,중구,청구동,765
31,중구,동화동,970
32,용산구,후암동,840
33,용산구,용산2가동,574
34,용산구,남영동,"1,673"
35,용산구,원효로2동,"1,190"
36,용산구,효창동,469
37,용산구,용문동,682
38,용산구,이촌1동,823
39,용산구,이촌2동,340
40,용산구,이태원1동,"1,714"
41,용산구,이태원2동,733
42,용산구,서빙고동,415
43,용산구,보광동,836
44,용산구,청파동,"1,915"
45,용산구,원효로1동,"1,843"
46,용산구,한강로동,"4,892"
47,용산구,한남동,"2,055"
48,성동구,왕십리2동,780
49,성동구,마장동,"3,238"
50,성동구,사근동,"1,088"
51,성동구,행당1동,"1,451"
52,성동구,행당2동,582
53,성동구,응봉동,375
54,성동구,금호1가동,535
55,성동구,금호4가동,617
56,성동구,성수1가1동,"1,546"
57,성동구,성수1가2동,"2,198"
58,성동구,성수2가1동,"2,626"
59,성동구,성수2가3동,"5,056"
60,성동구,송정동,695
61,성동구,용답동,"2,055"
62,성동구,왕십리도선동,"1,906"
63,성동구,금호2.3가동,"1,008"
64,성동구,옥수동,825
65,광진구,화양동,"2,474"
66,광진구,군자동,"1,609"
67,광진구,중곡1동,"1,639"
68,광진구,중곡2동,"1,660"
69,광진구,중곡3동,"1,347"
70,광진구,중곡4동,"1,545"
71,광진구,능동,758
72,광진구,구의1동,"1,900"
73,광진구,구의2동,"1,251"
74,광진구,구의3동,"2,636"
75,광진구,광장동,"1,402"
76,광진구,자양1동,"1,736"
77,광진구,자양2동,"1,524"
78,광진구,자양3동,"1,356"
79,광진구,자양4동,"2,058"
80,동대문구,회기동,988
81,동대문구,휘경1동,"1,027"
82,동대문구,휘경2동,"1,197"
83,동대문구,청량리동,"1,683"
84,동대문구,용신동,"5,820"
85,동대문구,제기동,"4,739"
86,동대문구,전농1동,"2,178"
87,동대문구,전농2동,875
88,동대문구,답십리1동,"2,242"
89,동대문구,답십리2동,"2,055"
90,동대문구,장안1동,"4,539"
91,동대문구,장안2동,"3,204"
92,동대문구,이문1동,"1,486"
93,동대문구,이문2동,729
94,중랑구,면목2동,"2,053"
95,중랑구,면목4동,"1,102"
96,중랑구,면목5동,873
97,중랑구,면목7동,"1,512"
98,중랑구,상봉1동,"1,124"
99,중랑구,상봉2동,"2,131"
100,중랑구,중화1동,"1,061"
101,중랑구,중화2동,"2,126"
102,중랑구,묵1동,"1,471"
103,중랑구,묵2동,"1,815"
104,중랑구,망우3동,"1,107"
105,중랑구,신내1동,"1,945"
106,중랑구,신내2동,"1,136"
107,중랑구,면목본동,"2,498"
108,중랑구,면목3.8동,"2,090"
109,중랑구,망우본동,"3,871"
110,성북구,돈암1동,394
111,성북구,돈암2동,398
112,성북구,안암동,"1,462"
113,성북구,보문동,"1,303"
114,성북구,정릉1동,732
115,성북구,정릉2동,900
116,성북구,정릉3동,667
117,성북구,정릉4동,929
118,성북구,길음1동,968
119,성북구,길음2동,"1,296"
120,성북구,월곡1동,"1,376"
121,성북구,월곡2동,"1,594"
122,성북구,장위1동,"1,028"
123,성북구,장위2동,"1,606"
124,성북구,장위3동,804
125,성북구,성북동,"1,107"
126,성북구,삼선동,"1,849"
127,성북구,동선동,"1,936"
128,성북구,종암동,"2,048"
129,성북구,석관동,"2,163"
130,강북구,번1동,"1,793"
131,강북구,번2동,656
132,강북구,번3동,860
133,강북구,수유1동,"1,449"
134,강북구,수유2동,"1,363"
135,강북구,수유3동,"2,399"
136,강북구,삼양동,"1,176"
137,강북구,미아동,"1,639"
138,강북구,송중동,"1,955"
