자치구,읍면동명,사업체 창업률
강서구,등촌2동,9.66
강서구,등촌3동,15.76
강서구,화곡본동,10.7
강서구,화곡2동,12.09
강서구,화곡3동,15.57
강서구,화곡4동,12.19
강서구,화곡6동,13.84
강서구,화곡8동,13.58
강서구,가양1동,21.72
강서구,가양2동,8.75
강서구,가양3동,8.68
강서구,발산1동,9.52
강서구,공항동,12.47
강서구,방화1동,12.16
강서구,방화2동,8.77
강서구,방화3동,8.26
강서구,화곡1동,13.31
강서구,우장산동,14.4
구로구,신도림동,13.69
구로구,구로1동,8.95
구로구,구로3동,15.3
구로구,구로4동,12.65
구로구,구로5동,12.25
구로구,고척1동,9.59
구로구,고척2동,9.32
구로구,개봉2동,9.53
구로구,개봉3동,9.98
구로구,오류1동,12.13
구로구,오류2동,13.1
구로구,수궁동,9.04
구로구,가리봉동,14.14
구로구,구로2동,6.52
구로구,개봉1동,11.45
금천구,가산동,14.18
금천구,독산1동,10.76
금천구,독산2동,12.65
금천구,독산3동,11.92
금천구,독산4동,12.56
금천구,시흥1동,13.53
금천구,시흥2동,9.2
금천구,시흥3동,6.41
금천구,시흥4동,10.36
금천구,시흥5동,10.06
영등포구,여의동,13.21
영등포구,당산1동,11.72
영등포구,당산2동,13.23
영등포구,양평1동,5.7
영등포구,양평2동,11.51
영등포구,신길1동,8.16
영등포구,신길3동,9.44
영등포구,신길4동,8.76
영등포구,신길5동,9.77
영등포구,신길6동,9.48
영등포구,신길7동,14.07
영등포구,대림1동,9.57
영등포구,대림2동,15.76
영등포구,대림3동,10.01
영등포구,영등포본동,14.63
영등포구,영등포동,10.91
영등포구,도림동,8.64
영등포구,문래동,9.98
동작구,노량진2동,12.29
동작구,상도1동,11.03
동작구,상도2동,13.68
동작구,상도3동,12.37
동작구,상도4동,10.48
동작구,사당1동,13.88
동작구,사당3동,10.65
동작구,사당4동,11.26
동작구,사당5동,11.26
동작구,대방동,12.47
동작구,신대방1동,12.92
동작구,신대방2동,12.47
동작구,흑석동,11.77
동작구,노량진1동,12.15
동작구,사당2동,15.02
관악구,보라매동,11.38
관악구,청림동,9.26
관악구,행운동,14.82
관악구,낙성대동,16.44
관악구,중앙동,13.44
관악구,인헌동,8.98
관악구,남현동,9.73
관악구,서원동,13.66
관악구,신원동,13.4
관악구,서림동,7.52
관악구,신사동,11.67
관악구,신림동,15.65
관악구,난향동,9.29
관악구,조원동,10.71
관악구,대학동,14.11
관악구,은천동,9.77
관악구,성현동,10.34
관악구,청룡동,12.75
관악구,난곡동,10.53
관악구,삼성동,6.59
관악구,미성동,10.58
서초구,서초1동,12.47
서초구,서초2동,14.55
서초구,서초3동,14.26
서초구,서초4동,15.33
서초구,잠원동,12.19
서초구,반포본동,13.0
서초구,반포1동,14.83
서초구,반포2동,10.4
서초구,반포3동,13.45
서초구,반포4동,11.77
서초구,방배본동,13.59
서초구,방배1동,12.85
서초구,방배2동,11.65
서초구,방배3동,10.88
서초구,방배4동,10.99
서초구,양재1동,11.73
서초구,양재2동,10.54
서초구,내곡동,13.34
강남구,신사동,15.94
강남구,논현1동,17.78
강남구,논현2동,17.57
강남구,삼성1동,16.77
강남구,삼성2동,17.89
강남구,대치1동,17.54
강남구,대치4동,17.01
강남구,역삼1동,19.18
강남구,역삼2동,16.77
강남구,도곡1동,13.63
강남구,도곡2동,11.21
강남구,개포1동,12.52
강남구,개포4동,9.0
강남구,일원본동,14.01
강남구,일원1동,5.67
강남구,일원2동,10.69
강남구,수서동,10.1
강남구,세곡동,20.42
강남구,압구정동,16.16
강남구,청담동,14.21
강남구,대치2동,13.58
강남구,개포2동,12.41
송파구,풍납1동,11.04
송파구,풍납2동,11.0
송파구,거여1동,12.15
송파구,거여2동,8.94
송파구,마천1동,12.66
송파구,마천2동,11.65
송파구,방이1동,14.25
송파구,방이2동,15.8
송파구,오륜동,8.14
송파구,오금동,11.54
송파구,송파1동,11.5
송파구,송파2동,13.35
송파구,석촌동,12.96
송파구,삼전동,15.37
송파구,가락본동,13.67
송파구,가락1동,4.08
송파구,가락2동,12.52
송파구,문정1동,14.05
송파구,문정2동,18.18
송파구,장지동,12.76
송파구,위례동,58.36
송파구,잠실본동,18.45
송파구,잠실4동,16.7
송파구,잠실6동,12.56
송파구,잠실7동,9.55
송파구,잠실2동,18.15
송파구,잠실3동,16.33
강동구,강일동,10.99
강동구,상일동,10.61
강동구,명일1동,12.91
강동구,명일2동,11.38
강동구,고덕1동,10.33
강동구,고덕2동,3.36
강동구,암사2동,12.04
강동구,암사3동,9.69
강동구,천호1동,11.71
강동구,천호3동,15.14
강동구,성내1동,11.64
강동구,성내2동,15.62
강동구,성내3동,14.3
강동구,둔촌1동,8.09
강동구,둔촌2동,13.07
강동구,암사1동,12.77
강동구,천호2동,14.41
강동구,길동,13.06
