,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급별 장애인현황
93,난곡동,관악구,"25,340","4,525",,"4,053",860,15.5,15.6,100.2,936,"2,327",10.9,"1,242",731,2.0,9.917,0.0
94,난향동,관악구,"13,839","2,456",,"2,716",409,22.9,14.2,62.0,379,"1,642",11.3,427,488,2.0,8.417,0.0
95,서원동,관악구,"20,875","3,164",,"4,858",474,9.8,11.9,121.0,"1,267","7,033",19.1,502,390,3.0,6.999,0.0
96,신원동,관악구,"16,806","2,955",,"3,242",581,12.0,15.4,128.9,887,"2,385",14.0,607,511,1.0,8.334,0.0
97,서림동,관악구,"21,459","3,532",,"5,228",532,9.7,12.1,124.9,844,"2,654",14.1,532,307,1.0,8.417,0.0
98,삼성동,관악구,"24,601","4,691",,"4,929","1,065",14.3,19.3,135.1,"1,160","2,600",9.4,"1,009",601,,10.334,0.0
99,대학동,관악구,"20,526","2,995",,"5,575",424,8.4,9.8,117.3,"1,596","10,394",18.9,476,507,11.0,6.582999999999998,0.0
100,중곡1동,광진구,"14,070","3,091","4,192",,365,12.4,13.1,105.1,"1,631","6,112",11.0,444,359,4.0,8.0,695.0
101,중곡2동,광진구,"18,556","4,228","5,425",,405,15.0,11.8,78.5,"1,725","6,034",16.1,622,617,4.0,7.082999999999998,895.0
102,중곡3동,광진구,"15,410","3,511","4,370",,401,14.5,12.8,88.6,"1,374","4,205",15.4,704,871,1.0,7.75,807.0
103,중곡4동,광진구,"25,624","6,439","7,575",,652,15.5,13.0,84.3,"1,550","4,804",15.1,"1,079",895,2.0,8.0,1319.0
104,능동,광진구,"9,427","2,195","2,836",,242,12.2,13.1,107.8,715,"4,237",9.1,191,205,,7.999,405.0
105,구의2동,광진구,"21,460","5,380","6,289",,559,17.7,13.8,77.6,"1,330","4,934",11.6,677,841,3.0,8.917,1181.0
106,광장동,광진구,"25,031","8,222","7,259",,457,27.6,10.2,36.9,"1,332","10,149",14.9,124,509,10.0,7.667000000000002,771.0
107,군자동,광진구,"17,947","3,848","5,073",,484,11.9,12.5,105.7,"1,627","7,657",14.2,531,665,4.0,7.75,828.0
108,구의1동,광진구,"19,037","3,534","5,703",,497,12.2,11.9,97.1,"1,835","6,353",14.1,519,612,5.0,7.5,827.0
109,구의3동,광진구,"23,708","6,262","7,241",,473,16.9,11.2,66.0,"2,630","19,257",17.4,249,568,10.0,7.0,824.0
110,자양1동,광진구,"20,220","3,552","5,777",,620,12.8,12.0,93.6,"1,705","8,742",13.5,685,639,3.0,8.5,941.0
111,자양2동,광진구,"23,178","4,971","6,835",,470,16.8,11.7,69.3,"1,561","7,671",11.5,416,566,3.0,8.25,1037.0
112,자양3동,광진구,"24,856","6,424","7,575",,477,19.9,10.6,53.3,"1,316","6,130",12.6,255,882,7.0,7.582999999999998,859.0
113,자양4동,광진구,"22,118","3,843","6,119",,714,10.0,12.5,125.0,"2,056","6,816",15.7,692,657,2.0,7.917000000000002,1111.0
114,화양동,광진구,"18,808","2,920","5,257",,443,7.1,9.4,132.3,"2,441","14,551",17.7,315,464,10.0,6.417000000000002,687.0
115,고척1동,구로구,"20,257","5,464","6,143",,521,18.0,14.0,77.6,"2,476","8,230",8.8,421,815,3.0,10.417,1111.0
116,고척2동,구로구,"24,230","5,958","7,657",,672,19.8,13.7,69.2,"1,456","3,888",11.3,734,"1,035",2.0,10.083,1334.0
117,개봉1동,구로구,"27,493","6,959","8,293",,789,16.5,14.6,88.4,"1,714","5,350",11.4,912,990,3.0,9.583,1521.0
118,개봉2동,구로구,"27,977","7,803","9,162",,571,18.3,13.7,75.0,"1,168","2,601",10.3,592,"1,027",3.0,10.167,1339.0
119,개봉3동,구로구,"17,471","4,291","5,225",,307,18.3,14.0,76.4,"1,046","2,610",12.5,587,837,2.0,9.999,924.0
120,오류1동,구로구,"17,184","4,647","5,072",,628,15.0,14.9,99.4,"1,122","4,540",12.9,596,576,5.0,9.75,1026.0
121,오류2동,구로구,"30,480","8,193","9,734",,659,23.9,14.5,60.8,"1,371","6,233",14.7,955,"1,500",1.0,10.417,1849.0
122,수궁동,구로구,"20,349","5,863","5,792",,560,19.2,13.6,70.8,"1,129","5,826",9.1,555,770,1.0,11.583,1193.0
123,신도림동,구로구,"29,103","7,280","10,655",,425,22.4,10.4,46.5,"2,490","13,980",11.8,131,880,8.0,9.167,1056.0
124,구로1동,구로구,"17,678","3,675","6,883",,274,21.1,8.9,42.0,715,"2,744",9.5,69,753,2.0,11.167,586.0
125,구로2동,구로구,"27,280","5,071","7,790",,"1,027",11.6,14.3,122.6,"7,722","26,613",8.4,775,"1,014",12.0,10.167,1602.0
126,구로3동,구로구,"23,099","3,328","8,611",,"2,237",15.1,10.2,67.5,"5,592","74,353",16.2,290,716,24.0,7.667000000000002,944.0
127,구로4동,구로구,"21,923","3,717","7,293",,769,14.0,13.5,96.7,"1,951","4,957",14.5,662,783,5.0,8.75,1310.0
128,구로5동,구로구,"25,502","5,272","8,853",,"3,115",15.5,11.7,75.7,"4,555","26,098",11.2,312,"1,095",6.0,11.25,1169.0
129,가리봉동,구로구,"12,409","1,894","3,334",,692,6.5,11.7,181.4,"1,016","2,669",12.6,587,375,1.0,10.083,857.0
130,가산동,금천구,"17,197","2,755","4,876",,588,8.3,9.7,117.5,"10,942","132,931",14.0,468,717,34.0,7.5,834.0
131,독산1동,금천구,"26,169","4,711","7,375",,693,13.4,12.5,93.3,"3,280","20,363",13.0,"1,258",672,7.0,9.167,1707.0
132,독산2동,금천구,"18,715","3,160","4,930",,561,13.8,11.8,85.4,"1,245","3,454",14.9,"1,031","1,137",3.0,8.083,945.0
133,독산3동,금천구,"23,621","4,123","5,908",,744,11.8,12.2,103.2,"2,233","8,752",12.6,942,981,3.0,8.083,1278.0
134,독산4동,금천구,"15,629","2,509","4,020",,399,14.0,11.5,82.3,"1,047","3,406",12.0,743,721,2.0,8.167,768.0
135,시흥1동,금천구,"28,553","5,422","7,275",,967,14.7,13.8,94.1,"3,087","13,306",13.3,"1,223","1,003",10.0,8.583,1605.0
136,시흥2동,금천구,"19,405","4,225","5,944",,434,22.1,14.8,67.2,534,"1,565",10.7,"1,115",586,2.0,9.334,1173.0
137,시흥3동,금천구,"10,375","2,242","2,857",,339,14.6,16.7,113.9,"3,169","9,283",5.7,275,300,5.0,10.334,620.0
138,시흥4동,금천구,"19,299","3,553","4,887",,547,16.5,13.6,82.5,908,"2,019",12.0,934,"1,043",1.0,8.75,1031.0
139,시흥5동,금천구,"19,405","3,677","4,928",,776,15.8,16.7,105.6,"1,206","3,486",13.9,"1,240","1,386",1.0,8.5,1249.0
140,월계1동,노원구,"19,193","5,359","4,633",,626,16.4,15.8,96.7,"1,387","5,054",11.5,644,800,3.0,8.334,1001.0
141,월계2동,노원구,"24,782","6,710","5,822",,"1,109",17.9,17.0,94.7,"1,055","3,651",12.4,"2,749",629,1.0,10.083,2216.0
142,월계3동,노원구,"28,453","8,361","7,597",,825,21.4,15.2,70.9,939,"3,549",11.7,"1,642","1,029",3.0,9.999,1987.0
143,공릉1동,노원구,"32,807","8,534","8,211",,930,16.2,13.2,81.7,"2,536","10,716",14.0,"1,789","1,044",7.0,8.083,2231.0
144,공릉2동,노원구,"34,877","10,611","8,709",,686,21.9,10.7,49.1,"1,780","9,436",13.9,626,"1,510",8.0,9.0,1564.0
145,상계1동,노원구,"34,528","7,918",,"10,584","1,647",17.7,14.3,80.7,"2,795","8,031",13.1,"1,049","1,466",2.0,10.083,1954.0
146,상계2동,노원구,"18,117","4,194",,"5,248",483,14.9,13.2,88.6,"2,195","8,249",17.1,716,989,2.0,6.0,913.0
147,상계3.4동,노원구,"32,152","6,760",,"9,096","1,450",16.6,19.8,118.8,"1,721","4,957",12.3,"2,014","1,055",1.0,9.334,2180.0
148,상계5동,노원구,"19,474","4,104",,"5,776",631,16.3,15.3,93.9,"1,306","2,729",13.1,"1,284",674,2.0,7.917000000000002,1106.0
149,상계8동,노원구,"19,488","4,100",,"7,448",396,28.8,10.6,36.9,590,"1,965",12.2,158,879,3.0,9.583,804.0
150,상계9동,노원구,"18,625","4,151",,"6,670",482,22.7,11.7,51.5,730,"2,314",12.2,298,528,4.0,10.417,777.0
151,상계10동,노원구,"16,092","3,610",,"5,516",393,19.2,10.9,56.9,460,"1,757",9.6,298,504,2.0,10.167,592.0
152,하계1동,노원구,"23,661","7,331","6,635",,869,15.8,13.2,83.7,891,"6,891",12.0,"2,539",717,3.0,8.917,2142.0
153,하계2동,노원구,"19,190","5,550","5,961",,502,21.3,11.9,55.6,370,"1,169",11.4,"1,005",441,1.0,11.083,1084.0
154,중계본동,노원구,"21,294","6,613","5,967",,495,21.7,10.1,46.5,"1,167","4,561",17.0,438,435,3.0,7.582999999999998,994.0
155,중계1동,노원구,"20,579","6,400","6,445",,401,25.2,8.2,32.5,895,"3,728",13.2,607,680,6.0,8.083,840.0
156,중계2.3동,노원구,"32,696","8,775","10,068",,"1,256",20.2,17.5,86.5,"1,161","5,049",14.4,"4,120",839,3.0,8.334,3310.0
157,중계4동,노원구,"17,584","4,965","5,302",,614,18.4,15.2,83.0,994,"3,618",16.6,"1,378",420,3.0,7.0,1343.0
158,상계6.7동,노원구,"28,294","7,581","8,838",,884,22.0,12.1,54.9,"1,892","14,903",15.2,734,918,15.0,8.917,1261.0
159,쌍문1동,도봉구,"17,881","3,895","5,200",,261,16.4,18.1,110.5,921,"3,734",11.3,872,633,2.0,8.25,1009.0
160,쌍문3동,도봉구,"15,380","3,076","4,638",,464,15.5,17.0,109.7,910,"3,293",12.6,464,635,1.0,7.082999999999998,795.0
161,창1동,도봉구,"22,304","4,858","7,691",,638,19.1,14.8,77.4,"1,062","3,207",10.6,369,634,5.0,7.5,1064.0
162,창2동,도봉구,"25,078","4,975","7,632",,592,18.0,13.7,76.2,"1,328","4,135",12.7,889,"1,058",1.0,8.167,1205.0
163,창3동,도봉구,"12,750","2,449","3,628",,425,16.5,15.8,95.6,945,"1,886",14.4,813,794,,7.334,713.0
164,창4동,도봉구,"23,521","5,701","8,319",,479,20.9,12.9,61.9,"1,138","6,659",13.0,275,637,4.0,7.75,1007.0
165,창5동,도봉구,"22,188","5,473","7,097",,308,17.1,13.3,77.8,"2,115","6,557",11.3,351,656,5.0,6.917000000000002,993.0
166,쌍문2동,도봉구,"17,582","4,182","4,765",,421,15.7,15.9,101.2,"1,210","3,838",12.0,798,480,1.0,7.5,952.0
167,쌍문4동,도봉구,"16,764","4,740","4,979",,375,18.4,12.0,64.9,584,"1,880",14.9,184,392,2.0,7.917000000000002,637.0
168,방학1동,도봉구,"25,796","6,623","7,010",,302,15.4,14.4,93.2,"2,358","10,834",18.2,"1,141","1,125",8.0,6.5,1407.0
169,방학2동,도봉구,"19,191","4,261","5,022",,712,15.8,16.1,102.1,"1,327","3,121",15.4,"1,867",984,,7.582999999999998,1120.0
170,방학3동,도봉구,"24,621","6,703","7,499",,438,20.2,13.1,64.9,918,"2,874",11.2,285,936,4.0,8.583,1023.0
171,도봉1동,도봉구,"20,805","5,391","5,290",,727,12.5,21.5,172.0,"1,675","5,316",13.9,"1,016",853,2.0,8.417,1535.0
172,도봉2동,도봉구,"25,637","7,262","7,758",,530,17.0,18.9,111.1,"1,402","5,486",17.3,745,989,3.0,7.75,1512.0
173,용신동,동대문구,"27,372","6,009","6,583",,873,12.7,18.6,146.8,"5,468","27,469",8.9,"1,164",702,11.0,9.25,1617.0
174,제기동,동대문구,"23,620","5,672","5,867",,"1,199",12.8,19.2,150.5,"4,722","11,201",7.3,"1,074",690,9.0,11.334,1401.0
175,청량리동,동대문구,"20,859","5,850","4,798",,"1,177",12.8,23.0,180.2,"1,731","8,070",9.1,"1,250",500,7.0,11.334,1423.0
176,회기동,동대문구,"9,419","2,173","2,392",,184,11.5,12.9,111.9,989,"9,677",18.6,209,291,6.0,7.999,381.0
177,휘경1동,동대문구,"14,321","3,126","3,480",,463,11.2,15.3,136.1,"1,045","4,039",13.5,397,294,2.0,9.667,746.0
178,휘경2동,동대문구,"20,519","5,119","5,766",,391,17.8,13.7,76.9,"1,099","4,409",7.9,405,748,2.0,11.833,852.0
179,이문1동,동대문구,"26,586","5,901","6,656",,880,12.4,14.5,117.5,"1,501","6,039",12.5,900,645,4.0,9.917,1321.0
180,이문2동,동대문구,"18,233","4,529","5,258",,341,19.5,15.0,76.6,734,"2,126",9.7,731,734,,10.583,983.0
181,전농1동,동대문구,"22,506","5,275","6,180",,"1,290",13.5,20.2,149.3,"2,206","7,911",10.4,"1,410",580,3.0,9.5,1579.0
182,전농2동,동대문구,"16,874","4,756","5,427",,428,19.3,16.8,86.8,782,"4,213",11.9,582,403,4.0,12.583,946.0
183,답십리1동,동대문구,"16,627","4,008","4,824",,590,16.1,17.2,107.0,"2,098","9,558",8.7,630,605,8.0,12.5,958.0
184,답십리2동,동대문구,"25,608","6,622","8,428",,817,18.5,16.5,89.0,"1,854","5,342",9.9,969,"1,065",1.0,10.999,1564.0
185,장안1동,동대문구,"30,317","7,689","9,142",,774,15.9,13.4,84.4,"4,543","21,258",9.1,903,"1,310",12.0,9.167,1516.0
186,장안2동,동대문구,"25,935","6,736","8,033",,399,19.3,13.6,70.7,"3,109","11,085",14.0,721,949,3.0,8.25,1297.0
187,노량진1동,동작구,"28,015","7,535","9,021",,"1,325",16.4,16.3,99.4,"2,881","10,811",9.6,570,695,6.0,12.5,1342.0
188,노량진2동,동작구,"13,661","3,105","3,898",,536,10.7,16.1,150.9,"1,060","5,119",13.9,538,233,4.0,9.417,695.0
189,상도2동,동작구,"21,057","5,599","6,282",,236,17.2,15.6,90.5,"1,281","4,346",12.3,378,630,4.0,9.833,1002.0
190,상도3동,동작구,"20,378","4,627","6,634",,451,15.8,16.6,104.7,992,"2,748",12.8,637,770,3.0,10.583,1130.0
191,상도4동,동작구,"24,075","5,408","7,235",,663,16.6,15.4,92.9,"1,021","2,694",10.1,794,898,1.0,11.334,1314.0
192,대방동,동작구,"31,117","8,230","10,110",,814,19.4,13.2,67.9,"1,653","12,649",11.3,"1,072",666,6.0,9.917,1644.0
193,신대방1동,동작구,"20,457","5,418","6,711",,497,18.1,12.2,67.3,"1,018","3,975",16.6,302,610,4.0,8.917,871.0
194,신대방2동,동작구,"16,450","4,141","5,181",,417,20.0,14.3,71.8,"1,263","19,901",12.4,327,399,8.0,8.75,775.0
195,상도1동,동작구,"32,531","9,746","8,394",,813,15.7,13.8,88.5,"1,670","6,517",14.3,839,"1,016",7.0,9.083,1529.0
