,자치구,읍면동명,금융기관
208,마포구,서강동,4
209,마포구,공덕동,13
210,마포구,아현동,5
211,양천구,목1동,6
212,양천구,목2동,2
213,양천구,목3동,4
214,양천구,목4동,4
215,양천구,목5동,20
216,양천구,신월1동,4
217,양천구,신월2동,2
218,양천구,신월3동,1
219,양천구,신월4동,1
220,양천구,신월5동,1
221,양천구,신월6동,2
222,양천구,신월7동,2
223,양천구,신정1동,3
224,양천구,신정2동,14
225,양천구,신정3동,4
226,양천구,신정4동,8
227,양천구,신정6동,3
228,양천구,신정7동,3
229,강서구,염창동,6
230,강서구,등촌1동,4
231,강서구,등촌2동,1
232,강서구,등촌3동,7
233,강서구,화곡본동,3
234,강서구,화곡2동,2
235,강서구,화곡4동,4
236,강서구,화곡6동,2
237,강서구,화곡8동,5
238,강서구,가양1동,4
239,강서구,가양2동,11
240,강서구,가양3동,2
241,강서구,발산1동,3
242,강서구,방화1동,4
243,강서구,방화2동,11
244,강서구,방화3동,4
245,강서구,화곡1동,4
246,강서구,우장산동,2
247,구로구,신도림동,4
248,구로구,구로1동,11
249,구로구,구로3동,21
250,구로구,구로4동,4
251,구로구,구로5동,9
252,구로구,고척1동,3
253,구로구,고척2동,2
254,구로구,개봉2동,2
255,구로구,개봉3동,5
256,구로구,오류1동,6
257,구로구,오류2동,1
258,구로구,수궁동,1
259,구로구,가리봉동,1
260,구로구,구로2동,6
261,구로구,개봉1동,2
262,금천구,가산동,25
263,금천구,독산1동,5
264,금천구,독산2동,3
265,금천구,독산3동,4
266,금천구,독산4동,3
267,금천구,시흥1동,9
268,금천구,시흥2동,3
269,금천구,시흥3동,6
270,금천구,시흥4동,2
271,금천구,시흥5동,1
272,영등포구,여의동,86
273,영등포구,당산1동,7
274,영등포구,당산2동,8
275,영등포구,양평1동,5
276,영등포구,양평2동,4
277,영등포구,신길1동,3
278,영등포구,신길3동,3
279,영등포구,신길4동,2
280,영등포구,신길5동,1
281,영등포구,신길6동,2
282,영등포구,신길7동,1
283,영등포구,대림1동,3
284,영등포구,대림2동,1
285,영등포구,대림3동,7
286,영등포구,영등포동,22
287,영등포구,도림동,1
288,영등포구,문래동,11
289,동작구,노량진2동,1
290,동작구,상도1동,7
291,동작구,상도2동,2
292,동작구,상도3동,1
293,동작구,상도4동,4
294,동작구,사당1동,7
295,동작구,사당3동,3
296,동작구,사당5동,1
297,동작구,대방동,7
298,동작구,신대방1동,3
299,동작구,신대방2동,9
300,동작구,흑석동,7
301,동작구,노량진1동,9
302,동작구,사당2동,2
303,관악구,보라매동,2
304,관악구,청림동,3
305,관악구,행운동,7
306,관악구,낙성대동,3
307,관악구,중앙동,3
308,관악구,인헌동,6
309,관악구,남현동,1
310,관악구,서원동,2
311,관악구,신원동,1
312,관악구,서림동,2
313,관악구,신사동,1
314,관악구,신림동,19
315,관악구,난향동,1
316,관악구,대학동,1
317,관악구,은천동,3
318,관악구,성현동,4
319,관악구,청룡동,6
320,관악구,난곡동,1
321,서초구,서초1동,15
322,서초구,서초2동,33
323,서초구,서초3동,34
324,서초구,서초4동,19
325,서초구,잠원동,23
326,서초구,반포본동,6
327,서초구,반포1동,6
328,서초구,반포2동,4
329,서초구,반포3동,2
330,서초구,반포4동,20
331,서초구,방배본동,9
332,서초구,방배1동,6
333,서초구,방배2동,4
334,서초구,방배3동,6
335,서초구,방배4동,16
336,서초구,양재1동,9
337,서초구,양재2동,16
338,강남구,신사동,43
339,강남구,논현1동,20
340,강남구,논현2동,34
341,강남구,압구정1동,5
342,강남구,압구정2동,2
343,강남구,청담1동,12
344,강남구,청담2동,7
345,강남구,삼성1동,38
346,강남구,삼성2동,16
347,강남구,대치1동,19
348,강남구,대치2동,9
349,강남구,대치3동,18
350,강남구,대치4동,23
351,강남구,역삼1동,74
352,강남구,역삼2동,22
353,강남구,도곡1동,21
354,강남구,도곡2동,16
355,강남구,개포1동,6
356,강남구,개포2동,1
357,강남구,개포3동,4
358,강남구,개포4동,4
359,강남구,일원본동,4
360,강남구,일원1동,6
361,강남구,일원2동,1
362,강남구,수서동,3
363,강남구,세곡동,1
364,송파구,풍납1동,1
365,송파구,풍납2동,4
366,송파구,거여2동,4
367,송파구,마천1동,1
368,송파구,마천2동,3
369,송파구,방이1동,2
370,송파구,방이2동,13
371,송파구,오륜동,2
372,송파구,오금동,11
373,송파구,송파1동,9
374,송파구,송파2동,24
375,송파구,석촌동,11
376,송파구,삼전동,7
377,송파구,가락본동,15
378,송파구,가락1동,3
379,송파구,가락2동,10
380,송파구,문정1동,7
381,송파구,문정2동,6
382,송파구,장지동,4
383,송파구,잠실본동,8
384,송파구,잠실4동,6
385,송파구,잠실6동,5
386,송파구,잠실7동,6
387,송파구,잠실2동,6
388,송파구,잠실3동,8
389,강동구,상일동,2
390,강동구,명일1동,7
391,강동구,명일2동,8
392,강동구,고덕2동,2
393,강동구,암사2동,3
394,강동구,암사3동,4
395,강동구,천호1동,2
396,강동구,천호3동,3
397,강동구,성내1동,8
398,강동구,성내2동,3
399,강동구,성내3동,8
400,강동구,둔촌1동,3
401,강동구,둔촌2동,5
402,강동구,암사1동,5
403,강동구,천호2동,8
404,강동구,길동,11
