자치구,읍면동명,장애등급별 장애인현황
구로구,가리봉동,857
구로구,구로2동,1602
구로구,개봉1동,1521
금천구,가산동,834
금천구,독산1동,1707
금천구,독산2동,945
금천구,독산3동,1278
금천구,독산4동,768
금천구,시흥1동,1605
금천구,시흥2동,1173
금천구,시흥3동,620
금천구,시흥4동,1031
금천구,시흥5동,1249
영등포구,여의동,0
영등포구,당산1동,0
영등포구,당산2동,0
영등포구,양평1동,0
영등포구,양평2동,0
영등포구,신길1동,0
영등포구,신길3동,0
영등포구,신길4동,0
영등포구,신길5동,0
영등포구,신길6동,0
영등포구,신길7동,0
영등포구,대림1동,0
영등포구,대림2동,0
영등포구,대림3동,0
영등포구,영등포본동,0
영등포구,영등포동,0
영등포구,도림동,0
영등포구,문래동,0
동작구,노량진2동,695
동작구,상도1동,1529
동작구,상도2동,1002
동작구,상도3동,1130
동작구,상도4동,1314
동작구,사당1동,810
동작구,사당3동,840
동작구,사당4동,588
동작구,사당5동,567
동작구,대방동,1644
동작구,신대방1동,871
동작구,신대방2동,775
동작구,흑석동,1388
동작구,노량진1동,1342
동작구,사당2동,936
관악구,보라매동,0
관악구,청림동,0
관악구,행운동,0
관악구,낙성대동,0
관악구,중앙동,0
관악구,인헌동,0
관악구,남현동,0
관악구,서원동,0
관악구,신원동,0
관악구,서림동,0
관악구,신사동,0
관악구,신림동,0
관악구,난향동,0
관악구,조원동,0
관악구,대학동,0
관악구,은천동,0
관악구,성현동,0
관악구,청룡동,0
관악구,난곡동,0
관악구,삼성동,0
관악구,미성동,0
서초구,서초1동,479
서초구,서초2동,463
서초구,서초3동,707
서초구,서초4동,475
서초구,잠원동,689
서초구,반포본동,241
서초구,반포1동,647
서초구,반포2동,365
서초구,반포3동,452
서초구,반포4동,392
서초구,방배본동,517
서초구,방배1동,490
서초구,방배2동,961
서초구,방배3동,641
서초구,방배4동,678
서초구,양재1동,1390
서초구,양재2동,710
서초구,내곡동,405
강남구,신사동,415
강남구,논현1동,692
강남구,논현2동,555
강남구,삼성1동,367
강남구,삼성2동,670
강남구,대치1동,250
강남구,대치4동,426
강남구,역삼1동,824
강남구,역삼2동,707
강남구,도곡1동,452
강남구,도곡2동,499
강남구,개포1동,685
강남구,개포4동,669
강남구,일원본동,584
강남구,일원1동,1107
강남구,일원2동,1180
강남구,수서동,2051
강남구,세곡동,754
강남구,압구정동,519
강남구,청담동,673
강남구,대치2동,750
강남구,개포2동,811
송파구,풍납1동,779
송파구,풍납2동,888
송파구,거여1동,633
송파구,거여2동,1294
송파구,마천1동,1207
송파구,마천2동,1137
송파구,방이1동,488
송파구,방이2동,880
송파구,오륜동,355
송파구,오금동,1263
송파구,송파1동,739
송파구,송파2동,603
송파구,석촌동,1119
송파구,삼전동,1016
송파구,가락본동,818
송파구,가락1동,254
송파구,가락2동,940
송파구,문정1동,634
송파구,문정2동,373
송파구,장지동,1572
송파구,잠실본동,902
송파구,잠실4동,713
송파구,잠실6동,374
송파구,잠실7동,211
송파구,잠실2동,640
송파구,잠실3동,783
강동구,강일동,1545
강동구,상일동,991
강동구,명일1동,843
강동구,명일2동,494
강동구,고덕1동,575
강동구,고덕2동,923
강동구,암사2동,496
강동구,암사3동,572
강동구,천호1동,1371
강동구,천호3동,1338
강동구,성내1동,588
강동구,성내2동,1151
강동구,성내3동,890
강동구,둔촌1동,455
강동구,둔촌2동,1003
강동구,암사1동,1617
강동구,천호2동,1847
강동구,길동,1950
