동,인구,면적,인구밀도
서교동,29491,1.65,17873
합정동,20605,1.69,12192
망원1동,24534,1.14,21521
망원2동,21350,0.67,31866
연남동,20202,0.65,31157
성산1동,21372,0.8,26715
성산2동,40975,2.07,19773
상암동,33618,8.4,4004
도화동,23725,0.62,38257
서강동,25616,1.45,17666
공덕동,37138,1.01,36773
아현동,19444,0.76,25586
목1동,33320,1.41,23631
목2동,31953,1.03,31022
목3동,23230,0.53,43830
목4동,28762,0.57,50460
신월1동,25070,1.8,13928
신월2동,21114,0.65,32483
신월3동,17994,0.61,29498
신월4동,19264,0.87,22143
신월5동,16378,0.52,31496
신월6동,13031,0.69,18886
신월7동,25210,0.41,61488
신정1동,20503,1.19,17229
신정2동,22634,0.7,32334
신정3동,58364,0.52,112238
신정6동,27115,2.72,9969
신정7동,33238,1.01,32909
목5동,45733,0.96,47639
신정4동,37619,1.21,31090
염창동,42695,1.74,24537
등촌1동,22706,0.59,38485
등촌2동,22254,0.92,24189
등촌3동,37491,0.79,47457
화곡본동,37006,1.11,33339
화곡2동,20661,0.47,43960
화곡3동,24262,0.51,47573
화곡4동,23405,0.82,28543
화곡6동,25446,1.11,22924
화곡8동,27744,0.53,52347
가양1동,20676,4.7,4399
가양2동,17967,1.0,17967
가양3동,18847,0.99,19037
발산1동,33268,2.96,11239
공항동,22421,10.88,2061
방화1동,31155,1.04,29957
방화2동,26109,6.41,4073
방화3동,27479,2.38,11546
화곡1동,52354,1.12,46745
우장산동,39848,1.36,29300
신도림동,38378,1.47,26107
구로1동,23320,1.02,22863
구로3동,28948,1.02,28380
구로4동,30490,0.46,66283
구로5동,35276,1.03,34249
고척1동,25668,1.16,22128
고척2동,31570,1.02,30951
개봉2동,35133,0.8,43916
개봉3동,22565,0.81,27858
오류1동,21578,0.59,36573
오류2동,40874,4.6,8886
수궁동,25979,2.67,9730
가리봉동,20359,0.4,50898
구로2동,39579,1.76,22488
개봉1동,34759,1.31,26534
가산동,23901,2.5,9560
독산1동,35601,2.08,17116
독산2동,24050,0.61,39426
독산3동,31752,0.92,34513
독산4동,20371,0.59,34527
시흥1동,38386,1.71,22448
시흥2동,25237,1.26,20029
시흥3동,12821,1.07,11982
시흥4동,24511,0.87,28174
시흥5동,24104,1.39,17341
여의동,34364,8.4,4091
당산1동,21246,0.75,28328
당산2동,34437,1.55,22217
양평1동,17656,0.88,20064
양평2동,22514,3.0,7505
신길1동,23813,0.66,36080
신길3동,17786,0.48,37054
신길4동,13946,0.35,39846
신길5동,19728,0.47,41974
신길6동,24791,0.68,36457
신길7동,15864,0.64,24788
대림1동,19998,0.49,40812
대림2동,25417,0.55,46213
대림3동,31881,1.0,31881
영등포본동,28024,1.02,27475
영등포동,20801,1.26,16509
도림동,21841,0.89,24540
문래동,32758,1.49,21985
노량진2동,16697,0.65,25688
상도1동,43787,1.51,28998
상도2동,26232,0.97,27043
상도3동,24985,0.6,41642
상도4동,30065,0.75,40087
사당1동,24361,0.79,30837
사당3동,26396,0.92,28691
사당4동,15380,0.38,40474
사당5동,15612,0.57,27389
대방동,40795,1.55,26319
신대방1동,28931,0.62,46663
신대방2동,21431,1.03,20807
흑석동,36533,1.68,21746
노량진1동,35008,1.58,22157
사당2동,30050,2.75,10927
보라매동,28345,0.78,36340
청림동,17288,0.79,21884
행운동,30334,0.68,44609
낙성대동,18327,0.39,46992
중앙동,15279,0.32,47747
인헌동,28769,0.69,41694
남현동,18368,1.18,15566
서원동,24274,1.8,13486
신원동,20484,1.53,13388
서림동,24916,3.27,7620
신사동,26716,0.54,49474
신림동,23553,0.64,36802
난향동,17899,0.67,26715
조원동,19744,1.35,14625
대학동,24078,0.98,24569
은천동,37105,0.82,45250
성현동,35003,0.65,53851
청룡동,34411,0.54,63724
난곡동,31240,0.98,31878
삼성동,29711,3.05,9741
미성동,34676,7.92,4378
서초1동,21884,1.42,15411
서초2동,23783,1.24,19180
서초3동,31219,2.93,10655
서초4동,30880,0.88,35091
잠원동,35984,1.76,20445
반포본동,13664,1.01,13529
반포1동,34318,1.0,34318
반포2동,21970,1.35,16274
반포3동,24456,1.28,19106
반포4동,20940,1.43,14643
방배본동,22338,0.67,33340
방배1동,17379,0.7,24827
방배2동,27850,1.93,14430
방배3동,25925,2.4,10802
방배4동,26178,0.98,26712
양재1동,31954,5.76,5548
양재2동,23386,7.58,3085
내곡동,5890,12.68,465
