,자치구,읍면동명,사업체수
199,서대문구,남가좌2동,"1,489"
200,서대문구,북가좌1동,461
201,서대문구,북가좌2동,"2,225"
202,서대문구,충현동,"1,613"
203,서대문구,북아현동,674
204,서대문구,신촌동,"3,732"
205,서대문구,연희동,"2,022"
206,마포구,용강동,"2,398"
207,마포구,대흥동,"1,563"
208,마포구,염리동,759
209,마포구,신수동,"1,397"
210,마포구,서교동,"8,003"
211,마포구,합정동,"1,812"
212,마포구,망원1동,"1,362"
213,마포구,망원2동,"1,224"
214,마포구,연남동,"1,150"
215,마포구,성산1동,"1,579"
216,마포구,성산2동,"1,660"
217,마포구,상암동,"1,639"
218,마포구,도화동,"1,879"
219,마포구,서강동,"1,351"
220,마포구,공덕동,"2,536"
221,마포구,아현동,"1,741"
222,양천구,목1동,"2,543"
223,양천구,목2동,"1,174"
224,양천구,목3동,"1,241"
225,양천구,목4동,"1,365"
226,양천구,신월1동,"1,815"
227,양천구,신월2동,"1,104"
228,양천구,신월3동,986
229,양천구,신월4동,"1,130"
230,양천구,신월5동,"1,005"
231,양천구,신월6동,"1,591"
232,양천구,신월7동,"1,400"
233,양천구,신정1동,"1,131"
234,양천구,신정2동,"1,121"
235,양천구,신정3동,"1,954"
236,양천구,신정6동,693
237,양천구,신정7동,"1,010"
238,양천구,목5동,"1,452"
239,양천구,신정4동,"3,035"
240,강서구,염창동,"2,156"
241,강서구,등촌1동,"1,679"
242,강서구,등촌2동,734
243,강서구,등촌3동,"2,225"
244,강서구,화곡본동,"1,377"
245,강서구,화곡2동,863
246,강서구,화곡3동,"1,196"
247,강서구,화곡4동,"1,471"
248,강서구,화곡6동,"1,773"
249,강서구,화곡8동,"1,216"
250,강서구,가양1동,"1,037"
251,강서구,가양2동,629
252,강서구,가양3동,777
253,강서구,발산1동,"2,114"
254,강서구,공항동,"1,835"
255,강서구,방화1동,"1,927"
256,강서구,방화2동,"3,106"
257,강서구,방화3동,844
258,강서구,화곡1동,"3,016"
259,강서구,우장산동,"1,621"
260,구로구,신도림동,"2,490"
261,구로구,구로1동,715
262,구로구,구로3동,"5,592"
263,구로구,구로4동,"1,951"
264,구로구,구로5동,"4,555"
265,구로구,고척1동,"2,476"
266,구로구,고척2동,"1,456"
267,구로구,개봉2동,"1,168"
268,구로구,개봉3동,"1,046"
269,구로구,오류1동,"1,122"
270,구로구,오류2동,"1,371"
271,구로구,수궁동,"1,129"
272,구로구,가리봉동,"1,016"
273,구로구,구로2동,"7,722"
274,구로구,개봉1동,"1,714"
275,금천구,가산동,"10,942"
276,금천구,독산1동,"3,280"
277,금천구,독산2동,"1,245"
278,금천구,독산3동,"2,233"
279,금천구,독산4동,"1,047"
280,금천구,시흥1동,"3,087"
281,금천구,시흥2동,534
282,금천구,시흥3동,"3,169"
283,금천구,시흥4동,908
284,금천구,시흥5동,"1,206"
285,영등포구,여의동,"7,544"
286,영등포구,당산1동,"3,146"
287,영등포구,당산2동,"2,152"
288,영등포구,양평1동,"3,293"
289,영등포구,양평2동,"1,896"
290,영등포구,신길1동,"1,222"
291,영등포구,신길3동,"1,049"
292,영등포구,신길4동,610
293,영등포구,신길5동,665
294,영등포구,신길6동,"1,191"
295,영등포구,신길7동,631
296,영등포구,대림1동,"1,214"
297,영등포구,대림2동,"1,358"
298,영등포구,대림3동,"2,899"
299,영등포구,영등포본동,"1,137"
300,영등포구,영등포동,"6,215"
301,영등포구,도림동,979
302,영등포구,문래동,"4,956"
303,동작구,노량진2동,"1,060"
304,동작구,상도1동,"1,670"
305,동작구,상도2동,"1,281"
306,동작구,상도3동,992
307,동작구,상도4동,"1,021"
308,동작구,사당1동,"1,808"
309,동작구,사당3동,"1,011"
310,동작구,사당4동,698
311,동작구,사당5동,494
312,동작구,대방동,"1,653"
313,동작구,신대방1동,"1,018"
314,동작구,신대방2동,"1,263"
315,동작구,흑석동,"1,619"
316,동작구,노량진1동,"2,881"
317,동작구,사당2동,"1,553"
318,관악구,보라매동,"1,280"
319,관악구,청림동,393
320,관악구,행운동,"1,435"
321,관악구,낙성대동,"1,242"
322,관악구,중앙동,"1,443"
323,관악구,인헌동,"1,123"
324,관악구,남현동,795
325,관악구,서원동,"1,267"
326,관악구,신원동,887
327,관악구,서림동,844
328,관악구,신사동,"1,498"
329,관악구,신림동,"1,752"
330,관악구,난향동,379
331,관악구,조원동,"2,176"
332,관악구,대학동,"1,596"
333,관악구,은천동,"1,633"
334,관악구,성현동,857
335,관악구,청룡동,"1,986"
336,관악구,난곡동,936
337,관악구,삼성동,"1,160"
338,관악구,미성동,"1,612"
339,서초구,서초1동,"3,138"
340,서초구,서초2동,"4,131"
341,서초구,서초3동,"6,695"
342,서초구,서초4동,"2,658"
343,서초구,잠원동,"2,231"
344,서초구,반포본동,644
345,서초구,반포1동,"1,524"
346,서초구,반포2동,405
347,서초구,반포3동,882
348,서초구,반포4동,"3,325"
349,서초구,방배본동,"1,585"
350,서초구,방배1동,"1,602"
351,서초구,방배2동,"1,880"
352,서초구,방배3동,"1,124"
353,서초구,방배4동,"2,315"
354,서초구,양재1동,"3,070"
355,서초구,양재2동,"4,942"
356,서초구,내곡동,451
357,강남구,신사동,"4,423"
358,강남구,논현1동,"5,049"
359,강남구,논현2동,"5,086"
360,강남구,삼성1동,"3,657"
361,강남구,삼성2동,"3,054"
362,강남구,대치1동,"1,040"
363,강남구,대치4동,"3,272"
364,강남구,역삼1동,"11,473"
365,강남구,역삼2동,"2,799"
366,강남구,도곡1동,"1,426"
367,강남구,도곡2동,"1,698"
368,강남구,개포1동,448
369,강남구,개포4동,"3,307"
370,강남구,일원본동,481
371,강남구,일원1동,868
372,강남구,일원2동,573
373,강남구,수서동,"1,492"
374,강남구,세곡동,400
375,강남구,압구정동,"3,983"
376,강남구,청담동,"3,672"
377,강남구,대치2동,"3,200"
378,강남구,개포2동,"1,047"
379,송파구,풍납1동,813
380,송파구,풍납2동,"1,210"
381,송파구,거여1동,788
382,송파구,거여2동,"1,243"
383,송파구,마천1동,923
384,송파구,마천2동,"1,365"
385,송파구,방이1동,"1,290"
386,송파구,방이2동,"2,849"
387,송파구,오륜동,521
388,송파구,오금동,"3,211"
389,송파구,송파1동,"2,467"
390,송파구,송파2동,893
391,송파구,석촌동,"2,801"
392,송파구,삼전동,"2,035"
393,송파구,가락본동,"3,451"
394,송파구,가락1동,"3,432"
395,송파구,가락2동,"1,871"
396,송파구,문정1동,"1,425"
397,송파구,문정2동,"2,044"
398,송파구,장지동,"1,465"
399,송파구,잠실본동,"3,150"
400,송파구,잠실4동,473
401,송파구,잠실6동,"1,971"
402,송파구,잠실7동,200
403,송파구,잠실2동,713
404,송파구,잠실3동,"1,167"
405,강동구,강일동,603
406,강동구,상일동,"1,237"
407,강동구,명일1동,"1,650"
408,강동구,명일2동,"1,265"
409,강동구,고덕1동,577
410,강동구,고덕2동,"1,927"
411,강동구,암사2동,784
412,강동구,암사3동,575
413,강동구,천호1동,"1,555"
414,강동구,천호3동,"1,862"
415,강동구,성내1동,"2,137"
416,강동구,성내2동,"1,954"
417,강동구,성내3동,"2,372"
418,강동구,둔촌1동,402
419,강동구,둔촌2동,"1,575"
420,강동구,암사1동,"1,947"
421,강동구,천호2동,"3,404"
422,강동구,길동,"3,868"
