,자치구,읍면동명,금융기관
0,종로구,소계,130
1,종로구,사직동,21
2,종로구,삼청동,5
3,종로구,부암동,2
4,종로구,평창동,5
5,종로구,무악동,1
6,종로구,교남동,1
7,종로구,가회동,3
8,종로구,종로1.2.3.4가동,54
9,종로구,종로5.6가동,11
10,종로구,이화동,7
11,종로구,창신1동,5
12,종로구,창신2동,1
13,종로구,숭인1동,1
14,종로구,숭인2동,4
15,종로구,청운효자동,4
16,종로구,혜화동,5
17,중구,소계,201
18,중구,소공동,37
19,중구,회현동,25
20,중구,명동,75
21,중구,필동,7
22,중구,장충동,5
23,중구,광희동,16
24,중구,을지로동,11
25,중구,신당5동,2
26,중구,황학동,5
27,중구,중림동,2
28,중구,신당동,7
29,중구,다산동,4
30,중구,약수동,2
31,중구,청구동,1
32,중구,동화동,2
33,용산구,소계,84
34,용산구,후암동,1
35,용산구,용산2가동,1
36,용산구,남영동,9
37,용산구,원효로2동,5
38,용산구,효창동,1
39,용산구,이촌1동,12
40,용산구,이촌2동,4
41,용산구,이태원1동,7
42,용산구,이태원2동,1
43,용산구,서빙고동,2
44,용산구,보광동,2
45,용산구,청파동,4
46,용산구,원효로1동,3
47,용산구,한강로동,20
48,용산구,한남동,12
49,성동구,소계,60
50,성동구,왕십리2동,1
51,성동구,마장동,5
52,성동구,사근동,5
53,성동구,행당1동,5
54,성동구,행당2동,3
55,성동구,응봉동,1
56,성동구,금호1가동,1
57,성동구,금호4가동,3
58,성동구,성수1가1동,2
59,성동구,성수1가2동,5
60,성동구,성수2가1동,3
61,성동구,성수2가3동,15
62,성동구,용답동,3
63,성동구,왕십리도선동,3
64,성동구,금호2.3가동,2
65,성동구,옥수동,3
66,광진구,소계,59
67,광진구,화양동,7
68,광진구,군자동,6
69,광진구,중곡1동,2
70,광진구,중곡2동,4
71,광진구,중곡3동,1
72,광진구,중곡4동,2
73,광진구,구의1동,4
74,광진구,구의2동,2
75,광진구,구의3동,8
76,광진구,광장동,9
77,광진구,자양1동,4
78,광진구,자양2동,2
79,광진구,자양3동,6
80,광진구,자양4동,2
81,동대문구,소계,65
82,동대문구,회기동,6
83,동대문구,휘경1동,2
84,동대문구,휘경2동,2
85,동대문구,청량리동,5
86,동대문구,용신동,12
87,동대문구,제기동,9
88,동대문구,전농1동,2
89,동대문구,전농2동,4
90,동대문구,답십리1동,7
91,동대문구,답십리2동,1
92,동대문구,장안1동,10
93,동대문구,장안2동,3
94,동대문구,이문1동,2
95,중랑구,소계,34
96,중랑구,면목2동,1
97,중랑구,면목5동,2
98,중랑구,면목7동,2
99,중랑구,상봉2동,4
100,중랑구,중화1동,1
101,중랑구,중화2동,4
102,중랑구,묵1동,3
103,중랑구,묵2동,2
104,중랑구,망우3동,1
105,중랑구,신내1동,2
106,중랑구,신내2동,3
107,중랑구,면목본동,3
108,중랑구,면목3.8동,1
