,자치구,읍면동명,종사자수
0,종로구,사직동,"45,313"
1,종로구,삼청동,"4,646"
2,종로구,부암동,"3,432"
3,종로구,평창동,"2,499"
4,종로구,무악동,"1,489"
5,종로구,교남동,"4,477"
6,종로구,가회동,"9,661"
7,종로구,종로1.2.3.4가동,"92,396"
8,종로구,종로5.6가동,"24,594"
9,종로구,이화동,"13,368"
10,종로구,창신1동,"5,799"
11,종로구,창신2동,"2,055"
12,종로구,창신3동,728
13,종로구,숭인1동,"1,744"
14,종로구,숭인2동,"6,278"
15,종로구,청운효자동,"5,234"
16,종로구,혜화동,"9,144"
17,중구,소공동,"61,763"
18,중구,회현동,"50,265"
19,중구,명동,"112,011"
20,중구,필동,"24,463"
21,중구,장충동,"8,835"
22,중구,광희동,"38,188"
23,중구,을지로동,"27,060"
24,중구,신당1동,"26,506"
25,중구,신당2동,"9,590"
26,중구,신당3동,"3,008"
27,중구,신당4동,"3,535"
28,중구,신당5동,"3,198"
29,중구,신당6동,"3,590"
30,중구,황학동,"5,951"
31,중구,중림동,"8,674"
32,용산구,후암동,"5,240"
33,용산구,용산2가동,"2,783"
34,용산구,남영동,"15,775"
35,용산구,원효로2동,"6,786"
36,용산구,효창동,"2,577"
37,용산구,용문동,"1,662"
38,용산구,이촌1동,"3,553"
39,용산구,이촌2동,813
40,용산구,이태원1동,"7,153"
41,용산구,이태원2동,"2,046"
42,용산구,서빙고동,"4,161"
43,용산구,보광동,"1,774"
44,용산구,청파동,"9,725"
45,용산구,원효로1동,"7,383"
46,용산구,한강로동,"33,316"
47,용산구,한남동,"15,694"
48,성동구,왕십리2동,"2,162"
49,성동구,마장동,"12,260"
50,성동구,사근동,"10,177"
51,성동구,행당1동,"8,227"
52,성동구,행당2동,"1,872"
53,성동구,응봉동,"1,018"
54,성동구,금호1가동,"1,814"
55,성동구,금호4가동,"1,971"
56,성동구,성수1가1동,"5,617"
57,성동구,성수1가2동,"11,166"
58,성동구,성수2가1동,"13,272"
59,성동구,성수2가3동,"42,946"
60,성동구,송정동,"2,581"
61,성동구,용답동,"11,464"
62,성동구,왕십리도선동,"8,455"
63,성동구,금호2.3가동,"2,427"
64,성동구,옥수동,"2,565"
65,광진구,화양동,"14,551"
66,광진구,군자동,"7,657"
67,광진구,중곡1동,"6,112"
68,광진구,중곡2동,"6,034"
