year,읍면동명,인구,면적,인구밀도
2012,반포3동,24456,1.28,19106
2012,반포4동,20940,1.43,14643
2012,방배본동,22338,0.67,33340
2012,방배1동,17379,0.7,24827
2012,방배2동,27850,1.93,14430
2012,방배3동,25925,2.4,10802
2012,방배4동,26178,0.98,26712
2012,양재1동,31954,5.76,5548
2012,양재2동,23386,7.58,3085
2012,내곡동,5890,12.68,465
2012,신사동,20306,1.89,10744
2012,논현1동,26651,1.25,21321
2012,논현2동,22658,1.46,15519
2012,삼성1동,16190,1.94,8345
2012,삼성2동,32721,1.24,26388
2012,대치1동,20603,0.79,26080
2012,대치4동,22315,0.73,30568
2012,역삼1동,36194,2.35,15402
2012,역삼2동,35480,1.15,30852
2012,도곡1동,22978,1.02,22527
2012,도곡2동,34429,1.02,33754
2012,개포1동,23353,1.27,18388
2012,개포4동,23897,1.49,16038
2012,일원본동,23210,2.58,8996
2012,일원1동,18954,0.92,20602
2012,일원2동,19212,1.24,15494
2012,수서동,16831,1.43,11770
2012,세곡동,14400,6.36,2264
2012,압구정동,29630,2.53,11711
2012,청담동,31791,2.33,13644
2012,대치2동,43193,2.0,21597
2012,개포2동,34999,2.51,13944
2012,풍납1동,19974,0.77,25940
2012,풍납2동,28831,1.59,18133
2012,거여1동,16084,0.67,24006
2012,거여2동,28458,1.69,16839
2012,마천1동,24536,0.55,44611
2012,마천2동,22469,0.92,24423
2012,방이1동,17461,0.5,34922
2012,방이2동,26202,0.8,32753
2012,오륜동,20394,3.17,6433
2012,오금동,38747,1.65,23483
2012,송파1동,27875,0.79,35285
2012,송파2동,22931,0.53,43266
2012,석촌동,36060,0.95,37958
2012,삼전동,35278,0.95,37135
2012,가락본동,29975,1.13,26527
2012,가락1동,6591,1.34,4919
2012,가락2동,36265,0.96,37776
2012,문정1동,22751,0.56,40627
2012,문정2동,15955,2.2,7252
2012,장지동,37635,2.6,14475
2012,잠실본동,31356,0.94,33357
2012,잠실4동,31511,1.56,20199
2012,잠실6동,17432,2.79,6248
2012,잠실7동,10794,0.6,17990
2012,잠실2동,37101,2.18,17019
2012,잠실3동,37484,1.49,25157
2012,강일동,34701,2.8,12393
2012,상일동,27912,2.66,10493
2012,명일1동,28642,0.61,46954
2012,명일2동,19064,0.97,19654
2012,고덕1동,17558,1.73,10149
2012,고덕2동,18163,2.01,9036
2012,암사2동,16530,1.18,14008
2012,암사3동,19083,2.51,7603
2012,천호1동,32013,0.71,45089
2012,천호3동,26970,0.79,34139
2012,성내1동,20147,0.58,34736
2012,성내2동,27162,0.67,40540
2012,성내3동,25623,0.71,36089
2012,둔촌1동,20258,0.92,22020
2012,둔촌2동,29655,1.54,19256
2012,암사1동,39384,1.01,38994
2012,천호2동,38480,1.57,24510
2012,길동,51382,1.61,31914
