year,읍면동명,인구,면적,인구밀도
2016,공릉1동,40220,1.41,28525
2016,녹번동,33068,1.79,18474
2016,불광1동,42833,3.13,13685
2016,갈현1동,25974,0.97,26777
2016,갈현2동,30930,0.96,32219
2016,구산동,34302,1.38,24857
2016,대조동,33485,0.85,39394
2016,응암1동,27790,1.2,23158
2016,응암2동,19972,0.78,25605
2016,신사1동,28410,0.84,33821
2016,신사2동,22255,1.0,22255
2016,증산동,19422,0.81,23978
2016,수색동,16048,1.29,12440
2016,진관동,53811,11.53,4667
2016,불광2동,29881,1.38,21653
2016,응암3동,27152,0.63,43098
2016,역촌동,50604,1.16,43624
2016,천연동,19915,0.97,20531
2016,홍제1동,24982,1.23,20311
2016,홍제3동,19418,0.81,23973
2016,홍제2동,15247,1.05,14521
2016,홍은1동,23846,1.58,15092
2016,홍은2동,30606,2.06,14857
2016,남가좌1동,16929,0.51,33194
2016,남가좌2동,23539,0.77,30570
2016,북가좌1동,19873,0.52,38217
2016,북가좌2동,34804,0.84,41433
2016,충현동,19212,1.12,17154
2016,북아현동,12993,0.46,28246
2016,신촌동,23077,2.63,8775
2016,연희동,41430,3.05,13584
2016,용강동,22535,0.84,26827
2016,대흥동,14223,0.88,16163
2016,염리동,12033,0.43,27984
2016,신수동,22093,0.78,28324
2016,서교동,27798,1.65,16847
2016,합정동,20272,1.69,11995
2016,망원1동,22292,1.14,19554
2016,망원2동,20494,0.67,30588
2016,연남동,18592,0.65,28603
2016,성산1동,20838,0.8,26048
2016,성산2동,40199,2.07,19420
2016,상암동,33814,8.4,4025
2016,도화동,23387,0.62,37721
2016,서강동,26362,1.45,18181
2016,공덕동,39705,1.01,39312
2016,아현동,26250,0.76,34539
2016,목1동,32960,1.41,23376
2016,목2동,31956,1.03,31025
2016,목3동,22005,0.53,41519
2016,목4동,27940,0.57,49018
2016,신월1동,23328,0.65,35889
2016,신월2동,23542,0.61,38593
2016,신월3동,18276,0.87,21007
2016,신월4동,20009,0.52,38479
2016,신월5동,16391,0.69,23755
2016,신월6동,7947,0.41,19383
2016,신월7동,23493,1.19,19742
2016,신정1동,21854,0.7,31220
2016,신정2동,21492,0.52,41331
2016,신정3동,52998,2.72,19485
2016,신정6동,25918,0.96,26998
2016,신정7동,31435,1.21,25979
2016,목5동,43987,1.81,24302
2016,신정4동,36314,1.01,35954
2016,염창동,41116,1.74,23630
2016,등촌1동,23067,0.59,39097
2016,등촌2동,22072,0.92,23991
2016,등촌3동,34962,0.79,44256
2016,화곡본동,36628,1.11,32998
2016,화곡2동,20465,0.47,43543
2016,화곡3동,23190,0.51,45471
2016,화곡4동,23317,0.82,28435
2016,화곡6동,25797,1.12,23033
2016,화곡8동,27232,0.53,51381
2016,가양1동,27547,4.7,5861
2016,가양2동,16432,1.0,16432
2016,가양3동,17289,0.99,17464
2016,발산1동,39921,2.96,13487
2016,공항동,24660,10.87,2269
2016,방화1동,46284,1.04,44504
2016,방화2동,25035,6.41,3906
2016,방화3동,25779,2.38,10832
2016,화곡1동,54425,1.12,48594
2016,우장산동,46886,1.36,34475
2016,신도림동,38202,1.47,25988
2016,구로1동,22645,1.02,22201
2016,구로3동,28081,1.02,27530
2016,구로4동,28651,0.46,62285
2016,구로5동,35068,1.03,34047
2016,고척1동,25371,1.16,21872
2016,고척2동,30410,1.02,29814
2016,개봉2동,34663,0.8,43329
2016,개봉3동,22262,0.81,27484
2016,오류1동,21943,0.59,37192
2016,오류2동,45854,4.6,9968
2016,수궁동,25920,2.67,9708
2016,가리봉동,17575,0.4,43938
2016,구로2동,37072,1.76,21064
2016,개봉1동,35883,1.31,27392
2016,가산동,23488,2.52,9321
2016,독산1동,36800,2.09,17608
2016,독산2동,23077,0.6,38462
2016,독산3동,31245,0.92,33962
2016,독산4동,19158,0.59,32471
2016,시흥1동,38320,1.71,22409
2016,시흥2동,24154,1.26,19170
2016,시흥3동,12255,1.07,11453
2016,시흥4동,23271,0.87,26748
2016,시흥5동,22886,1.39,16465
2016,여의동,34013,8.41,4044
2016,당산1동,21260,0.75,28347
2016,당산2동,36518,1.55,23560
2016,양평1동,17333,0.88,19697
2016,양평2동,22602,3.0,7534
2016,신길1동,21836,0.66,33085
2016,신길3동,18110,0.48,37729
2016,신길4동,11556,0.35,33017
2016,신길5동,15326,0.47,32609
2016,신길6동,21453,0.68,31549
2016,신길7동,13031,0.64,20361
2016,대림1동,17890,0.49,36510
2016,대림2동,23028,0.55,41869
2016,대림3동,30621,1.0,30621
2016,영등포본동,26350,1.02,25833
2016,영등포동,20933,1.26,16613
2016,도림동,23089,0.89,25943
2016,문래동,31830,1.49,21362
2016,노량진2동,14949,0.64,23358
2016,상도1동,48245,1.51,31950
2016,상도2동,27817,0.98,28385
2016,상도3동,26041,0.6,43402
2016,상도4동,30501,0.75,40668
2016,사당1동,23961,0.79,30330
2016,사당3동,24625,0.92,26766
2016,사당4동,15043,0.38,39587
2016,사당5동,13389,0.57,23489
2016,대방동,40656,1.55,26230
2016,신대방1동,27939,0.62,45063
2016,신대방2동,21461,1.03,20836
2016,흑석동,35115,1.68,20902
2016,노량진1동,33400,1.58,21139
2016,사당2동,30105,2.75,10947
2016,보라매동,26649,0.76,35064
2016,청림동,16974,0.3,56580
2016,행운동,30578,0.72,42469
2016,낙성대동,18213,2.27,8023
2016,중앙동,15368,0.39,39405
2016,인헌동,28004,1.08,25930
2016,남현동,18981,3.27,5805
2016,서원동,23973,0.65,36882
2016,신원동,20272,0.55,36858
2016,서림동,25475,0.99,25732
2016,신사동,26627,0.64,41605
2016,신림동,21341,0.54,39520
2016,난향동,17013,0.8,21266
2016,조원동,20413,0.67,30467
2016,대학동,24408,8.3,2941
2016,은천동,36111,0.78,46296
2016,성현동,34015,0.68,50022
2016,청룡동,29582,1.18,25069
2016,난곡동,30539,0.96,31811
2016,삼성동,27467,2.66,10326
2016,미성동,33604,1.38,24351
2016,서초1동,21388,1.42,15062
2016,서초2동,21239,1.24,17128
2016,서초3동,30123,2.93,10281
2016,서초4동,29019,0.88,32976
2016,잠원동,35035,1.76,19906
2016,반포본동,12961,1.01,12833
2016,반포1동,30431,1.0,30431
2016,반포2동,23491,1.35,17401
2016,반포3동,19259,1.28,15046
2016,반포4동,20561,1.43,14378
2016,방배본동,21956,0.67,32770
2016,방배1동,17202,0.7,24574
2016,방배2동,27735,1.93,14370
2016,방배3동,24055,2.4,10023
2016,방배4동,26497,0.98,27038
2016,양재1동,47744,5.76,8289
2016,양재2동,23796,7.58,3139
2016,내곡동,18985,12.68,1497
2016,신사동,18349,1.89,9708
2016,논현1동,24867,1.25,19894
2016,논현2동,22639,1.47,15401
2016,삼성1동,15357,1.94,7916
2016,삼성2동,30999,1.24,24999
2016,대치1동,24834,0.79,31435
2016,대치4동,21292,0.73,29167
2016,역삼1동,36305,2.35,15449
2016,역삼2동,37047,1.15,32215
2016,도곡1동,23057,1.02,22605
2016,도곡2동,34934,1.02,34249
2016,개포1동,21162,1.27,16663
2016,개포4동,18550,1.49,12450
2016,일원본동,25104,2.58,9730
2016,일원1동,17275,0.92,18777
2016,일원2동,16520,1.24,13323
2016,수서동,16708,1.43,11684
2016,세곡동,44344,6.36,6972
2016,압구정동,28360,2.53,11209
2016,청담동,30623,2.33,13143
2016,대치2동,42068,2.0,21034
2016,개포2동,21746,2.51,8664
2016,풍납1동,18034,0.77,23421
2016,풍납2동,25842,1.59,16253
2016,거여1동,14774,0.51,28969
2016,거여2동,19609,0.53,36998
2016,마천1동,22912,0.58,39503
2016,마천2동,21128,0.89,23739
2016,방이1동,16358,0.5,32716
2016,방이2동,25446,0.8,31808
2016,오륜동,19714,3.17,6219
2016,오금동,37069,1.65,22466
2016,송파1동,26717,0.79,33819
2016,송파2동,21974,0.53,41460
2016,석촌동,35420,0.95,37284
2016,삼전동,33851,0.95,35633
2016,가락본동,28395,1.13,25128
2016,가락1동,918,1.34,685
2016,가락2동,35064,0.96,36525
2016,문정1동,21660,0.56,38679
2016,문정2동,24043,2.2,10929
2016,장지동,35834,1.37,26156
2016,위례동,17338,2.55,6799
2016,잠실본동,30187,0.94,32114
2016,잠실4동,30534,1.56,19573
2016,잠실6동,17689,2.79,6340
2016,잠실7동,10516,0.6,17527
2016,잠실2동,36853,2.18,16905
2016,잠실3동,37067,1.49,24877
2016,강일동,34356,2.8,12270
2016,상일동,12755,2.65,4813
2016,명일1동,23036,0.61,37764
2016,명일2동,18503,0.97,19075
2016,고덕1동,16318,1.73,9432
2016,고덕2동,8674,2.01,4315
2016,암사2동,15502,1.18,13137
2016,암사3동,19293,2.51,7686
2016,천호1동,29555,0.71,41627
2016,천호3동,25857,0.79,32730
2016,성내1동,20992,0.58,36193
2016,성내2동,25979,0.67,38775
2016,성내3동,24628,0.71,34687
2016,둔촌1동,18715,0.92,20342
2016,둔촌2동,28760,0.98,29347
2016,암사1동,37988,1.02,37243
2016,천호2동,36126,1.57,23010
2016,길동,51434,2.17,23702
2012,사직동,10477,1.23,8518
2012,삼청동,3485,1.49,2339
2012,부암동,11478,2.27,5056
2012,평창동,19816,8.87,2234
2012,무악동,8598,0.36,23883
2012,교남동,8342,0.35,23834
2012,가회동,5520,0.54,10222
2012,종로1.2.3.4가동,8984,2.36,3807
2012,종로5.6가동,6438,0.6,10730
2012,이화동,9521,0.78,12206
2012,창신1동,7669,0.31,24739
2012,창신2동,11984,0.26,46092
2012,창신3동,8502,0.23,36965
2012,숭인1동,7692,0.23,33443
2012,숭인2동,9560,0.35,27314
2012,청운효자동,15219,2.57,5922
2012,혜화동,19863,1.11,17895
2012,소공동,1764,0.95,1857
2012,회현동,6581,0.84,7835
2012,명동,4113,0.99,4155
2012,필동,4989,1.14,4376
2012,장충동,6189,1.36,4551
2012,광희동,6460,0.74,8730
2012,을지로동,2074,0.6,3457
2012,신당1동,9325,0.55,16955
2012,신당2동,16749,0.51,32841
2012,신당3동,19638,0.48,40913
2012,신당4동,16020,0.34,47118
2012,신당5동,10693,0.39,27418
2012,신당6동,12053,0.26,46358
2012,황학동,13090,0.33,39667
2012,중림동,11069,0.48,23060
2012,후암동,20413,0.86,23736
2012,용산2가동,13810,1.96,7046
2012,남영동,8213,1.19,6902
2012,원효로2동,15928,0.71,22434
2012,효창동,11449,0.44,26020
2012,용문동,13126,0.28,46879
2012,이촌1동,28405,2.86,9932
2012,이촌2동,10367,1.22,8498
2012,이태원1동,9981,0.57,17511
2012,이태원2동,11878,0.86,13812
2012,서빙고동,14456,2.8,5163
2012,보광동,18361,0.71,25861
2012,청파동,23948,0.91,26316
2012,원효로1동,12838,0.59,21759
2012,한강로동,16548,2.9,5706
2012,한남동,25573,3.01,8496
2012,왕십리2동,17423,0.41,42495
2012,마장동,25783,1.06,24324
2012,사근동,11699,1.11,10540
2012,행당1동,18129,0.59,30727
2012,행당2동,27031,0.42,64360
2012,응봉동,17579,0.57,30840
2012,금호1가동,16087,0.46,34972
2012,금호4가동,15016,0.84,17876
2012,성수1가1동,18588,1.98,9388
2012,성수1가2동,18906,0.89,21243
2012,성수2가1동,21430,1.18,18161
2012,성수2가3동,12440,1.03,12078
2012,송정동,12721,0.68,18707
2012,용답동,17551,2.32,7565
2012,왕십리도선동,13150,0.72,18264
2012,금호2.3가동,23248,0.64,36325
2012,옥수동,20081,1.95,10298
2012,화양동,23990,1.16,20681
2012,군자동,22227,0.74,30036
2012,중곡1동,17244,0.62,27813
2012,중곡2동,23234,0.55,42244
2012,중곡3동,19106,0.6,31843
2012,중곡4동,32281,2.32,13914
2012,능동,11328,1.1,10298
2012,구의1동,23547,0.56,42048
2012,구의2동,27744,1.39,19960
2012,구의3동,30036,1.02,29447
2012,광장동,37100,2.39,15523
2012,자양1동,26164,0.57,45902
2012,자양2동,29114,1.68,17330
2012,자양3동,32296,1.2,26913
2012,자양4동,28858,1.16,24878
2012,회기동,12664,0.76,16663
2012,휘경1동,17724,0.63,28133
2012,휘경2동,26392,1.05,25135
2012,청량리동,25438,1.2,21198
2012,용신동,33602,1.61,20871
2012,제기동,29474,1.18,24978
2012,전농1동,27251,1.19,22900
2012,전농2동,21753,0.86,25294
2012,답십리1동,20582,0.86,23933
2012,답십리2동,32184,0.8,40230
2012,장안1동,38129,1.25,30503
2012,장안2동,33047,1.08,30599
2012,이문1동,33770,1.04,32471
2012,이문2동,23673,0.69,34309
2012,면목2동,28404,0.73,38910
2012,면목4동,22634,1.11,20391
2012,면목5동,14407,0.64,22511
2012,면목7동,25877,0.87,29744
2012,상봉1동,25826,0.85,30384
2012,상봉2동,18758,0.68,27585
2012,중화1동,21787,0.68,32040
2012,중화2동,31005,0.98,31638
2012,묵1동,36259,1.2,30216
2012,묵2동,20267,0.7,28953
2012,망우3동,19400,0.99,19596
2012,신내1동,32199,2.53,12727
2012,신내2동,25181,0.99,25435
2012,면목본동,37090,1.01,36723
2012,면목3.8동,29569,1.67,17706
2012,망우본동,34992,2.88,12150
2012,돈암1동,16706,2.86,5841
2012,돈암2동,23373,0.92,25405
2012,안암동,18392,0.73,25195
2012,보문동,14422,0.49,29433
2012,정릉1동,20659,0.48,43040
2012,정릉2동,24616,1.33,18508
2012,정릉3동,18502,0.56,33039
2012,정릉4동,28171,0.44,64025
2012,길음1동,37394,1.17,31961
2012,길음2동,21138,3.71,5698
2012,월곡1동,29335,3.13,9372
2012,월곡2동,21867,0.79,27680
2012,장위1동,26259,0.58,45274
2012,장위2동,22898,1.46,15684
2012,장위3동,19300,0.81,23827
2012,성북동,19636,1.36,14438
2012,삼선동,28877,0.7,41253
2012,동선동,16982,0.67,25346
2012,종암동,43886,0.65,67517
2012,석관동,38226,1.73,22096
2012,번1동,21222,0.55,38585
2012,번2동,19877,1.25,15902
2012,번3동,21309,0.86,24778
2012,수유1동,23557,1.07,22016
2012,수유2동,23347,0.73,31982
2012,수유3동,24201,0.86,28141
2012,삼양동,31872,0.95,33549
2012,미아동,24615,0.73,33719
2012,송중동,33998,1.22,27867
2012,송천동,32293,0.88,36697
2012,삼각산동,34542,0.62,55713
2012,우이동,21734,10.95,1985
2012,인수동,33926,2.93,11579
2012,쌍문1동,22320,1.24,18000
2012,쌍문2동,21727,0.54,40235
2012,쌍문3동,18767,0.5,37534
2012,쌍문4동,21798,0.52,41919
2012,방학1동,32448,0.69,47026
2012,방학2동,23957,0.74,32374
2012,방학3동,32106,2.64,12161
2012,창1동,28661,0.88,32569
2012,창2동,31719,1.07,29644
2012,창3동,16089,0.67,24013
2012,창4동,30897,0.96,32184
2012,창5동,27914,0.7,39877
2012,도봉1동,24638,8.72,2825
2012,도봉2동,31413,0.83,37847
2012,월계1동,23366,1.16,20143
2012,월계2동,30680,1.94,15814
2012,월계3동,35986,1.17,30757
2012,공릉2동,47260,6.82,6930
2012,하계1동,30877,1.55,19921
2012,하계2동,25914,0.51,50812
2012,중계본동,30010,1.97,15234
2012,중계1동,30489,0.63,48395
2012,중계4동,22599,0.9,25110
2012,상계1동,44358,5.62,7893
2012,상계2동,22596,0.61,37043
2012,상계5동,24398,0.44,55450
2012,상계8동,27421,0.67,40927
2012,상계9동,24816,0.81,30637
2012,상계10동,20711,0.8,25889
