자치구,읍면동명,사업체 평균연령
종로구,사직동,10.417
종로구,삼청동,8.0
종로구,부암동,10.25
종로구,평창동,10.25
종로구,무악동,11.999
종로구,교남동,13.083
종로구,가회동,8.75
종로구,종로1.2.3.4가동,11.25
종로구,종로5.6가동,9.75
종로구,이화동,8.75
종로구,창신1동,9.833
종로구,창신2동,9.5
종로구,창신3동,9.167
종로구,숭인1동,8.5
종로구,숭인2동,10.083
종로구,청운효자동,9.917
종로구,혜화동,8.667
중구,소공동,10.833
중구,회현동,10.583
중구,명동,10.417
중구,필동,10.5
중구,장충동,10.5
중구,광희동,9.583
중구,을지로동,12.833
중구,신당5동,8.167
중구,황학동,10.667
중구,중림동,10.334000000000001
중구,신당동,5.832999999999999
중구,다산동,9.167
중구,약수동,9.334
중구,청구동,10.334000000000001
중구,동화동,8.167
용산구,후암동,10.334000000000001
용산구,용산2가동,10.25
용산구,남영동,9.417
용산구,원효로2동,9.999
용산구,효창동,10.667
용산구,용문동,8.75
용산구,이촌1동,11.083
용산구,이촌2동,12.083
용산구,이태원1동,7.832999999999999
용산구,이태원2동,7.75
용산구,서빙고동,11.25
용산구,보광동,10.083
용산구,청파동,10.5
용산구,원효로1동,9.0
용산구,한강로동,9.083
용산구,한남동,7.999
중구,왕십리2동,9.833
중구,마장동,10.5
중구,사근동,8.25
중구,행당1동,7.917000000000001
중구,행당2동,8.5
중구,응봉동,10.75
중구,금호1가동,10.083
중구,금호4가동,10.083
중구,성수1가1동,10.417
중구,성수1가2동,9.25
중구,성수2가1동,9.833
중구,성수2가3동,9.75
중구,송정동,10.667
중구,용답동,9.917
중구,왕십리도선동,8.083
중구,금호2.3가동,10.25
중구,옥수동,8.5
광진구,화양동,7.334
광진구,군자동,9.334
광진구,중곡1동,9.583
광진구,중곡2동,9.083
광진구,중곡3동,9.917
광진구,중곡4동,10.833
광진구,능동,8.833
광진구,구의1동,8.75
광진구,구의2동,11.083
광진구,구의3동,8.25
광진구,광장동,8.833
광진구,자양1동,10.083
광진구,자양2동,10.5
광진구,자양3동,9.75
광진구,자양4동,9.167
동대문구,회기동,8.25
동대문구,휘경1동,9.334
동대문구,휘경2동,9.999
동대문구,청량리동,10.833
동대문구,용신동,9.917
동대문구,제기동,11.75
동대문구,전농1동,8.5
동대문구,전농2동,10.083
동대문구,답십리1동,10.334000000000001
동대문구,답십리2동,10.334000000000001
동대문구,장안1동,9.25
동대문구,장안2동,8.167
동대문구,이문1동,8.999
동대문구,이문2동,9.75
중랑구,면목2동,8.917
중랑구,면목4동,8.833
중랑구,면목5동,8.999
중랑구,면목7동,9.0
중랑구,상봉1동,8.917
중랑구,상봉2동,7.999
중랑구,중화1동,9.083
중랑구,중화2동,9.167
중랑구,묵1동,8.667
중랑구,묵2동,9.917
중랑구,망우3동,8.667
중랑구,신내1동,9.25
중랑구,신내2동,9.167
중랑구,면목본동,8.334
중랑구,면목3.8동,8.5
중랑구,망우본동,10.5
성북구,돈암1동,10.25
성북구,돈암2동,10.167
성북구,안암동,8.833
성북구,보문동,9.667
성북구,정릉1동,10.334000000000001
성북구,정릉2동,10.5
성북구,정릉3동,13.167
성북구,정릉4동,10.583
성북구,길음1동,8.667
성북구,길음2동,8.334
성북구,월곡1동,9.917
성북구,월곡2동,8.25
성북구,장위1동,10.75
성북구,장위2동,10.25
성북구,장위3동,10.917
성북구,성북동,10.833
성북구,삼선동,9.667
성북구,동선동,7.75
성북구,종암동,9.667
성북구,석관동,9.667
강북구,번1동,8.0
강북구,번2동,10.75
강북구,번3동,10.833
강북구,수유1동,10.167
강북구,수유2동,8.833
강북구,수유3동,7.082999999999999
강북구,삼양동,9.25
강북구,미아동,7.832999999999999
강북구,송중동,8.083
강북구,송천동,9.417
강북구,삼각산동,7.25
강북구,우이동,9.583
강북구,인수동,9.5
도봉구,쌍문1동,8.667
도봉구,쌍문2동,6.999
도봉구,쌍문3동,7.832999999999999
도봉구,쌍문4동,7.667000000000001
도봉구,방학1동,6.917000000000001
도봉구,방학2동,7.999
도봉구,방학3동,8.167
도봉구,창1동,8.334
도봉구,창2동,7.917000000000001
도봉구,창3동,7.667000000000001
도봉구,창4동,7.917000000000001
도봉구,창5동,7.167000000000001
도봉구,도봉1동,8.833
도봉구,도봉2동,7.417000000000001
노원구,월계1동,10.667
노원구,월계2동,15.833
노원구,월계3동,14.5
노원구,공릉2동,11.75
노원구,하계1동,10.917
노원구,하계2동,16.334
노원구,중계본동,10.083
