자치구,읍면동명,장애등급
금천구,가산동,761
금천구,독산1동,1761
금천구,독산2동,949
금천구,독산3동,1187
금천구,독산4동,758
금천구,시흥1동,1604
금천구,시흥2동,1109
금천구,시흥3동,565
금천구,시흥4동,1024
금천구,시흥5동,1202
영등포구,여의동,716
영등포구,당산1동,808
영등포구,당산2동,943
영등포구,양평1동,745
영등포구,양평2동,621
영등포구,신길1동,932
영등포구,신길3동,797
영등포구,신길4동,550
영등포구,신길5동,671
영등포구,신길6동,857
영등포구,신길7동,345
영등포구,대림1동,755
영등포구,대림2동,718
영등포구,대림3동,1138
영등포구,영등포본동,1033
영등포구,영등포동,979
영등포구,도림동,902
영등포구,문래동,909
동작구,노량진2동,646
동작구,상도1동,1551
동작구,상도2동,931
동작구,상도3동,1132
동작구,상도4동,1290
동작구,사당1동,789
동작구,사당3동,773
동작구,사당4동,538
동작구,사당5동,498
동작구,대방동,1592
동작구,신대방1동,801
동작구,신대방2동,744
동작구,흑석동,1227
동작구,노량진1동,1228
동작구,사당2동,906
관악구,보라매동,1090
관악구,청림동,690
관악구,행운동,1136
관악구,낙성대동,521
관악구,중앙동,618
관악구,인헌동,906
관악구,남현동,566
관악구,서원동,827
관악구,신원동,835
관악구,서림동,859
관악구,신사동,924
관악구,신림동,566
관악구,난향동,697
관악구,조원동,719
관악구,대학동,678
관악구,은천동,1643
관악구,성현동,1523
관악구,청룡동,977
관악구,난곡동,1539
관악구,삼성동,1473
관악구,미성동,1355
서초구,서초1동,448
서초구,서초2동,358
서초구,서초3동,644
서초구,서초4동,405
서초구,잠원동,607
서초구,반포본동,195
서초구,반포1동,546
서초구,반포2동,352
서초구,반포3동,344
서초구,반포4동,363
서초구,방배본동,492
서초구,방배1동,454
서초구,방배2동,904
서초구,방배3동,588
서초구,방배4동,671
서초구,양재1동,1953
서초구,양재2동,664
서초구,내곡동,884
강남구,신사동,383
강남구,논현1동,648
강남구,논현2동,509
강남구,삼성1동,281
강남구,삼성2동,567
강남구,대치1동,266
강남구,대치4동,368
강남구,역삼1동,760
강남구,역삼2동,672
강남구,도곡1동,431
강남구,도곡2동,499
강남구,개포1동,631
강남구,개포4동,495
강남구,일원본동,703
강남구,일원1동,1045
강남구,일원2동,1130
강남구,수서동,2100
강남구,세곡동,2021
강남구,압구정동,471
강남구,청담동,584
강남구,대치2동,707
강남구,개포2동,486
송파구,풍납1동,712
송파구,풍납2동,827
송파구,거여1동,619
송파구,거여2동,1000
송파구,마천1동,1258
송파구,마천2동,1145
송파구,방이1동,417
송파구,방이2동,835
송파구,오륜동,311
송파구,오금동,1187
송파구,송파1동,665
송파구,송파2동,523
송파구,석촌동,1094
송파구,삼전동,987
송파구,가락본동,761
송파구,가락1동,22
송파구,가락2동,898
송파구,문정1동,578
송파구,문정2동,464
송파구,장지동,1477
송파구,위례동,454
송파구,잠실본동,838
송파구,잠실4동,618
송파구,잠실6동,342
송파구,잠실7동,204
송파구,잠실2동,550
송파구,잠실3동,713
강동구,강일동,1558
강동구,상일동,514
강동구,명일1동,719
강동구,명일2동,478
강동구,고덕1동,547
강동구,고덕2동,605
강동구,암사2동,504
강동구,암사3동,565
강동구,천호1동,1352
강동구,천호3동,1288
강동구,성내1동,631
강동구,성내2동,1111
강동구,성내3동,864
강동구,둔촌1동,411
강동구,둔촌2동,963
강동구,암사1동,1571
강동구,천호2동,1757
강동구,길동,1981
