,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당
7,가산동,금천구,"17,197","2,755","4,876",
14,독산제1동,금천구,"26,169","4,711","7,375",
21,독산제2동,금천구,"18,715","3,160","4,930",
28,독산제3동,금천구,"23,621","4,123","5,908",
35,독산제4동,금천구,"15,629","2,509","4,020",
40,시흥제1동,금천구,"28,553","5,422","7,275",
49,시흥제2동,금천구,"19,405","4,225","5,944",
56,시흥제3동,금천구,"10,375","2,242","2,857",
61,시흥제4동,금천구,"19,299","3,553","4,887",
68,시흥제5동,금천구,"19,405","3,677","4,928",
7,월계1동,노원구,"19,193","5,359","4,633",
13,월계2동,노원구,"24,782","6,710","5,822",
20,월계3동,노원구,"28,453","8,361","7,597",
30,공릉1동,노원구,"32,807","8,534","8,211",
40,공릉2동,노원구,"34,877","10,611","8,709",
7,상계1동,노원구,"34,528","7,918",,"10,584"
16,상계2동,노원구,"18,117","4,194",,"5,248"
21,상계3·4동,노원구,"32,152","6,760",,"9,096"
31,상계5동,노원구,"19,474","4,104",,"5,776"
37,상계8동,노원구,"19,488","4,100",,"7,448"
43,상계9동,노원구,"18,625","4,151",,"6,670"
48,상계10동,노원구,"16,092","3,610",,"5,516"
7,하계1동,노원구,"23,661","7,331","6,635",
14,하계2동,노원구,"19,190","5,550","5,961",
20,중계본동,노원구,"21,294","6,613","5,967",
27,중계1동,노원구,"20,579","6,400","6,445",
33,중계2·3동,노원구,"32,696","8,775","10,068",
44,중계4동,노원구,"17,584","4,965","5,302",
49,상계6·7동,노원구,"28,294","7,581","8,838",
7,쌍문1동,도봉구,"17,881","3,895","5,200",
13,쌍문3동,도봉구,"15,380","3,076","4,638",
18,창1동,도봉구,"22,304","4,858","7,691",
25,창2동,도봉구,"25,078","4,975","7,632",
32,창3동,도봉구,"12,750","2,449","3,628",
37,창4동,도봉구,"23,521","5,701","8,319",
44,창5동,도봉구,"22,188","5,473","7,097",
7,쌍문2동,도봉구,"17,582","4,182","4,765",
13,쌍문4동,도봉구,"16,764","4,740","4,979",
18,방학1동,도봉구,"25,796","6,623","7,010",
25,방학2동,도봉구,"19,191","4,261","5,022",
32,방학3동,도봉구,"24,621","6,703","7,499",
40,도봉1동,도봉구,"20,805","5,391","5,290",
47,도봉2동,도봉구,"25,637","7,262","7,758",
7,용신동,동대문구,"27,372","6,009","6,583",
16,제기동,동대문구,"23,620","5,672","5,867",
23,청량리동,동대문구,"20,859","5,850","4,798",
30,회기동,동대문구,"9,419","2,173","2,392",
34,휘경제1동,동대문구,"14,321","3,126","3,480",
39,휘경제2동,동대문구,"20,519","5,119","5,766",
46,이문제1동,동대문구,"26,586","5,901","6,656",
56,이문제2동,동대문구,"18,233","4,529","5,258",
7,전농제1동,동대문구,"22,506","5,275","6,180",
14,전농제2동,동대문구,"16,874","4,756","5,427",
20,답십리제1동,동대문구,"16,627","4,008","4,824",
28,답십리제2동,동대문구,"25,608","6,622","8,428",
36,장안제1동,동대문구,"30,317","7,689","9,142",
45,장안제2동,동대문구,"25,935","6,736","8,033",
7,노량진제1동,동작구,"28,015","7,535","9,021",
17,노량진제2동,동작구,"13,661","3,105","3,898",
22,상도제2동,동작구,"21,057","5,599","6,282",
28,상도제3동,동작구,"20,378","4,627","6,634",
34,상도제4동,동작구,"24,075","5,408","7,235",
41,대방동,동작구,"31,117","8,230","10,110",
50,신대방제1동,동작구,"20,457","5,418","6,711",
56,신대방제2동,동작구,"16,450","4,141","5,181",
7,상도제1동,동작구,"32,531","9,746","8,394",
15,흑석동,동작구,"27,711","8,343","6,461",
23,사당제1동,동작구,"20,237","5,152","5,593",
29,사당제2동,동작구,"24,678","7,774","6,426",
37,사당제3동,동작구,"21,421","7,039","5,389",
44,사당제4동,동작구,"12,620","3,490","3,518",
49,사당제5동,동작구,"12,495","3,478","3,578",
7,공덕동,마포구,"30,111","6,719","9,014",
17,아현동,마포구,"15,733","4,011","4,636",
23,도화동,마포구,"18,993","5,484","5,957",
31,용강동,마포구,"15,210","4,107","4,776",
37,대흥동,마포구,"12,752","2,340","3,653",
42,염리동,마포구,"14,869","3,107","4,418",
48,신수동,마포구,"18,680","4,504","5,912",
7,서강동,마포구,"20,773","4,492","6,148",
14,서교동,마포구,"24,545","4,495","7,013",
22,합정동,마포구,"17,020","3,331","4,949",
28,망원1동,마포구,"20,032","3,899","5,887",
34,망원2동,마포구,"16,879","3,502","5,187",
40,연남동,마포구,"16,317","3,360","4,733",
45,성산1동,마포구,"17,037","3,254","4,855",
51,성산2동,마포구,"31,455","6,849","10,038",
61,상암동,마포구,"23,905","5,546","7,912",
7,충현동,서대문구,"17,340","4,335","4,836",
13,천연동,서대문구,"16,082","4,549","5,297",
19,북아현동,서대문구,"9,303","2,163","2,823",
23,신촌동,서대문구,"15,953","3,285","4,592",
29,연희동,서대문구,"33,920","8,811","10,403",
39,홍제제1동,서대문구,"22,327","5,981","7,197",
47,홍제제2동,서대문구,"12,813","3,841","4,093",
7,홍제제3동,서대문구,"16,656","4,485","4,618",
13,홍은제1동,서대문구,"21,295","6,205","5,674",
20,홍은제2동,서대문구,"24,043","6,550","5,978",
27,남가좌제1동,서대문구,"3,510",875,850,
30,남가좌제2동,서대문구,"24,750","6,669","6,630",
38,북가좌제1동,서대문구,"8,303","2,281","2,310",
42,북가좌제2동,서대문구,"27,616","7,066","7,787",
7,잠원동,서초구,"28,692","9,465","5,017",
16,반포본동,서초구,"9,808","3,930","1,564",
21,반포1동,서초구,"26,897","7,849","4,636",
29,반포2동,서초구,"16,792","6,769","2,788",
35,반포3동,서초구,"18,264","6,554","3,250",
41,반포4동,서초구,"15,921","5,359","3,045",
47,방배본동,서초구,"16,900","5,534","3,395",
52,방배1동,서초구,"13,860","4,127","2,921",
57,방배4동,서초구,"20,138","6,026","4,449",
7,서초1동,서초구,"17,160","5,970","3,473",
12,서초2동,서초구,"18,437","6,993","3,496",
18,서초3동,서초구,"25,215","8,696","4,984",
26,서초4동,서초구,"23,178","9,779","3,665",
33,방배2동,서초구,"22,334","6,364","5,900",
42,방배3동,서초구,"21,108","7,561","4,442",
49,양재1동,서초구,"23,820","6,971","5,980",
58,양재2동,서초구,"18,779","4,409","4,906",
64,내곡동,서초구,"4,923","1,618",865,
7,금호1가동,성동구,"12,953","3,306","3,978",
11,금호2·3가동,성동구,"16,535","4,216","4,814",
16,금호4가동,성동구,"11,926","2,960","3,331",
20,옥수동,성동구,"17,857","5,364","4,573",
26,응봉동,성동구,"13,609","3,880","3,841",
30,성수1가제1동,성동구,"14,348","3,512","4,061",
35,성수1가제2동,성동구,"15,289","3,759","4,788",
40,성수2가제1동,성동구,"17,212","4,012","4,393",
45,성수2가제3동,성동구,"10,014","2,694","2,761",
7,왕십리도선동,성동구,"10,769","2,930","2,579",
11,왕십리제2동,성동구,"13,844","3,445","3,891",
16,행당제1동,성동구,"14,467","3,960","3,742",
21,행당제2동,성동구,"20,758","5,935","6,282",
27,마장동,성동구,"20,423","6,038","5,464",
34,사근동,성동구,"9,265","2,272","2,560",
38,송정동,성동구,"10,134","2,326","2,537",
42,용답동,성동구,"13,934","3,059","3,766",
7,성북동,성북구,"15,914",,"4,056",
12,삼선동,성북구,"22,229",,"5,924",
18,동선동,성북구,"13,668",,"3,653",
23,돈암제2동,성북구,"17,834",,"4,665",
29,안암동,성북구,"14,301",,"3,661",
34,보문동,성북구,"12,132",,"2,984",
38,정릉제1동,성북구,"15,915",,"4,518",
43,정릉제2동,성북구,"19,643",,"4,985",
48,정릉제3동,성북구,"14,648",,"3,345",
53,정릉제4동,성북구,"22,191",,"6,147",
59,길음제1동,성북구,"27,782",,"8,383",
7,돈암제1동,성북구,"13,366","3,635","4,001",
12,길음제2동,성북구,"17,014","3,941","4,605",
17,종암동,성북구,"33,979","8,755","10,497",
26,월곡제1동,성북구,"22,821","5,323","7,472",
33,월곡제2동,성북구,"17,505","4,396","5,159",
38,장위제1동,성북구,"21,336","4,530","5,417",
45,장위제2동,성북구,"18,863","4,479","4,646",
51,장위제3동,성북구,"15,608","3,862","4,085",
56,석관동,성북구,"31,271","7,449","8,658",
7,풍납1동,송파구,"15,802","3,646","4,288",
12,풍납2동,송파구,"22,736","6,010","6,429",
19,방이1동,송파구,"13,136","4,038","3,357",
23,방이2동,송파구,"21,322","4,461","5,551",
29,오륜동,송파구,"15,015","6,694","2,858",
34,송파1동,송파구,"22,107","5,093","5,995",
41,송파2동,송파구,"16,960","5,562","4,284",
46,잠실4동,송파구,"24,293","9,000","5,865",
53,잠실6동,송파구,"13,670","5,030","2,656",
7,거여1동,송파구,"12,274","3,825","3,139",
11,거여2동,송파구,"22,177","6,242","5,798",
18,마천1동,송파구,"19,090","4,843","5,003",
24,마천2동,송파구,"18,142","4,678","4,670",
29,오금동,송파구,"30,549","9,364","7,580",
37,가락본동,송파구,"23,368","6,670","6,086",
44,가락2동,송파구,"27,049","8,728","7,299",
52,문정1동,송파구,"17,961","5,700","4,467",
57,장지동,송파구,"28,385","7,275","8,381",
7,석촌동,송파구,"28,608","5,435","8,438",
15,삼전동,송파구,"28,422","5,297","8,252",
24,가락1동,송파구,"12,385","2,813","3,629",
29,문정2동,송파구,"13,009","5,674","2,492",
34,잠실본동,송파구,"24,971","5,126","6,781",
41,잠실2동,송파구,"26,400","8,691","7,032",
49,잠실3동,송파구,"28,996","11,403","6,574",
58,잠실7동,송파구,"8,426","3,977","1,496",
7,목1동,양천구,"23,861","7,690","6,804",
14,목2동,양천구,"24,944","6,045","7,375",
21,목3동,양천구,"18,743","4,620","5,213",
27,목4동,양천구,"21,006","5,086","6,133",
34,목5동,양천구,"32,501","12,059","8,850",
44,신정1동,양천구,"15,102","4,904","4,346",
51,신정2동,양천구,"16,674","4,612","5,179",
56,신정6동,양천구,"19,398","6,726","5,842",
63,신정7동,양천구,"25,346","7,470","7,544",
7,신월1동,양천구,"20,072","4,590","4,593",
13,신월2동,양천구,"16,319","4,640","3,806",
19,신월3동,양천구,"14,785","3,213","3,175",
24,신월4동,양천구,"14,932","4,398","3,944",
29,신월5동,양천구,"12,630","3,177","3,202",
33,신월6동,양천구,"10,726","2,883","2,409",
37,신월7동,양천구,"20,108","5,309","5,039",
44,신정3동,양천구,"43,112","11,516","11,818",
58,신정4동,양천구,"30,519","7,553","7,929",
7,영등포본동,영등포구,"20,648","5,160","6,096",
15,영등포동,영등포구,"16,601","3,963","4,017",
21,당산제1동,영등포구,"17,699","4,509","5,406",
27,당산제2동,영등포구,"27,636","8,088","8,391",
34,도림동,영등포구,"15,806","3,439","4,523",
39,문래동,영등포구,"25,544","7,443","8,425",
47,양평제1동,영등포구,"14,031","3,403","4,576",
52,양평제2동,영등포구,"17,302","4,493","5,655",
58,신길제3동,영등포구,"13,975","3,469","3,872",
7,여의동,영등포구,"27,284","10,603","6,029",
16,신길제1동,영등포구,"17,679","3,876","5,144",
22,신길제4동,영등포구,"10,703","2,523","3,217",
27,신길제5동,영등포구,"13,962","3,129","3,987",
33,신길제6동,영등포구,"19,199","4,555","5,941",
40,신길제7동,영등포구,"12,154","3,602","3,522",
45,대림제1동,영등포구,"13,939","2,956","4,165",
51,대림제2동,영등포구,"14,977","2,972","4,496",
57,대림제3동,영등포구,"23,399","5,335","7,647",
7,후암동,용산구,"16,261","3,551","4,477",
12,용산2가동,용산구,"10,926","2,529","2,759",
17,남영동,용산구,"6,925","1,315","1,643",
20,청파동,용산구,"19,661","3,918","5,265",
27,원효로제1동,용산구,"10,415","2,593","2,955",
31,원효로제2동,용산구,"12,430","3,541","3,502",
35,효창동,용산구,"9,053","2,462","2,545",
39,용문동,용산구,"10,627","2,887","3,116",
43,한강로동,용산구,"13,392","4,101","2,497",
49,이촌제1동,용산구,"20,761","8,149","3,687",
55,이촌제2동,용산구,"8,691","2,629","2,361",
59,이태원제1동,용산구,"7,484","1,858","1,330",
62,이태원제2동,용산구,"9,511","2,410","2,272",
66,한남동,용산구,"20,701","4,764","4,023",
72,서빙고동,용산구,"11,176","4,178","1,958",
77,보광동,용산구,"15,008","3,497","3,349",
7,녹번동,은평구,"27,464","5,604","6,682",
15,응암제1동,은평구,"25,129","4,970","6,237",
