,자치구,읍면동명,보육시설
0,종로구,사직동,818
1,종로구,삼청동,32
2,종로구,부암동,145
3,종로구,평창동,195
4,종로구,무악동,250
5,종로구,교남동,202
6,종로구,가회동,227
7,종로구,종로1.2.3.4가동,453
8,종로구,종로5·6가동,286
9,종로구,이화동,274
10,종로구,창신1동,180
11,종로구,창신2동,394
12,종로구,창신3동,116
13,종로구,숭인1동,218
14,종로구,숭인2동,102
15,종로구,청운효자동,695
16,종로구,혜화동,352
17,중구,소공동,526
18,중구,회현동,239
19,중구,명동,404
20,중구,필동,128
21,중구,장충동,116
22,중구,광희동,219
23,중구,을지로동,131
24,중구,신당5동,317
25,중구,황학동,230
26,중구,중림동,270
27,중구,신당동,163
28,중구,다산동,309
29,중구,약수동,514
30,중구,청구동,264
31,중구,동화동,306
32,용산구,후암동,642
33,용산구,용산2가동,272
34,용산구,남영동,131
35,용산구,원효로2동,342
36,용산구,효창동,366
37,용산구,용문동,346
38,용산구,이촌1동,375
39,용산구,이촌2동,202
40,용산구,이태원1동,228
41,용산구,이태원2동,147
42,용산구,서빙고동,238
43,용산구,보광동,314
44,용산구,청파동,622
45,용산구,원효로1동,304
46,용산구,한강로동,490
47,용산구,한남동,344
48,성동구,왕십리2동,395
49,성동구,마장동,664
50,성동구,사근동,156
51,성동구,행당1동,476
52,성동구,행당2동,602
53,성동구,응봉동,326
54,성동구,금호1가동,586
55,성동구,금호4가동,365
56,성동구,성수1가1동,348
57,성동구,성수1가2동,471
58,성동구,성수2가1동,351
59,성동구,성수2가3동,362
60,성동구,송정동,353
61,성동구,용답동,565
62,성동구,왕십리도선동,751
63,성동구,금호2.3가동,670
64,성동구,옥수동,692
65,광진구,화양동,414
66,광진구,군자동,709
67,광진구,중곡1동,304
68,광진구,중곡2동,615
69,광진구,중곡3동,966
70,광진구,중곡4동,868
71,광진구,능동,248
72,광진구,구의1동,474
73,광진구,구의2동,697
74,광진구,구의3동,613
75,광진구,광장동,608
76,광진구,자양1동,731
77,광진구,자양2동,619
78,광진구,자양3동,776
79,광진구,자양4동,655
80,동대문구,회기동,222
81,동대문구,휘경1동,371
82,동대문구,휘경2동,687
83,동대문구,청량리동,505
84,동대문구,용신동,747
85,동대문구,제기동,649
86,동대문구,전농1동,633
87,동대문구,전농2동,423
88,동대문구,답십리1동,858
89,동대문구,답십리2동,925
90,동대문구,장안1동,"1,372"
91,동대문구,장안2동,948
92,동대문구,이문1동,547
93,동대문구,이문2동,679
94,중랑구,면목2동,821
95,중랑구,면목4동,619
96,중랑구,면목5동,371
97,중랑구,면목7동,638
98,중랑구,상봉1동,656
99,중랑구,상봉2동,439
100,중랑구,중화1동,645
101,중랑구,중화2동,574
102,중랑구,묵1동,"1,051"
103,중랑구,묵2동,517
104,중랑구,망우3동,604
105,중랑구,신내1동,"1,514"
106,중랑구,신내2동,748
107,중랑구,면목본동,873
108,중랑구,면목3.8동,905
109,중랑구,망우본동,991
110,성북구,돈암1동,358
111,성북구,돈암2동,530
112,성북구,안암동,408
113,성북구,보문동,300
114,성북구,정릉1동,616
115,성북구,정릉2동,349
116,성북구,정릉3동,566
117,성북구,정릉4동,986
118,성북구,길음1동,"1,126"
119,성북구,길음2동,281
120,성북구,월곡1동,970
121,성북구,월곡2동,628
122,성북구,장위1동,467
123,성북구,장위2동,636
124,성북구,장위3동,459
125,성북구,성북동,240
126,성북구,삼선동,526
127,성북구,동선동,405
128,성북구,종암동,"1,409"
129,성북구,석관동,773
130,강북구,번1동,654
131,강북구,번2동,552
132,강북구,번3동,457
133,강북구,수유1동,870
134,강북구,수유2동,745
135,강북구,수유3동,517
136,강북구,삼양동,870
137,강북구,미아동,426
138,강북구,송중동,771
139,강북구,송천동,716
140,강북구,삼각산동,"1,213"
141,강북구,우이동,702
142,강북구,인수동,524
143,도봉구,쌍문1동,632
144,도봉구,쌍문2동,627
145,도봉구,쌍문3동,639
146,도봉구,쌍문4동,363
147,도봉구,방학1동,982
148,도봉구,방학2동,920
149,도봉구,방학3동,847
150,도봉구,창1동,690
151,도봉구,창2동,"1,120"
152,도봉구,창3동,623
153,도봉구,창4동,665
154,도봉구,창5동,713
155,도봉구,도봉1동,697
156,도봉구,도봉2동,"1,025"
157,노원구,월계1동,759
158,노원구,월계2동,568
159,노원구,월계3동,928
160,노원구,공릉2동,"1,488"
161,노원구,하계1동,637
162,노원구,하계2동,351
163,노원구,중계본동,367
164,노원구,중계1동,597
165,노원구,중계4동,388
166,노원구,상계1동,"1,367"
167,노원구,상계2동,917
168,노원구,상계5동,605
169,노원구,상계8동,844
170,노원구,상계9동,587
171,노원구,상계10동,411
172,노원구,상계3.4동,"1,042"
173,노원구,상계6.7동,842
174,노원구,중계2.3동,746
175,노원구,공릉1동,992
176,은평구,녹번동,"1,225"
177,은평구,불광1동,"1,163"
178,은평구,갈현1동,795
179,은평구,갈현2동,882
180,은평구,구산동,924
181,은평구,대조동,"1,039"
182,은평구,응암1동,"1,053"
183,은평구,응암2동,861
184,은평구,신사1동,920
185,은평구,신사2동,650
186,은평구,증산동,578
187,은평구,수색동,166
188,은평구,진관동,"1,801"
189,은평구,불광2동,646
190,은평구,응암3동,750
191,은평구,역촌동,"1,549"
192,서대문구,천연동,498
193,서대문구,홍제1동,543
194,서대문구,홍제3동,491
195,서대문구,홍제2동,421
196,서대문구,홍은1동,449
197,서대문구,홍은2동,474
198,서대문구,남가좌1동,381
199,서대문구,남가좌2동,611
200,서대문구,북가좌1동,461
201,서대문구,북가좌2동,699
202,서대문구,충현동,594
203,서대문구,북아현동,425
204,서대문구,신촌동,495
205,서대문구,연희동,769
206,마포구,용강동,436
207,마포구,대흥동,208
208,마포구,염리동,318
209,마포구,신수동,496
210,마포구,서교동,451
211,마포구,합정동,391
212,마포구,망원1동,584
213,마포구,망원2동,662
214,마포구,연남동,467
215,마포구,성산1동,369
216,마포구,성산2동,"1,254"
217,마포구,상암동,"1,330"
218,마포구,도화동,423
219,마포구,서강동,772
220,마포구,공덕동,725
221,마포구,아현동,817
222,양천구,목1동,399
