자치구,읍면동명,사업체 창업률
종로구,사직동,11.7
종로구,삼청동,17.3
종로구,부암동,11.4
종로구,평창동,15.3
종로구,무악동,5.1
종로구,교남동,7.6
종로구,가회동,11.3
종로구,종로1.2.3.4가동,9.1
종로구,종로5.6가동,10.2
종로구,이화동,13.3
종로구,창신1동,11.0
종로구,창신2동,10.6
종로구,창신3동,9.1
종로구,숭인1동,13.8
종로구,숭인2동,10.8
종로구,청운효자동,8.8
종로구,혜화동,17.2
중구,소공동,8.9
중구,회현동,6.5
중구,명동,10.8
중구,필동,5.7
중구,장충동,8.0
중구,광희동,9.2
중구,을지로동,6.5
중구,신당1동,12.1
중구,신당2동,11.9
중구,신당3동,9.6
중구,신당4동,8.5
중구,신당5동,12.9
중구,신당6동,17.7
중구,황학동,7.4
중구,중림동,10.0
용산구,후암동,11.6
용산구,용산2가동,10.1
용산구,남영동,13.4
용산구,원효로2동,11.1
용산구,효창동,10.8
용산구,용문동,11.6
용산구,이촌1동,12.6
용산구,이촌2동,3.2
용산구,이태원1동,14.6
용산구,이태원2동,15.1
용산구,서빙고동,8.1
용산구,보광동,11.2
용산구,청파동,12.9
용산구,원효로1동,11.9
용산구,한강로동,12.6
용산구,한남동,15.9
중구,왕십리2동,11.2
중구,마장동,11.0
중구,사근동,12.7
중구,행당1동,16.2
중구,행당2동,14.6
중구,응봉동,10.1
중구,금호1가동,15.8
중구,금호4가동,14.2
중구,성수1가1동,10.9
중구,성수1가2동,10.2
중구,성수2가1동,11.3
중구,성수2가3동,10.4
중구,송정동,8.5
중구,용답동,11.9
중구,왕십리도선동,12.1
중구,금호2.3가동,13.7
중구,옥수동,17.9
광진구,화양동,17.7
광진구,군자동,14.2
광진구,중곡1동,11.0
광진구,중곡2동,16.1
광진구,중곡3동,15.4
광진구,중곡4동,15.1
광진구,능동,9.1
광진구,구의1동,14.1
광진구,구의2동,11.6
광진구,구의3동,17.4
광진구,광장동,14.9
광진구,자양1동,13.5
광진구,자양2동,11.5
광진구,자양3동,12.6
광진구,자양4동,15.7
동대문구,회기동,18.6
동대문구,휘경1동,13.5
동대문구,휘경2동,7.9
동대문구,청량리동,9.1
동대문구,용신동,8.9
동대문구,제기동,7.3
동대문구,전농1동,10.4
동대문구,전농2동,11.9
동대문구,답십리1동,8.7
동대문구,답십리2동,9.9
동대문구,장안1동,9.1
동대문구,장안2동,14.0
동대문구,이문1동,12.5
동대문구,이문2동,9.7
중랑구,면목2동,13.6
중랑구,면목4동,11.6
중랑구,면목5동,12.9
중랑구,면목7동,11.7
중랑구,상봉1동,12.2
