,자치구,읍면동명,금융기관
0,종로구,평창동,5
1,종로구,무악동,1
2,종로구,교남동,2
3,종로구,가회동,6
4,종로구,종로1.2.3.4가동,61
5,종로구,종로5·6가동,14
6,종로구,이화동,6
7,종로구,창신1동,5
8,종로구,창신2동,2
9,종로구,숭인1동,1
10,종로구,숭인2동,5
11,종로구,청운효자동,4
12,종로구,혜화동,6
13,중구,계,226
14,중구,소공동,49
15,중구,회현동,25
16,중구,명동,79
17,중구,필동,8
18,중구,장충동,4
19,중구,광희동,18
20,중구,을지로동,15
21,중구,신당1동,7
22,중구,신당2동,4
23,중구,신당3동,3
24,중구,신당4동,1
25,중구,신당5동,3
26,중구,신당6동,2
27,중구,황학동,6
28,중구,중림동,2
29,용산구,계,98
30,용산구,후암동,2
31,용산구,용산2가동,2
32,용산구,남영동,10
33,용산구,원효로2동,4
34,용산구,효창동,1
35,용산구,이촌1동,17
36,용산구,이태원1동,9
37,용산구,이태원2동,4
38,용산구,서빙고동,2
39,용산구,보광동,2
40,용산구,청파동,4
41,용산구,원효로1동,3
42,용산구,한강로동,26
43,용산구,한남동,12
44,성동구,계,62
45,성동구,왕십리2동,1
46,성동구,마장동,5
47,성동구,사근동,2
48,성동구,행당1동,9
49,성동구,행당2동,3
50,성동구,응봉동,1
51,성동구,금호1가동,1
52,성동구,금호4가동,4
53,성동구,성수1가1동,3
54,성동구,성수1가2동,3
55,성동구,성수2가1동,3
56,성동구,성수2가3동,14
57,성동구,용답동,3
58,성동구,왕십리도선동,4
59,성동구,금호2.3가동,3
60,성동구,옥수동,3
61,광진구,계,68
62,광진구,화양동,10
63,광진구,군자동,4
64,광진구,중곡1동,4
65,광진구,중곡2동,4
66,광진구,중곡3동,1
67,광진구,중곡4동,2
68,광진구,구의1동,5
69,광진구,구의2동,3
70,광진구,구의3동,10
71,광진구,광장동,10
72,광진구,자양1동,3
73,광진구,자양2동,3
74,광진구,자양3동,7
75,광진구,자양4동,2
76,동대문구,계,72
77,동대문구,회기동,6
78,동대문구,휘경1동,2
79,동대문구,휘경2동,2
80,동대문구,청량리동,7
81,동대문구,용신동,11
82,동대문구,제기동,9
83,동대문구,전농1동,3
84,동대문구,전농2동,4
85,동대문구,답십리1동,8
86,동대문구,답십리2동,1
87,동대문구,장안1동,12
88,동대문구,장안2동,3
89,동대문구,이문1동,4
90,중랑구,계,38
91,중랑구,면목2동,1
92,중랑구,면목5동,2
93,중랑구,면목7동,3
94,중랑구,상봉1동,1
95,중랑구,상봉2동,4
96,중랑구,중화1동,1
97,중랑구,중화2동,4
98,중랑구,묵1동,4
99,중랑구,묵2동,3
100,중랑구,망우3동,1
101,중랑구,신내1동,2
102,중랑구,신내2동,3
103,중랑구,면목본동,3
104,중랑구,면목3.8동,1
105,중랑구,망우본동,5
106,성북구,계,82
107,성북구,돈암1동,1
108,성북구,돈암2동,4
109,성북구,안암동,8
110,성북구,보문동,4
111,성북구,정릉1동,1
112,성북구,정릉2동,4
113,성북구,정릉3동,1
114,성북구,정릉4동,4
115,성북구,길음1동,8
116,성북구,길음2동,3
117,성북구,월곡1동,6
118,성북구,월곡2동,5
119,성북구,장위1동,2
120,성북구,장위2동,3
121,성북구,장위3동,2
122,성북구,성북동,4
123,성북구,삼선동,9
124,성북구,동선동,3
125,성북구,종암동,4
126,성북구,석관동,6
127,강북구,계,37
128,강북구,번1동,4
129,강북구,번3동,1
130,강북구,수유1동,4
131,강북구,수유2동,2
132,강북구,수유3동,8
133,강북구,미아동,4
134,강북구,송중동,2
135,강북구,송천동,6
136,강북구,삼각산동,4
137,강북구,우이동,1
138,강북구,인수동,1
139,도봉구,계,38
140,도봉구,쌍문1동,2
141,도봉구,쌍문2동,1
142,도봉구,쌍문3동,1
143,도봉구,쌍문4동,2
144,도봉구,방학1동,8
145,도봉구,방학3동,4
146,도봉구,창1동,5
147,도봉구,창2동,1
148,도봉구,창4동,4
149,도봉구,창5동,5
150,도봉구,도봉1동,2
151,도봉구,도봉2동,3
152,노원구,계,72
153,노원구,월계1동,3
154,노원구,월계2동,1
155,노원구,월계3동,3
156,노원구,공릉2동,8
157,노원구,하계1동,3
158,노원구,하계2동,1
159,노원구,중계본동,3
160,노원구,중계1동,6
161,노원구,중계4동,3
162,노원구,상계1동,2
163,노원구,상계2동,2
164,노원구,상계5동,2
165,노원구,상계8동,3
166,노원구,상계9동,4
167,노원구,상계10동,2
168,노원구,상계3.4동,1
169,노원구,상계6.7동,15
170,노원구,중계2.3동,3
171,노원구,공릉1동,7
172,은평구,계,54
173,은평구,녹번동,2
174,은평구,불광1동,5
175,은평구,갈현1동,4
176,은평구,갈현2동,3
177,은평구,대조동,7
178,은평구,응암1동,7
179,은평구,응암2동,1
180,은평구,신사1동,2
181,은평구,증산동,1
182,은평구,수색동,3
183,은평구,진관동,9
184,은평구,불광2동,2
185,은평구,응암3동,4
186,은평구,역촌동,4
187,서대문구,계,66
188,서대문구,천연동,1
189,서대문구,홍제1동,3
190,서대문구,홍제3동,3
191,서대문구,홍제2동,3
192,서대문구,홍은1동,1
193,서대문구,홍은2동,4
194,서대문구,남가좌1동,4
195,서대문구,남가좌2동,5
196,서대문구,북가좌2동,4
197,서대문구,충현동,11
198,서대문구,북아현동,2
199,서대문구,신촌동,15
200,서대문구,연희동,10
201,마포구,계,106
202,마포구,용강동,11
203,마포구,대흥동,4
204,마포구,염리동,1
205,마포구,신수동,2
206,마포구,서교동,27
207,마포구,합정동,3
208,마포구,망원1동,2
209,마포구,망원2동,3
210,마포구,연남동,1
211,마포구,성산1동,3
212,마포구,성산2동,3
213,마포구,상암동,12
214,마포구,도화동,9
215,마포구,서강동,4
216,마포구,공덕동,13
217,마포구,아현동,8
218,양천구,계,86
219,양천구,목1동,16
220,양천구,목2동,2
221,양천구,목3동,4
222,양천구,목4동,3
223,양천구,신월1동,4
224,양천구,신월2동,2
225,양천구,신월3동,1
226,양천구,신월4동,1
227,양천구,신월5동,1
228,양천구,신월6동,2
229,양천구,신월7동,2
230,양천구,신정1동,6
231,양천구,신정2동,2
232,양천구,신정3동,5
233,양천구,신정6동,8
234,양천구,신정7동,5
235,양천구,목5동,14
236,양천구,신정4동,8
237,강서구,계,81
238,강서구,염창동,5
239,강서구,등촌1동,4
240,강서구,등촌2동,2
241,강서구,등촌3동,8
242,강서구,화곡본동,2
243,강서구,화곡3동,3
244,강서구,화곡4동,3
245,강서구,화곡6동,6
246,강서구,화곡8동,3
247,강서구,가양1동,2
248,강서구,가양2동,3
249,강서구,발산1동,8
250,강서구,공항동,10
251,강서구,방화1동,4
252,강서구,방화2동,4
253,강서구,방화3동,2
254,강서구,화곡1동,3
255,강서구,우장산동,9
256,구로구,계,78
257,구로구,신도림동,8
258,구로구,구로1동,2
259,구로구,구로3동,24
260,구로구,구로4동,5
261,구로구,구로5동,6
262,구로구,고척1동,3
263,구로구,고척2동,2
264,구로구,개봉2동,3
265,구로구,개봉3동,2
266,구로구,오류1동,5
267,구로구,오류2동,1
268,구로구,수궁동,1
269,구로구,가리봉동,1
270,구로구,구로2동,12
271,구로구,개봉1동,3
272,금천구,계,68
273,금천구,가산동,34
274,금천구,독산1동,7
275,금천구,독산2동,3
276,금천구,독산3동,3
277,금천구,독산4동,2
278,금천구,시흥1동,10
279,금천구,시흥2동,2
280,금천구,시흥3동,5
281,금천구,시흥4동,1
282,금천구,시흥5동,1
283,영등포구,계,157
284,영등포구,여의동,81
285,영등포구,당산1동,6
286,영등포구,당산2동,8
287,영등포구,양평1동,3
288,영등포구,양평2동,3
289,영등포구,신길1동,2
290,영등포구,신길3동,5
291,영등포구,신길4동,1
292,영등포구,신길6동,2
293,영등포구,신길7동,1
294,영등포구,대림1동,4
295,영등포구,대림2동,2
296,영등포구,대림3동,7
297,영등포구,영등포동,20
298,영등포구,도림동,1
299,영등포구,문래동,11
300,동작구,계,65
301,동작구,노량진2동,4
302,동작구,상도1동,7
303,동작구,상도2동,4
304,동작구,상도3동,3
305,동작구,상도4동,1
306,동작구,사당1동,9
307,동작구,사당3동,3
308,동작구,대방동,6
309,동작구,신대방1동,4
310,동작구,신대방2동,8
311,동작구,흑석동,8
312,동작구,노량진1동,6
313,동작구,사당2동,2
314,관악구,계,60
315,관악구,보라매동,4
316,관악구,청림동,1
317,관악구,행운동,5
318,관악구,낙성대동,4
319,관악구,중앙동,3
320,관악구,인헌동,4
321,관악구,서원동,3
322,관악구,신원동,1
323,관악구,서림동,1
324,관악구,신사동,1
325,관악구,신림동,5
326,관악구,난향동,2
327,관악구,조원동,2
328,관악구,대학동,11
329,관악구,청룡동,7
330,관악구,난곡동,2
331,관악구,미성동,4
332,서초구,계,242
333,서초구,서초1동,17
334,서초구,서초2동,27
335,서초구,서초3동,45
336,서초구,서초4동,20
337,서초구,잠원동,12
338,서초구,반포본동,7
339,서초구,반포1동,12
