,자치구,읍면동명,금융기관
340,서초구,반포2동,10
341,서초구,반포3동,8
342,서초구,반포4동,21
343,서초구,방배본동,8
344,서초구,방배1동,5
345,서초구,방배2동,2
346,서초구,방배3동,5
347,서초구,방배4동,16
348,서초구,양재1동,12
349,서초구,양재2동,15
350,강남구,계,408
351,강남구,신사동,17
352,강남구,논현1동,17
353,강남구,논현2동,31
354,강남구,삼성1동,38
355,강남구,삼성2동,22
356,강남구,대치1동,19
357,강남구,대치4동,22
358,강남구,역삼1동,66
359,강남구,역삼2동,21
360,강남구,도곡1동,13
361,강남구,도곡2동,24
362,강남구,개포1동,3
363,강남구,개포4동,5
364,강남구,일원본동,6
365,강남구,일원1동,3
366,강남구,일원2동,4
367,강남구,수서동,4
368,강남구,압구정동,37
369,강남구,청담동,21
370,강남구,대치2동,28
371,강남구,개포2동,7
372,송파구,계,174
373,송파구,풍납2동,5
374,송파구,거여2동,4
375,송파구,마천1동,1
376,송파구,마천2동,2
377,송파구,방이1동,2
378,송파구,방이2동,7
379,송파구,오륜동,9
380,송파구,오금동,7
381,송파구,송파1동,7
382,송파구,송파2동,4
383,송파구,석촌동,11
384,송파구,삼전동,7
385,송파구,가락본동,12
386,송파구,가락1동,3
387,송파구,가락2동,9
388,송파구,문정1동,6
389,송파구,문정2동,9
390,송파구,장지동,3
391,송파구,잠실본동,14
392,송파구,잠실4동,10
393,송파구,잠실6동,16
394,송파구,잠실7동,5
395,송파구,잠실2동,10
396,송파구,잠실3동,11
397,강동구,계,82
398,강동구,강일동,4
399,강동구,상일동,2
400,강동구,명일1동,8
401,강동구,명일2동,8
402,강동구,고덕2동,2
403,강동구,암사2동,3
404,강동구,암사3동,4
405,강동구,천호1동,2
406,강동구,천호3동,3
407,강동구,성내1동,7
408,강동구,성내2동,4
409,강동구,성내3동,6
410,강동구,둔촌1동,2
411,강동구,둔촌2동,7
412,강동구,암사1동,4
413,강동구,천호2동,7
414,강동구,길동,9
