자치구,행정동,인구,소득(구별),인구비,소득(동별)
강동구,명일1동,"26,212","7,424,711",0.060884229,452047.8041
강동구,명일2동,"18,000","7,424,711",0.04180971,310425.0143
강동구,고덕1동,"27,334","7,424,711",0.063490368,471397.63
강동구,고덕2동,"7,419","7,424,711",0.017232569,127946.8434
강동구,암사2동,"14,557","7,424,711",0.033812442,251047.6074
강동구,암사3동,"18,821","7,424,711",0.043716697,324583.8441
강동구,천호1동,"28,623","7,424,711",0.066484407,493627.5102
강동구,천호3동,"28,294","7,424,711",0.065720219,487953.6308
강동구,성내1동,"20,648","7,424,711",0.047960383,356091.9831
강동구,성내2동,"25,300","7,424,711",0.05876587,436319.6034
강동구,성내3동,"23,991","7,424,711",0.055725375,413744.8065
강동구,둔촌1동,287,"7,424,711",0.000666633,4949.554394
강동구,둔촌2동,"27,943","7,424,711",0.064904929,481900.343
강동구,암사1동,"36,975","7,424,711",0.085884113,637664.7168
강동구,천호2동,"36,078","7,424,711",0.083800596,622195.2036
강동구,길동,"46,720","7,424,711",0.108519425,805725.3704
