기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	은평구	역촌동	691	509	93	390	18	8	-	-	21	42	7	35	-	33	1	32	-	-	86	…	86
2016	은평구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	서대문구	계	6,782	5,300	983	4,070	111	63	32	41	195	356	65	291	-	540	8	532	-	-	391	…	391
2016	서대문구	천연동	295	185	31	145	3	2	2	2	12	54	13	41	-	32	-	32	-	-	12	…	12
2016	서대문구	홍제1동	519	356	54	283	11	5	1	2	20	32	5	27	-	52	-	52	-	-	59	…	59
2016	서대문구	홍제3동	239	194	31	154	2	4	1	2	7	20	1	19	-	12	-	12	-	-	6	…	6
2016	서대문구	홍제2동	143	102	21	74	4	3	-	-	6	10	-	10	-	16	-	16	-	-	9	…	9
2016	서대문구	홍은1동	391	269	30	226	8	3	-	2	14	28	4	24	-	52	-	52	-	-	28	…	28
2016	서대문구	홍은2동	253	202	53	137	5	3	1	3	11	6	2	4	-	19	-	19	-	-	15	…	15
2016	서대문구	남가좌1동	531	420	39	348	9	14	8	2	7	48	3	45	-	32	-	32	-	-	24	…	24
2016	서대문구	남가좌2동	289	231	36	191	3	1	-	-	10	18	4	14	-	15	-	15	-	-	15	…	15
2016	서대문구	북가좌1동	266	185	35	141	6	3	-	-	12	17	3	14	-	32	5	27	-	-	20	…	20
2016	서대문구	북가좌2동	234	173	40	121	7	5	-	-	6	12	4	8	-	31	1	30	-	-	12	…	12
2016	서대문구	충현동	576	457	87	361	3	3	-	3	16	4	1	3	-	69	1	68	-	-	30	…	30
2016	서대문구	북아현동	221	165	26	132	2	3	-	2	14	14	2	12	-	11	-	11	-	-	17	…	17
2016	서대문구	신촌동	2,140	1,858	394	1,384	33	9	18	20	37	48	6	42	-	115	1	114	-	-	82	…	82
2016	서대문구	연희동	685	503	106	373	15	5	1	3	23	45	17	28	-	52	-	52	-	-	62	…	62
2016	서대문구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	마포구	계	11,630	9,709	1,673	7,625	217	85	64	45	208	504	131	373	-	421	12	409	-	-	788	…	788
2016	마포구	용강동	453	371	48	299	10	7	6	1	13	15	1	14	-	23	3	20	-	-	31	…	31
2016	마포구	대흥동	571	465	95	342	12	7	9	-	16	25	13	12	-	23	-	23	-	-	42	…	42
2016	마포구	염리동	192	152	25	122	3	-	-	2	9	15	9	6	-	7	-	7	-	-	9	…	9
2016	마포구	신수동	332	259	64	178	9	2	-	6	11	30	6	24	-	13	-	13	-	-	19	…	19
2016	마포구	서교동	3,515	3,180	435	2,630	53	37	20	5	13	76	29	47	-	66	2	64	-	-	180	…	180
2016	마포구	합정동	697	588	104	462	14	7	-	1	8	22	10	12	-	29	1	28	-	-	50	…	50
2016	마포구	망원1동	626	552	105	433	11	3	-	-	5	34	5	29	-	8	-	8	-	-	27	…	27
2016	마포구	망원2동	216	125	27	93	3	2	-	-	6	38	8	30	-	14	3	11	-	-	33	…	33
2016	마포구	연남동	667	596	103	474	14	4	-	1	7	15	7	8	-	20	-	20	-	-	29	…	29
2016	마포구	성산1동	512	391	91	284	14	1	-	1	18	22	14	8	-	36	1	35	-	-	45	…	45
2016	마포구	성산2동	323	161	45	107	7	-	-	2	17	66	4	62	-	30	1	29	-	-	49	…	49
2016	마포구	상암동	978	820	189	599	19	-	-	13	33	25	3	22	-	30	-	30	-	-	70	…	70
2016	마포구	도화동	663	515	73	407	7	5	23	-	5	19	5	14	-	40	1	39	-	-	84	…	84
2016	마포구	서강동	739	644	98	524	18	-	-	4	15	25	8	17	-	21	-	21	-	-	34	…	34
2016	마포구	공덕동	809	649	133	481	19	6	4	6	17	43	7	36	-	48	-	48	-	-	52	…	52
2016	마포구	아현동	337	241	38	190	4	4	2	3	15	34	2	32	-	13	-	13	-	-	34	…	34
2016	마포구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	양천구	계	6,522	4,381	894	3,225	152	74	6	30	241	560	60	499	1	305	8	296	-	1	1,035	…	1,035
2016	양천구	목1동	1,052	728	248	434	33	3	1	9	19	108	2	106	-	40	2	38	-	-	157	…	157
2016	양천구	목2동	306	216	38	172	5	1	-	-	12	18	3	15	-	10	1	9	-	-	50	…	50
2016	양천구	목3동	348	244	33	195	9	5	2	-	6	36	6	30	-	13	1	12	-	-	49	…	49
2016	양천구	목4동	407	289	50	221	11	6	1	-	11	42	6	36	-	11	1	10	-	-	54	…	54
2016	양천구	신월1동	424	296	35	250	5	3	-	3	10	56	5	51	-	25	-	25	-	-	37	…	37
2016	양천구	신월2동	203	121	21	96	3	1	-	-	11	25	3	22	-	9	-	9	-	-	37	…	37
2016	양천구	신월3동	209	136	22	111	2	1	-	-	14	23	5	18	-	13	-	13	-	-	23	…	23
2016	양천구	신월4동	252	191	19	161	3	4	-	4	10	11	1	10	-	7	-	7	-	-	33	…	33
2016	양천구	신월5동	254	176	33	135	3	3	-	2	11	15	3	12	-	16	-	16	-	-	36	…	36
2016	양천구	신월6동	152	88	10	75	3	-	-	-	8	19	3	16	-	12	1	11	-	-	25	…	25
2016	양천구	신월7동	273	189	27	154	3	4	-	1	14	19	2	17	-	17	-	17	-	-	34	…	34
2016	양천구	신정1동	372	272	43	206	10	9	2	2	11	33	4	29	-	13	-	13	-	-	43	…	43
2016	양천구	신정2동	311	199	40	139	13	7	-	-	7	32	1	31	-	14	-	14	-	-	59	…	59
2016	양천구	신정3동	385	231	38	168	9	11	-	5	24	27	5	21	1	24	1	23	-	-	79	…	79
2016	양천구	신정6동	129	66	22	40	4	-	-	-	15	11	-	11	-	7	-	7	-	-	30	…	30
2016	양천구	신정7동	236	158	45	101	12	-	-	-	12	16	1	15	-	17	-	17	-	-	33	…	33
2016	양천구	목5동	385	241	69	152	16	1	-	3	26	26	1	25	-	20	-	20	-	-	72	…	72
2016	양천구	신정4동	824	540	101	415	8	15	-	1	20	43	9	34	-	37	1	35	-	1	184	…	184
2016	양천구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	강서구	계	8,993	6,170	1,107	4,548	181	165	117	52	343	584	66	518	-	526	27	495	2	2	1,370	…	1,370
2016	강서구	염창동	484	337	73	238	15	6	2	3	19	22	4	18	-	31	1	29	-	1	75	…	75
2016	강서구	등촌1동	515	335	75	240	8	5	-	7	17	35	4	31	-	27	1	26	-	-	101	…	101
2016	강서구	등촌2동	183	132	26	97	7	-	-	2	12	5	1	4	-	5	-	5	-	-	29	…	29
2016	강서구	등촌3동	591	399	102	279	11	1	-	6	36	26	4	22	-	36	2	34	-	-	94	…	94
2016	강서구	화곡본동	414	282	40	226	6	2	8	-	27	25	1	24	-	17	-	17	-	-	63	…	63
2016	강서구	화곡2동	188	104	25	75	2	2	-	-	7	3	-	3	-	8	-	8	-	-	66	…	66
2016	강서구	화곡3동	390	281	51	208	8	8	6	-	8	15	1	14	-	8	1	7	-	-	78	…	78
2016	강서구	화곡4동	421	273	37	223	7	6	-	-	14	50	4	46	-	17	-	17	-	-	67	…	67
2016	강서구	화곡6동	695	582	55	435	8	28	53	3	15	19	4	15	-	12	-	12	-	-	67	…	67
2016	강서구	화곡8동	337	217	35	160	10	9	2	1	9	41	2	39	-	9	-	9	-	-	61	…	61
2016	강서구	가양1동	470	330	73	238	10	7	-	2	9	23	7	16	-	32	3	28	-	1	76	…	76
2016	강서구	가양2동	144	79	20	49	5	-	2	3	13	14	2	12	-	11	-	11	-	-	27	…	27
2016	강서구	가양3동	133	61	15	40	4	-	-	2	13	16	-	16	-	12	-	12	-	-	31	…	31
2016	강서구	발산1동	579	306	65	220	16	-	-	5	32	81	9	72	-	90	8	82	-	-	70	…	70
2016	강서구	공항동	596	408	63	315	10	7	4	9	19	32	8	24	-	71	4	65	2	-	66	…	66
2016	강서구	방화1동	683	461	86	360	12	-	1	2	24	66	7	59	-	32	-	32	-	-	100	…	100
2016	강서구	방화2동	590	434	96	313	13	5	3	4	20	41	3	38	-	34	1	33	-	-	61	…	61
2016	강서구	방화3동	200	114	26	79	8	-	-	1	19	15	1	14	-	15	1	14	-	-	37	…	37
2016	강서구	화곡1동	1,006	773	90	563	11	75	34	-	15	40	4	36	-	33	3	30	-	-	145	…	145
2016	강서구	우장산동	374	262	54	190	10	4	2	2	15	15	-	15	-	26	2	24	-	-	56	…	56
2016	강서구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	구로구	계	7,528	5,405	789	4,315	124	97	37	43	264	538	69	465	4	415	10	401	-	4	906	…	906
2016	구로구	신도림동	581	410	97	286	19	4	-	4	18	58	3	55	-	25	-	25	-	-	70	…	70
2016	구로구	구로1동	163	100	21	73	3	-	-	3	9	12	1	11	-	15	-	15	-	-	27	…	27
2016	구로구	구로3동	1,272	896	173	683	11	21	-	8	25	40	14	23	3	67	1	64	-	2	244	…	244
2016	구로구	구로4동	553	420	32	381	3	4	-	-	11	48	4	44	-	29	-	29	-	-	45	…	45
2016	구로구	구로5동	882	598	106	472	11	3	-	6	26	58	2	56	-	56	5	51	-	-	144	…	144
2016	구로구	고척1동	532	404	63	327	7	2	-	5	20	40	5	35	-	28	-	28	-	-	40	…	40
2016	구로구	고척2동	303	209	28	165	7	6	1	2	13	34	2	32	-	15	-	15	-	-	32	…	32
2016	구로구	개봉2동	296	214	40	159	8	4	3	-	12	22	2	20	-	18	-	18	-	-	30	…	30
2016	구로구	개봉3동	249	176	21	141	5	5	2	2	11	27	4	23	-	9	-	9	-	-	26	…	26
2016	구로구	오류1동	353	257	35	179	10	5	28	-	13	29	3	26	-	17	1	16	-	-	37	…	37
2016	구로구	오류2동	347	231	44	173	11	-	-	3	36	23	1	22	-	20	-	20	-	-	37	…	37
2016	구로구	수궁동	275	186	42	132	7	-	-	5	21	26	9	17	-	18	-	16	-	2	24	…	24
2016	구로구	가리봉동	369	300	19	272	1	8	-	-	9	20	4	16	-	22	-	22	-	-	18	…	18
2016	구로구	구로2동	862	661	28	597	8	24	-	4	21	49	9	40	-	47	3	44	-	-	84	…	84
2016	구로구	개봉1동	491	343	40	275	13	11	3	1	19	52	6	45	1	29	-	29	-	-	48	…	48
2016	구로구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	금천구	계	4,704	3,555	556	2,766	55	76	52	50	196	305	85	212	8	140	11	118	1	10	508	…	508
2016	금천구	가산동	1,652	1,193	227	890	14	10	18	34	56	58	42	9	7	72	6	59	-	7	273	…	273
2016	금천구	독산1동	714	519	79	409	7	14	1	9	33	66	27	39	-	31	1	26	1	3	65	…	65
2016	금천구	독산2동	242	192	22	157	3	7	2	1	12	16	4	12	-	2	-	2	-	-	20	…	20
2016	금천구	독산3동	422	343	38	279	5	15	5	1	16	39	-	39	-	6	1	5	-	-	18	…	18
2016	금천구	독산4동	240	206	25	171	3	5	2	-	10	11	1	10	-	2	1	1	-	-	11	…	11
2016	금천구	시흥1동	790	620	79	482	11	22	23	3	27	63	3	59	1	14	1	13	-	-	66	…	66
2016	금천구	시흥2동	76	50	17	31	2	-	-	-	11	3	-	3	-	3	-	3	-	-	9	…	9
2016	금천구	시흥3동	168	130	14	108	4	1	1	2	8	12	5	7	-	6	1	5	-	-	12	…	12
2016	금천구	시흥4동	157	114	25	86	2	1	-	-	13	15	1	14	-	-	-	-	-	-	15	…	15
2016	금천구	시흥5동	243	188	30	153	4	1	-	-	10	22	2	20	-	4	-	4	-	-	19	…	19
2016	금천구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	영등포구	계	11,889	8,848	1,616	6,537	154	262	173	106	310	596	130	461	5	642	25	612	-	5	1,493	…	1,493
2016	영등포구	여의동	2,678	2,220	516	1,514	36	57	48	49	77	47	11	36	-	84	-	84	-	-	250	…	250
2016	영등포구	당산1동	888	668	82	522	7	50	4	3	18	26	9	17	-	65	7	58	-	-	111	…	111
2016	영등포구	당산2동	676	492	101	357	16	9	7	2	14	25	7	18	-	37	-	37	-	-	108	…	108
2016	영등포구	양평1동	556	362	42	294	8	11	2	5	16	27	10	16	1	45	1	42	-	2	106	…	106
2016	영등포구	양평2동	611	399	72	299	4	10	5	9	16	28	10	16	2	69	11	57	-	1	99	…	99
2016	영등포구	신길1동	863	625	108	481	15	8	8	5	33	72	8	64	-	44	-	44	-	-	89	…	89
2016	영등포구	신길3동	158	110	18	90	1	1	-	-	6	23	2	21	-	7	-	7	-	-	12	…	12
2016	영등포구	신길4동	93	67	5	59	-	3	-	-	4	5	2	3	-	7	-	6	-	1	10	…	10
2016	영등포구	신길5동	421	290	36	247	4	2	-	1	18	38	11	27	-	20	1	19	-	-	55	…	55
2016	영등포구	신길6동	172	132	17	110	1	3	-	1	5	13	-	13	-	5	-	5	-	-	17	…	17
2016	영등포구	신길7동	117	75	15	58	1	1	-	-	5	8	1	7	-	5	-	5	-	-	24	…	24
2016	영등포구	대림1동	596	472	43	406	6	14	1	2	9	25	4	21	-	17	-	17	-	-	73	…	73
2016	영등포구	대림2동	298	234	9	210	4	8	1	2	11	20	3	17	-	9	-	9	-	-	24	…	24
2016	영등포구	대림3동	357	211	23	180	3	5	-	-	10	11	6	5	-	24	-	24	-	-	101	…	101
2016	영등포구	영등포본동	1,952	1,502	336	963	30	61	94	18	32	127	12	115	-	92	-	91	-	1	199	…	199
2016	영등포구	영등포동	255	160	29	120	4	7	-	-	9	27	8	19	-	17	-	17	-	-	42	…	42
2016	영등포구	도림동	278	199	33	157	4	5	-	-	6	15	3	12	-	20	-	20	-	-	38	…	38
2016	영등포구	문래동	920	630	131	470	10	7	3	9	21	59	23	34	2	75	5	70	-	-	135	…	135
2016	영등포구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	동작구	계	5,729	4,410	891	3,283	115	49	48	24	214	456	78	377	1	110	2	108	-	-	539	…	539
2016	동작구	노량진2동	234	207	30	166	1	3	7	-	5	11	4	7	-	4	1	3	-	-	7	…	7
2016	동작구	상도1동	649	534	137	380	13	3	-	1	18	36	10	26	-	6	-	6	-	-	55	…	55
2016	동작구	상도2동	367	255	37	199	10	5	4	-	16	43	7	36	-	12	-	12	-	-	41	…	41
2016	동작구	상도3동	209	141	30	100	6	2	3	-	8	30	-	30	-	2	-	2	-	-	28	…	28
2016	동작구	상도4동	187	131	23	102	3	2	-	1	16	21	2	19	-	2	-	2	-	-	17	…	17
2016	동작구	사당1동	741	596	109	445	20	8	12	2	20	37	5	32	-	11	-	11	-	-	77	…	77
2016	동작구	사당3동	160	113	23	84	5	1	-	-	10	14	3	11	-	3	-	3	-	-	20	…	20
2016	동작구	사당4동	128	76	21	51	3	1	-	-	7	23	2	21	-	-	-	-	-	-	22	…	22
2016	동작구	사당5동	68	46	5	40	-	1	-	-	7	2	-	2	-	1	-	1	-	-	12	…	12
2016	동작구	대방동	421	296	63	208	12	8	1	4	28	26	3	23	-	11	-	11	-	-	60	…	60
2016	동작구	신대방1동	353	249	52	183	7	1	2	4	19	30	6	24	-	8	-	8	-	-	47	…	47
2016	동작구	신대방2동	348	270	56	201	5	4	2	2	10	19	7	11	1	6	-	6	-	-	43	…	43
2016	동작구	흑석동	551	442	68	357	8	4	1	4	22	45	9	36	-	6	-	6	-	-	36	…	36
2016	동작구	노량진1동	751	620	156	439	16	2	4	3	18	51	10	41	-	26	-	26	-	-	36	…	36
2016	동작구	사당2동	562	434	81	328	6	4	12	3	10	68	10	58	-	12	1	11	-	-	38	…	38
2016	동작구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	관악구	계	7,741	5,894	983	4,461	120	94	219	17	227	612	65	547	-	63	8	52	-	3	945	…	945
2016	관악구	보라매동	412	292	52	227	8	2	1	2	17	50	4	46	-	5	-	4	-	1	48	…	48
2016	관악구	청림동	112	75	17	53	5	-	-	-	4	16	-	16	-	4	-	4	-	-	13	…	13
2016	관악구	행운동	425	316	58	226	11	5	16	-	12	25	6	19	-	3	-	3	-	-	69	…	69
2016	관악구	낙성대동	551	465	61	385	3	8	6	2	11	19	6	13	-	6	3	3	-	-	50	…	50
2016	관악구	중앙동	325	245	41	189	8	3	4	-	9	16	1	15	-	4	-	4	-	-	51	…	51
2016	관악구	인헌동	314	224	44	173	5	2	-	-	10	24	1	23	-	2	-	2	-	-	54	…	54
2016	관악구	남현동	391	282	47	202	7	7	17	2	10	21	1	20	-	5	-	4	-	1	73	…	73
2016	관악구	서원동	530	465	59	363	7	4	32	-	9	14	2	12	-	-	-	-	-	-	42	…	42
2016	관악구	신원동	313	183	28	149	5	1	-	-	5	104	-	104	-	-	-	-	-	-	21	…	21
2016	관악구	서림동	246	189	42	143	3	1	-	-	3	16	3	13	-	2	-	2	-	-	36	…	36
2016	관악구	신사동	360	255	44	195	3	6	7	-	11	32	2	30	-	2	1	1	-	-	60	…	60
2016	관악구	신림동	722	602	74	415	3	14	96	-	5	24	6	18	-	3	1	2	-	-	88	…	88
2016	관악구	난향동	82	53	13	37	2	1	-	-	9	11	-	11	-	1	-	1	-	-	8	…	8
2016	관악구	조원동	509	399	44	306	6	23	19	1	9	46	7	39	-	6	1	4	-	1	49	…	49
2016	관악구	대학동	651	590	129	445	12	-	-	4	15	14	3	11	-	1	-	1	-	-	31	…	31
2016	관악구	은천동	414	304	37	251	9	5	-	2	14	38	7	31	-	5	-	5	-	-	53	…	53
2016	관악구	성현동	148	88	22	62	3	1	-	-	14	16	2	14	-	4	2	2	-	-	26	…	26
2016	관악구	청룡동	594	446	89	330	7	6	11	3	18	43	7	36	-	3	-	3	-	-	84	…	84
2016	관악구	난곡동	184	127	28	92	7	-	-	-	11	24	1	23	-	2	-	2	-	-	20	…	20
2016	관악구	삼성동	140	69	13	52	1	1	2	-	14	26	4	22	-	3	-	3	-	-	28	…	28
2016	관악구	미성동	318	225	41	166	5	4	8	1	17	33	2	31	-	2	-	2	-	-	41	…	41
2016	관악구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	서초구	계	13,567	9,173	2,022	6,592	279	111	74	95	304	736	107	628	1	1,007	23	982	-	2	2,347	…	2,347
2016	서초구	서초1동	1,385	799	177	554	21	21	14	12	31	44	7	37	-	108	4	103	-	1	403	…	403
2016	서초구	서초2동	1,042	722	138	541	15	7	12	9	9	30	5	25	-	89	-	89	-	-	192	…	192
2016	서초구	서초3동	1,815	1,235	237	922	23	18	18	17	33	53	14	39	-	130	2	128	-	-	364	…	364
2016	서초구	서초4동	810	604	93	475	14	5	15	2	9	41	1	40	-	35	3	32	-	-	121	…	121
2016	서초구	잠원동	899	622	107	476	14	18	4	3	13	56	9	47	-	66	-	66	-	-	142	…	142
2016	서초구	반포본동	329	221	66	137	14	-	1	3	14	22	1	21	-	21	-	21	-	-	51	…	51
2016	서초구	반포1동	512	380	90	272	11	4	1	2	8	27	4	23	-	22	-	22	-	-	75	…	75
2016	서초구	반포2동	142	80	43	28	7	-	-	2	10	22	-	22	-	6	-	6	-	-	24	…	24
2016	서초구	반포3동	184	105	23	76	5	-	-	1	4	24	2	22	-	13	-	13	-	-	38	…	38
2016	서초구	반포4동	1,039	783	271	457	50	-	-	5	20	83	10	73	-	59	2	57	-	-	94	…	94
2016	서초구	방배본동	499	373	62	286	10	11	1	3	7	31	7	24	-	25	-	25	-	-	63	…	63
2016	서초구	방배1동	492	340	70	252	9	4	3	2	6	27	7	20	-	29	-	29	-	-	90	…	90
2016	서초구	방배2동	602	403	62	325	10	4	-	2	11	26	4	21	1	51	3	48	-	-	111	…	111
2016	서초구	방배3동	256	124	35	78	7	-	-	4	19	19	2	17	-	34	-	34	-	-	60	…	60
2016	서초구	방배4동	548	336	69	249	12	2	3	1	8	42	11	31	-	43	-	43	-	-	119	…	119
2016	서초구	양재1동	1,323	917	190	672	27	13	2	13	53	45	8	37	-	103	5	98	-	-	205	…	205
2016	서초구	양재2동	1,522	1,019	261	717	28	4	-	9	30	138	15	123	-	164	4	159	-	1	171	…	171
2016	서초구	내곡동	168	110	28	75	2	-	-	5	19	6	-	6	-	9	-	9	-	-	24	…	24
2016	서초구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	강남구	계	22,479	15,904	3,300	11,476	442	301	255	130	408	1,000	152	848	-	1,244	18	1,225	-	1	3,923	…	3,923
2016	강남구	신사동	2,367	1,858	295	1,456	57	31	15	4	19	94	24	70	-	91	1	90	-	-	305	…	305
2016	강남구	논현1동	2,299	1,675	306	1,228	32	72	31	6	22	58	9	49	-	142	1	141	-	-	402	…	402
2016	강남구	논현2동	938	736	84	600	14	22	13	3	10	31	16	15	-	42	-	42	-	-	119	…	119
2016	강남구	삼성1동	2,041	1,425	401	922	50	14	23	15	35	90	10	80	-	138	2	136	-	-	353	…	353
2016	강남구	삼성2동	609	431	84	299	14	7	24	3	9	36	9	27	-	42	1	41	-	-	91	…	91
2016	강남구	대치1동	1,319	901	272	562	39	10	4	14	24	79	2	77	-	73	1	72	-	-	242	…	242
2016	강남구	대치4동	812	578	122	435	9	6	2	4	7	54	3	51	-	31	-	31	-	-	142	…	142
2016	강남구	역삼1동	5,021	3,520	731	2,506	59	83	114	27	51	77	12	65	-	233	2	231	-	-	1,140	…	1,140
2016	강남구	역삼2동	664	425	94	305	5	7	9	5	10	41	10	31	-	54	2	51	-	1	134	…	134
2016	강남구	도곡1동	731	471	111	328	19	4	-	9	19	49	7	42	-	55	-	55	-	-	137	…	137
2016	강남구	도곡2동	388	252	70	163	10	4	-	5	15	41	8	33	-	23	-	23	-	-	57	…	57
2016	강남구	개포1동	451	271	72	185	8	2	-	4	16	36	1	35	-	41	1	40	-	-	87	…	87
2016	강남구	개포4동	326	215	28	177	3	6	-	1	10	15	8	7	-	28	1	27	-	-	58	…	58
2016	강남구	일원본동	188	106	25	69	7	-	-	5	18	18	2	16	-	18	-	18	-	-	28	…	28
2016	강남구	일원1동	231	148	20	124	3	-	-	1	10	20	3	17	-	17	-	17	-	-	36	…	36
2016	강남구	일원2동	129	55	8	43	3	-	-	1	10	11	1	10	-	11	-	11	-	-	42	…	42
2016	강남구	수서동	398	255	62	173	14	1	-	5	19	16	1	15	-	30	-	30	-	-	78	…	78
2016	강남구	세곡동	282	188	53	127	8	-	-	-	26	11	-	11	-	21	-	21	-	-	36	…	36
2016	강남구	압구정동	869	656	175	429	42	3	3	4	11	76	5	71	-	30	-	30	-	-	96	…	96
2016	강남구	청담동	1,446	1,113	173	871	24	19	17	9	33	53	11	42	-	64	2	62	-	-	183	…	183
2016	강남구	대치2동	697	466	81	357	16	10	-	2	15	66	7	59	-	37	1	36	-	-	113	…	113
2016	강남구	개포2동	273	159	33	117	6	-	-	3	19	28	3	25	-	23	3	20	-	-	44	…	44
2016	강남구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	송파구	계	12,905	8,855	1,822	6,409	256	181	107	80	333	1,355	327	1,027	1	449	84	362	-	3	1,913	…	1,913
2016	송파구	풍납1동	372	243	38	191	8	1	1	4	17	41	4	37	-	5	1	4	-	-	66	…	66
2016	송파구	풍납2동	187	132	29	92	4	3	-	4	12	11	2	9	-	5	1	4	-	-	27	…	27
2016	송파구	거여1동	371	245	49	183	6	6	-	1	16	25	4	21	-	11	5	6	-	-	74	…	74
2016	송파구	거여2동	124	87	11	70	5	1	-	-	9	12	3	9	-	1	1	-	-	-	15	…	15
2016	송파구	마천1동	453	309	47	256	4	2	-	-	10	62	8	54	-	7	1	6	-	-	65	…	65
2016	송파구	마천2동	191	128	11	108	5	3	-	1	7	33	3	30	-	8	1	7	-	-	15	…	15
2016	송파구	방이1동	841	598	118	438	12	13	10	7	16	59	11	47	1	11	5	6	-	-	157	…	157
2016	송파구	방이2동	585	492	51	367	3	29	41	1	8	26	5	21	-	4	2	2	-	-	55	…	55
2016	송파구	오륜동	62	41	12	23	5	-	-	1	7	6	-	6	-	1	-	1	-	-	7	…	7
2016	송파구	오금동	612	432	69	342	9	7	-	5	24	61	21	40	-	26	10	15	-	1	69	…	69
2016	송파구	송파1동	722	489	97	357	17	16	-	2	11	65	12	53	-	18	4	13	-	1	139	…	139
2016	송파구	송파2동	130	83	18	57	2	3	-	3	9	16	7	9	-	2	-	2	-	-	20	…	20
2016	송파구	석촌동	856	625	88	494	9	29	3	2	16	59	18	41	-	17	7	10	-	-	139	…	139
2016	송파구	삼전동	585	407	79	299	15	12	-	2	17	44	12	32	-	8	1	7	-	-	109	…	109
2016	송파구	가락본동	1,511	930	144	690	23	34	34	5	35	182	81	101	-	157	23	134	-	-	207	…	207
2016	송파구	가락1동	297	97	6	84	2	2	2	1	4	134	72	62	-	55	4	51	-	-	7	…	7
2016	송파구	가락2동	235	151	25	120	2	4	-	-	6	30	16	14	-	11	3	7	-	1	37	…	37
2016	송파구	문정1동	1,078	727	190	517	11	2	-	7	14	112	20	92	-	45	11	34	-	-	180	…	180
2016	송파구	문정2동	401	263	67	179	12	-	-	5	17	36	3	33	-	8	3	5	-	-	77	…	77
2016	송파구	장지동	198	146	21	117	6	-	-	2	14	13	4	9	-	5	-	5	-	-	20	…	20
2016	송파구	위례동	6	4	1	3	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	…	-
2016	송파구	잠실본동	1,640	1,185	263	841	42	13	16	10	24	167	16	151	-	24	1	23	-	-	240	…	240
2016	송파구	잠실4동	513	333	108	198	20	-	-	7	16	69	2	67	-	7	-	7	-	-	88	…	88
2016	송파구	잠실6동	347	279	80	185	8	-	-	6	8	18	3	15	-	4	-	4	-	-	38	…	38
2016	송파구	잠실7동	22	13	6	6	1	-	-	-	2	2	-	2	-	1	-	1	-	-	4	…	4
2016	송파구	잠실2동	191	155	73	70	9	1	-	2	8	14	-	14	-	1	-	1	-	-	13	…	13
2016	송파구	잠실3동	375	261	121	122	16	-	-	2	4	58	-	58	-	7	-	7	-	-	45	…	45
2016	송파구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	강동구	계	6,604	4,538	770	3,398	127	81	133	29	248	546	51	494	1	377	5	372	-	-	895	…	895
2016	강동구	강일동	112	65	19	43	3	-	-	-	15	5	-	5	-	8	-	8	-	-	19	…	19
2016	강동구	상일동	241	174	39	124	3	1	-	7	18	14	4	10	-	12	-	12	-	-	23	…	23
2016	강동구	명일1동	460	309	63	223	11	12	-	-	15	49	1	48	-	21	-	21	-	-	66	…	66
2016	강동구	명일2동	253	165	49	103	10	-	-	3	8	30	1	29	-	12	-	12	-	-	38	…	38
2016	강동구	고덕1동	142	81	7	70	3	-	-	1	19	11	1	10	-	13	-	13	-	-	18	…	18
2016	강동구	고덕2동	114	81	10	67	2	-	-	2	4	10	3	7	-	6	-	6	-	-	13	…	13
2016	강동구	암사2동	180	132	26	99	5	2	-	-	7	11	1	10	-	9	-	9	-	-	21	…	21
