기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	용산구	원효로1동	461	363	55	285	5	10	6	2	7	19	8	11	-	17	-	17	-	-	55	…	55
2016	용산구	한강로동	1,068	777	178	555	9	22	2	11	20	60	10	50	-	23	-	23	-	-	188	…	188
2016	용산구	한남동	875	744	91	590	13	34	6	10	21	37	13	24	-	25	-	25	-	-	48	…	48
2016	용산구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	성동구	계	5,318	3,993	750	3,033	104	49	23	34	203	325	97	227	1	324	-	307	-	17	473	…	473
2016	성동구	왕십리2동	114	78	15	57	5	1	-	-	8	12	-	12	-	7	-	7	-	-	9	…	9
2016	성동구	마장동	288	197	20	168	5	3	1	-	18	20	8	12	-	29	-	29	-	-	24	…	24
2016	성동구	사근동	472	411	75	324	4	1	2	5	20	7	-	7	-	18	-	18	-	-	16	…	16
2016	성동구	행당1동	529	396	117	258	14	1	-	6	18	33	6	27	-	31	-	31	-	-	51	…	51
2016	성동구	행당2동	127	76	26	42	7	1	-	-	5	13	-	13	-	11	-	11	-	-	22	…	22
2016	성동구	응봉동	66	40	8	30	2	-	-	-	6	3	-	3	-	7	-	7	-	-	10	…	10
2016	성동구	금호1가동	106	70	9	56	2	3	-	-	10	10	3	7	-	5	-	5	-	-	11	…	11
2016	성동구	금호4가동	169	123	19	99	4	1	-	-	8	11	2	9	-	12	-	12	-	-	15	…	15
2016	성동구	성수1가1동	357	263	36	215	6	3	-	3	14	20	15	5	-	21	-	21	-	-	39	…	39
2016	성동구	성수1가2동	324	260	49	197	10	1	-	3	5	17	10	7	-	16	-	13	-	3	26	…	26
2016	성동구	성수2가1동	762	540	109	403	11	13	-	4	12	72	30	41	1	66	-	56	-	10	72	…	72
2016	성동구	성수2가3동	487	369	76	282	3	2	-	6	18	22	13	9	-	25	-	21	-	4	53	…	53
2016	성동구	송정동	103	77	10	62	2	-	2	1	5	4	-	4	-	9	-	9	-	-	8	…	8
2016	성동구	용답동	356	262	32	221	3	1	2	3	15	15	3	12	-	22	-	22	-	-	42	…	42
2016	성동구	왕십리도선동	542	451	70	340	9	14	16	2	16	19	2	17	-	22	-	22	-	-	34	…	34
2016	성동구	금호2.3가동	295	224	38	175	7	4	-	-	11	32	2	30	-	12	-	12	-	-	16	…	16
2016	성동구	옥수동	221	156	41	104	10	-	-	1	14	15	3	12	-	11	-	11	-	-	25	…	25
2016	성동구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	광진구	계	7,152	5,365	981	4,119	127	87	18	33	184	484	52	432	-	338	5	330	-	3	781	…	781
2016	광진구	화양동	1,169	1,044	155	844	17	15	5	8	18	23	3	20	-	21	-	21	-	-	63	…	63
2016	광진구	군자동	487	380	74	285	7	5	5	4	17	34	5	29	-	18	-	18	-	-	38	…	38
2016	광진구	중곡1동	542	381	70	297	9	5	-	-	7	59	4	55	-	23	-	23	-	-	72	…	72
2016	광진구	중곡2동	326	213	26	176	6	4	1	-	9	21	8	13	-	22	-	22	-	-	61	…	61
2016	광진구	중곡3동	272	200	16	173	5	4	-	2	11	22	5	17	-	22	-	21	-	1	17	…	17
2016	광진구	중곡4동	300	197	29	162	3	1	-	2	12	31	-	31	-	13	-	13	-	-	47	…	47
2016	광진구	능동	238	163	33	124	4	-	-	2	7	10	-	10	-	26	2	24	-	-	32	…	32
2016	광진구	구의1동	711	545	114	394	17	16	2	2	10	30	3	27	-	28	1	27	-	-	98	…	98
2016	광진구	구의2동	275	197	34	155	4	3	1	-	12	28	6	22	-	10	1	9	-	-	28	…	28
2016	광진구	구의3동	524	377	76	285	9	4	2	1	11	20	3	17	-	39	-	39	-	-	77	…	77
2016	광진구	광장동	424	301	73	201	14	9	1	3	18	33	3	30	-	19	-	19	-	-	53	…	53
2016	광진구	자양1동	675	467	111	334	12	7	-	3	16	73	2	71	-	35	1	34	-	-	84	…	84
2016	광진구	자양2동	305	210	35	161	5	4	1	4	15	23	2	21	-	23	-	23	-	-	34	…	34
2016	광진구	자양3동	376	285	81	192	9	1	-	2	13	29	3	26	-	15	-	15	-	-	34	…	34
2016	광진구	자양4동	528	405	54	336	6	9	-	-	8	48	5	43	-	24	-	22	-	2	43	…	43
2016	광진구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	동대문구	계	8,286	5,623	893	4,404	105	115	75	31	200	894	161	733	-	668	11	653	2	2	901	…	901
2016	동대문구	회기동	534	474	82	377	8	3	-	4	13	13	2	11	-	16	-	16	-	-	18	…	18
2016	동대문구	휘경1동	458	330	81	233	9	1	3	3	13	33	5	28	-	26	1	25	-	-	56	…	56
2016	동대문구	휘경2동	72	43	3	39	1	-	-	-	11	6	2	4	-	7	-	7	-	-	5	…	5
2016	동대문구	청량리동	476	365	33	312	6	8	1	5	16	37	7	30	-	31	-	31	-	-	27	…	27
2016	동대문구	용신동	1,114	801	117	638	8	23	7	8	26	52	13	39	-	91	2	89	-	-	144	…	144
2016	동대문구	제기동	1,534	535	63	460	8	4	-	-	11	459	93	366	-	259	2	254	2	1	270	…	270
2016	동대문구	전농1동	830	613	147	429	16	11	6	4	23	80	9	71	-	37	-	37	-	-	77	…	77
2016	동대문구	전농2동	62	37	4	30	2	1	-	-	4	8	-	8	-	5	-	5	-	-	8	…	8
2016	동대문구	답십리1동	537	380	55	299	7	11	7	1	21	41	8	33	-	44	1	43	-	-	51	…	51
2016	동대문구	답십리2동	169	125	13	100	3	4	4	1	8	12	3	9	-	11	-	10	-	1	13	…	13
