기간	자치구	동	합계	합계	합계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입	비고
기간	자치구	동	합계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세	비고
기간	자치구	동	합계	시세	구세	취득세	등록세	레저세	주민세	자동차세	주행세	담배소비세	도축세	특별시분 재산세	재산세	종합토지세	면허세	도시계획세	공동시설세	지역개발세	지방교육세	사업소세	시세	구세	비고
2008	용산구	용산2가동	5,592	5,188	404	1,266	1,405	-	1,068	390	-	-	-	153	366	-	15	335	36	-	449	17	86	6	-
2008	용산구	남영동	28,494	22,650	5,844	6,409	4,310	-	4,013	356	-	-	-	2,188	5,231	-1	41	2,918	339	1	2,002	537	114	36	-
2008	용산구	원효로2동	15,155	12,390	2,765	1,864	2,423	-	3,282	951	-	-	-	1,014	2,425	-	47	1,283	207	-	1,219	270	147	23	-
2008	용산구	효창동	6,977	6,334	643	1,710	1,928	-	768	473	-	-	-	246	595	-	16	435	62	1	610	18	101	14	-
2008	용산구	용문동	8,153	7,054	1,099	1,728	1,790	-	909	616	-	-	-	447	1,069	-	17	650	75	-	731	1	108	12	-
2008	용산구	이촌1동	58,327	43,083	15,244	4,266	4,883	-	13,576	2,699	-	-	-	6,289	15,033	-1	24	5,987	280	-	4,814	67	289	121	-
2008	용산구	이촌2동	6,121	5,161	960	596	890	-	1,458	580	-	-	-	389	930	-	8	590	49	-	521	9	88	13	-
2008	용산구	이태원1동	47,796	44,194	3,602	2,708	2,256	-	34,012	541	-	-	-	1,401	3,354	-	36	1,600	201	-	1,274	143	201	69	-
2008	용산구	이태원2동	9,088	7,608	1,480	1,476	1,744	-	1,648	442	-	-	-	565	1,351	-	17	814	86	-	732	96	101	16	-
2008	용산구	서빙고동	21,759	16,762	4,997	1,908	2,540	-	5,722	884	-	-	-	1,942	4,637	-	15	1,835	111	1	1,680	300	139	45	-
2008	용산구	보광동	7,116	5,690	1,426	776	870	-	1,140	603	-	-	-	555	1,327	-	20	904	60	-	610	60	172	19	-
2008	용산구	청파동	22,614	20,824	1,790	6,929	7,470	-	1,650	747	-	-	-	673	1,622	-	46	1,061	151	-	1,913	82	230	40	-
2008	용산구	원효로1동	16,451	12,539	3,912	2,151	2,411	-	2,591	428	-	-	-	1,562	3,734	-1	39	1,871	127	-	1,342	134	56	6	-
2008	용산구	한강로동	193,617	176,861	16,756	61,902	50,408	5,911	27,146	1,604	-	-	-	5,482	13,109	-	264	6,218	1,635	6	16,139	3,212	410	171	-
2008	용산구	한남동	61,007	51,278	9,729	5,391	6,189	-	26,498	1,453	-	-	-	3,578	8,604	-1	62	3,808	569	-	3,357	959	435	105	-
2008	성동구	소계	252,773	201,863	50,910	34,096	44,215	4,912	37,976	15,542	-	-	-	14,721	46,242	-36	570	21,410	3,441	15	22,396	3,466	3,139	668	-
2008	성동구	왕십리2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	마장동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	사근동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	행당1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	행당2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	응봉동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	금호1가동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	금호4가동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	성수1가1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	성수1가2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	성수2가1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	성수2가3동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	송정동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	용답동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	왕십리도선동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	금호2.3가동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	성동구	옥수동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	광진구	소계	253,306	201,728	51,578	40,093	41,640	-	39,104	16,768	-	-	-	15,809	47,690	-6	580	22,334	3,693	41	20,016	2,678	2,230	636	-
2008	광진구	화양동	17,781	13,067	4,714	2,056	2,426	-	2,319	654	-	-	-	1,479	4,485	…	58	2,202	308	3	1,464	117	156	54	-
2008	광진구	군자동	17,954	15,326	2,628	4,400	4,940	-	2,030	745	-	-	-	801	2,429	…	36	1,178	167	-	973	127	92	36	-
2008	광진구	중곡1동	10,427	8,232	2,195	1,560	1,866	-	1,272	786	-	-	-	674	2,031	…	34	974	139	-	883	99	78	31	-
2008	광진구	중곡2동	9,691	7,941	1,750	1,658	2,001	-	980	752	-	-	-	556	1,674	…	36	938	182	3	787	18	84	22	-
2008	광진구	중곡3동	7,287	6,105	1,182	1,509	1,654	-	551	557	-	-	-	371	1,116	…	28	679	115	8	547	22	114	16	-
2008	광진구	중곡4동	10,600	8,908	1,692	1,907	2,270	-	946	1,105	-	-	-	534	1,610	…	33	972	155	3	918	26	98	23	-
2008	광진구	능동	7,198	5,738	1,460	1,144	1,311	-	903	496	-	-	-	453	1,383	…	21	669	101	3	587	40	71	16	-
2008	광진구	구의1동	10,841	8,872	1,969	1,426	1,589	-	1,801	1,087	-	-	-	626	1,887	…	46	1,046	205	-	999	8	93	28	-
2008	광진구	구의2동	11,585	9,681	1,904	2,103	2,343	-	1,535	944	-	-	-	601	1,809	…	29	1,008	155	-	905	45	87	21	-
2008	광진구	구의3동	34,693	27,350	7,343	3,648	4,392	-	8,931	1,932	-	-	-	2,115	6,372	…	69	2,736	732	4	2,548	784	312	118	-
2008	광진구	광장동	43,561	33,667	9,894	5,773	5,526	-	8,652	2,722	-	-	-	3,017	9,098	…	41	3,606	464	3	3,574	635	330	120	-
2008	광진구	자양1동	13,044	10,902	2,142	2,018	2,279	-	2,562	1,040	-	-	-	647	1,948	…	40	1,082	187	3	981	119	103	35	-
2008	광진구	자양2동	17,881	14,475	3,406	3,258	3,362	-	2,522	1,283	-	-	-	949	2,857	…	43	1,405	215	5	1,328	463	148	43	-
2008	광진구	자양3동	29,978	23,219	6,759	6,370	4,141	-	2,981	1,756	-	-	-	2,185	6,578	…	29	2,557	406	3	2,487	110	333	42	-
2008	광진구	자양4동	10,791	8,245	2,546	1,263	1,540	-	1,119	909	-	-	-	801	2,413	…	37	1,282	162	3	1,035	65	131	31	-
2008	동대문구	소계	269,621	219,689	49,932	38,428	47,472	13,193	35,501	14,806	-	-	-	14,304	45,585	-14	670	21,394	4,112	14	27,446	3,163	3,019	528	-
2008	동대문구	신설동	28,155	25,067	3,088	2,434	2,106	7,235	4,412	455	-	-	-	1,051	2,663	-	46	1,332	335	2	5,360	346	345	33	-
2008	동대문구	제기1동	9,234	6,940	2,294	1,242	1,567	-	843	519	-	-	-	752	2,226	-1	30	1,019	94	1	785	13	118	26	-
2008	동대문구	제기2동	10,953	8,518	2,435	1,616	1,973	-	1,195	575	-	-	-	773	2,270	-8	66	1,187	233	-	893	90	73	17	-
2008	동대문구	전농1동	6,953	5,343	1,610	1,049	1,771	-	405	474	-	-	-	306	1,556	-	17	563	59	-	577	17	139	20	-
2008	동대문구	전농3동	11,979	10,069	1,910	2,315	3,020	-	1,272	818	-	-	-	517	1,872	-	18	888	137	2	1,034	3	66	17	-
2008	동대문구	답십리1동	4,987	3,521	1,466	620	927	-	426	448	-	-	-	220	1,428	-	12	382	48	-	360	6	90	20	-
2008	동대문구	답십리2동	6,651	5,037	1,614	898	1,244	-	527	592	-	-	-	309	1,561	-	14	566	84	-	509	2	308	37	-
2008	동대문구	답십리4동	8,634	6,697	1,937	1,123	1,554	-	939	633	-	-	-	524	1,881	-	19	849	148	1	696	8	230	29	-
2008	동대문구	장안1동	25,695	22,184	3,511	3,390	3,680	3,060	4,458	987	-	-	-	1,193	2,876	-	54	1,473	442	-	3,395	561	106	20	-
2008	동대문구	장안2동	14,597	11,874	2,723	2,467	3,010	-	1,409	947	-	-	-	1,012	2,610	-	33	1,271	347	-	1,317	62	94	18	-
2008	동대문구	장안3동	19,341	16,610	2,731	2,350	2,802	2,898	1,994	1,019	-	-	-	907	2,473	-	30	1,293	274	6	2,984	208	83	20	-
2008	동대문구	장안4동	9,640	7,764	1,876	2,049	2,263	-	733	492	-	-	-	456	1,778	-	27	741	150	-	758	49	122	22	-
2008	동대문구	회기동	8,550	6,846	1,704	974	1,333	-	2,522	403	-	-	-	340	1,612	-3	24	594	98	-	494	52	88	19	-
2008	동대문구	휘경1동	7,929	6,055	1,874	1,100	1,476	-	719	627	-	-	-	462	1,788	-	26	737	157	-	649	40	128	20	-
2008	동대문구	휘경2동	11,128	9,023	2,105	1,654	2,055	-	1,533	1,023	-	-	-	514	1,869	-1	22	944	150	-	899	173	251	42	-
2008	동대문구	이문1동	6,497	5,014	1,483	1,016	1,464	-	777	461	-	-	-	229	1,441	-	14	422	50	-	481	1	114	27	-
2008	동대문구	이문2동	8,271	6,472	1,799	1,256	1,570	-	959	590	-	-	-	435	1,749	-	21	759	123	-	642	2	138	27	-
2008	동대문구	이문3동	11,251	9,323	1,928	2,314	2,440	-	998	976	-	-	-	491	1,833	-	17	866	129	-	958	48	151	30	-
2008	동대문구	용두동	22,044	18,101	3,943	3,107	4,759	-	3,622	773	-	-	-	1,450	3,266	-	66	2,006	452	1	1,836	587	95	24	-
2008	동대문구	전농2동	10,739	8,215	2,524	1,741	2,063	-	1,009	465	-	-	-	806	2,302	-1	32	1,066	126	-	891	176	48	15	-
2008	동대문구	답십리3동	12,673	10,106	2,567	1,949	2,220	-	2,012	613	-	-	-	792	2,288	-	44	1,193	254	1	908	206	164	29	-
2008	동대문구	청량리동	13,720	10,910	2,810	1,764	2,175	-	2,737	916	-	-	-	765	2,243	-	38	1,243	222	-	1,020	513	68	16	-
2008	중랑구	소계	198,845	159,665	39,180	33,075	36,827	9,852	15,098	14,778	-	-	-	8,744	37,256	-10	577	14,655	2,681	16	20,644	1,025	3,295	332	-
2008	중랑구	면목2동	10,928	8,484	2,444	1,922	2,186	-	705	875	-	-	-	549	2,338	-	37	957	157	-	909	45	224	24	-
2008	중랑구	면목4동	6,876	5,554	1,322	1,365	1,323	-	484	681	-	-	-	278	1,183	-	38	544	86	-	562	85	231	16	-
2008	중랑구	면목5동	5,452	4,303	1,149	1,056	1,083	-	421	438	-	-	-	253	1,073	-2	20	443	72	-	426	51	111	7	-
2008	중랑구	면목7동	9,927	7,747	2,180	1,627	1,803	-	858	932	-	-	-	497	2,123	-	28	878	154	2	838	13	158	16	-
2008	중랑구	상봉1동	15,280	12,594	2,686	1,864	2,081	2,306	1,047	1,174	-	-	-	607	2,584	-	25	951	135	1	2,306	68	122	9	-
2008	중랑구	상봉2동	19,055	14,462	4,593	2,134	2,236	2,560	1,607	570	-	-	-	1,010	4,302	-	46	1,343	308	2	2,519	226	173	19	-
2008	중랑구	중화1동	8,310	6,870	1,440	1,643	1,774	-	663	892	-	-	-	330	1,404	-	23	625	112	-	729	4	102	9	-
2008	중랑구	중화2동	8,990	6,485	2,505	1,106	1,311	-	675	721	-	-	-	565	2,406	-	40	998	165	2	722	45	220	14	-
2008	중랑구	묵1동	19,063	15,325	3,738	3,550	3,741	-	1,984	1,642	-	-	-	855	3,634	-	40	1,415	206	-	1,570	40	362	24	-
2008	중랑구	묵2동	7,652	5,958	1,694	1,293	1,294	-	771	668	-	-	-	386	1,642	-	32	686	120	1	613	8	126	12	-
2008	중랑구	망우3동	5,694	4,572	1,122	1,077	1,120	-	384	531	-	-	-	253	1,076	-	20	482	76	1	462	12	186	14	-
2008	중랑구	신내1동	13,625	10,719	2,906	2,235	2,569	-	1,139	1,479	-	-	-	618	2,629	-	35	1,019	228	2	1,166	162	264	80	-
2008	중랑구	신내2동	11,256	9,354	1,902	2,248	2,511	-	927	1,053	-	-	-	429	1,831	-8	24	847	188	1	959	22	191	33	-
2008	중랑구	면목본동	10,352	7,689	2,663	99	2,582	-	750	1,067	-	-	-	606	2,584	-	50	1,085	161	1	1,063	10	275	19	-
2008	중랑구	면목3.8동	11,037	8,625	2,412	1,912	2,071	-	983	924	-	-	-	518	2,230	-	56	943	171	1	880	107	222	19	-
2008	중랑구	망우본동	35,348	30,924	4,424	7,944	7,142	4,986	1,700	1,131	-	-	-	990	4,217	-	63	1,439	342	2	4,920	127	328	17	-
2008	성북구	소계	281,507	233,057	48,450	51,934	52,293	3,548	37,554	19,171	-	-	-	14,103	45,255	-18	546	22,503	3,483	11	24,775	1,525	3,682	1,142	-
2008	성북구	돈암1동	7,225	6,612	613	1,313	1,401	-	866	934	-	-	-	390	584	-	11	698	105	-	791	5	114	13	-
2008	성북구	돈암2동	14,260	13,051	1,209	2,386	2,856	-	2,516	1,508	-	-	-	782	1,171	-	11	1,277	195	-	1,418	12	113	15	-
2008	성북구	안암동	12,787	11,735	1,052	2,123	2,230	-	3,907	625	-	-	-	589	884	-2	34	944	219	1	941	121	156	15	-
2008	성북구	보문동	8,653	7,781	872	1,559	1,806	-	1,530	560	-	-	-	489	734	3	33	791	145	1	781	87	119	15	-
2008	성북구	정능1동	11,368	10,587	781	3,415	2,766	-	657	953	-	-	-	491	735	-	23	914	111	-	1,081	1	199	22	-
2008	성북구	정능2동	11,710	10,920	790	3,291	2,882	-	1,023	984	-	-	-	468	701	-	20	834	135	1	1,108	34	194	35	-
2008	성북구	정능3동	5,941	5,411	530	1,054	1,061	-	1,199	586	-	-	-	286	431	-	16	496	59	-	533	58	137	25	-
2008	성북구	정능4동	15,593	14,531	1,062	4,060	4,421	-	1,150	1,280	-	-	-	594	889	-	21	1,053	159	-	1,563	108	251	44	-
2008	성북구	길음1동	15,055	13,387	1,668	2,304	2,604	554	1,236	1,680	-	-	-	1,065	1,596	-	20	1,756	233	-	1,777	15	178	37	-
2008	성북구	길음2동	11,138	9,594	1,544	2,047	2,078	138	924	648	-	-	-	929	1,393	1	24	1,306	273	-	1,152	115	99	11	-
2008	성북구	월곡1동	18,484	16,766	1,718	2,528	2,447	2,834	2,863	1,210	-	-	-	835	1,251	-3	28	1,340	215	1	2,312	410	181	32	-
2008	성북구	월곡2동	11,537	10,490	1,047	1,692	3,250	22	1,379	872	-	-	-	625	928	-1	29	1,038	212	2	1,248	74	150	17	-
2008	성북구	장위1동	7,052	6,431	621	1,264	1,418	-	638	906	-	-	-	376	561	-	30	775	78	-	743	6	233	24	-
2008	성북구	장위2동	6,558	5,783	775	1,076	1,045	-	706	678	-	-	-	480	720	-1	24	859	115	-	664	15	160	17	-
2008	성북구	장위3동	6,804	6,202	602	1,751	1,574	-	473	544	-	-	-	356	531	-5	19	629	82	-	660	48	133	9	-
2008	성북구	성북동	31,652	28,190	3,462	6,796	4,306	-	9,615	1,023	-	-	-	1,828	2,707	-6	30	1,922	182	-	2,096	72	422	659	-
2008	성북구	삼선동	38,097	12,582	25,515	2,075	3,552	-	1,884	967	-	-	-	824	25,391	-1	43	1,384	235	1	1,424	35	236	47	-
2008	성북구	동선동	12,375	10,945	1,430	2,789	2,553	-	1,545	505	-	-	-	850	1,284	-	41	1,230	229	1	1,111	72	132	33	-
2008	성북구	종암동	21,154	19,388	1,766	5,694	5,198	-	1,589	1,448	-	-	-	1,047	1,576	-3	40	1,821	312	2	2,019	102	258	51	-
2008	성북구	석관동	14,064	12,671	1,393	2,717	2,845	-	1,854	1,260	-	-	-	799	1,188	-	49	1,436	189	1	1,353	135	217	21	-
2008	강북구	소계	168,948	131,336	37,612	27,142	32,669	5,381	15,044	10,640	-	-	-	7,614	35,565	-3	451	12,011	2,178	13	15,771	899	2,873	700	-
2008	강북구	번1동	19,235	17,759	1,476	1,899	1,809	5,381	1,559	595	-	-	-	772	1,157	-	45	1,036	285	2	4,142	95	279	179	-
2008	강북구	번2동	4,195	3,775	420	696	756	-	563	581	-	-	-	199	298	-	16	373	67	1	405	76	134	30	-
2008	강북구	번3동	4,713	4,276	437	745	892	-	465	716	-	-	-	250	375	-	18	474	96	-	505	29	133	15	-
2008	강북구	수유1동	9,903	8,976	927	2,204	2,513	-	975	752	-	-	-	467	700	-1	36	746	150	1	945	156	223	36	-
2008	강북구	수유2동	9,125	8,379	746	1,925	2,015	-	1,123	851	-	-	-	453	678	-	31	845	140	2	862	14	163	23	-
2008	강북구	수유3동	40,490	15,053	25,437	2,927	6,010	-	2,276	632	-	-	-	690	25,192	-	62	1,052	244	1	980	67	241	116	-
2008	강북구	삼양동	12,072	11,209	863	2,706	3,558	-	687	1,155	-	-	-	503	753	-	30	904	129	-	1,284	37	283	43	-
2008	강북구	미아동	9,231	8,079	1,152	1,651	1,760	-	1,092	658	-	-	-	702	1,052	-	37	960	176	1	887	34	192	29	-
2008	강북구	송중동	13,451	11,666	1,785	2,225	2,415	-	1,559	1,014	-	-	-	1,072	1,600	-	48	1,479	339	-	1,302	101	261	36	-
2008	강북구	송천동	11,672	10,322	1,350	2,332	2,490	-	1,134	786	-	-	-	808	1,212	-	44	1,274	169	2	1,122	44	205	50	-
2008	강북구	삼각산동	12,473	11,360	1,113	2,855	3,113	-	708	1,103	-	-	-	696	1,045	-	18	1,234	145	-	1,282	1	224	49	-
2008	강북구	우이동	9,954	8,941	1,013	2,197	2,303	-	1,067	775	-	-	-	539	807	-1	29	809	104	1	938	130	208	48	-
2008	강북구	인수동	12,435	11,541	894	2,779	3,035	-	1,836	1,022	-	-	-	463	696	-	38	825	134	2	1,118	114	327	46	-
2008	도봉구	소계	188,337	148,937	39,400	29,555	34,445	7,184	15,576	15,331	-	-	-	8,679	37,172	-3	432	13,390	2,623	12	19,320	1,287	2,822	512	-
2008	도봉구	쌍문1동	7,422	6,798	624	1,324	1,538	-	1,028	919	-	-	-	344	515	-	25	581	101	1	713	48	249	36	-
2008	도봉구	쌍문2동	8,771	7,974	797	1,921	2,091	-	923	700	-	-	-	427	640	-	28	722	164	-	799	48	227	81	-
2008	도봉구	쌍문3동	6,778	6,009	769	1,415	1,496	-	677	586	-	-	-	377	566	-	23	601	102	1	636	162	118	18	-
2008	도봉구	쌍문4동	7,295	6,755	540	1,475	1,781	-	601	950	-	-	-	328	492	-	13	617	96	-	760	5	147	30	-
2008	도봉구	방학1동	42,788	16,335	26,453	3,198	3,725	-	2,368	1,665	-	-	-	1,268	26,060	-	58	1,662	428	-	1,776	293	245	42	-
2008	도봉구	방학2동	6,896	6,463	433	1,755	1,940	-	461	613	-	-	-	247	371	-	29	478	91	-	651	3	227	30	-
2008	도봉구	방학3동	11,435	10,565	870	2,201	2,685	-	1,118	1,550	-	-	-	511	767	-	20	933	157	1	1,185	46	224	37	-
2008	도봉구	창1동	12,364	11,208	1,156	2,323	2,709	-	1,336	1,418	-	-	-	681	1,022	-	32	1,105	182	-	1,253	71	201	31	-
2008	도봉구	창2동	13,608	12,508	1,100	3,131	3,657	-	1,094	1,171	-	-	-	621	930	-	33	1,035	236	3	1,323	98	237	39	-
2008	도봉구	창3동	4,340	4,006	334	934	1,033	-	324	489	-	-	-	199	299	-	20	387	61	1	430	1	148	14	-
2008	도봉구	창4동	28,503	26,503	2,000	2,935	3,605	7,184	1,809	1,597	-	-	-	1,168	1,752	-2	33	1,672	342	1	6,025	164	165	53	-
2008	도봉구	창5동	17,117	15,065	2,052	2,963	3,647	-	1,895	1,457	-	-	-	1,260	1,889	-	48	1,614	341	-	1,715	77	173	38	-
2008	도봉구	도봉1동	9,188	8,158	1,030	1,807	2,000	-	865	892	-	-	-	546	817	-	39	828	120	2	880	149	218	25	-
2008	도봉구	도봉2동	11,831	10,590	1,241	2,174	2,538	-	1,077	1,324	-	-	-	702	1,052	-1	30	1,155	202	1	1,174	122	243	38	-
2008	노원구	소계	270,297	222,961	47,336	45,087	55,048	-	29,131	26,280	-	-	-	13,240	44,016	-157	615	22,105	4,273	35	23,487	2,066	4,275	796	동별종합토지세재산세에포함
