기간	자치구	동	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	동	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	동	합계	한국은행	우리은행	SC제일은행	KB국민은행	신한은행	한국씨티은행	KEB하나은행	지방은행	IBK기업은행	NH농협은행	수협은행	KDB산업은행	한국수출입은행	외국은행
2016	합계	합계	2,294	2	410	110	405	351	55	401	46	214	176	58	23	2	41
2016	종로구	소계	130	-	22	5	23	18	1	23	-	8	15	1	2	-	12
2016	종로구	사직동	21	-	2	-	2	2	1	5	-	1	5	-	1	-	2
2016	종로구	삼청동	5	-	2	-	-	1	-	1	-	-	1	-	-	-	-
2016	종로구	부암동	2	-	1	-	1	-	-	-	-	-	-	-	-	-	-
2016	종로구	평창동	5	-	1	-	1	1	-	2	-	-	-	-	-	-	-
2016	종로구	무악동	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-
2016	종로구	교남동	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-
2016	종로구	가회동	3	-	-	-	-	2	-	1	-	-	-	-	-	-	-
2016	종로구	종로1.2.3.4가동	54	-	8	4	11	4	-	8	-	3	5	-	1	-	10
2016	종로구	종로5·6가동	11	-	2	-	2	2	-	3	-	1	-	1	-	-	-
2016	종로구	이화동	7	-	-	-	2	2	-	-	-	1	2	-	-	-	-
2016	종로구	창신1동	5	-	1	1	1	1	-	-	-	1	-	-	-	-	-
2016	종로구	창신2동	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
2016	종로구	숭인1동	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2016	종로구	숭인2동	4	-	1	-	-	1	-	1	-	-	1	-	-	-	-
2016	종로구	청운효자동	4	-	1	-	1	1	-	-	-	-	1	-	-	-	-
2016	종로구	혜화동	5	-	2	-	1	1	-	1	-	-	-	-	-	-	-
2016	중구	소계	201	1	37	7	23	30	5	26	6	18	13	6	2	-	27
2016	중구	소공동	37	1	4	2	2	8	-	6	1	2	3	-	1	-	7
2016	중구	회현동	25	-	6	1	4	2	-	4	-	2	3	-	-	-	3
2016	중구	명동	75	-	9	3	7	10	5	7	5	6	3	3	-	-	17
2016	중구	필동	7	-	2	-	-	2	-	1	-	1	1	-	-	-	-
2016	중구	장충동	5	-	2	-	-	2	-	1	-	-	-	-	-	-	-
2016	중구	광희동	16	-	5	-	3	1	-	3	-	2	1	1	-	-	-
2016	중구	을지로동	11	-	3	1	2	2	-	1	-	1	1	-	-	-	-
