기간,컬럼1,컬럼2,계,남자,여자,계,남자,여자
2008,서초구,방배본동,"21,370","10,140","11,230","1,737",787,950
2008,서초구,방배1동,"16,536","7,973","8,563","1,318",600,718
2008,서초구,방배2동,"28,958","14,058","14,900","2,268","1,050","1,218"
2008,서초구,방배3동,"26,238","12,886","13,352","2,071",921,"1,150"
2008,서초구,방배4동,"25,947","12,305","13,642","2,044",965,"1,079"
2008,서초구,양재1동,"27,529","13,410","14,119","2,350","1,016","1,334"
2008,서초구,양재2동,"23,664","11,904","11,760","1,578",683,895
2008,서초구,내곡동,"6,663","3,530","3,133",844,401,443
2008,강남구,소계,"565,624","272,953","292,671","38,735","16,537","22,198"
2008,강남구,신사동,"21,623","10,162","11,461","1,863",864,999
2008,강남구,논현1동,"27,882","12,944","14,938","1,792",818,974
2008,강남구,논현2동,"24,083","11,437","12,646","1,761",818,943
2008,강남구,압구정1동,"17,211","8,192","9,019","1,712",818,894
2008,강남구,압구정2동,"12,094","5,658","6,436","1,222",554,668
2008,강남구,청담1동,"18,428","8,934","9,494","1,476",654,822
2008,강남구,청담2동,"12,920","6,184","6,736",850,403,447
2008,강남구,삼성1동,"16,301","8,355","7,946","1,183",542,641
2008,강남구,삼성2동,"26,626","12,752","13,874","1,661",750,911
2008,강남구,대치1동,"26,912","13,286","13,626","1,399",638,761
2008,강남구,대치2동,"26,927","13,614","13,313","1,486",646,840
2008,강남구,대치3동,"18,199","9,279","8,920","1,098",472,626
2008,강남구,대치4동,"22,224","10,476","11,748","1,175",552,623
2008,강남구,역삼1동,"36,964","17,682","19,282","2,136","1,026","1,110"
2008,강남구,역삼2동,"31,543","14,839","16,704","1,887",826,"1,061"
2008,강남구,도곡1동,"22,418","10,870","11,548","1,450",618,832
2008,강남구,도곡2동,"33,987","16,227","17,760","2,299","1,097","1,202"
2008,강남구,개포1동,"22,577","10,927","11,650","1,384",571,813
2008,강남구,개포2동,"19,424","9,325","10,099","1,193",403,790
2008,강남구,개포3동,"16,602","7,973","8,629",815,258,557
2008,강남구,개포4동,"24,378","11,968","12,410","1,449",559,890
2008,강남구,일원본동,"23,357","11,435","11,922","1,285",469,816
2008,강남구,일원1동,"19,612","9,706","9,906","1,764",615,"1,149"
2008,강남구,일원2동,"20,119","9,786","10,333","1,486",501,985
2008,강남구,수서동,"17,950","8,225","9,725","2,233",751,"1,482"
2008,강남구,세곡동,"5,263","2,717","2,546",676,314,362
2008,송파구,소계,"676,580","332,704","343,876","46,699","19,466","27,233"
2008,송파구,풍납1동,"21,420","10,554","10,866","1,647",737,910
2008,송파구,풍납2동,"29,926","14,587","15,339","2,063",877,"1,186"
2008,송파구,거여1동,"16,597","8,420","8,177","1,138",475,663
2008,송파구,거여2동,"30,694","15,516","15,178","2,382",946,"1,436"
2008,송파구,마천1동,"20,021","10,199","9,822","1,761",722,"1,039"
2008,송파구,마천2동,"23,881","12,138","11,743","2,155",871,"1,284"
2008,송파구,방이1동,"18,014","8,894","9,120","1,146",470,676
2008,송파구,방이2동,"26,087","12,817","13,270","1,731",754,977
2008,송파구,오륜동,"21,303","10,390","10,913","1,195",510,685
2008,송파구,오금동,"39,468","19,717","19,751","2,910","1,184","1,726"
2008,송파구,송파1동,"28,539","13,801","14,738","1,893",834,"1,059"
2008,송파구,송파2동,"21,522","10,639","10,883","1,393",550,843
2008,송파구,석촌동,"36,892","18,155","18,737","2,321","1,024","1,297"
2008,송파구,삼전동,"35,497","17,073","18,424","2,012",781,"1,231"
2008,송파구,가락본동,"30,689","15,292","15,397","1,892",777,"1,115"
2008,송파구,가락1동,"16,169","7,940","8,229","1,122",418,704
2008,송파구,가락2동,"36,505","18,076","18,429","2,050",803,"1,247"
2008,송파구,문정1동,"23,293","11,452","11,841","1,547",639,908
2008,송파구,문정2동,"16,799","8,251","8,548","1,683",776,907
2008,송파구,장지동,"34,072","16,765","17,307","2,392",846,"1,546"
2008,송파구,잠실본동,"32,272","15,346","16,926","1,864",754,"1,110"
2008,송파구,잠실4동,"26,096","12,775","13,321","1,858",777,"1,081"
2008,송파구,잠실6동,"17,124","8,253","8,871","1,416",632,784
2008,송파구,잠실7동,"10,747","5,106","5,641","1,112",529,583
2008,송파구,잠실2동,"25,553","12,407","13,146","1,432",599,833
2008,송파구,잠실3동,"37,400","18,141","19,259","2,584","1,181","1,403"
2008,강동구,소계,"473,973","237,420","236,553","33,579","13,764","19,815"
2008,강동구,강일동,533,297,236,73,36,37
2008,강동구,상일동,"29,825","14,974","14,851","1,868",705,"1,163"
2008,강동구,명일1동,"29,496","14,561","14,935","1,999",736,"1,263"
2008,강동구,명일2동,"19,333","9,702","9,631","1,152",441,711
2008,강동구,고덕1동,"21,409","10,790","10,619","1,488",483,"1,005"
2008,강동구,고덕2동,"20,113","10,249","9,864","1,480",539,941
2008,강동구,암사2동,"16,289","8,099","8,190","1,036",451,585
2008,강동구,암사3동,"16,541","8,223","8,318","1,009",413,596
2008,강동구,천호1동,"33,988","17,000","16,988","2,592","1,117","1,475"
2008,강동구,천호3동,"29,737","14,953","14,784","2,524","1,100","1,424"
2008,강동구,성내1동,"21,499","10,753","10,746","1,466",654,812
2008,강동구,성내2동,"27,864","13,837","14,027","2,256",992,"1,264"
2008,강동구,성내3동,"25,420","12,736","12,684","1,719",717,"1,002"
2008,강동구,둔촌1동,"21,489","11,157","10,332","1,045",379,666
2008,강동구,둔촌2동,"27,834","13,817","14,017","2,014",810,"1,204"
2008,강동구,암사1동,"40,423","20,240","20,183","3,070","1,278","1,792"
2008,강동구,천호2동,"39,330","19,804","19,526","3,208","1,412","1,796"
2008,강동구,길동,"52,850","26,228","26,622","3,580","1,501","2,079"
