기간,컬럼1,컬럼2,계,남자,여자,계,남자,여자
2008,동대문구,답십리1동,"11,587","5,789","5,798","1,051",435,616
2008,동대문구,답십리2동,"15,755","7,837","7,918","1,553",673,880
2008,동대문구,답십리4동,"15,671","7,798","7,873","1,446",616,830
2008,동대문구,장안1동,"19,129","9,708","9,421","1,656",748,908
2008,동대문구,장안2동,"17,943","9,134","8,809","1,185",509,676
2008,동대문구,장안3동,"18,132","9,016","9,116","1,398",625,773
2008,동대문구,장안4동,"15,074","7,562","7,512","1,456",639,817
2008,동대문구,회기동,"12,024","5,872","6,152","1,081",462,619
2008,동대문구,휘경1동,"18,531","9,219","9,312","1,697",745,952
2008,동대문구,휘경2동,"24,926","12,251","12,675","2,141",956,"1,185"
2008,동대문구,이문1동,"15,771","7,843","7,928","1,384",576,808
2008,동대문구,이문2동,"19,898","9,961","9,937","1,823",782,"1,041"
2008,동대문구,이문3동,"24,392","12,118","12,274","2,095",896,"1,199"
2008,동대문구,용두동,"20,226","10,556","9,670","2,548","1,137","1,411"
2008,동대문구,전농2동,"19,356","10,057","9,299","2,268","1,017","1,251"
2008,동대문구,답십리3동,"15,712","7,975","7,737","1,761",766,995
2008,동대문구,청량리동,"26,223","13,135","13,088","3,517","1,513","2,004"
2008,중랑구,소계,"432,845","216,344","216,501","37,032","15,840","21,192"
2008,중랑구,면목2동,"28,980","14,625","14,355","2,387","1,006","1,381"
2008,중랑구,면목4동,"24,060","11,724","12,336","2,031",887,"1,144"
2008,중랑구,면목5동,"15,054","7,650","7,404","1,360",606,754
2008,중랑구,면목7동,"26,961","13,467","13,494","2,321",995,"1,326"
2008,중랑구,상봉1동,"26,799","13,297","13,502","2,056",828,"1,228"
2008,중랑구,상봉2동,"19,185","9,718","9,467","1,732",771,961
2008,중랑구,중화1동,"22,688","11,300","11,388","1,733",759,974
2008,중랑구,중화2동,"32,887","16,765","16,122","3,055","1,340","1,715"
2008,중랑구,묵1동,"35,031","17,311","17,720","3,037","1,342","1,695"
2008,중랑구,묵2동,"20,495","10,350","10,145","1,840",797,"1,043"
2008,중랑구,망우3동,"20,457","10,320","10,137","1,721",741,980
2008,중랑구,신내1동,"29,110","14,495","14,615","2,439","1,000","1,439"
2008,중랑구,신내2동,"26,400","12,945","13,455","2,151",882,"1,269"
2008,중랑구,면목본동,"38,781","19,289","19,492","3,220","1,398","1,822"
2008,중랑구,면목3.8동,"30,908","15,537","15,371","2,761","1,175","1,586"
2008,중랑구,망우본동,"35,049","17,551","17,498","3,188","1,313","1,875"
2008,성북구,소계,"481,419","238,344","243,075","47,059","20,179","26,880"
2008,성북구,돈암1동,"18,036","8,741","9,295","1,760",718,"1,042"
2008,성북구,돈암2동,"24,842","12,103","12,739","2,216",907,"1,309"
2008,성북구,안암동,"18,854","9,635","9,219","1,607",673,934
2008,성북구,보문동,"17,735","8,838","8,897","1,781",749,"1,032"
2008,성북구,정능1동,"19,272","9,192","10,080","2,023",828,"1,195"
2008,성북구,정능2동,"24,725","12,296","12,429","2,498","1,104","1,394"
2008,성북구,정능3동,"19,240","9,633","9,607","2,203",934,"1,269"
2008,성북구,정능4동,"28,254","13,969","14,285","2,744","1,208","1,536"
2008,성북구,길음1동,"28,909","14,079","14,830","2,190",892,"1,298"
2008,성북구,길음2동,"21,122","10,342","10,780","2,166",891,"1,275"
2008,성북구,월곡1동,"28,117","13,987","14,130","2,547","1,123","1,424"
2008,성북구,월곡2동,"22,214","11,020","11,194","2,227",994,"1,233"
2008,성북구,장위1동,"28,276","14,085","14,191","2,557","1,106","1,451"
2008,성북구,장위2동,"24,677","12,468","12,209","2,494","1,109","1,385"
2008,성북구,장위3동,"19,272","9,906","9,366","2,080",930,"1,150"
2008,성북구,성북동,"20,045","9,719","10,326","2,448","1,082","1,366"
2008,성북구,삼선동,"27,430","13,445","13,985","2,797","1,158","1,639"
2008,성북구,동선동,"15,633","7,261","8,372","1,641",708,933
2008,성북구,종암동,"36,870","18,599","18,271","3,514","1,473","2,041"
2008,성북구,석관동,"37,896","19,026","18,870","3,566","1,592","1,974"
2008,강북구,소계,"345,754","171,180","174,574","36,533","16,131","20,402"
2008,강북구,번1동,"20,389","10,035","10,354","2,039",966,"1,073"
2008,강북구,번2동,"21,171","10,483","10,688","2,237","1,008","1,229"
2008,강북구,번3동,"22,334","10,813","11,521","2,579","1,146","1,433"
2008,강북구,수유1동,"23,852","11,995","11,857","2,551","1,119","1,432"
2008,강북구,수유2동,"23,620","11,644","11,976","2,836","1,259","1,577"
2008,강북구,수유3동,"24,437","12,118","12,319","2,721","1,220","1,501"
2008,강북구,삼양동,"33,821","16,915","16,906","3,243","1,383","1,860"
2008,강북구,미아동,"25,245","12,630","12,615","2,450","1,105","1,345"
2008,강북구,송중동,"36,753","17,935","18,818","3,695","1,664","2,031"
2008,강북구,송천동,"33,314","16,577","16,737","3,604","1,567","2,037"
2008,강북구,삼각산동,"24,635","12,182","12,453","1,933",766,"1,167"
2008,강북구,우이동,"21,864","11,001","10,863","2,694","1,201","1,493"
2008,강북구,인수동,"34,319","16,852","17,467","3,951","1,727","2,224"
2008,도봉구,소계,"376,698","186,476","190,222","34,674","14,856","19,818"
2008,도봉구,쌍문1동,"23,732","11,693","12,039","2,552","1,126","1,426"
2008,도봉구,쌍문2동,"21,781","10,745","11,036","2,044",888,"1,156"
2008,도봉구,쌍문3동,"19,091","9,374","9,717","1,874",846,"1,028"
2008,도봉구,쌍문4동,"22,231","10,818","11,413","1,764",659,"1,105"
2008,도봉구,방학1동,"33,448","16,693","16,755","2,759","1,191","1,568"
2008,도봉구,방학2동,"25,098","12,711","12,387","2,367","1,019","1,348"
2008,도봉구,방학3동,"33,088","16,340","16,748","2,747","1,077","1,670"
2008,도봉구,창1동,"29,892","14,610","15,282","2,675","1,113","1,562"
2008,도봉구,창2동,"31,937","15,772","16,165","2,657","1,173","1,484"
2008,도봉구,창3동,"16,805","8,489","8,316","1,532",641,891
2008,도봉구,창4동,"31,630","15,382","16,248","2,549","1,029","1,520"
2008,도봉구,창5동,"28,917","14,232","14,685","2,405","1,044","1,361"
2008,도봉구,도봉1동,"26,128","13,225","12,903","3,150","1,452","1,698"
2008,도봉구,도봉2동,"32,920","16,392","16,528","3,599","1,598","2,001"
2008,노원구,소계,"620,808","304,068","316,740","52,820","20,720","32,100"
2008,노원구,월계1동,"19,475","9,683","9,792","1,692",755,937
2008,노원구,월계2동,"28,070","13,645","14,425","2,798",999,"1,799"
2008,노원구,월계3동,"27,695","13,682","14,013","2,217",949,"1,268"
2008,노원구,월계4동,"20,640","10,309","10,331","2,426","1,002","1,424"
2008,노원구,공릉2동,"47,194","23,449","23,745","3,256","1,336","1,920"
2008,노원구,하계1동,"31,829","15,410","16,419","2,914","1,018","1,896"
2008,노원구,하계2동,"26,888","13,125","13,763","2,058",796,"1,262"
2008,노원구,중계본동,"31,418","15,514","15,904","2,146",774,"1,372"
2008,노원구,중계1동,"31,860","15,647","16,213","1,835",662,"1,173"
2008,노원구,중계2동,"18,860","9,035","9,825","1,656",556,"1,100"
2008,노원구,중계3동,"25,078","11,835","13,243","3,173","1,216","1,957"
2008,노원구,중계4동,"24,615","11,966","12,649","2,246",912,"1,334"
2008,노원구,상계1동,"41,126","20,394","20,732","3,563","1,455","2,108"
2008,노원구,상계2동,"22,854","11,327","11,527","1,926",843,"1,083"
2008,노원구,상계5동,"25,128","12,314","12,814","2,364",953,"1,411"
2008,노원구,상계8동,"27,556","13,379","14,177","1,884",650,"1,234"
2008,노원구,상계9동,"26,058","12,743","13,315","1,932",721,"1,211"
2008,노원구,상계10동,"21,589","10,295","11,294","1,635",591,"1,044"
2008,노원구,공릉1.3동,"42,041","20,650","21,391","3,318","1,391","1,927"
2008,노원구,상계3.4동,"42,371","21,393","20,978","4,840","2,064","2,776"
2008,노원구,상계6.7동,"38,463","18,273","20,190","2,941","1,077","1,864"
2008,은평구,소계,"463,364","228,740","234,624","45,836","20,016","25,820"
2008,은평구,녹번동,"36,907","18,012","18,895","3,833","1,687","2,146"
2008,은평구,불광1동,"36,353","17,780","18,573","3,867","1,642","2,225"
2008,은평구,갈현1동,"27,489","13,585","13,904","2,516","1,126","1,390"
2008,은평구,갈현2동,"27,892","13,572","14,320","2,571","1,113","1,458"
2008,은평구,구산동,"33,072","17,074","15,998","3,277","1,587","1,690"
2008,은평구,대조동,"31,952","15,360","16,592","3,339","1,453","1,886"
2008,은평구,응암1동,"33,993","16,641","17,352","3,200","1,390","1,810"
2008,은평구,응암2동,"21,533","10,736","10,797","2,320",964,"1,356"
2008,은평구,신사1동,"27,770","13,677","14,093","2,425","1,076","1,349"
2008,은평구,신사2동,"24,642","12,553","12,089","2,093",888,"1,205"
2008,은평구,증산동,"22,327","11,137","11,190","2,152",964,"1,188"
2008,은평구,수색동,"21,189","10,522","10,667","2,417","1,003","1,414"
2008,은평구,진관동,"10,841","5,338","5,503","1,091",470,621
2008,은평구,불광2동,"32,583","16,153","16,430","3,438","1,509","1,929"
2008,은평구,응암3동,"28,204","14,031","14,173","3,147","1,329","1,818"
2008,은평구,역촌동,"46,617","22,569","24,048","4,150","1,815","2,335"
2008,서대문구,소계,"340,731","166,432","174,299","36,042","15,247","20,795"
2008,서대문구,천연동,"19,132","9,358","9,774","2,232",881,"1,351"
2008,서대문구,홍제1동,"29,233","14,109","15,124","3,202","1,350","1,852"
2008,서대문구,홍제3동,"20,950","10,231","10,719","2,477","1,053","1,424"
2008,서대문구,홍제2동,"16,325","7,888","8,437","1,676",687,989
2008,서대문구,홍은1동,"29,452","14,586","14,866","3,305","1,395","1,910"
2008,서대문구,홍은2동,"29,667","14,602","15,065","3,074","1,335","1,739"
2008,서대문구,남가좌1동,"7,451","3,783","3,668",791,330,461
2008,서대문구,남가좌2동,"31,360","15,425","15,935","3,273","1,385","1,888"
2008,서대문구,북가좌1동,"11,764","5,896","5,868","1,160",518,642
2008,서대문구,북가좌2동,"34,478","17,025","17,453","3,424","1,481","1,943"
2008,서대문구,충현동,"24,393","12,106","12,287","2,760","1,132","1,628"
2008,서대문구,북아현동,"20,657","9,942","10,715","2,053",838,"1,215"
2008,서대문구,신촌동,"21,301","9,658","11,643","1,838",773,"1,065"
2008,서대문구,연희동,"44,568","21,823","22,745","4,777","2,089","2,688"
2008,마포구,소계,"393,241","192,243","200,998","36,495","15,547","20,948"
2008,마포구,용강동,"22,337","10,887","11,450","2,037",860,"1,177"
2008,마포구,대흥동,"17,409","8,510","8,899","1,657",706,951
2008,마포구,염리동,"19,397","9,477","9,920","1,895",781,"1,114"
2008,마포구,신수동,"22,944","11,450","11,494","2,116",931,"1,185"
2008,마포구,서교동,"30,586","14,397","16,189","2,791","1,302","1,489"
2008,마포구,합정동,"21,740","10,659","11,081","1,981",881,"1,100"
2008,마포구,망원1동,"25,127","12,418","12,709","2,227",971,"1,256"
2008,마포구,망원2동,"21,578","10,609","10,969","1,872",807,"1,065"
2008,마포구,연남동,"20,823","10,123","10,700","1,999",886,"1,113"
