읍면동명,자치구,새누리당,더불어민주당
상계5동,노원구,4372.644054094166,2630.7
상계8동,노원구,2747.9786625915176,2491.3
상계9동,노원구,2747.9786625915176,2528.1
상계10동,노원구,1919.7403625076442,2398.6
하계1동,노원구,3663.394834449341,2912.2
하계2동,노원구,3499.3265587403566,2837.0
중계본동,노원구,3246.6914411016323,2697.0
중계1동,노원구,2786.312415369863,2750.2
중계2.3동,노원구,4148.6448323754985,1767.9
중계4동,노원구,4501.03945010028,3032.3
상계6.7동,노원구,4479.9464584197585,3470.0
쌍문1동,도봉구,3974.646510087734,3056.0
쌍문3동,도봉구,2786.312415369863,2722.4
창1동,도봉구,3987.2047444788004,2948.1
창2동,도봉구,4372.644054094166,2874.6
창3동,도봉구,2786.312415369863,2750.2
창4동,도봉구,3987.2047444788004,2746.0
창5동,도봉구,4094.507148804394,3127.3
쌍문2동,도봉구,3546.7142703309746,2767.4
쌍문4동,도봉구,2728.7670880855676,2491.3
방학1동,도봉구,4643.207641082354,4605.6
방학2동,도봉구,4229.054784534526,2648.1
방학3동,도봉구,4039.5557491253116,2837.0
도봉1동,도봉구,4742.306351533339,2797.5
도봉2동,도봉구,4563.6157645442945,2637.0
용신동,동대문구,4135.370663392888,4369.8
제기동,동대문구,4135.370663392888,4369.8
청량리동,동대문구,4569.919066063975,2797.5
회기동,동대문구,1339.1618764477362,1266.5
휘경1동,동대문구,2000.6585688170414,2381.5
휘경2동,동대문구,3246.6914411016323,2697.0
이문1동,동대문구,3987.2047444788004,2941.6
이문2동,동대문구,3993.543513379907,2837.0
전농1동,동대문구,4815.594926551717,4605.6
전농2동,동대문구,3291.3639627810844,2697.0
답십리1동,동대문구,4094.507148804394,2828.4
답십리2동,동대문구,4569.919066063975,4605.6
장안1동,동대문구,4307.757948862251,4275.4
장안2동,동대문구,3998.4593938007984,4369.8
노량진1동,동작구,4479.9464584197585,4537.7
노량진2동,동작구,2681.6245008948067,2882.3
상도2동,동작구,3671.1189078849047,2767.4
상도3동,동작구,3974.646510087734,2588.1
상도4동,동작구,4310.0677396501505,3069.8
대방동,동작구,4742.306351533339,3161.6
신대방1동,동작구,2701.6754682641517,2722.4
신대방2동,동작구,2741.639893690411,2643.6
상도1동,동작구,4742.306351533339,3161.6
흑석동,동작구,3929.973988408282,2145.9
사당1동,동작구,2882.791814934653,2439.8
사당2동,동작구,3358.9125081466427,2357.1
사당3동,동작구,2786.312415369863,2722.4
사당4동,동작구,1802.7816647221707,2338.6
사당5동,동작구,1919.7403625076442,2363.6
공덕동,마포구,4475.98951962041,4369.8
아현동,마포구,2548.53749088664,2718.0
도화동,마포구,2882.791814934653,2758.8
용강동,마포구,1830.8211364689018,2634.6
대흥동,마포구,1682.1709277661441,1824.0
염리동,마포구,1528.9665453507255,2353.4
신수동,마포구,2278.480057539938,2686.6
서강동,마포구,2618.4681809204853,2775.3
서교동,마포구,2656.1536758812576,3131.4
합정동,마포구,2097.137968381831,2325.5
망원1동,마포구,3135.0148351348967,2414.4
망원2동,마포구,2741.639893690411,2750.2
연남동,마포구,1955.9860471375898,2238.0
성산1동,마포구,2741.639893690411,2643.6
성산2동,마포구,4225.736794677267,3089.6
상암동,마포구,4110.564967752254,4369.8
충현동,서대문구,2882.791814934653,2333.2
천연동,서대문구,2786.312415369863,2750.2
북아현동,서대문구,1962.3248160386972,2790.9
신촌동,서대문구,1585.26270019735,2580.0
연희동,서대문구,4643.207641082354,4369.8
홍제1동,서대문구,3294.256712844907,2697.0
홍제2동,서대문구,2687.963269795913,2864.6
홍제3동,서대문구,2657.0029465847006,2722.4
홍은1동,서대문구,3974.646510087734,2442.9
홍은2동,서대문구,4265.3952179707,2934.1
남가좌1동,서대문구,1802.7816647221707,2502.7
남가좌2동,서대문구,3987.2047444788004,2941.6
북가좌1동,서대문구,2747.9786625915176,2491.3
북가좌2동,서대문구,4815.594926551717,4435.9
잠원동,서초구,2097.137968381831,2473.6
반포본동,서초구,1141.2849723528655,603.9
반포1동,서초구,1955.9860471375898,2497.8
반포2동,서초구,1258.243670138338,1090.1
반포3동,서초구,1466.8232175685057,1266.5
반포4동,서초구,1371.2252374560912,1168.5
방배본동,서초구,1955.9860471375898,2497.8
방배1동,서초구,1823.322849010386,2430.9
방배4동,서초구,2170.426543400209,2363.6
